name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Chad Warner,Sydney,21,309,209,518,65,15,15,90,22,28,NA,121,11,2084,1943,221,309,339,65,90,2,2,95,39,56,39,22,17,10170,137,111,58,9,81.86
Lachlan Hunter,Melbourne,24,308,230,538,100,6,3,42,22,11,NA,89,8,1886,1880,173,364,357,66,68,NA,7,51,7,44,38,49,2,9308,103,114,89,6,91.08
Trent Rivers,Melbourne,25,307,190,497,119,2,5,55,21,16,NA,72,10,2067,1868,157,318,372,75,66,16,4,26,5,21,100,53,8,9416,82,83,164,2,76.84
Keidean Coleman,Brisbane,23,306,86,392,120,2,4,62,26,14,NA,72,6,1745,1698,105,257,285,73,56,9,2,22,3,19,70,62,5,9011,77,92,115,NA,73.04
Darcy Macpherson,Gold Coast,23,306,135,441,128,3,2,48,18,17,NA,32,5,1640,1751,126,286,304,69,69,6,1,16,NA,16,84,28,5,6542,62,85,125,1,81.39
Scott Pendlebury,Collingwood,25,305,266,571,89,9,3,108,21,12,NA,91,18,2368,2188,192,356,420,74,79,1,5,106,47,59,28,41,1,7625,148,101,77,7,76.76
Alex Witherden,West Coast,22,304,140,444,117,1,NA,50,21,15,NA,30,4,1859,1725,104,261,375,84,46,2,NA,10,NA,10,124,66,12,8276,59,72,115,NA,83.82
Jarman Impey,Hawthorn,22,299,162,461,120,3,4,48,18,13,NA,50,4,1711,1774,106,346,351,76,51,6,NA,12,5,7,62,33,16,7434,78,77,104,NA,79.55
Darcy Wilmot,Brisbane,26,297,109,406,107,5,4,43,20,17,NA,46,8,1828,1605,130,246,317,78,57,5,6,24,6,18,75,48,12,7964,78,75,123,3,77.46
Mitch McGovern,Carlton,22,297,82,379,105,2,2,54,16,16,NA,32,3,1797,1568,96,186,306,81,60,22,NA,3,NA,3,116,73,NA,8590,58,82,129,2,75.32
Caleb Daniel,Western Bulldogs,23,295,242,537,100,10,6,88,13,11,NA,71,10,2135,2067,164,368,408,76,52,2,2,75,5,70,63,29,13,7679,116,84,72,13,80.52
Jack Crisp,Collingwood,26,294,261,555,98,10,8,114,16,18,NA,94,17,2356,2184,207,349,397,72,84,7,7,68,12,56,38,31,15,10093,144,105,96,11,80
