name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Harry Perryman,GWS,22,224,164,388,66,3,3,92,13,19,NA,48,7,1663,1543,146,244,284,73,66,3,1,32,6,26,64,65,1,6474,75,84,108,6,74.91
James Aish,Fremantle,20,224,173,397,80,4,4,49,18,10,NA,77,7,1467,1470,117,274,291,73,42,5,4,37,8,29,31,20,2,6192,74,72,62,NA,82
Mitchell Duncan,Geelong,16,224,135,359,110,5,5,40,11,6,NA,51,7,1445,1460,91,244,274,76,40,4,4,25,3,22,50,20,3,6055,78,58,48,5,81.25
Clayton Oliver,Melbourne,15,224,230,454,63,6,2,101,23,20,NA,82,8,1846,1726,219,234,305,67,73,1,3,103,40,63,34,27,2,6801,96,86,76,18,83.73
Kamdyn Mcintosh,Richmond,22,223,94,317,93,6,6,45,7,17,NA,52,5,1212,1314,83,222,217,68,77,9,7,15,NA,15,44,47,1,6389,74,74,73,2,83.45
Taylor Adams,Collingwood,23,222,202,424,78,13,11,105,25,33,NA,87,25,1783,1739,182,247,275,65,88,1,12,85,36,49,5,18,3,5842,145,78,30,26,76.26
David Swallow,Gold Coast,23,222,160,382,78,14,11,101,15,23,NA,66,9,1735,1665,181,206,264,69,61,10,13,70,21,49,13,32,NA,6009,100,64,49,17,76.7
Sam Walsh,Carlton,18,222,292,514,63,6,4,87,19,27,NA,86,18,1914,1765,196,325,377,73,75,2,4,69,19,50,25,10,8,6247,121,84,52,6,78.56
Nick Hind,Essendon,16,220,71,291,68,3,1,24,3,6,NA,28,3,1118,1106,44,220,228,78,34,1,3,10,2,8,58,23,32,5375,49,44,53,NA,69.88
Archie Perkins,Essendon,23,219,132,351,95,18,13,65,18,19,NA,82,10,1518,1548,125,233,238,68,55,7,16,32,13,19,18,16,3,6817,111,83,27,18,78.96
Ben Keays,Adelaide,23,218,223,441,72,22,19,87,14,17,NA,78,16,1854,1778,180,241,303,69,65,NA,14,59,19,40,18,25,NA,5372,146,73,57,20,84.04
Kyle Langford,Essendon,23,218,96,314,130,51,23,36,12,14,NA,37,20,1819,1679,117,200,210,67,51,18,64,6,2,4,17,40,5,5435,152,64,47,23,91.13
Josh Battle,St Kilda,23,216,112,328,146,1,NA,39,14,18,NA,21,2,1486,1432,101,217,257,78,59,23,NA,4,NA,4,74,81,2,5583,39,66,144,NA,86.09
Chayce Jones,Adelaide,18,216,98,314,46,7,5,49,13,9,NA,45,9,1325,1211,111,176,227,72,38,2,4,40,8,32,54,29,2,6100,70,62,74,8,81.83
Cameron Rayner,Brisbane,26,215,153,368,102,23,17,58,17,19,NA,71,16,1780,1604,146,224,268,73,67,14,19,41,16,25,19,29,4,6242,137,73,46,20,79.5
Bailey Williams,Western Bulldogs,23,215,165,380,116,11,9,60,7,13,NA,52,7,1611,1606,95,285,301,79,41,4,13,34,2,32,38,20,3,6404,88,60,63,4,78.43
Isaac Heeney,Sydney,23,214,143,357,110,30,19,99,19,15,NA,55,14,1935,1827,194,165,229,64,70,24,31,40,7,33,14,28,5,5461,131,74,42,35,84.61
Nick Haynes,GWS,20,214,101,315,125,2,2,15,5,7,NA,22,1,1395,1277,83,231,255,81,31,13,3,11,1,10,66,58,14,5905,48,47,110,NA,67.45
Conor Nash,Hawthorn,23,213,339,552,60,1,5,110,19,27,1,76,11,1978,1887,213,346,421,76,76,1,1,109,48,61,33,32,4,6076,114,84,58,19,77.83
Tom Sparrow,Melbourne,23,213,182,395,70,11,8,81,15,25,NA,68,6,1546,1551,139,261,277,70,69,2,6,60,22,38,22,35,1,6568,91,81,55,9,73.83
Patrick Dangerfield,Geelong,18,213,156,369,59,11,8,67,25,19,NA,106,24,1579,1438,191,172,225,61,81,11,13,101,52,49,13,18,4,7273,106,83,27,9,66.17
Rory Sloane,Adelaide,22,212,187,399,69,6,2,113,19,29,1,63,8,1694,1640,183,214,293,73,64,7,5,83,25,58,23,37,1,5625,103,64,67,17,65.18
