"last_name, first_name","player_id","year","ab","pa","hit","home_run","k_percent","batting_avg","slg_percent"
"Gurriel Jr., Lourdes",666971,2024,513,553,143,18,18.3,".279",".435"
"Burger, Jake",669394,2024,535,579,134,29,25.9,".250",".460"
"Adames, Willy",642715,2024,610,688,153,32,25.1,".251",".462"
"Suárez, Eugenio",553993,2024,571,640,146,30,27.5,".256",".469"
"Raleigh, Cal",663728,2024,546,628,120,34,28,".220",".436"
"Bellinger, Cody",641355,2024,516,569,137,18,15.6,".266",".426"
"Santana, Carlos",467793,2024,521,594,124,23,16.7,".238",".420"
"Happ, Ian",664023,2024,569,657,138,25,25.6,".243",".441"
"García, Luis",671277,2024,500,528,141,18,16.3,".282",".444"
"Bohm, Alec",664761,2024,554,606,155,15,14.2,".280",".448"
"Cronenworth, Jake",630105,2024,577,656,139,17,18,".241",".390"
"Vierling, Matt",663837,2024,518,567,133,16,21.3,".257",".423"
"Bregman, Alex",608324,2024,581,634,151,26,13.6,".260",".453"
"Verdugo, Alex",657077,2024,559,621,130,13,15,".233",".356"
"Hoskins, Rhys",656555,2024,449,517,96,26,28.8,".214",".419"
"Duran, Jarren",680776,2024,671,735,191,21,21.8,".285",".492"
"Judge, Aaron",592450,2024,559,704,180,58,24.3,".322",".701"
"Marte, Ketel",606466,2024,504,583,147,36,18.2,".292",".560"
"Turner, Trea",607208,2024,505,539,149,21,18.2,".295",".469"
"Paredes, Isaac",670623,2024,542,641,129,19,16.4,".238",".393"
"McMahon, Ryan",641857,2024,567,645,137,20,28.7,".242",".397"
"Lowe, Nathaniel",663993,2024,486,565,129,16,22.1,".265",".401"
"Volpe, Anthony",683011,2024,637,689,155,12,22.6,".243",".364"
"Schanuel, Nolan",694384,2024,519,607,130,13,17,".250",".362"
"Rodríguez, Julio",677594,2024,567,613,155,20,25.4,".273",".409"
"Arenado, Nolan",571448,2024,578,635,157,16,14.5,".272",".394"
"Thomas, Lane",657041,2024,472,528,112,15,25.9,".237",".400"
"Castellanos, Nick",592206,2024,606,659,154,23,21.1,".254",".431"
"Hernández, Teoscar",606192,2024,589,652,160,33,28.8,".272",".501"
"Garcia, Maikel",672580,2024,575,626,133,7,16.5,".231",".332"
"Peña, Jeremy",665161,2024,602,650,160,15,17.1,".266",".394"
"Harper, Bryce",547180,2024,550,631,157,30,21.9,".285",".525"
"Winker, Jesse",608385,2024,430,508,109,14,20.9,".253",".405"
"Reynolds, Bryan",668804,2024,622,692,171,24,22.5,".275",".447"
"Stott, Bryson",681082,2024,506,571,124,11,16.3,".245",".356"
"Henderson, Gunnar",683002,2024,630,719,177,37,22.1,".281",".529"
"Betts, Mookie",605141,2024,450,516,130,19,11,".289",".491"
"Busch, Michael",683737,2024,496,567,123,21,28.6,".248",".440"
"Cowser, Colton",681297,2024,499,561,121,24,30.7,".242",".447"
"Machado, Manny",592518,2024,593,643,163,29,19.3,".275",".472"
"Semien, Marcus",543760,2024,650,718,154,23,14.6,".237",".391"
"Olson, Matt",621566,2024,600,685,148,29,24.8,".247",".457"
"Morel, Christopher",666624,2024,535,611,105,21,26,".196",".346"
"Ohtani, Shohei",660271,2024,636,731,197,54,22.2,".310",".646"
"Doyle, Brenton",686668,2024,542,603,141,23,25.4,".260",".446"
"Smith, Will",669257,2024,476,544,118,20,19.3,".248",".433"
"Chisholm Jr., Jazz",665862,2024,562,621,144,24,24.5,".256",".436"
"Goldschmidt, Paul",502671,2024,599,654,147,22,26.5,".245",".414"
"Santander, Anthony",623993,2024,595,665,140,44,19.4,".235",".506"
"Seager, Corey",608369,2024,475,533,132,30,18,".278",".512"
"Cruz, Oneil",665833,2024,541,599,140,21,30.2,".259",".449"
"Hoerner, Nico",663538,2024,582,641,159,7,10.3,".273",".373"
"Castro, Willi",650489,2024,558,635,138,12,23.6,".247",".385"
"Rutschman, Adley",668939,2024,571,638,143,19,16.1,".250",".391"
"Turner, Justin",457759,2024,460,539,119,11,17.6,".259",".383"
"Sánchez, Jesús",660821,2024,489,537,123,18,26.1,".252",".417"
"Witt Jr., Bobby",677951,2024,636,709,211,32,15,".332",".588"
"O'Hoppe, Logan",681351,2024,479,522,117,20,29.7,".244",".409"
"Rooker Jr., Brent",667670,2024,546,614,160,39,28.8,".293",".562"
"Merrill, Jackson",701538,2024,554,593,162,24,17,".292",".500"
"Meyers, Jake",676694,2024,461,513,101,13,22.8,".219",".360"
"Benintendi, Andrew",643217,2024,477,522,109,20,18.4,".229",".396"
"Chapman, Matt",656305,2024,575,647,142,27,24.4,".247",".463"
"Nimmo, Brandon",607043,2024,571,663,128,23,23.8,".224",".399"
"Ward, Taylor",621493,2024,585,663,144,25,24.6,".246",".426"
"Rafaela, Ceddanne",678882,2024,544,571,134,15,26.4,".246",".390"
"Giménez, Andrés",665926,2024,583,633,147,9,15.3,".252",".340"
"Varsho, Daulton",662139,2024,459,513,98,18,26.7,".214",".407"
"Ramírez, José",608070,2024,620,682,173,39,12,".279",".537"
"Alonso, Pete",624413,2024,608,695,146,34,24.7,".240",".459"
"Gelof, Zack",680869,2024,497,547,105,17,34.4,".211",".362"
"Swanson, Dansby",621020,2024,534,593,129,16,24.3,".242",".390"
"Young, Jacob",696285,2024,468,521,120,3,19.6,".256",".331"
"Winn, Masyn",691026,2024,587,637,157,15,17.1,".267",".416"
"Díaz, Yandy",650490,2024,563,621,158,14,15.3,".281",".414"
"García, Adolis",666969,2024,580,637,130,25,27.8,".224",".400"
"Perez, Salvador",521692,2024,590,652,160,27,19.8,".271",".456"
"Lindor, Francisco",596019,2024,618,689,169,33,18.4,".273",".500"
"Taveras, Leody",665750,2024,480,529,110,12,21.2,".229",".352"
"Turang, Brice",668930,2024,559,619,142,7,17,".254",".349"
"Neto, Zach",687263,2024,542,602,135,23,23.3,".249",".443"
"Suzuki, Seiya",673548,2024,512,585,145,21,27.4,".283",".482"
"Altuve, Jose",514888,2024,628,682,185,20,17.4,".295",".439"
"Vaughn, Andrew",683734,2024,570,619,140,19,21.3,".246",".402"
"Soler, Jorge",624585,2024,493,574,119,21,24.6,".241",".442"
