AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
18-19,Igor Stamm,M,SBD,Raw,18.5,19-23,Juniors,111.4,120,590,1,347.79,345.89,330.72,70.89,Yes,Argentina,NA,FALPO,Best3SquatKg,220
18-19,Igor Stamm,M,SBD,Raw,18.5,19-23,Juniors,111.4,120,590,1,347.79,345.89,330.72,70.89,Yes,Argentina,NA,FALPO,Best3BenchKg,130
18-19,Igor Stamm,M,SBD,Raw,18.5,19-23,Juniors,111.4,120,590,1,347.79,345.89,330.72,70.89,Yes,Argentina,NA,FALPO,Best3DeadliftKg,240
18-19,Eren Berkan,M,SBD,Raw,18.5,19-23,Juniors,90.2,93,650,12,419.82,414.49,397.21,86.32,Yes,Netherlands,NA,KNKF-SP,Best3SquatKg,230
18-19,Eren Berkan,M,SBD,Raw,18.5,19-23,Juniors,90.2,93,650,12,419.82,414.49,397.21,86.32,Yes,Netherlands,NA,KNKF-SP,Best3BenchKg,155
18-19,Eren Berkan,M,SBD,Raw,18.5,19-23,Juniors,90.2,93,650,12,419.82,414.49,397.21,86.32,Yes,Netherlands,NA,KNKF-SP,Best3DeadliftKg,265
18-19,Eric Kern,M,SBD,Single-ply,18,19-23,M-V,125.9,125+,547.5,5,309.6,311.54,297.92,51.98,Yes,NA,NA,USAPL,Best3SquatKg,185
18-19,Eric Kern,M,SBD,Single-ply,18,19-23,M-V,125.9,125+,547.5,5,309.6,311.54,297.92,51.98,Yes,NA,NA,USAPL,Best3BenchKg,170
18-19,Eric Kern,M,SBD,Single-ply,18,19-23,M-V,125.9,125+,547.5,5,309.6,311.54,297.92,51.98,Yes,NA,NA,USAPL,Best3DeadliftKg,192.5
18-19,Adam Sudra,M,SBD,Raw,18.5,19-23,Juniori,93,93,645,1,410.38,405.18,387.8,84.38,Yes,Slovakia,NA,SAFKST,Best3SquatKg,235
18-19,Adam Sudra,M,SBD,Raw,18.5,19-23,Juniori,93,93,645,1,410.38,405.18,387.8,84.38,Yes,Slovakia,NA,SAFKST,Best3BenchKg,140
18-19,Adam Sudra,M,SBD,Raw,18.5,19-23,Juniori,93,93,645,1,410.38,405.18,387.8,84.38,Yes,Slovakia,NA,SAFKST,Best3DeadliftKg,270
18-19,Máté Zsolt Kiss-Szigeti,M,SBD,Raw,18.5,19-23,Juniors,97.1,105,500,17,311.79,308.03,294.39,64.06,Yes,NA,NA,Hunpower,Best3SquatKg,190
18-19,Máté Zsolt Kiss-Szigeti,M,SBD,Raw,18.5,19-23,Juniors,97.1,105,500,17,311.79,308.03,294.39,64.06,Yes,NA,NA,Hunpower,Best3BenchKg,105
18-19,Máté Zsolt Kiss-Szigeti,M,SBD,Raw,18.5,19-23,Juniors,97.1,105,500,17,311.79,308.03,294.39,64.06,Yes,NA,NA,Hunpower,Best3DeadliftKg,205
18-19,César Prieto González,M,SBD,Raw,17.5,14-18,SBJ,80.54,83,360,13,247.26,244.74,235.74,50.6,Yes,NA,NA,AEP,Best3SquatKg,70
18-19,César Prieto González,M,SBD,Raw,17.5,14-18,SBJ,80.54,83,360,13,247.26,244.74,235.74,50.6,Yes,NA,NA,AEP,Best3BenchKg,100
18-19,César Prieto González,M,SBD,Raw,17.5,14-18,SBJ,80.54,83,360,13,247.26,244.74,235.74,50.6,Yes,NA,NA,AEP,Best3DeadliftKg,190
18-19,Ian McCarron,M,SBD,Raw,18.5,19-23,MR-O,72.3,74,412.5,2,303.11,301.73,292,61.3,Yes,USA,MA,USAPL,Best3SquatKg,137.5
18-19,Ian McCarron,M,SBD,Raw,18.5,19-23,MR-O,72.3,74,412.5,2,303.11,301.73,292,61.3,Yes,USA,MA,USAPL,Best3BenchKg,107.5
18-19,Ian McCarron,M,SBD,Raw,18.5,19-23,MR-O,72.3,74,412.5,2,303.11,301.73,292,61.3,Yes,USA,MA,USAPL,Best3DeadliftKg,167.5
18-19,Benjamin Alvarado Campos,M,SBD,Raw,17.5,14-18,Sub-Juniors,72.58,74,567.5,9,415.93,413.94,400.52,84.16,Yes,Chile,NA,IPF,Best3SquatKg,205
18-19,Benjamin Alvarado Campos,M,SBD,Raw,17.5,14-18,Sub-Juniors,72.58,74,567.5,9,415.93,413.94,400.52,84.16,Yes,Chile,NA,IPF,Best3BenchKg,112.5
18-19,Benjamin Alvarado Campos,M,SBD,Raw,17.5,14-18,Sub-Juniors,72.58,74,567.5,9,415.93,413.94,400.52,84.16,Yes,Chile,NA,IPF,Best3DeadliftKg,250
18-19,Anton Galsgaard,M,SBD,Raw,18.5,19-23,Open,91.05,93,540,8,347.15,342.73,328.31,71.38,Yes,NA,NA,DSF,Best3SquatKg,200
18-19,Anton Galsgaard,M,SBD,Raw,18.5,19-23,Open,91.05,93,540,8,347.15,342.73,328.31,71.38,Yes,NA,NA,DSF,Best3BenchKg,115
18-19,Anton Galsgaard,M,SBD,Raw,18.5,19-23,Open,91.05,93,540,8,347.15,342.73,328.31,71.38,Yes,NA,NA,DSF,Best3DeadliftKg,225
18-19,Yevgeniy Dorofeyev,M,SBD,Single-ply,18,14-18,Sub-Juniors,81.6,82.5,752,1,512.6,507.12,488.19,87.71,Yes,Kazakhstan,NA,AsianPF,Best3SquatKg,291
18-19,Yevgeniy Dorofeyev,M,SBD,Single-ply,18,14-18,Sub-Juniors,81.6,82.5,752,1,512.6,507.12,488.19,87.71,Yes,Kazakhstan,NA,AsianPF,Best3BenchKg,170
18-19,Yevgeniy Dorofeyev,M,SBD,Single-ply,18,14-18,Sub-Juniors,81.6,82.5,752,1,512.6,507.12,488.19,87.71,Yes,Kazakhstan,NA,AsianPF,Best3DeadliftKg,291
18-19,Joshua Marting,M,SBD,Raw,18.5,19-23,MR-T3,79.8,82.5,505,2,348.74,345.31,332.75,71.31,Yes,USA,WI,USAPL,Best3SquatKg,185
18-19,Joshua Marting,M,SBD,Raw,18.5,19-23,MR-T3,79.8,82.5,505,2,348.74,345.31,332.75,71.31,Yes,USA,WI,USAPL,Best3BenchKg,110
18-19,Joshua Marting,M,SBD,Raw,18.5,19-23,MR-T3,79.8,82.5,505,2,348.74,345.31,332.75,71.31,Yes,USA,WI,USAPL,Best3DeadliftKg,210
18-19,Tapan Ulhas Worlikar,M,SBD,Single-ply,18.5,19-23,Juniors,81.9,82.5,565,5,384.32,380.17,365.92,65.76,Yes,India,NA,AsianPF,Best3SquatKg,225
18-19,Tapan Ulhas Worlikar,M,SBD,Single-ply,18.5,19-23,Juniors,81.9,82.5,565,5,384.32,380.17,365.92,65.76,Yes,India,NA,AsianPF,Best3BenchKg,115
18-19,Tapan Ulhas Worlikar,M,SBD,Single-ply,18.5,19-23,Juniors,81.9,82.5,565,5,384.32,380.17,365.92,65.76,Yes,India,NA,AsianPF,Best3DeadliftKg,225
18-19,Riley Fleming,M,SBD,Raw,18,19-23,MR-Jr,101.8,105,485,1,296.26,293.12,279.9,60.75,Yes,USA,IN,AMP,Best3SquatKg,175
18-19,Riley Fleming,M,SBD,Raw,18,19-23,MR-Jr,101.8,105,485,1,296.26,293.12,279.9,60.75,Yes,USA,IN,AMP,Best3BenchKg,100
18-19,Riley Fleming,M,SBD,Raw,18,19-23,MR-Jr,101.8,105,485,1,296.26,293.12,279.9,60.75,Yes,USA,IN,AMP,Best3DeadliftKg,210
18-19,Gio Duopo,M,SBD,Single-ply,18,19-23,M-V,59.2,60,417.5,6,356.32,360.5,352.29,60.63,Yes,NA,NA,USAPL,Best3SquatKg,155
18-19,Gio Duopo,M,SBD,Single-ply,18,19-23,M-V,59.2,60,417.5,6,356.32,360.5,352.29,60.63,Yes,NA,NA,USAPL,Best3BenchKg,92.5
18-19,Gio Duopo,M,SBD,Single-ply,18,19-23,M-V,59.2,60,417.5,6,356.32,360.5,352.29,60.63,Yes,NA,NA,USAPL,Best3DeadliftKg,170
18-19,Kutter Wilson,M,SBD,Raw,17.5,14-18,MR-T2,111.12,125,430,2,253.71,252.28,241.19,51.73,Yes,USA,CO,USAPL,Best3SquatKg,150
18-19,Kutter Wilson,M,SBD,Raw,17.5,14-18,MR-T2,111.12,125,430,2,253.71,252.28,241.19,51.73,Yes,USA,CO,USAPL,Best3BenchKg,87.5
18-19,Kutter Wilson,M,SBD,Raw,17.5,14-18,MR-T2,111.12,125,430,2,253.71,252.28,241.19,51.73,Yes,USA,CO,USAPL,Best3DeadliftKg,192.5
18-19,Will McGurran,M,SBD,Raw,17.5,14-18,MR-HS,92.75,100,490,1,312.17,308.21,295.02,64.19,Yes,USA,MN,USAPL,Best3SquatKg,192.5
18-19,Will McGurran,M,SBD,Raw,17.5,14-18,MR-HS,92.75,100,490,1,312.17,308.21,295.02,64.19,Yes,USA,MN,USAPL,Best3BenchKg,105
18-19,Will McGurran,M,SBD,Raw,17.5,14-18,MR-HS,92.75,100,490,1,312.17,308.21,295.02,64.19,Yes,USA,MN,USAPL,Best3DeadliftKg,192.5
18-19,Levi Barrington,M,SBD,Raw,17.5,14-18,MR-C,118.5,120,405,3,233.58,233.54,223.75,47.34,Yes,USA,RI,USAPL,Best3SquatKg,117.5
18-19,Levi Barrington,M,SBD,Raw,17.5,14-18,MR-C,118.5,120,405,3,233.58,233.54,223.75,47.34,Yes,USA,RI,USAPL,Best3BenchKg,95
18-19,Levi Barrington,M,SBD,Raw,17.5,14-18,MR-C,118.5,120,405,3,233.58,233.54,223.75,47.34,Yes,USA,RI,USAPL,Best3DeadliftKg,192.5
18-19,Yohan Perez,M,SBD,Raw,19,19-23,Junior,103.7,105,735,1,445.53,441.16,421.24,91.28,Yes,NA,NA,FECHIPO,Best3SquatKg,275
18-19,Yohan Perez,M,SBD,Raw,19,19-23,Junior,103.7,105,735,1,445.53,441.16,421.24,91.28,Yes,NA,NA,FECHIPO,Best3BenchKg,180
18-19,Yohan Perez,M,SBD,Raw,19,19-23,Junior,103.7,105,735,1,445.53,441.16,421.24,91.28,Yes,NA,NA,FECHIPO,Best3DeadliftKg,280
18-19,Prathmesh Bobade,M,SBD,Raw,17.5,14-18,Sub-Juniors,99.4,105,497.5,2,307.02,303.51,289.91,63.03,Yes,NA,NA,PI,Best3SquatKg,182.5
18-19,Prathmesh Bobade,M,SBD,Raw,17.5,14-18,Sub-Juniors,99.4,105,497.5,2,307.02,303.51,289.91,63.03,Yes,NA,NA,PI,Best3BenchKg,102.5
18-19,Prathmesh Bobade,M,SBD,Raw,17.5,14-18,Sub-Juniors,99.4,105,497.5,2,307.02,303.51,289.91,63.03,Yes,NA,NA,PI,Best3DeadliftKg,212.5
18-19,Valentin Logoyko,M,SBD,Raw,17.5,14-18,Sub-Juniors,80.7,83,485,3,332.73,329.31,317.17,68.1,Yes,Ukraine,NA,UkrainePF,Best3SquatKg,180
18-19,Valentin Logoyko,M,SBD,Raw,17.5,14-18,Sub-Juniors,80.7,83,485,3,332.73,329.31,317.17,68.1,Yes,Ukraine,NA,UkrainePF,Best3BenchKg,115
18-19,Valentin Logoyko,M,SBD,Raw,17.5,14-18,Sub-Juniors,80.7,83,485,3,332.73,329.31,317.17,68.1,Yes,Ukraine,NA,UkrainePF,Best3DeadliftKg,190
18-19,Atul Teotia,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,95.7,100,650,1,408.02,402.99,385.31,69.46,Yes,India,NA,AsianPF,Best3SquatKg,252.5
18-19,Atul Teotia,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,95.7,100,650,1,408.02,402.99,385.31,69.46,Yes,India,NA,AsianPF,Best3BenchKg,140
18-19,Atul Teotia,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,95.7,100,650,1,408.02,402.99,385.31,69.46,Yes,India,NA,AsianPF,Best3DeadliftKg,257.5
18-19,I Sozykin,M,SBD,Single-ply,17.5,14-18,M-O,55.8,56,347.5,3,312.02,317.46,311.32,52.88,Yes,NA,NA,LJTF,Best3SquatKg,125
18-19,I Sozykin,M,SBD,Single-ply,17.5,14-18,M-O,55.8,56,347.5,3,312.02,317.46,311.32,52.88,Yes,NA,NA,LJTF,Best3BenchKg,87.5
18-19,I Sozykin,M,SBD,Single-ply,17.5,14-18,M-O,55.8,56,347.5,3,312.02,317.46,311.32,52.88,Yes,NA,NA,LJTF,Best3DeadliftKg,135
18-19,Brandon Valeroso,M,SBD,Raw,18.5,19-23,MR-O,74.6,NA,567.5,3,408.53,405.89,392.28,82.97,Yes,USA,IL,USAPL,Best3SquatKg,222.5
18-19,Brandon Valeroso,M,SBD,Raw,18.5,19-23,MR-O,74.6,NA,567.5,3,408.53,405.89,392.28,82.97,Yes,USA,IL,USAPL,Best3BenchKg,115
18-19,Brandon Valeroso,M,SBD,Raw,18.5,19-23,MR-O,74.6,NA,567.5,3,408.53,405.89,392.28,82.97,Yes,USA,IL,USAPL,Best3DeadliftKg,230
18-19,Pradeep Kumar #2,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,77.75,82.5,647.5,5,454.19,450.26,434.38,77.77,Yes,India,NA,IPF,Best3SquatKg,240
18-19,Pradeep Kumar #2,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,77.75,82.5,647.5,5,454.19,450.26,434.38,77.77,Yes,India,NA,IPF,Best3BenchKg,155
18-19,Pradeep Kumar #2,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,77.75,82.5,647.5,5,454.19,450.26,434.38,77.77,Yes,India,NA,IPF,Best3DeadliftKg,252.5
18-19,Dmitriy Paleshev,M,SBD,Single-ply,17.5,14-18,Teen 17-18,57.2,59,285,2,250.42,254.18,248.89,42.51,Yes,NA,NA,FPR,Best3SquatKg,95
18-19,Dmitriy Paleshev,M,SBD,Single-ply,17.5,14-18,Teen 17-18,57.2,59,285,2,250.42,254.18,248.89,42.51,Yes,NA,NA,FPR,Best3BenchKg,70
18-19,Dmitriy Paleshev,M,SBD,Single-ply,17.5,14-18,Teen 17-18,57.2,59,285,2,250.42,254.18,248.89,42.51,Yes,NA,NA,FPR,Best3DeadliftKg,120
18-19,Nikolaos Serafeimidis,M,SBD,Raw,18,14-18,Sub-Junior,94.3,105,480,4,303.39,299.58,286.58,62.37,Yes,NA,NA,HPF,Best3SquatKg,200
18-19,Nikolaos Serafeimidis,M,SBD,Raw,18,14-18,Sub-Junior,94.3,105,480,4,303.39,299.58,286.58,62.37,Yes,NA,NA,HPF,Best3BenchKg,80
18-19,Nikolaos Serafeimidis,M,SBD,Raw,18,14-18,Sub-Junior,94.3,105,480,4,303.39,299.58,286.58,62.37,Yes,NA,NA,HPF,Best3DeadliftKg,200
18-19,Aiden Bourgeois-Hawkins,M,SBD,Raw,18.5,19-23,MR-O,58.45,NA,277.5,23,239.38,242.47,237.13,46.15,Yes,USA,LA,USAPL,Best3SquatKg,87.5
18-19,Aiden Bourgeois-Hawkins,M,SBD,Raw,18.5,19-23,MR-O,58.45,NA,277.5,23,239.38,242.47,237.13,46.15,Yes,USA,LA,USAPL,Best3BenchKg,65
18-19,Aiden Bourgeois-Hawkins,M,SBD,Raw,18.5,19-23,MR-O,58.45,NA,277.5,23,239.38,242.47,237.13,46.15,Yes,USA,LA,USAPL,Best3DeadliftKg,125
18-19,Samúel Guðmundsson,M,SBD,Raw,17.5,14-18,Sub-Juniors,117.25,120,480,1,277.84,277.51,265.81,56.37,Yes,NA,NA,KRAFT,Best3SquatKg,170
18-19,Samúel Guðmundsson,M,SBD,Raw,17.5,14-18,Sub-Juniors,117.25,120,480,1,277.84,277.51,265.81,56.37,Yes,NA,NA,KRAFT,Best3BenchKg,100
18-19,Samúel Guðmundsson,M,SBD,Raw,17.5,14-18,Sub-Juniors,117.25,120,480,1,277.84,277.51,265.81,56.37,Yes,NA,NA,KRAFT,Best3DeadliftKg,210
18-19,Vyacheslav Zotov,M,SBD,Single-ply,18.5,19-23,Open,73.2,75,572.5,7,417.24,415.02,401.42,71.45,Yes,NA,NA,FPR,Best3SquatKg,247.5
18-19,Vyacheslav Zotov,M,SBD,Single-ply,18.5,19-23,Open,73.2,75,572.5,7,417.24,415.02,401.42,71.45,Yes,NA,NA,FPR,Best3BenchKg,137.5
18-19,Vyacheslav Zotov,M,SBD,Single-ply,18.5,19-23,Open,73.2,75,572.5,7,417.24,415.02,401.42,71.45,Yes,NA,NA,FPR,Best3DeadliftKg,187.5
18-19,Sammuel Gonzalez Restrepo,M,SBD,Raw,18.5,19-23,JUN,88.75,93,525,11,341.89,337.58,323.74,70.28,Yes,NA,NA,AEP,Best3SquatKg,195
18-19,Sammuel Gonzalez Restrepo,M,SBD,Raw,18.5,19-23,JUN,88.75,93,525,11,341.89,337.58,323.74,70.28,Yes,NA,NA,AEP,Best3BenchKg,110
18-19,Sammuel Gonzalez Restrepo,M,SBD,Raw,18.5,19-23,JUN,88.75,93,525,11,341.89,337.58,323.74,70.28,Yes,NA,NA,AEP,Best3DeadliftKg,220
18-19,Declan Lockwood,M,SBD,Single-ply,18.5,19-23,M-T3,73.12,74,510.3,1,372.18,370.22,358.11,63.73,Yes,USA,LA,USAPL,Best3SquatKg,192.8
18-19,Declan Lockwood,M,SBD,Single-ply,18.5,19-23,M-T3,73.12,74,510.3,1,372.18,370.22,358.11,63.73,Yes,USA,LA,USAPL,Best3BenchKg,113.4
18-19,Declan Lockwood,M,SBD,Single-ply,18.5,19-23,M-T3,73.12,74,510.3,1,372.18,370.22,358.11,63.73,Yes,USA,LA,USAPL,Best3DeadliftKg,204.1
18-19,Austin Weldon,M,SBD,Raw,17.5,14-18,MR-T2,81.7,82.5,482.5,1,328.66,325.14,312.98,67.33,Yes,USA,DE,USAPL,Best3SquatKg,160
18-19,Austin Weldon,M,SBD,Raw,17.5,14-18,MR-T2,81.7,82.5,482.5,1,328.66,325.14,312.98,67.33,Yes,USA,DE,USAPL,Best3BenchKg,120
18-19,Austin Weldon,M,SBD,Raw,17.5,14-18,MR-T2,81.7,82.5,482.5,1,328.66,325.14,312.98,67.33,Yes,USA,DE,USAPL,Best3DeadliftKg,202.5
18-19,Aleksey Avdeenko,M,SBD,Raw,18,14-18,Teen 18-19,80.7,82.5,475,1,325.87,322.52,310.64,66.7,Yes,Russia,NA,IPL,Best3SquatKg,170
18-19,Aleksey Avdeenko,M,SBD,Raw,18,14-18,Teen 18-19,80.7,82.5,475,1,325.87,322.52,310.64,66.7,Yes,Russia,NA,IPL,Best3BenchKg,105
18-19,Aleksey Avdeenko,M,SBD,Raw,18,14-18,Teen 18-19,80.7,82.5,475,1,325.87,322.52,310.64,66.7,Yes,Russia,NA,IPL,Best3DeadliftKg,200
18-19,Benjamin Hourdille,M,SBD,Raw,18,19-23,Juniors,72.3,74,367.5,2,270.04,268.81,260.15,54.61,Yes,NA,NA,FFForce,Best3SquatKg,120
18-19,Benjamin Hourdille,M,SBD,Raw,18,19-23,Juniors,72.3,74,367.5,2,270.04,268.81,260.15,54.61,Yes,NA,NA,FFForce,Best3BenchKg,75
18-19,Benjamin Hourdille,M,SBD,Raw,18,19-23,Juniors,72.3,74,367.5,2,270.04,268.81,260.15,54.61,Yes,NA,NA,FFForce,Best3DeadliftKg,172.5
18-19,Dean Smit,M,SBD,Raw,17.5,14-18,Sub-Juniors,71.8,74,342.5,9,252.85,251.81,243.76,51.08,Yes,NA,NA,SAPF,Best3SquatKg,125
18-19,Dean Smit,M,SBD,Raw,17.5,14-18,Sub-Juniors,71.8,74,342.5,9,252.85,251.81,243.76,51.08,Yes,NA,NA,SAPF,Best3BenchKg,67.5
18-19,Dean Smit,M,SBD,Raw,17.5,14-18,Sub-Juniors,71.8,74,342.5,9,252.85,251.81,243.76,51.08,Yes,NA,NA,SAPF,Best3DeadliftKg,150
18-19,Kenjiro Ozaki,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,55.7,56,385,4,346.24,352.33,345.56,58.67,Yes,Japan,NA,IPF,Best3SquatKg,145
18-19,Kenjiro Ozaki,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,55.7,56,385,4,346.24,352.33,345.56,58.67,Yes,Japan,NA,IPF,Best3BenchKg,100
18-19,Kenjiro Ozaki,M,SBD,Single-ply,17.5,14-18,Sub-Juniors,55.7,56,385,4,346.24,352.33,345.56,58.67,Yes,Japan,NA,IPF,Best3DeadliftKg,140
18-19,Anton Ufarkin,M,SBD,Single-ply,18.5,19-23,Open,73.55,75,505,15,366.9,364.84,352.81,62.83,Yes,NA,NA,FPR,Best3SquatKg,210
18-19,Anton Ufarkin,M,SBD,Single-ply,18.5,19-23,Open,73.55,75,505,15,366.9,364.84,352.81,62.83,Yes,NA,NA,FPR,Best3BenchKg,105
18-19,Anton Ufarkin,M,SBD,Single-ply,18.5,19-23,Open,73.55,75,505,15,366.9,364.84,352.81,62.83,Yes,NA,NA,FPR,Best3DeadliftKg,190
18-19,Patrick Hobin,M,SBD,Raw,18.5,19-23,MR-T3,73.6,75,445,1,323.16,321.33,310.73,65.51,Yes,USA,MA,USAPL,Best3SquatKg,150
18-19,Patrick Hobin,M,SBD,Raw,18.5,19-23,MR-T3,73.6,75,445,1,323.16,321.33,310.73,65.51,Yes,USA,MA,USAPL,Best3BenchKg,95
18-19,Patrick Hobin,M,SBD,Raw,18.5,19-23,MR-T3,73.6,75,445,1,323.16,321.33,310.73,65.51,Yes,USA,MA,USAPL,Best3DeadliftKg,200
18-19,野口 聖斗,M,SBD,Raw,17.5,14-18,Sub-Juniors,71.4,74,397.5,5,294.56,293.46,284.15,59.45,Yes,NA,NA,JPA,Best3SquatKg,140
18-19,野口 聖斗,M,SBD,Raw,17.5,14-18,Sub-Juniors,71.4,74,397.5,5,294.56,293.46,284.15,59.45,Yes,NA,NA,JPA,Best3BenchKg,82.5
18-19,野口 聖斗,M,SBD,Raw,17.5,14-18,Sub-Juniors,71.4,74,397.5,5,294.56,293.46,284.15,59.45,Yes,NA,NA,JPA,Best3DeadliftKg,175
18-19,Evgeniy Arzhanov,M,SBD,Raw,17.5,14-18,Open,77.5,83,300,20,210.85,209.06,201.72,43,Yes,NA,NA,FPR,Best3SquatKg,90
18-19,Evgeniy Arzhanov,M,SBD,Raw,17.5,14-18,Open,77.5,83,300,20,210.85,209.06,201.72,43,Yes,NA,NA,FPR,Best3BenchKg,97.5
18-19,Evgeniy Arzhanov,M,SBD,Raw,17.5,14-18,Open,77.5,83,300,20,210.85,209.06,201.72,43,Yes,NA,NA,FPR,Best3DeadliftKg,112.5
18-19,Zakarya El Ouarghi,M,SBD,Raw,17.5,14-18,Sub-Juniors,82.85,83,440,2,297.34,294.02,282.85,60.96,Yes,NA,NA,FFForce,Best3SquatKg,165
18-19,Zakarya El Ouarghi,M,SBD,Raw,17.5,14-18,Sub-Juniors,82.85,83,440,2,297.34,294.02,282.85,60.96,Yes,NA,NA,FFForce,Best3BenchKg,80
18-19,Zakarya El Ouarghi,M,SBD,Raw,17.5,14-18,Sub-Juniors,82.85,83,440,2,297.34,294.02,282.85,60.96,Yes,NA,NA,FFForce,Best3DeadliftKg,195
18-19,Anthony Aoienong,M,SBD,Raw,18,NA,Teen 18-19,75,75,390,1,279.79,277.9,268.52,56.86,Yes,NA,NA,NORCAL,Best3SquatKg,112.5
18-19,Anthony Aoienong,M,SBD,Raw,18,NA,Teen 18-19,75,75,390,1,279.79,277.9,268.52,56.86,Yes,NA,NA,NORCAL,Best3BenchKg,92.5
18-19,Anthony Aoienong,M,SBD,Raw,18,NA,Teen 18-19,75,75,390,1,279.79,277.9,268.52,56.86,Yes,NA,NA,NORCAL,Best3DeadliftKg,185
18-19,Patryk Kutza,M,SBD,Single-ply,17.5,14-18,Juniorzy do lat 18,65.4,66,530,1,418.1,419.31,407.62,71.46,Yes,Poland,NA,PZKFiTS,Best3SquatKg,200
18-19,Patryk Kutza,M,SBD,Single-ply,17.5,14-18,Juniorzy do lat 18,65.4,66,530,1,418.1,419.31,407.62,71.46,Yes,Poland,NA,PZKFiTS,Best3BenchKg,127.5
18-19,Patryk Kutza,M,SBD,Single-ply,17.5,14-18,Juniorzy do lat 18,65.4,66,530,1,418.1,419.31,407.62,71.46,Yes,Poland,NA,PZKFiTS,Best3DeadliftKg,202.5
18-19,Colin Rosh,M,SBD,Raw,19,19-23,Juniors 18-19,80.9,82.5,512.5,2,351.09,347.45,334.61,71.87,Yes,USA,PA,USPA,Best3SquatKg,170
18-19,Colin Rosh,M,SBD,Raw,19,19-23,Juniors 18-19,80.9,82.5,512.5,2,351.09,347.45,334.61,71.87,Yes,USA,PA,USPA,Best3BenchKg,115
18-19,Colin Rosh,M,SBD,Raw,19,19-23,Juniors 18-19,80.9,82.5,512.5,2,351.09,347.45,334.61,71.87,Yes,USA,PA,USPA,Best3DeadliftKg,227.5
18-19,Charlton Morgridge,M,SBD,Raw,17.5,14-18,Sub-Junior,72.8,74,480,1,351.1,349.35,337.98,71.07,Yes,NA,NA,APU,Best3SquatKg,175
18-19,Charlton Morgridge,M,SBD,Raw,17.5,14-18,Sub-Junior,72.8,74,480,1,351.1,349.35,337.98,71.07,Yes,NA,NA,APU,Best3BenchKg,105
18-19,Charlton Morgridge,M,SBD,Raw,17.5,14-18,Sub-Junior,72.8,74,480,1,351.1,349.35,337.98,71.07,Yes,NA,NA,APU,Best3DeadliftKg,200
18-19,Brian Bauch,M,SBD,Raw,17.5,14-18,MR-V,50.4,53,317.5,3,313.38,322.07,317.74,57.18,Yes,USA,WI,USAPL,Best3SquatKg,115
18-19,Brian Bauch,M,SBD,Raw,17.5,14-18,MR-V,50.4,53,317.5,3,313.38,322.07,317.74,57.18,Yes,USA,WI,USAPL,Best3BenchKg,62.5
18-19,Brian Bauch,M,SBD,Raw,17.5,14-18,MR-V,50.4,53,317.5,3,313.38,322.07,317.74,57.18,Yes,USA,WI,USAPL,Best3DeadliftKg,140
18-19,Dylan Fischer,M,SBD,Raw,18.5,19-23,MR-V,100.75,110,505,1,309.84,306.43,292.64,63.57,Yes,USA,MN,USAPL,Best3SquatKg,182.5
18-19,Dylan Fischer,M,SBD,Raw,18.5,19-23,MR-V,100.75,110,505,1,309.84,306.43,292.64,63.57,Yes,USA,MN,USAPL,Best3BenchKg,107.5
18-19,Dylan Fischer,M,SBD,Raw,18.5,19-23,MR-V,100.75,110,505,1,309.84,306.43,292.64,63.57,Yes,USA,MN,USAPL,Best3DeadliftKg,215
18-19,Vladimir Brazhnikov,M,SBD,Single-ply,18.5,19-23,Open,51.75,52,330,3,317.52,325.46,320.61,53.46,Yes,Russia,NA,FPR,Best3SquatKg,120
18-19,Vladimir Brazhnikov,M,SBD,Single-ply,18.5,19-23,Open,51.75,52,330,3,317.52,325.46,320.61,53.46,Yes,Russia,NA,FPR,Best3BenchKg,65
18-19,Vladimir Brazhnikov,M,SBD,Single-ply,18.5,19-23,Open,51.75,52,330,3,317.52,325.46,320.61,53.46,Yes,Russia,NA,FPR,Best3DeadliftKg,145
18-19,Marceau Gillio,M,SBD,Raw,18.5,19-23,Juniors,89.5,93,465,7,301.52,297.7,285.39,61.99,Yes,NA,NA,FFForce,Best3SquatKg,162.5
18-19,Marceau Gillio,M,SBD,Raw,18.5,19-23,Juniors,89.5,93,465,7,301.52,297.7,285.39,61.99,Yes,NA,NA,FFForce,Best3BenchKg,92.5
18-19,Marceau Gillio,M,SBD,Raw,18.5,19-23,Juniors,89.5,93,465,7,301.52,297.7,285.39,61.99,Yes,NA,NA,FFForce,Best3DeadliftKg,210
18-19,Damir Sharipov,M,SBD,Raw,17.5,14-18,Sub-Juniors,93,93,370,6,235.41,232.43,222.46,48.4,Yes,NA,NA,FPR,Best3SquatKg,130
18-19,Damir Sharipov,M,SBD,Raw,17.5,14-18,Sub-Juniors,93,93,370,6,235.41,232.43,222.46,48.4,Yes,NA,NA,FPR,Best3BenchKg,90
