AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
13-15,Matthew Stanley,M,SBD,Raw,14.5,14-18,MR-T1,64.95,67.5,367.5,1,291.42,292.42,284.37,57.78,Yes,USA,NC,USAPL,Best3BenchKg,92.5
13-15,Matthew Stanley,M,SBD,Raw,14.5,14-18,MR-T1,64.95,67.5,367.5,1,291.42,292.42,284.37,57.78,Yes,USA,NC,USAPL,Best3DeadliftKg,147.5
13-15,R. Kozhevnikov,M,SBD,Single-ply,12.5,NA,Teen,35.4,36,245,1,311.42,327.18,324.47,57.45,Yes,NA,NA,KPF,Best3SquatKg,80
13-15,R. Kozhevnikov,M,SBD,Single-ply,12.5,NA,Teen,35.4,36,245,1,311.42,327.18,324.47,57.45,Yes,NA,NA,KPF,Best3BenchKg,75
13-15,R. Kozhevnikov,M,SBD,Single-ply,12.5,NA,Teen,35.4,36,245,1,311.42,327.18,324.47,57.45,Yes,NA,NA,KPF,Best3DeadliftKg,90
13-15,Ashton Hester,M,SBD,Raw,13.5,14-18,MR-Y,39.46,40,133.8,1,170.07,178.68,177.2,27.48,Yes,USA,LA,USAPL,Best3SquatKg,34
13-15,Ashton Hester,M,SBD,Raw,13.5,14-18,MR-Y,39.46,40,133.8,1,170.07,178.68,177.2,27.48,Yes,USA,LA,USAPL,Best3BenchKg,29.5
13-15,Ashton Hester,M,SBD,Raw,13.5,14-18,MR-Y,39.46,40,133.8,1,170.07,178.68,177.2,27.48,Yes,USA,LA,USAPL,Best3DeadliftKg,70.3
13-15,Darian Skaj,M,SBD,Raw,14.5,14-18,MR-HS,53.4,56,257.5,31,240.58,245.83,241.71,44.95,Yes,USA,WI,USAPL,Best3SquatKg,92.5
13-15,Darian Skaj,M,SBD,Raw,14.5,14-18,MR-HS,53.4,56,257.5,31,240.58,245.83,241.71,44.95,Yes,USA,WI,USAPL,Best3BenchKg,52.5
13-15,Darian Skaj,M,SBD,Raw,14.5,14-18,MR-HS,53.4,56,257.5,31,240.58,245.83,241.71,44.95,Yes,USA,WI,USAPL,Best3DeadliftKg,112.5
13-15,Anatoliy Martyshev,M,SBD,Raw,14.5,14-18,Sub-Juniors,65.4,66,257.5,4,203.14,203.72,198.04,40.33,Yes,NA,NA,FPR,Best3SquatKg,95
13-15,Anatoliy Martyshev,M,SBD,Raw,14.5,14-18,Sub-Juniors,65.4,66,257.5,4,203.14,203.72,198.04,40.33,Yes,NA,NA,FPR,Best3BenchKg,62.5
13-15,Anatoliy Martyshev,M,SBD,Raw,14.5,14-18,Sub-Juniors,65.4,66,257.5,4,203.14,203.72,198.04,40.33,Yes,NA,NA,FPR,Best3DeadliftKg,100
13-15,Evgeniy Anishchenko,M,SBD,Raw,12.5,NA,Sub-Juniors,31.5,32,127.5,3,162.07,170.27,168.86,NA,Yes,NA,NA,FPR,Best3SquatKg,37.5
13-15,Evgeniy Anishchenko,M,SBD,Raw,12.5,NA,Sub-Juniors,31.5,32,127.5,3,162.07,170.27,168.86,NA,Yes,NA,NA,FPR,Best3BenchKg,25
13-15,Evgeniy Anishchenko,M,SBD,Raw,12.5,NA,Sub-Juniors,31.5,32,127.5,3,162.07,170.27,168.86,NA,Yes,NA,NA,FPR,Best3DeadliftKg,65
13-15,Ori Nemni,M,SBD,Raw,14,14-18,T1,70.3,75,435,10,325.79,324.92,314.83,65.59,Yes,Israel,NA,ILPF,Best3SquatKg,160
13-15,Ori Nemni,M,SBD,Raw,14,14-18,T1,70.3,75,435,10,325.79,324.92,314.83,65.59,Yes,Israel,NA,ILPF,Best3BenchKg,90
13-15,Ori Nemni,M,SBD,Raw,14,14-18,T1,70.3,75,435,10,325.79,324.92,314.83,65.59,Yes,Israel,NA,ILPF,Best3DeadliftKg,185
13-15,Ethan Clark #4,M,SBD,Raw,14.5,14-18,MR-T1,74,75,407.5,3,294.89,293.12,283.39,59.83,Yes,USA,TX,USAPL,Best3SquatKg,160
13-15,Ethan Clark #4,M,SBD,Raw,14.5,14-18,MR-T1,74,75,407.5,3,294.89,293.12,283.39,59.83,Yes,USA,TX,USAPL,Best3BenchKg,102.5
13-15,Ethan Clark #4,M,SBD,Raw,14.5,14-18,MR-T1,74,75,407.5,3,294.89,293.12,283.39,59.83,Yes,USA,TX,USAPL,Best3DeadliftKg,145
13-15,Abdulrahman Juma Aljunabi,M,SBD,Raw,15,14-18,Juniors,79.3,83,227.5,5,157.69,156.18,150.55,32.23,Yes,UAE,NA,UAEPL,Best3SquatKg,70
