Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
360,Kendall Marshall,23,MIL,PG,28,3,14.9,1.6,3.6,.455,0.6,1.6,.391,1.0,2.0,.509,.545,0.3,0.3,.889,0.1,0.9,1.0,3.1,0.8,0.0,1.3,0.9,4.2,,marshke01
361,Josh McRoberts,27,MIA,PF,17,4,17.4,1.6,3.1,.528,0.5,1.1,.421,1.2,2.0,.588,.604,0.5,0.8,.615,0.4,2.2,2.6,1.9,0.7,0.2,1.3,2.4,4.2,,mcrobjo01
362,Kostas Papanikolaou,24,HOU,SF,43,1,18.5,1.6,4.6,.350,0.7,2.5,.292,0.9,2.1,.418,.429,0.3,0.4,.722,0.9,1.8,2.7,2.0,0.7,0.3,1.3,1.7,4.2,,papanko01
363,Pablo Prigioni,37,2TM,PG,67,3,17.9,1.4,3.4,.399,0.9,2.5,.343,0.5,0.9,.548,.524,0.5,0.6,.854,0.4,1.3,1.8,2.6,1.2,0.0,0.9,1.3,4.1,,prigipa01
363,Pablo Prigioni,37,NYK,PG,43,3,18.5,1.6,3.7,.422,1.0,2.7,.374,0.6,1.1,.543,.556,0.5,0.6,.846,0.4,1.4,1.9,2.4,1.2,0.0,1.1,1.2,4.7,,prigipa01
363,Pablo Prigioni,37,HOU,PG,24,0,16.8,1.0,2.8,.343,0.6,2.1,.275,0.4,0.7,.563,.448,0.5,0.6,.867,0.5,1.1,1.6,2.8,1.1,0.0,0.6,1.5,3.0,,prigipa01
364,Luke Babbitt,25,NOP,SF,63,19,13.2,1.5,3.0,.479,0.9,1.8,.513,0.5,1.2,.429,.633,0.2,0.3,.684,0.2,1.6,1.8,0.4,0.3,0.2,0.4,1.0,4.1,,babbilu01
365,Nick Collison,34,OKC,PF,66,2,16.7,1.6,3.8,.419,0.2,0.9,.267,1.4,2.9,.466,.451,0.7,1.0,.692,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1,,collini01
366,James Michael McAdoo,22,GSW,PF,15,0,9.1,1.6,2.9,.545,0.0,0.0,,1.6,2.9,.545,.545,0.9,1.7,.560,1.0,1.5,2.5,0.1,0.3,0.6,0.4,1.4,4.1,,mcadoja01
367,Miles Plumlee,26,2TM,C,73,28,16.4,1.9,3.5,.535,0.0,0.0,,1.9,3.5,.535,.535,0.3,0.6,.478,1.5,2.8,4.4,0.5,0.6,0.9,0.7,1.5,4.0,,plumlmi01
367,Miles Plumlee,26,PHO,C,54,28,18.6,2.0,3.6,.549,0.0,0.0,,2.0,3.6,.549,.549,0.4,0.7,.500,1.8,3.3,5.1,0.5,0.6,1.0,0.8,1.8,4.3,,plumlmi01
367,Miles Plumlee,26,MIL,C,19,0,9.9,1.5,3.1,.492,0.0,0.0,,1.5,3.1,.492,.492,0.2,0.4,.375,0.9,1.5,2.4,0.4,0.3,0.6,0.3,0.6,3.2,,plumlmi01
368,Shannon Brown,29,MIA,SG,5,2,17.8,1.4,3.8,.368,0.6,1.4,.429,0.8,2.4,.333,.447,0.6,0.8,.750,0.0,0.2,0.2,0.6,0.8,0.0,0.8,1.6,4.0,,brownsh01
369,Samuel Dalembert,33,NYK,C,32,21,17.0,1.8,4.1,.438,0.0,0.0,,1.8,4.1,.438,.438,0.4,0.6,.700,1.7,3.6,5.3,0.9,0.4,1.3,1.2,2.2,4.0,,dalemsa01
370,Glen Davis,29,LAC,PF,74,0,12.2,1.6,3.4,.459,0.0,0.1,.000,1.6,3.4,.466,.459,0.8,1.3,.632,0.6,1.7,2.3,0.5,0.6,0.3,0.5,1.8,4.0,,davisgl01
371,Luke Ridnour,33,ORL,PG,47,0,14.5,1.6,3.7,.426,0.4,1.3,.317,1.2,2.4,.487,.483,0.4,0.4,.857,0.2,1.3,1.4,2.0,0.4,0.1,0.8,1.4,4.0,,ridnolu01
372,Joffrey Lauvergne,23,DEN,C,24,1,11.2,1.5,3.7,.404,0.1,0.7,.188,1.4,3.0,.452,.421,0.8,1.2,.643,1.1,2.1,3.2,0.5,0.3,0.4,0.9,1.8,3.9,,lauvejo01
373,Garrett Temple,28,WAS,SG,52,18,14.1,1.3,3.3,.400,0.6,1.7,.375,0.7,1.6,.427,.497,0.7,0.9,.729,0.5,1.3,1.7,1.1,0.8,0.2,0.7,1.5,3.9,,templga01
374,Travis Wear,24,NYK,SF,51,1,13.2,1.6,4.1,.402,0.2,0.6,.367,1.4,3.5,.408,.428,0.4,0.5,.769,0.6,1.5,2.1,0.8,0.3,0.2,0.7,1.1,3.9,,weartr01
375,Austin Daye,26,2TM,SF,34,4,10.1,1.5,4.1,.355,0.7,2.1,.338,0.8,2.1,.371,.440,0.1,0.2,.833,0.3,1.9,2.2,0.5,0.4,0.1,0.7,1.1,3.8,,dayeau01
375,Austin Daye,26,SAS,SF,26,4,10.3,1.5,4.4,.348,0.7,2.2,.333,0.8,2.2,.362,.430,0.2,0.2,1.000,0.2,2.1,2.3,0.3,0.3,0.1,0.7,1.2,4.0,,dayeau01
375,Austin Daye,26,ATL,SF,8,0,9.5,1.3,3.3,.385,0.6,1.8,.357,0.6,1.5,.417,.481,0.1,0.3,.500,0.5,1.3,1.8,1.0,0.5,0.3,0.6,1.1,3.3,,dayeau01
376,Larry Drew II,24,PHI,PG,12,1,18.3,1.7,4.8,.345,0.3,2.2,.154,1.3,2.7,.500,.379,0.2,0.3,.667,0.1,1.2,1.3,3.8,0.5,0.0,2.1,1.1,3.8,,drewla02
377,Troy Daniels,23,3TM,SG,47,0,8.4,1.3,3.5,.370,0.9,2.5,.364,0.4,1.0,.383,.500,0.2,0.3,.846,0.2,0.5,0.7,0.5,0.1,0.0,0.4,0.9,3.7,,danietr01
377,Troy Daniels,23,HOU,SG,17,0,6.4,0.9,2.8,.319,0.8,2.5,.302,0.1,0.2,.500,.457,0.2,0.2,.750,0.0,0.4,0.4,0.2,0.0,0.0,0.3,0.8,2.7,,danietr01
377,Troy Daniels,23,MIN,SG,19,0,8.1,1.0,3.1,.322,0.7,2.1,.333,0.3,1.1,.300,.432,0.1,0.1,1.000,0.3,0.7,1.0,0.7,0.2,0.0,0.4,0.7,2.8,,danietr01
377,Troy Daniels,23,CHO,SG,11,0,12.3,2.5,5.4,.458,1.5,3.3,.472,0.9,2.1,.435,.602,0.5,0.6,.857,0.2,0.5,0.7,0.5,0.3,0.1,0.6,1.1,7.0,,danietr01
378,Tyler Ennis,20,2TM,PG,33,1,12.5,1.6,4.4,.361,0.4,1.3,.279,1.2,3.1,.396,.403,0.2,0.2,.714,0.2,0.8,1.1,2.2,0.5,0.2,1.3,1.1,3.7,,ennisty01
378,Tyler Ennis,20,PHO,PG,8,0,7.3,1.1,2.6,.429,0.3,0.8,.333,0.9,1.9,.467,.476,0.3,0.3,1.000,0.1,0.8,0.9,1.8,0.0,0.3,1.0,0.4,2.8,,ennisty01
378,Tyler Ennis,20,MIL,PG,25,1,14.1,1.7,4.9,.350,0.4,1.5,.270,1.3,3.4,.384,.390,0.1,0.2,.600,0.2,0.9,1.1,2.4,0.7,0.1,1.4,1.3,4.0,,ennisty01
379,Matt Bonner,34,SAS,PF,72,19,13.0,1.3,3.2,.409,0.6,1.8,.365,0.7,1.4,.462,.509,0.4,0.5,.811,0.4,1.2,1.6,0.7,0.1,0.2,0.2,0.9,3.7,,bonnema01
380,Dewayne Dedmon,25,ORL,C,59,15,14.3,1.5,2.7,.562,0.0,0.0,.000,1.5,2.7,.565,.562,0.6,1.1,.531,2.0,3.0,5.0,0.2,0.3,0.8,0.9,2.4,3.7,,dedmode01
381,Reggie Evans,34,SAC,PF,47,7,16.3,1.2,2.9,.423,0.0,0.0,.000,1.2,2.9,.430,.423,1.3,2.1,.619,2.1,4.3,6.4,0.7,0.5,0.1,1.0,1.9,3.7,,evansre01
382,Raymond Felton,30,DAL,PG,29,3,9.7,1.5,3.7,.406,0.3,1.2,.294,1.1,2.5,.458,.453,0.4,0.5,.800,0.1,0.8,0.9,1.4,0.4,0.1,0.6,0.6,3.7,,feltora01
383,Cory Jefferson,24,BRK,PF,50,1,10.6,1.5,3.3,.449,0.0,0.3,.133,1.5,3.0,.480,.455,0.6,1.1,.574,0.9,2.0,2.9,0.3,0.2,0.4,0.4,1.2,3.7,,jeffeco01
384,Hedo Türkoğlu,35,LAC,SF,62,2,11.4,1.3,3.0,.441,1.0,2.2,.432,0.4,0.8,.469,.601,0.1,0.2,.545,0.1,1.5,1.6,0.6,0.3,0.1,0.5,1.1,3.7,,turkohe01
385,Kendrick Perkins,30,2TM,C,68,3,16.9,1.5,3.3,.449,0.0,0.0,.000,1.5,3.3,.451,.449,0.6,1.2,.506,1.3,3.4,4.7,0.8,0.2,0.6,1.4,2.4,3.6,,perkike01
385,Kendrick Perkins,30,OKC,C,51,3,19.2,1.6,3.6,.441,0.0,0.0,.000,1.6,3.6,.443,.441,0.7,1.5,.507,1.6,3.9,5.5,0.8,0.3,0.7,1.5,2.6,4.0,,perkike01
385,Kendrick Perkins,30,CLE,C,17,0,9.8,1.2,2.4,.488,0.0,0.0,,1.2,2.4,.488,.488,0.2,0.5,.500,0.6,1.8,2.4,0.5,0.1,0.2,1.2,1.6,2.6,,perkike01
386,Jimmer Fredette,25,NOP,PG,50,0,10.2,1.3,3.3,.380,0.2,1.0,.188,1.1,2.4,.458,.407,0.9,0.9,.956,0.2,0.6,0.8,1.2,0.3,0.0,0.7,0.9,3.6,,fredeji01
387,Tyler Hansbrough,29,TOR,PF,74,8,14.3,1.2,2.2,.521,0.0,0.1,.143,1.1,2.1,.538,.524,1.3,1.9,.698,1.4,2.1,3.6,0.3,0.4,0.2,0.3,1.9,3.6,,hansbty01
388,Lester Hudson,30,LAC,SG,5,0,11.2,1.2,2.8,.429,0.6,1.2,.500,0.6,1.6,.375,.536,0.6,0.8,.750,0.2,1.4,1.6,1.0,1.2,0.2,0.6,0.8,3.6,,hudsole01
389,Jeff Adrien,28,MIN,PF,17,0,12.6,1.1,2.6,.432,0.0,0.0,,1.1,2.6,.432,.432,1.3,2.2,.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5,,adrieje01
390,Joel Freeland,27,POR,C,48,8,12.9,1.5,3.1,.490,0.0,0.0,,1.5,3.1,.490,.490,0.4,0.5,.840,1.3,2.7,4.0,0.3,0.2,0.5,0.5,1.9,3.5,,freeljo01
391,Maurice Harkless,21,ORL,SF,45,4,15.0,1.4,3.5,.399,0.2,1.2,.179,1.2,2.3,.520,.430,0.5,0.9,.537,0.8,1.5,2.4,0.6,0.7,0.2,0.6,1.5,3.5,,harklma01
392,Phil Pressey,23,BOS,PG,50,0,12.0,1.3,3.5,.368,0.3,1.3,.246,1.0,2.2,.440,.414,0.7,1.0,.673,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,3.5,,pressph01
393,Erick Green,23,DEN,PG,43,1,9.5,1.4,3.8,.377,0.3,1.1,.298,1.1,2.7,.409,.420,0.2,0.3,.833,0.2,0.6,0.7,0.9,0.3,0.0,0.3,0.6,3.4,,greener01
394,Gary Harris,20,DEN,SG,55,6,13.1,1.2,3.9,.304,0.4,1.9,.204,0.8,2.1,.395,.353,0.6,0.9,.745,0.4,0.8,1.2,0.5,0.7,0.1,0.7,1.3,3.4,,harriga01
395,Andre Roberson,23,OKC,SG,67,65,19.2,1.4,3.0,.458,0.3,1.3,.247,1.1,1.7,.612,.510,0.3,0.7,.479,0.9,2.9,3.8,1.0,0.8,0.4,0.7,2.1,3.4,,roberan03
396,James Young,19,BOS,SG,31,0,10.7,1.2,3.3,.353,0.5,2.1,.258,0.6,1.2,.528,.436,0.5,0.9,.552,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,3.4,,youngja01
397,Allen Crabbe,22,POR,SG,51,9,13.4,1.2,3.0,.412,0.6,1.7,.353,0.6,1.3,.485,.510,0.2,0.3,.750,0.1,1.3,1.4,0.8,0.4,0.3,0.3,1.5,3.3,,crabbal01
398,Jason Maxiell,31,CHO,PF,61,0,14.4,1.3,3.1,.422,0.0,0.0,,1.3,3.1,.422,.422,0.7,1.2,.577,1.4,1.9,3.3,0.3,0.3,0.7,0.5,1.6,3.3,,maxieja01
