"School","Points","Goal Differential","Goals Scored","Goals Conceded","Wins","Losses","Ties","Record (W-L-T)","Games","PPG","Goal Differential Per Game","Win Percentage"
"Elmira",20,-14,16,30,6,9,2,"6-9-2",17,1.17647058823529,-0.823529411764706,0.352941176470588
"Bates",19,-5,16,21,5,6,4,"5-6-4",15,1.26666666666667,-0.333333333333333,0.333333333333333
"Greensboro",19,-8,15,23,5,9,4,"5-9-4",18,1.05555555555556,-0.444444444444444,0.277777777777778
"Redlands",19,-9,21,30,6,9,1,"6-9-1",16,1.1875,-0.5625,0.375
"Alfred State",19,-15,15,30,6,9,1,"6-9-1",16,1.1875,-0.9375,0.375
"Delaware Valley",19,-34,26,60,6,12,1,"6-12-1",19,1,-1.78947368421053,0.315789473684211
"Huntingdon",18,2,24,22,5,7,3,"5-7-3",15,1.2,0.133333333333333,0.333333333333333
"SUNY-Old Westbury",18,2,39,37,6,9,0,"6-9-0",15,1.2,0.133333333333333,0.4
"Washington and Jefferson",18,-2,16,18,4,6,6,"4-6-6",16,1.125,-0.125,0.25
"Chapman",18,-4,19,23,4,7,6,"4-7-6",17,1.05882352941176,-0.235294117647059,0.235294117647059
"Plymouth State",18,-6,21,27,5,8,3,"5-8-3",16,1.125,-0.375,0.3125
"Bethel",18,-7,20,27,5,8,3,"5-8-3",16,1.125,-0.4375,0.3125
"Mount St. Mary",18,-8,45,53,5,11,3,"5-11-3",19,0.947368421052632,-0.421052631578947,0.263157894736842
"Linfield",18,-11,20,31,4,8,6,"4-8-6",18,1,-0.611111111111111,0.222222222222222
"Rutgers-Camden",18,-12,19,31,4,8,6,"4-8-6",18,1,-0.666666666666667,0.222222222222222
"St. Thomas (Texas)",18,-13,22,35,5,10,3,"5-10-3",18,1,-0.722222222222222,0.277777777777778
"Brockport State",18,-17,12,29,5,9,3,"5-9-3",17,1.05882352941176,-1,0.294117647058824
"Earlham",18,-19,16,35,5,7,3,"5-7-3",15,1.2,-1.26666666666667,0.333333333333333
"Millikin",18,-21,16,37,5,7,3,"5-7-3",15,1.2,-1.4,0.333333333333333
"University of Dallas",18,-22,15,37,5,10,3,"5-10-3",18,1,-1.22222222222222,0.277777777777778
