name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
AJ Johnson,WAS,SG,"6'4.25""",76.25,"6'8.5""",80.5,4.25,29,639,12,0.577,0.423,0.385,0.472,0.267,0.865,0.441,0.48,12.4,3.3,0.7,0.2,123,0,-2.5
Aaron Gordon,DEN,PF,"6'7.5""",79.5,"6'11.75""",83.75,4.25,51,1447,11.8,0.654,0.346,0.531,0.582,0.436,0.81,0.607,0.65,18.6,6.1,0.6,0.3,120,0.7,-1.5
Aaron Holiday,HOU,PG,"5'11.75""",71.75,"6'7.5""",79.5,7.75,62,792,20.8,0.325,0.675,0.437,0.517,0.398,0.829,0.571,0.594,15.5,3.5,0.9,0.5,114,0.8,0.1
Aaron Nesmith,IND,SF,"6'5""",77,"6'10""",82,5,45,1123,15.7,0.485,0.515,0.507,0.587,0.431,0.913,0.617,0.653,17.3,5.7,1.1,0.5,116,1,-0.5
Aaron Wiggins,OKC,SG,"6'4.5""",76.5,"6'9.75""",81.75,5.25,76,1744,14.2,0.534,0.466,0.488,0.578,0.383,0.831,0.577,0.596,18.9,6.1,1.2,0.4,110,2.7,-0.2
Adem Bona,PHI,C,"6'8.25""",80.25,"7'3.75""",87.75,7.5,58,905,2.3,0.995,0.005,0.703,0.707,0,0.67,0.703,0.714,13.4,9.7,1,2.7,115,0.9,0.2
Ajay Mitchell,OKC,SG,"6'3.25""",75.25,"6'6.25""",78.25,3,36,597,12.2,0.674,0.326,0.495,0.548,0.383,0.829,0.557,0.587,14.1,4.1,1.5,0.2,111,0.9,0.9
Al Horford,BOS,C,"6'8""",80,"7'0.75""",84.75,4.75,60,1659,19,0.319,0.681,0.423,0.551,0.363,0.895,0.547,0.563,11.7,8,0.8,1.1,111,2.4,1.1
Alec Burks,MIA,SG,"6'5""",77,"6'10""",82,5,49,863,20.8,0.236,0.764,0.424,0.422,0.425,0.776,0.587,0.608,14.9,5.2,1.2,0.3,114,0.9,0.3
Alex Caruso,OKC,PG,"6'4""",76,"6'6""",78,2,54,1041,15.2,0.459,0.541,0.446,0.556,0.353,0.824,0.541,0.568,13.2,5.5,3,1,104,2.3,3.9
Alex Sarr,WAS,PF,"6'11.75""",83.75,"7'4.25""",88.25,4.5,67,1814,14.4,0.588,0.412,0.394,0.454,0.308,0.679,0.457,0.482,17.2,8.6,0.9,2,117,1.3,-1
Alperen Şengün,HOU,C,"6'10""",82,"7'0.5""",84.5,2.5,76,2395,7.5,0.921,0.079,0.496,0.519,0.233,0.692,0.505,0.545,21.8,11.8,1.3,0.9,108,4.2,1.8
Amen Thompson,HOU,SF,"6'5.75""",77.75,"7'0""",84,6.25,69,2225,7.8,0.869,0.131,0.557,0.599,0.275,0.684,0.575,0.602,15.7,9.1,1.6,1.4,108,3.9,2.6
Amir Coffey,LAC,SF,"6'6.75""",78.75,"6'7.25""",79.25,0.5,72,1748,16.2,0.516,0.484,0.471,0.529,0.409,0.891,0.57,0.614,14.3,3.3,0.8,0.1,115,1.7,-0.2
Andre Drummond,PHI,C,"6'9.75""",81.75,"7'6.25""",90.25,8.5,40,751,5.4,0.915,0.085,0.5,0.533,0.15,0.622,0.506,0.535,14,14.9,1.9,0.9,112,1,-0.8
Andre Jackson Jr.,MIL,SF,"6'5.5""",77.5,"6'9.75""",81.75,4.25,67,980,12.2,0.614,0.386,0.477,0.529,0.395,0.5,0.553,0.554,8.4,6.7,1.2,0.5,114,1,0.2
Andrew Nembhard,IND,PG,"6'3""",75,"6'5.75""",77.75,2.75,65,1881,14.9,0.675,0.325,0.458,0.538,0.291,0.794,0.506,0.545,12.5,4.1,1.5,0.2,116,1.7,0.3
Andrew Wiggins,MIA,SF,"6'7""",79,"7'0""",84,5,60,1842,14.5,0.585,0.415,0.448,0.501,0.374,0.763,0.526,0.566,21.1,5.3,1.2,1,113,2.1,-0.3
Anfernee Simons,POR,PG,"6'2.25""",74.25,"6'9.25""",81.25,7,70,2292,17.9,0.473,0.527,0.426,0.496,0.363,0.902,0.521,0.557,21.2,3,0.9,0.1,119,1.2,-1.5
Anthony Black,ORL,PG,"6'5.75""",77.75,"6'7.5""",79.5,1.75,78,1887,12,0.685,0.315,0.423,0.471,0.318,0.761,0.473,0.521,14,4.4,1.6,0.9,110,3,1.2
Anthony Davis,DAL,C,"6'9.25""",81.25,"7'5.5""",89.5,8.25,51,1706,10.8,0.864,0.136,0.516,0.553,0.282,0.775,0.536,0.588,26.6,12.5,1.2,2.3,108,3,1.5
Anthony Edwards,MIN,SG,"6'3""",75,"6'9""",81,6,79,2871,16.9,0.497,0.503,0.447,0.501,0.395,0.837,0.547,0.595,27.3,5.6,1.1,0.6,112,3.8,0
Ausar Thompson,DET,SF,"6'5.75""",77.75,"7'0""",84,6.25,59,1328,6,0.893,0.107,0.535,0.572,0.224,0.641,0.547,0.568,16.1,8.2,2.7,1.1,108,2.4,2.5
Austin Reaves,LAL,SG,"6'4.5""",76.5,"6'6.25""",78.25,1.75,73,2550,17.1,0.488,0.512,0.46,0.547,0.377,0.877,0.556,0.616,20.8,4.6,1.1,0.3,117,2.1,-0.5
Ayo Dosunmu,CHI,SG,"6'3.5""",75.5,"6'10.25""",82.25,6.75,46,1394,12.4,0.579,0.421,0.492,0.612,0.328,0.785,0.561,0.585,14.6,4.2,1.1,0.5,118,1,-0.2
Bam Adebayo,MIA,C,"6'8.75""",80.75,"7'2.75""",86.75,6,78,2674,11.4,0.801,0.199,0.485,0.517,0.357,0.765,0.521,0.561,19,10.1,1.3,0.7,110,4,1
Ben Sheppard,IND,SG,"6'5.25""",77.25,"6'7.75""",79.75,2.5,63,1228,18.3,0.307,0.693,0.418,0.591,0.342,0.889,0.537,0.555,9.7,5.2,1.1,0.4,116,1,0.2
Bennedict Mathurin,IND,SF,"6'4.5""",76.5,"6'9""",81,4.5,72,2149,13.2,0.662,0.338,0.458,0.519,0.34,0.831,0.516,0.579,19.4,6.4,0.8,0.4,116,1.8,-1.5
Bilal Coulibaly,WAS,SF,"6'6""",78,"7'2.5""",86.5,9,59,1948,13.3,0.641,0.359,0.421,0.5,0.281,0.746,0.472,0.515,13.4,5.4,1.4,0.8,120,0.9,-0.7
Blake Wesley,SAS,PG,"6'3""",75,"6'9.25""",81.25,6.25,58,683,10.8,0.688,0.312,0.435,0.5,0.293,0.623,0.481,0.51,11.4,3.2,2,0.3,118,0.4,-0.3
Bobby Portis,MIL,PF,"6'9.5""",81.5,"7'2""",86,4.5,49,1244,14.1,0.701,0.299,0.466,0.508,0.365,0.836,0.52,0.542,19.7,11.9,1,0.8,110,1.9,-0.4
Bogdan Bogdanović,LAC,SG,"6'5.5""",77.5,"6'11""",83,5.5,54,1348,18.7,0.413,0.587,0.427,0.517,0.363,0.879,0.534,0.559,15.6,4.2,1.1,0.3,116,1.2,-0.2
Bol Bol,PHX,C,"7'0.75""",84.75,"7'7""",91,6.25,36,448,17.3,0.492,0.508,0.525,0.711,0.344,0.769,0.612,0.627,19.6,8.4,0.7,2,117,0.3,-0.9
Bradley Beal,PHX,SG,"6'3.25""",75.25,"6'8""",80,4.75,53,1702,15.2,0.62,0.38,0.497,0.565,0.386,0.803,0.571,0.598,19.1,3.7,1.2,0.6,121,0.6,-1
Brandin Podziemski,GSW,SG,"6'3.75""",75.75,"6'5.5""",77.5,1.75,64,1716,17.2,0.509,0.491,0.445,0.516,0.372,0.758,0.537,0.557,15.7,6.8,1.4,0.3,112,2.3,0.8
Brandon Boston Jr.,NOP,SG,"6'5.75""",77.75,"6'10.75""",82.75,5,42,993,14.9,0.633,0.367,0.436,0.485,0.35,0.788,0.5,0.535,16.2,4.9,1.9,0.3,120,0.5,-0.2
Brandon Clarke,MEM,PF,"6'7.25""",79.25,"6'8.25""",80.25,1,64,1207,5.7,0.955,0.045,0.621,0.647,0.059,0.701,0.622,0.638,15.9,9.7,1.6,1.1,112,1.7,0.8
Brandon Ingram,TOR,SF,"6'7""",79,"7'3""",87,8,18,595,16,0.655,0.345,0.465,0.514,0.374,0.855,0.53,0.56,24.2,6.1,1,0.7,121,0.2,-1.7
Brandon Miller,CHA,SF,"6'9""",81,"6'11.5""",83.5,3,27,924,19,0.403,0.597,0.403,0.475,0.355,0.861,0.509,0.54,22.1,5.1,1.1,0.8,117,0.7,-0.8
Brice Sensabaugh,UTA,SF,"6'6""",78,"6'11""",83,5,71,1432,18.7,0.379,0.621,0.459,0.52,0.422,0.89,0.59,0.612,19.4,5.3,1.2,0.2,122,0.3,-1.6
Brook Lopez,MIL,C,"6'11.25""",83.25,"7'5.5""",89.5,6.25,80,2546,16,0.518,0.482,0.509,0.636,0.373,0.826,0.599,0.624,14.7,5.7,0.7,2.1,114,2.9,0.4
Bruce Brown,NOP,SG,"6'3.25""",75.25,"6'9""",81,5.75,41,922,11.1,0.738,0.262,0.421,0.452,0.333,0.815,0.464,0.504,13.3,6.4,1.3,0.4,118,0.6,-0.6
Bub Carrington,WAS,SG,"6'3.75""",75.75,"6'8""",80,4.25,82,2458,19.1,0.456,0.544,0.401,0.475,0.339,0.812,0.493,0.514,11.8,5,0.8,0.3,121,0.6,-1.3
Buddy Hield,GSW,SG,"6'3.75""",75.75,"6'9.25""",81.25,5.5,82,1863,20,0.302,0.698,0.417,0.527,0.37,0.828,0.546,0.56,17.6,5.1,1.3,0.4,113,2.2,-0.3
CJ McCollum,NOP,SG,"6'2.25""",74.25,"6'6.25""",78.25,4,56,1832,16.1,0.541,0.459,0.444,0.505,0.373,0.717,0.53,0.55,23.2,4.2,0.9,0.5,123,0.2,-2.6
Cade Cunningham,DET,SG,"6'6""",78,"7'0.25""",84.25,6.25,70,2452,12.6,0.713,0.287,0.469,0.515,0.356,0.846,0.521,0.565,26.9,6.2,1,0.8,113,2.9,0.1
Caleb Houstan,ORL,SG,"6'7.5""",79.5,"6'11""",83,3.5,58,788,22.4,0.158,0.842,0.421,0.533,0.4,0.882,0.589,0.605,10.9,3.4,1,0.3,114,0.9,0.2
Caleb Martin,DAL,SF,"6'4""",76,"6'10.25""",82.25,6.25,45,1218,13.2,0.661,0.339,0.424,0.458,0.359,0.622,0.485,0.513,10.5,5.2,1.4,0.7,119,0.7,-0.2
Cam Reddish,LAL,SF,"6'6.5""",78.5,"7'0.5""",84.5,6,33,589,14.7,0.5,0.5,0.404,0.532,0.277,0.615,0.473,0.498,6.4,4,2,0.6,114,0.6,1.6
Cam Thomas,BKN,SG,"6'3""",75,"6'6.5""",78.5,3.5,25,781,16.3,0.57,0.43,0.438,0.506,0.349,0.881,0.513,0.575,27.6,3.8,0.7,0.1,120,0.4,-2.6
Cam Whitmore,HOU,SF,"6'5.75""",77.75,"6'8.5""",80.5,2.75,51,827,14.9,0.546,0.454,0.444,0.518,0.355,0.75,0.525,0.549,20.8,6.6,1.3,0.6,111,1.2,-0.4
Cameron Johnson,BKN,PF,"6'7""",79,"6'10""",82,3,57,1800,17.2,0.454,0.546,0.475,0.578,0.39,0.893,0.582,0.632,21.4,4.9,1.1,0.5,117,1.3,-0.4
Cameron Payne,NYK,PG,"6'0.75""",72.75,"6'7.25""",79.25,6.5,72,1090,17.8,0.426,0.574,0.401,0.453,0.363,0.907,0.506,0.532,16.5,3.4,1.3,0.5,116,1,-0.2
Caris LeVert,ATL,SF,"6'5.75""",77.75,"6'10""",82,4.25,64,1596,14.3,0.526,0.474,0.467,0.552,0.373,0.71,0.556,0.582,17.5,4.6,1.3,0.7,115,1.6,0.1
Cason Wallace,OKC,PG,"6'2.5""",74.5,"6'8.5""",80.5,6,68,1876,13.2,0.575,0.425,0.474,0.562,0.356,0.811,0.55,0.562,10.9,4.4,2.3,0.7,108,3.4,2.6
Chet Holmgren,OKC,C,"7'0""",84,"7'6""",90,6,32,877,12.4,0.66,0.34,0.49,0.547,0.379,0.754,0.554,0.599,19.7,10.5,0.9,2.9,103,2,1.9
Chris Boucher,TOR,C,"6'8""",80,"7'4""",88,8,50,862,14.9,0.478,0.522,0.492,0.633,0.363,0.782,0.586,0.615,21,9.4,1,1,114,1,-0.6
Chris Paul,SAS,PG,"6'1""",73,"6'4""",76,3,82,2292,21.2,0.364,0.636,0.427,0.514,0.377,0.924,0.547,0.58,11.4,4.6,1.6,0.3,118,1.6,0.5
Christian Braun,DEN,SF,"6'5.5""",77.5,"6'6.5""",78.5,1,79,2675,9.9,0.727,0.273,0.58,0.648,0.397,0.827,0.634,0.665,16.4,5.5,1.1,0.5,118,1.9,-0.5
Clint Capela,ATL,C,"6'10""",82,"7'4.5""",88.5,6.5,55,1176,3,0.997,0.003,0.559,0.56,0,0.536,0.559,0.564,14.9,14.4,1,1.6,113,1.5,-0.4
Coby White,CHI,PG,"6'3.5""",75.5,"6'5""",77,1.5,74,2450,16.6,0.479,0.521,0.453,0.544,0.37,0.902,0.55,0.601,22.2,4,1,0.2,118,1.5,-1.4
Cody Martin,PHX,SF,"6'4.75""",76.75,"6'10.25""",82.25,5.5,53,1173,15.3,0.535,0.465,0.418,0.534,0.285,0.705,0.485,0.509,11,6.9,1.7,1,115,1.2,1.1
Cody Williams,UTA,SF,"6'6.5""",78.5,"7'1""",85,6.5,50,1060,16.3,0.475,0.525,0.323,0.393,0.259,0.725,0.391,0.419,7.8,3.8,0.8,0.5,123,0.1,-1.2
Colby Jones,WAS,SG,"6'4.5""",76.5,"6'8""",80,3.5,39,515,14.6,0.62,0.38,0.457,0.538,0.327,0.657,0.519,0.544,11,6.1,1.8,0.9,116,0.4,0.4
Cole Anthony,ORL,PG,"6'2""",74,"6'4.5""",76.5,2.5,67,1234,15.6,0.599,0.401,0.424,0.471,0.353,0.823,0.494,0.531,18.4,6,1.3,0.9,110,2,0.9
Collin Sexton,UTA,PG,"6'0.5""",72.5,"6'7.25""",79.25,6.75,63,1758,13.1,0.687,0.313,0.48,0.513,0.406,0.865,0.543,0.593,23.7,3.5,1,0.1,124,-0.1,-2.3
Corey Kispert,WAS,SF,"6'6""",78,"6'7""",79,1,61,1602,17.5,0.416,0.584,0.451,0.574,0.364,0.852,0.558,0.584,15.8,4.1,0.6,0.3,123,0.1,-2.2
Cory Joseph,ORL,PG,"6'2""",74,"6'5.5""",77.5,3.5,50,612,20.4,0.305,0.695,0.403,0.489,0.364,0.778,0.529,0.547,10.4,4.4,1.5,0.2,111,0.9,1.4
Craig Porter Jr.,CLE,PG,"6'1""",73,"6'4""",76,3,51,513,12.3,0.657,0.343,0.514,0.554,0.438,0.719,0.589,0.61,13.2,4.7,1.2,1.1,113,0.6,1
D'Angelo Russell,BKN,PG,"6'3.25""",75.25,"6'9.75""",81.75,6.5,58,1480,18.4,0.436,0.564,0.39,0.489,0.314,0.834,0.479,0.522,17.8,3.9,1.4,0.6,116,1.3,-0.4
Dalano Banton,POR,SG,"6'9""",81,"6'10.25""",82.25,1.25,67,1120,14.4,0.562,0.438,0.391,0.442,0.324,0.728,0.462,0.497,18,4.3,1.4,1.1,115,1.1,-0.2
Dalen Terry,CHI,SG,"6'6""",78,"7'0.75""",84.75,6.75,73,987,11.7,0.612,0.388,0.448,0.506,0.356,0.71,0.517,0.546,11.9,4.5,1.6,0.5,116,0.8,0.2
Dalton Knecht,LAL,SF,"6'5.25""",77.25,"6'9""",81,3.75,78,1494,18.1,0.39,0.61,0.461,0.594,0.376,0.762,0.576,0.594,17,5.2,0.6,0.2,118,1,-1.7
Damian Lillard,MIL,PG,"6'1.75""",73.75,"6'7.75""",79.75,6,58,2093,18.5,0.472,0.528,0.448,0.528,0.376,0.921,0.547,0.621,24.9,4.7,1.2,0.2,115,2,-0.6
Darius Garland,CLE,PG,"6'1""",73,"6'5""",77,4,75,2301,16.3,0.549,0.451,0.472,0.53,0.401,0.878,0.562,0.6,24.2,3.3,1.4,0.2,115,2.3,-0.8
Davion Mitchell,MIA,PG,"6'0""",72,"6'4.25""",76.25,4.25,74,2027,14.2,0.557,0.443,0.468,0.525,0.398,0.69,0.557,0.573,10.4,3,1.3,0.3,117,1.6,0.2
Day'Ron Sharpe,BKN,C,"6'9""",81,"7'0""",84,3,50,907,6.6,0.858,0.142,0.521,0.566,0.244,0.757,0.538,0.568,15.8,13.1,1.6,1.7,111,1.4,0.9
De'Aaron Fox,SAS,PG,"6'2""",74,"6'6.5""",78.5,4.5,62,2241,14.4,0.672,0.328,0.463,0.538,0.31,0.827,0.514,0.56,23.4,4.8,1.5,0.4,117,1.7,-1
De'Andre Hunter,CLE,SF,"6'7""",79,"7'2""",86,7,64,1740,16.5,0.491,0.509,0.47,0.537,0.405,0.846,0.573,0.623,22.5,5.3,1,0.3,117,1.4,-0.8
DeMar DeRozan,SAC,SF,"6'5.5""",77.5,"6'9""",81,3.5,77,2768,15.3,0.804,0.196,0.477,0.513,0.328,0.857,0.509,0.569,22.2,3.9,0.8,0.4,119,1.4,-1.2
Dean Wade,CLE,PF,"6'9""",81,"6'10""",82,1,59,1252,21,0.181,0.819,0.413,0.653,0.36,0.533,0.561,0.563,9.2,7.2,1.2,0.6,112,1.7,1.2
Deandre Ayton,POR,C,"6'11""",83,"7'6""",90,7,40,1206,8.4,0.932,0.068,0.566,0.594,0.188,0.667,0.573,0.583,17.2,12.1,0.9,1.2,112,1.6,-0.4
Dejounte Murray,NOP,PG,"6'4""",76,"6'10""",82,6,31,1012,14.8,0.648,0.352,0.393,0.444,0.299,0.823,0.445,0.494,19.3,7.1,2.2,0.4,116,0.9,-0.3
Delon Wright,NYK,PG,"6'4.25""",76.25,"6'7.5""",79.5,3.25,40,635,15.6,0.443,0.557,0.344,0.431,0.274,0.6,0.42,0.44,7.1,3.7,2,0.7,114,0.7,1.4
Deni Avdija,POR,SF,"6'8.75""",80.75,"6'8.5""",80.5,-0.25,72,2161,12.9,0.595,0.405,0.476,0.552,0.365,0.78,0.55,0.605,20.3,8.7,1.2,0.6,113,2.5,0.6
Dennis Schröder,DET,PG,"6'1""",73,"6'7.75""",79.75,6.75,75,2105,16.7,0.551,0.449,0.406,0.458,0.342,0.838,0.483,0.531,16.8,3.4,1.1,0.2,117,1.7,-0.9
Derrick Jones Jr.,LAC,PF,"6'6""",78,"7'0""",84,6,77,1873,11.4,0.628,0.372,0.526,0.627,0.356,0.703,0.593,0.609,15,5.1,1.5,0.6,112,2.6,0.7
Derrick White,BOS,SG,"6'3.25""",75.25,"6'7.5""",79.5,4.25,76,2574,20.7,0.279,0.721,0.442,0.593,0.384,0.839,0.58,0.606,17.5,4.8,1,1.1,112,3.4,0.8
Desmond Bane,MEM,SG,"6'5""",77,"6'4.25""",76.25,-0.75,69,2205,14.7,0.589,0.411,0.484,0.548,0.392,0.894,0.565,0.6,21.7,6.8,1.3,0.5,113,2.6,0.6
Devin Booker,PHX,SG,"6'4.5""",76.5,"6'8.25""",80.25,3.75,75,2795,16.2,0.612,0.388,0.461,0.542,0.332,0.894,0.525,0.589,24.8,3.9,0.9,0.2,123,0.3,-2.4
Devin Vassell,SAS,SG,"6'5""",77,"6'10""",82,5,64,1983,17.2,0.517,0.483,0.443,0.513,0.368,0.792,0.532,0.553,18.9,4.6,1.5,0.6,118,1.3,-0.8
Dillon Brooks,HOU,SF,"6'5""",77,"6'6""",78,1,75,2388,17.3,0.476,0.524,0.429,0.465,0.397,0.818,0.533,0.555,15.9,4.1,0.9,0.2,114,2.5,0
Dillon Jones,OKC,SF,"6'4.5""",76.5,"6'11""",83,6.5,54,551,14.4,0.526,0.474,0.383,0.5,0.254,0.607,0.444,0.464,8.8,7.9,1,0.3,109,0.9,0.3
Domantas Sabonis,SAC,C,"6'10""",82,"6'11""",83,1,70,2429,8.1,0.825,0.175,0.59,0.627,0.417,0.754,0.627,0.655,19.8,14.4,0.7,0.4,114,2.7,1.1
Donovan Clingan,POR,C,"7'1.75""",85.75,"7'6.75""",90.75,5,67,1324,5.8,0.853,0.147,0.539,0.582,0.286,0.596,0.56,0.574,11.9,14.3,0.9,3,109,2.2,1.4
Donovan Mitchell,CLE,SG,"6'1.25""",73.25,"6'10""",82,8.75,71,2232,17,0.52,0.48,0.443,0.512,0.368,0.823,0.531,0.575,27.4,5.2,1.5,0.3,113,2.8,-0.2
Donte DiVincenzo,MIN,SG,"6'3.5""",75.5,"6'6""",78,2.5,62,1606,20.5,0.261,0.739,0.422,0.49,0.397,0.778,0.568,0.582,16.2,5.1,1.6,0.4,111,2.2,1.1
Dorian Finney-Smith,LAL,SF,"6'6.5""",78.5,"6'11.75""",83.75,5.25,63,1818,18.8,0.278,0.722,0.448,0.545,0.411,0.667,0.597,0.604,10.9,4.9,1.1,0.5,117,1.4,0.1
Draymond Green,GSW,PF,"6'5.75""",77.75,"7'1.25""",85.25,7.5,68,1983,14.9,0.517,0.483,0.424,0.517,0.325,0.687,0.503,0.534,11.1,7.5,1.8,1.3,109,3.4,2.8
Drew Eubanks,LAC,C,"6'9""",81,"6'11""",83,2,61,746,4.7,0.969,0.031,0.593,0.596,0.5,0.662,0.601,0.622,13.5,10.9,0.6,1.9,115,0.7,0.6
Duop Reath,POR,C,"6'9""",81,"7'1""",85,4,46,469,17.5,0.361,0.639,0.422,0.6,0.321,0.909,0.524,0.552,14.9,7.1,0.9,1.1,116,0.4,-0.5
Dwight Powell,DAL,C,"6'9.5""",81.5,"7'0.5""",84.5,3,55,551,3.9,0.918,0.082,0.689,0.714,0.4,0.651,0.705,0.713,7.4,7.7,1.2,1.4,115,0.5,1.5
Dyson Daniels,ATL,SG,"6'6""",78,"6'10.5""",82.5,4.5,76,2571,10.4,0.745,0.255,0.493,0.545,0.34,0.593,0.536,0.545,15,6.3,3.2,0.8,111,3.7,2.6
Eric Gordon,PHI,SG,"6'2""",74,"6'9""",81,7,39,768,19.9,0.328,0.672,0.426,0.463,0.409,0.75,0.564,0.591,12.5,2.2,1.2,0.6,122,0.2,-0.8
Evan Mobley,CLE,PF,"6'11""",83,"7'4""",88,5,71,2167,9.4,0.746,0.254,0.557,0.621,0.37,0.725,0.604,0.633,21.9,10.9,1,1.9,108,3.8,1.5
Franz Wagner,ORL,SF,"6'9""",81,"6'11.5""",83.5,2.5,60,2023,12.5,0.697,0.303,0.463,0.535,0.295,0.871,0.507,0.558,25.8,6.1,1.3,0.4,110,3.1,0.5
Fred VanVleet,HOU,PG,"6'0""",72,"6'2""",74,2,60,2111,20.2,0.393,0.607,0.378,0.43,0.345,0.81,0.483,0.515,14.4,3.8,1.6,0.4,112,2.8,1.3
GG Jackson II,MEM,PF,"6'8.25""",80.25,"6'11.5""",83.5,3.25,29,459,14.6,0.523,0.477,0.372,0.404,0.337,0.725,0.452,0.482,16.4,7.2,0.9,0.4,115,0.4,-2
Gary Harris,ORL,SG,"6'2.5""",74.5,"6'6.75""",78.75,4.25,48,711,20.7,0.241,0.759,0.383,0.469,0.356,0.583,0.519,0.524,7.3,3.2,1.3,0.6,112,0.9,1.2
Gary Payton II,GSW,SG,"6'2""",74,"6'8""",80,6,62,927,10.1,0.681,0.319,0.574,0.69,0.326,0.711,0.626,0.635,15.5,7.2,2,0.7,110,1.5,2
Gary Trent Jr.,MIL,SG,"6'4.25""",76.25,"6'8.75""",80.75,4.5,74,1893,20.4,0.341,0.659,0.431,0.46,0.416,0.848,0.568,0.591,15.7,3.2,1.4,0.1,116,1.7,-0.4
Georges Niang,ATL,PF,"6'6.75""",78.75,"6'10""",82,3.25,79,1697,18.1,0.34,0.66,0.461,0.569,0.406,0.793,0.595,0.607,16.6,5.8,0.6,0.3,117,1.4,-1.2
Giannis Antetokounmpo,MIL,PF,"6'11""",83,"7'3""",87,4,67,2289,7,0.952,0.048,0.601,0.62,0.222,0.617,0.607,0.625,32,12.6,0.9,1.2,109,3.7,2.5
Goga Bitadze,ORL,C,"6'10.5""",82.5,"7'2""",86,3.5,70,1430,4.9,0.917,0.083,0.611,0.656,0.107,0.639,0.615,0.631,12.6,11.7,1.2,2.5,105,3,2.8
Gradey Dick,TOR,SG,"6'6.25""",78.25,"6'8.75""",80.75,2.5,54,1587,16.3,0.496,0.504,0.41,0.47,0.35,0.858,0.498,0.543,17.6,4.4,1.1,0.2,117,1.2,-1.3
Grant Williams,CHA,PF,"6'5.75""",77.75,"6'9.75""",81.75,4,16,479,17.9,0.398,0.602,0.439,0.551,0.365,0.838,0.549,0.596,12.5,6.2,1.4,1,116,0.4,0.7
Grayson Allen,PHX,SG,"6'3""",75,"6'7.25""",79.25,4.25,64,1544,20,0.284,0.716,0.448,0.504,0.426,0.816,0.6,0.631,15.9,4.5,1.3,0.4,120,0.6,-1
Guerschon Yabusele,PHI,PF,"6'7.5""",79.5,"7'1""",85,5.5,70,1895,14.4,0.513,0.487,0.501,0.616,0.38,0.725,0.593,0.616,14.6,7.5,1.1,0.5,119,1,-1.1
Harrison Barnes,SAS,PF,"6'7""",79,"6'11.25""",83.25,4.25,82,2230,14.8,0.473,0.527,0.508,0.591,0.433,0.809,0.622,0.656,16.3,5,0.6,0.2,122,0.5,-1.7
Haywood Highsmith,MIA,SF,"6'5""",77,"6'11.5""",83.5,7,74,1818,16.4,0.404,0.596,0.458,0.57,0.382,0.721,0.572,0.583,9.5,5,1.3,0.7,114,2.1,0.9
Herbert Jones,NOP,SF,"6'6""",78,"7'0.25""",84.25,6.25,20,648,13.5,0.581,0.419,0.436,0.53,0.306,0.825,0.5,0.541,11.4,4.3,2.1,0.5,119,0.3,0.2
Immanuel Quickley,TOR,PG,"6'2""",74,"6'8.25""",80.25,6.25,33,918,17.3,0.486,0.514,0.42,0.465,0.378,0.867,0.517,0.57,22.1,4.6,0.9,0.2,117,0.6,-1
Isaac Okoro,CLE,SF,"6'5""",77,"6'8.5""",80.5,3.5,55,1053,14.8,0.434,0.566,0.464,0.586,0.371,0.717,0.569,0.587,11.5,4.4,1.1,0.5,115,1,0.6
Isaiah Collier,UTA,PG,"6'2.5""",74.5,"6'4.75""",76.75,2.25,71,1839,12,0.695,0.305,0.422,0.497,0.249,0.682,0.459,0.494,12,4.6,1.3,0.3,121,0.5,-1.5
Isaiah Hartenstein,OKC,C,"6'11.5""",83.5,"7'2.25""",86.25,2.75,57,1590,6.7,0.96,0.04,0.581,0.605,0,0.675,0.581,0.599,14.4,13.8,1.1,1.4,104,3.6,2.6
Isaiah Joe,OKC,SG,"6'3""",75,"6'7.5""",79.5,4.5,74,1604,22.3,0.207,0.793,0.44,0.549,0.412,0.821,0.604,0.617,17,4.4,1.1,0.2,112,2.2,-0.1
Isaiah Stewart,DET,C,"6'7.25""",79.25,"7'4.75""",88.75,9.5,72,1434,7.2,0.832,0.168,0.559,0.607,0.321,0.759,0.586,0.616,10.9,10,0.7,2.5,110,2.2,2.1
Ja Morant,MEM,PG,"6'2.5""",74.5,"6'6""",78,3.5,50,1519,12.7,0.679,0.321,0.454,0.523,0.309,0.824,0.504,0.563,27.5,4.9,1.4,0.3,115,1.5,-0.7
Ja'Kobe Walter,TOR,PG,"6'4.25""",76.25,"6'10""",82,5.75,52,1103,15,0.527,0.473,0.405,0.454,0.349,0.795,0.487,0.523,14.7,5.2,1.4,0.3,116,0.9,-0.6
Jabari Smith Jr.,HOU,PF,"6'10.5""",82.5,"7'1""",85,2.5,57,1716,16.2,0.511,0.489,0.438,0.519,0.354,0.825,0.525,0.562,14.6,8.4,0.5,0.9,112,2.2,0.1
Jabari Walker,POR,PF,"6'6.75""",78.75,"6'10.75""",82.75,4,60,749,10.1,0.686,0.314,0.515,0.573,0.389,0.69,0.576,0.601,15,10.1,1.6,0.3,112,1,0.5
