name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
Myles Turner,IND,C,"6'9.75""",81.75,"7'4""",88,6.25,72,2174,16.2,0.514,0.486,0.481,0.561,0.396,0.773,0.577,0.612,18.5,7.8,0.9,2.4,112,2.9,0.4
Naji Marshall,DAL,SF,"6'5.75""",77.75,"7'0.75""",84.75,7,69,1919,12,0.694,0.306,0.508,0.611,0.275,0.813,0.551,0.584,17.1,6.2,1.3,0.2,117,1.5,-0.5
Naz Reid,MIN,C,"6'8.75""",80.75,"7'3.25""",87.25,6.5,80,2200,15.4,0.499,0.501,0.462,0.544,0.379,0.776,0.556,0.577,18.6,7.9,0.9,1.2,110,3.3,0.8
Neemias Queta,BOS,C,"6'10.75""",82.75,"7'4.25""",88.25,5.5,62,863,3.6,0.985,0.015,0.65,0.66,0,0.754,0.65,0.674,12.9,9.8,0.8,1.8,110,1.4,1
Nic Claxton,BKN,C,"6'10""",82,"7'2.5""",86.5,4.5,70,1882,5.3,0.963,0.037,0.563,0.576,0.238,0.513,0.568,0.569,13.8,9.9,1.2,1.9,112,2.5,1.5
Nick Richards,PHX,C,"6'10.5""",82.5,"7'2.25""",86.25,3.75,57,1256,4,0.994,0.006,0.591,0.594,0,0.744,0.591,0.634,15.2,13.4,0.4,1.6,115,1.2,-1.3
Nick Smith Jr.,CHA,SG,"6'5""",77,"6'8""",80,3,60,1369,18.5,0.461,0.539,0.391,0.45,0.34,0.935,0.482,0.502,15.5,3.4,0.4,0.2,121,0.3,-2.6
Nickeil Alexander-Walker,MIN,SG,"6'4.25""",76.25,"6'9.5""",81.5,5.25,82,2073,17.5,0.399,0.601,0.438,0.524,0.381,0.78,0.553,0.579,13.4,4.6,0.9,0.6,114,2.3,0.4
Nicolas Batum,LAC,SF,"6'8.25""",80.25,"7'1""",85,4.75,78,1367,22.1,0.147,0.853,0.437,0.457,0.433,0.81,0.622,0.633,8.2,5.7,1.4,0.9,111,2,2
Nikola Jokić,DEN,C,"6'11.5""",83.5,"7'3""",87,3.5,70,2571,11.5,0.757,0.243,0.576,0.627,0.417,0.8,0.627,0.663,29,12.5,1.8,0.6,111,3.8,3.3
