Name,Sex,Age,BodyweightKg,BenchKg,SquatKg,DeadliftKg
Alicia Saleh,F,25,63,82.5,140,147.5
Shelby Nutt,F,25,99.6,82.5,137.5,137.5
Mara Meaux,F,25,52.1,32.5,52.5,75
Samantha Verdugo,F,25,72.6,72.5,140,147.5
Sandra Torres #1,F,25,51.2,60,120,145
Tyana Coatney,F,25,74.91,107.5,172.5,195
Becca Nunns,F,25,61.3,80,127.5,150
Anne Peralta,F,25,51.8,45,97.5,112.5
Alice Lee,F,25,67.25,72.5,170,172.5
Kelsey Horton,F,25,62.8,62.5,132.5,155
Amber Drew,F,25,62.2,92.5,150,167.5
Jennifer Cooke,F,25,59.5,50,92.5,127.5
Lydia Riggs,F,25,71,55,92.5,107.5
Keara Wilson,F,25,74.75,110,185,182.5
Maria Toledo,F,25,69.6,85,157.5,155
Kaycee Galitz,F,25,113.2,82.5,170,167.5
Amanda Torres #1,F,25,83.93,72.5,152.5,170
Jennifer Huang,F,25,55.8,47.5,92.5,105
Alicia Saleh,F,25,62.9,75,132.5,150
Veronica Pasha,F,25,68.95,65,115,142.5
Andrea Lung,F,25,64.95,40,87.5,107.5
Meghan Hogan,F,25,68.7,80,125,145
Shamira Tso,F,25,59.63,42.5,97.5,135
Erin Barrientos,F,25,99.2,82.5,142.5,152.5
Maria Rojas Chacon,F,25,67.19,95,177.5,187.5
Haley Echelmeier,F,25,68.05,72.5,137.5,185
Madeline Scavuzzo,F,25,55.6,55,90,137.5
Kimberlyn Magee,F,25,62.82,50,112.5,120
Mindy Chen,F,25,51.8,75,122.5,145
Sarah Houhoulis,F,25,63.3,82.5,130,140
Jasmine Venable,F,25,81.15,87.5,182.5,195
Nora Santiago,F,25,79.09,62.5,130,130
Margaret Deleon,F,25,61.7,55,122.5,157.5
Lauren Toth,F,25,68.7,52.5,102.5,120
Heather Connor,F,25,46.4,70.5,130.5,168.5
Brianna Lanoye,F,25,51.8,70,132.5,147.5
Katherine Snethen,F,25,56.5,52.5,127.5,140
Reyna Rochin,F,25,61.7,82.5,140,152.5
Jenny Tu,F,25,62,77.5,147.5,147.5
Chelsea Savit,F,25,71.9,118,172.5,197.5
Cassandra Garcilaso,F,25,71.6,80,150,185
Min Chen,F,25,56.4,52.5,102.5,107.5
Lisa Quevedo,F,25,137.2,130,165,210
Pia Joy Agra,F,25,46.8,45,95,137.5
Cayla Penn,F,25,62.37,40.8,81.7,104.3
Alexandria Gerry,F,25,61.58,67.5,117.5,135
Jennifer Thacker,F,25,70.4,72.5,137.5,175
Kopper Carter,F,25,115.9,120,190,207.5
Kristen Ruiz,F,25,65.7,62.5,115,150
Haley Echelmeier,F,25,67.9,72.5,130,185
Miranda Harrison,F,25,64.7,60,90,132.5
Elizabeth Dang,F,25,66.3,75,137.5,127.5
Nina Gerber,F,25,70,57.5,120,115
Regina Varesio,F,25,92.8,80,142.5,165
Alexandria Gerry,F,25,62.4,70,115,122.5
Kopper Carter,F,25,118.8,110,187.5,202.5
Heather Melton,F,25,59.3,65,117.5,142.5
Chelsea Delois,F,25,69.8,72.5,125,135
Amanda Bethany Santa Maria,F,25,53.75,47.5,87.5,147.5
Clytie Robinson,F,25,62.58,45,97.5,130
Tessa Willis,F,25,64.5,60,137.5,182.5
Tessa Willis,F,25,64.5,60,137.5,182.5
Christina Nosari,F,25,62.3,55,97.5,135
Tatiana Apelu,F,25,96.7,100,182.5,180
Allison Schuh,F,25,61.8,67.5,130,145
Amanda Martin #1,F,25,135.7,127.5,260,230
Tram Vo,F,25,46.4,72.5,130,165
Melanie Merryman,F,25,69.7,67.5,105,132.5
Cindi Benitez,F,25,82.7,65,142.5,155
Rebecca Morris,F,25,83.3,67.5,125,145
Leah DeCesare,F,25,47.7,52.5,92.5,97.5
Angela Hurtado,F,25,49.35,32.5,57.5,75
Stephanie Ockner,F,25,70.77,92.5,127.5,170
Lydia Riggs,F,25,78.4,60,100,122.5
Adegbemisola Aregbe,F,25,61,87.5,167.5,182.5
Alexandra Lebron,F,25,67.7,50,122.5,137.5
Emily Steele,F,25,64.45,67.5,112.5,117.5
Emily Steele,F,25,64.45,67.5,112.5,117.5
Carleigh Andersen,F,25,69,67.5,85,125
Vanessa Gale,F,25,63.4,60,107.5,117.5
Alyssa Denny,F,25,68.3,62.5,130,150
Megan Broyles,F,25,54.5,52.5,117.5,142.5
Erin Violi,F,25,83.05,62.5,127.5,125
Shaina Vickery,F,25,68.8,102.5,157.5,172.5
Kimberly Overdorff,F,25,56.3,67.5,122.5,132.5
Chandler Babb,F,25,71.2,87.5,145,195
Madeline Scott,F,25,67.1,75,155,185
Vanessa Trujillo,F,25,76.3,70,145,167.5
Kristine Polizzano,F,25,55.1,72.5,117.5,125
Margaret Deleon,F,25,61.3,60,117.5,135
Shari Meth,F,25,61.7,52.5,97.5,115
Michelle Lok,F,25,51.6,45,92.5,130
Jessica Ward,F,25,68.94,77.5,155,165
Meghan Hogan,F,25,68.8,80,125,145
Nell Handel,F,25,67.8,52.5,80,120
Hiu Wong,F,25,55.1,45,107.5,122.5
Vanessa Trujillo,F,25,70.3,67.5,137.5,160
Veronika Sinelnikova,F,25,78,62.5,112.5,112.5
Shelby Nutt,F,25,109.2,72.5,120,120
Erica Wang,F,25,56.4,52.5,100,120
Kelsey Sparr,F,25,93.35,72.5,135,140
Emily Claffey,F,25,71.6,90,117.5,142.5
Shelby O'Brien,F,25,70.4,52.5,97.5,100
Elisa Zaiceva,F,25,56.1,47.5,97.5,145
Sara Egbom,F,25,59.2,65,120,155
Bonica Brown,F,25,128.4,140,242.5,227.5
Woo Smith,F,25,46.3,30,82.5,90
Marlene Pizarro,F,25,59,65,130,152.5
Cielona Boco,F,25,44.3,65,112.5,155
Nicole Bueno,F,25,59,55,97.5,120
Kathy Le,F,25,55.8,70,132.5,177.5
Sophia Veiras,F,25,62.2,70,137.5,147.5
Bobbie Bush,F,25,55.4,62.5,125,127.5
Noelle Blanchard,F,25,66.4,45,87.5,102.5
Maria Canela Basilio,F,25,94.45,72.5,175,172.5
Jennifer Combs,F,25,59.4,85,147.5,167.5
Olivia Crusoe,F,25,62,65,145,167.5
Ellen Liverpool,F,25,71.3,75,175,200
Jessica Ward,F,25,68.7,80,157.5,162.5
Lindsay Richman,F,25,76.7,67.5,150,162.5
Loraine Baraki,F,25,62.45,95,135,180
Hanna Potts,F,25,71.08,77.5,135,157.5
Marisa Testino,F,25,61.2,57.5,82.5,132.5
Alexandria Wong,F,25,55.55,62.5,90,127.5
Zoe Trombley,F,25,60.2,75,150,182.5
Leah DeCesare,F,25,45.6,55,95,105
Selina Förderer,F,25,57.3,55,92.5,115
Jana Loureiro-Bade,F,25,70.2,57.5,122.5,127.5
Amy Wyant,F,25,71,60,97.5,135
Amy Wyant,F,25,70.76,59.87,97.07,134.72
Stefanie Cohen,F,25,55.61,95,185,225
Claudia Canales,F,25,70.85,82.5,147.5,147.5
Nicole Otterman,F,25,64.5,97.52,142.88,149.69
Deanna Myers,F,25,58.88,49.9,92.99,120.2
Taylor Duffy,F,25,NA,55,92.5,120
Lilee Robinson,F,25,60.16,62.5,102.5,147.5
Kennia Webb,F,25,84.37,92.99,151.95,185.97
Winter Culp,F,25,89.18,74.84,131.54,163.29
Amy Wyant,F,25,63.6,55,92.5,115
Jessica Baranowski,F,25,71.49,54.88,100.7,125.19
Mariana Picozzi,F,25,51.35,49.9,81.65,127.01
Alicia Ducote,F,25,89.72,81.65,181.44,190.51
Moriah Nakada,F,25,75.93,97.5,150,170
Kayley Levy,F,25,62.14,54.43,117.93,138.35
Summer Haar,F,25,55.79,47.5,122.5,142.5
Jazz Youngblood,F,25,82.37,86.64,123.38,154.67
Nicole Gutierrez,F,25,76.84,86.18,140.61,158.76
Kaja Lamut,F,25,92.78,70,185,225
Meta Vražič,F,25,92.2,57.5,110,145
Tara Petra Klinc,F,25,62.77,52.5,105,132.5
Anja Rutar,F,25,65.52,52.5,120,162.5
Katja Babič,F,25,51.9,72.5,135,155
Aileen Bishop,F,25,88.1,70,150,170
Meana Albersworth,F,25,62,112.5,160,160
Caroline Acoca,F,25,51.4,70,115,145
Kristine Adams,F,25,78.7,87.5,172.5,182.5
Stephanie Earl,F,25,56.1,85,125,147.5
Danielle Philibert,F,25,81.7,100,190,192.5
Leah Mamane,F,25,60.3,82.5,125,145
Simone Lai,F,25,45.8,50,115,115
Mélina Servant,F,25,62.05,85,160,193
Kristine Adams,F,25,76.5,87.5,165,170
Monica Dip,F,25,51.4,75,132.5,162.5
Simone Lai,F,25,46.1,52.5,107.5,112.5
Gracia Djokouehi,F,25,72.1,55,145,187.5
Kristine Adams,F,25,72.8,87.5,167.5,172.5
Stephanie Earl,F,25,56.1,82.5,130,137.5
Breanne Cropley,F,25,55.6,67.5,110,142.5
Amy Welcome,F,25,68.7,65,122.5,165
Monica Dip,F,25,52.6,72.5,127.5,157.5
Carolyn Tran #1,F,25,55.99,55,125,140
Marina McCain,F,25,70.52,80,155,175
Emma Zilberman-Vegas,F,25,56,55,105,147.5
Christine Castro,F,25,66.4,90,175,200
Alyssa Smith #1,F,25,71.2,92.5,190.5,210
Alicia Carter #1,F,25,61.42,62.5,132.5,152.5
Mikaela Law,F,25,71.11,90,175,160
Aileen Bishop,F,25,97.5,77.5,180,185
Julia Montgomery,F,25,66.98,67.5,112.5,150
Shelby Trapid,F,25,50.15,50,102.5,120
Breanne Cropley,F,25,55.97,67.5,115,145
Elysee Wong,F,25,62.8,70,115,140
Amélie Picher-Plante,F,25,51.4,86,142.5,162.5
Shelby Trapid,F,25,49.7,45,95,112.5
Natalya Gribkova,F,25,41.9,35,65,80
Hazel Peckham,F,25,51.4,55,100,112.5
Samantha Gallis,F,25,67.5,50,80,100
Anna Chrystal,F,25,62.8,55,90,135
Rachel Docherty,F,25,57.4,57.5,90,125
Siobhan Marmion,F,25,62.2,55,77.5,110
Maddie Clancy,F,25,55.8,42.5,65,100
Sophie Walker,F,25,54.2,67.5,102.5,132.5
Laura O'Riordan,F,25,55.1,55,107.5,140
Amanda Gisby,F,25,58.3,65,125,165
Habee Folami,F,25,57.8,50,117.5,172.5
Karen Dalziel,F,25,58,70,100,150
Jessica Evans #1,F,25,62.1,60,95,145
Clare Patterson,F,25,69.3,85,120,155
Assumpta Feeney,F,25,63.2,65,122.5,170
Sylwia Majszyk,F,25,68,85,110,150
Meg Smith,F,25,68.9,60,107.5,155
Rachael Armstrong,F,25,74.3,72.5,125,180
Megan Batchelor,F,25,73,80,122.5,155
Bernadette Cuninghame,F,25,84.4,108,145,165
Olivia Rutherford,F,25,76.6,55,107.5,132.5
Jessica Evans #1,F,25,60.8,60,90,140
Beth Langridge,F,25,46.5,47.5,77.5,122.5
Rowen Pearce,F,25,43,37.5,72.5,97.5
Elizabeth Pipe,F,25,61.8,70,122.5,157.5
Vicky Wiglusz,F,25,85.8,80,122.5,170
Olivia Rutherford,F,25,77.2,55,120,157.5
Steph Ford,F,25,57.9,84,132.5,147.5
Katie Dent,F,25,58.5,62.5,102.5,137.5
Amber Hannant,F,25,62.5,90,142.5,157.5
Sarah Aveston,F,25,74.8,80,135,137.5
Rebecca Jones #3,F,25,62.1,75,147.5,162.5
Andreea Antuca,F,25,61.8,40,87.5,115
Katie Masters,F,25,102.1,42.5,90,117.5
Verdiana Mineo,F,25,60.76,65,110,120
Valentina Presenti,F,25,54.79,70,117.5,130
Gioia Gemma Palestra,F,25,69.05,75,137.5,175
Karmen Kaljula,F,25,67.45,80,127.5,157.5
Holly Harrison,F,25,79.9,57.5,105,120
Holly Harrison,F,25,82.4,60,105,135
Victoria Eades,F,25,71.6,62.5,130,145
Maria Paola D'Astice,F,25,58,65,115,120
Maria Paola D'Astice,F,25,58,65,115,120
Ilaria Palumbo,F,25,61.5,97.5,120,157.5
Laura Foughali,F,25,67.5,40,97.5,140
Vania Confalone,F,25,69,52.5,105,112.5
Véronique Fradette,F,25,55.29,60,102.5,145
Alysa Teves,F,25,54.8,52.5,122.5,140
Emma Zilberman-Vegas,F,25,55.2,60,107.5,145
Brittany Dewald,F,25,67.2,82.5,187.5,207.5
Sally St Amant,F,25,54.1,60,112.5,147.5
Ana Luisa Castillo,F,25,54.6,45,92.5,105
Hilary Maddox,F,25,66.2,55,97.5,105
Kascha Collins,F,25,83.8,72.5,105,145
Eileen Thoo,F,25,55.75,70,95,112.5
Siddy Aten,F,25,62.6,67.5,127.5,155
Jessica St Onge,F,25,80.6,60,107.5,127.5
Katie Coleman,F,25,66.3,75,110,137.5
Maureen Bornbaum,F,25,74,115,190,217.5
Felicity Backhouse,F,25,59.5,55,80,102.5
Bianca Cruz,F,25,65.4,57.5,112.5,127.5
Rachel Younker,F,25,55.5,57.5,97.5,142.5
Renée Stephenson,F,25,55.5,75,135,175
Eunice Lomibao,F,25,55.6,45,110,135
Sally St Amant,F,25,52.8,55,100,132.5
Lindsay Galliher,F,25,73.9,75,127.5,147.5
Amy Zheng,F,25,69.1,70,120,157.5
Kristine Chan,F,25,57.3,57.5,115,117.5
Stacey Jensen,F,25,65.7,87.5,132.5,165
Shannon Graszat,F,25,64.8,45,105,127.5
Alora Griffiths,F,25,57.7,90,185,195
Christina Richardson,F,25,126.1,80,147.5,180
Carli Brooks,F,25,57.7,45,90,97.5
Simone Olshansky,F,25,66.6,50,85,120
Abby Cross,F,25,87.7,65,110,137.5
Jade Reid,F,25,92,87.5,150,162.5
Brittany Yard,F,25,73,52.5,105,142.5
Blanka Bartoňková,F,25,56.95,57.5,125,145
Kanan Kasai,F,25,56.65,85,135,140
Yui Maeno,F,25,56.7,55,80,120
青木 千明,F,25,46.65,60,95,120
青木真由美,F,25,59,60,95,140
Magdalen Gomulkiewicz,F,25,59.55,62.5,120,127.5
Marta Zawadzka,F,25,64.65,97.5,160,165
Edyta Marciniszyn,F,25,66.2,72.5,140,140
Sonia Kasierot,F,25,66.4,37.5,67.5,105
Angelika Mroczek,F,25,68.85,50,87.5,110
Marcelina Łukasiewicz,F,25,79.4,57.5,132.5,170
Jiajia Li,F,25,66.3,57.5,110,150
郑思晴,F,25,47.8,27.5,60,80
李小莉,F,25,46.7,60,117.5,117.5
陈诗敏,F,25,69.4,37.5,80,100
Yuehan Hu,F,25,67.75,40,80,110
Dayana Sinobas Sanchez,F,25,56.8,62.5,120,130.5
Alejandra Aguilera Garcia,F,25,51.65,57.5,102.5,155
Carla Calderon Jimenez,F,25,78.6,50,100,120
Helena Gimeno Valero,F,25,54.85,90,97.5,146
Carla Calderon Jimenez,F,25,80.5,62.5,112.5,135
Alba Anguera Marine,F,25,55.35,55,100,115
Laura Lopez Lopez,F,25,55,42.5,90,120
Noura Alshammari,F,25,46.3,42.5,90,125
Nasrah Alsuleiman,F,25,52,62.5,110,145
Reem Abdulaziz Alharbi,F,25,55.6,52.5,125,145
Alyaa Albaheth,F,25,56,60,112.5,140
Razan Almousa,F,25,60.6,47.5,92.5,112.5
Arub Abdullah Albatil,F,25,60.2,55,102.5,142.5
Nahed Alallush,F,25,82.5,57.5,142.5,142.5
Sidney Cameron,F,25,96.7,60,142.5,150
Paige Sabrowsky,F,25,92.5,52.5,107.5,127.5
Emily Nesbitt,F,25,55.2,62.5,122.5,135
Carole-Anne Loiselle,F,25,65.7,67.5,105,137.5
Alexandra Hayes,F,25,69.3,52.5,97.5,120
Alexa Muller,F,25,68,125,170,187.5
Alissa Vicente,F,25,59.7,52.5,95,117.5
Kalli Youngstrom,F,25,59.5,70,112.5,137.5
Andrea Lewis,F,25,69.95,52.5,107.5,117.5
Lacey Mesley,F,25,74.6,100,162.5,185
Haley Randall,F,25,82.5,95,172.5,227.5
Emily Castro,F,25,106.9,65,140,165
Lindsay Cain,F,25,59.95,62.5,122.5,132.5
Naomie Bolduc Guay,F,25,66.45,67.5,150,180
Kelly Harden,F,25,73.5,62.5,130,150
Meghan Trebilco,F,25,71.4,87.5,127.5,150
Ashley-Anne Westlake,F,25,75,65,148,173
Cora Pavan,F,25,81.4,105,190,190
Sonita Muluh,F,25,97.6,90,175,210
Jolien Van Heurck,F,25,62.6,60,117.5,160
Gaby Muller,F,25,72.7,105,155,177.5
Laura Biesmans,F,25,77.6,70,87.5,110
Noe Kesinirat Saritkriang,F,25,56.4,70,120,142.5
Sonita Muluh,F,25,100.4,105,207.5,240
Saya De Monie,F,25,64.7,60,110,135
Sonita Muluh,F,25,108,120,235,250.5
Kristen Torres,F,25,80.1,62.5,170,163
Kathryn Chong Siew Li,F,25,50.85,57.5,112.5,150
Lee Sue Qing,F,25,60.2,45,100,152.5
Siti Nur Ayuni Johari,F,25,75.1,50,95,122.5
Kathryn Chong Siew Li,F,25,51.15,62.5,115,160
Kathryn Chong Siew Li,F,25,50.65,62.5,118,152.5
Seo Yan Hua,F,25,56.85,45,92.5,112.5
Carmen Kuan,F,25,70.95,45,92.5,112.5
Gina Berther,F,25,69.6,75,135,175
Tamara Stricker,F,25,80.2,77.5,100,105
Andrea Marx,F,25,71,85,125,172.5
Tamara Thoma,F,25,68.6,60,85,107.5
Grace Willis,F,25,62.4,55,92.5,115
Andrea Marx,F,25,68.8,72.5,115,157.5
Laurena E. Lubishtani,F,25,58,65,130,135
Jessica Butera,F,25,82.1,75,155,155
Farzana Syazwani Binte Amat Sanusi,F,25,62.2,40,75,100
Madhu Rajen,F,25,68.35,50,110,122.5
Tay Su Xia,F,25,54.95,60,110,150
Monisha Raja Jawahar,F,25,68.8,62.5,115,142.5
Nur Nadhirah Binte Mohamed Amran,F,25,113.65,87.5,165,177.5
Pearly Chan,F,25,59.3,42.5,72.5,85
Esther Ng,F,25,56.15,55,90,115
Zi Ting Leow,F,25,67.05,80,117.5,145
Olga Ostreyko,F,25,53.3,50,82.5,90
Ekaterina Rozhkova,F,25,71.1,40,62.5,72.5
Yuliya Natekina,F,25,59.9,45,92.5,100
Ekaterina Dityakina,F,25,58.6,50,80,105
Yuliya Natyokina,F,25,66.6,52.5,92.5,115
Anastasiya Chukhlantseva,F,25,74,60,117.5,125
Nadezhda Kiyashko,F,25,59.9,82.5,115,150
Anna Pardzhiani,F,25,77,130,222.5,230
Olga Shchetkova,F,25,65.1,62.5,100,117.5
Lyudmila Mesecha,F,25,46.85,45,57.5,82.5
Alena Ulbutova,F,25,51,45,80,92.5
Evgeniya Gureva,F,25,64.9,60,80,105
Valeriya Ushkova,F,25,56.4,50,95,125
Valeriya Chupina,F,25,70.3,52.5,100,132.5
Tatyana Nesterova,F,25,56,50,120,125
Anna Dyomina,F,25,87.5,100,175,190
Anastasiya Rybnikova,F,25,56.4,42.5,97.5,110
Elizaveta Syutkina,F,25,59.7,55,95,122.5
Mariya Protas,F,25,66.2,50,90,105
Viktoriya Sorokopud,F,25,51.7,40,60,80
Anna Bocharova,F,25,58.1,42.5,105,102.5
Viktoriya Sorokopud,F,25,52,45,75,80
Elizaveta Voloshchuk,F,25,61.8,60,105,112.5
Alisa Ivata,F,25,47.7,42.5,80,97.5
Yuliya Tovpeko,F,25,46.4,60,92.5,120
Anastasiya Kropotova,F,25,51.6,55,87.5,115
Marina Gromova,F,25,53.9,72.5,105,122.5
Olga Ostreyko,F,25,53.9,47.5,85,90
Alexandra Lutsch,F,25,74.8,72.5,120,170
Veronika Darmogray,F,25,79.4,77.5,147.5,145
Sabina Zulfugarova,F,25,50.9,50,90,95
Evgeniya Gureva,F,25,64.2,55,90,115
Anna Voytenko,F,25,46.6,57.5,95,105
Anastasiya Larionova,F,25,67.3,40,72.5,95
Ekaterina Chaban,F,25,59.9,55,90,127.5
Syuzanna Kunizheva,F,25,59,42.5,90,92.5
Galina Bocharova,F,25,59.6,60,80,147.5
Ekaterina Lyapina,F,25,54.8,40,75,115
Viktoriya Golub,F,25,55.5,60,115,135
Anna Krymchanskaya,F,25,56,38.56,61.23,120.2
Jillian Ramos,F,25,52,54.43,86.18,111.13
Chelsea Townsend,F,25,67.5,70.31,102.06,113.4
Anna Krymchanskaya,F,25,56,45.36,74.84,124.74
Kelsey Salin,F,25,NA,58.97,106.59,127.01
Francesca Tedesco,F,25,75.5,60,120,150
Anja Leichter,F,25,68.85,57.5,115,117.5
Eva Butzen,F,25,86.1,72.5,130,150
Sinia Strohbach,F,25,62.7,60,102.5,135
Julia Dietz,F,25,69.5,102.5,122.5,130
Daniela Stopp,F,25,64.75,57.5,102.5,120
Mona Heil,F,25,69.65,47.5,80,110
Susanne Holzweiler,F,25,60.75,45,70,80
Siriamporn Sukasem,F,25,100.5,45,120,160
Patcha Nitiahpapand,F,25,49.7,47.5,95,152.5
Nattacha Nuwaboot,F,25,51.85,55,102.5,145
Elizabeth Mercado,F,25,74.4,57,118,147
Susana Gonzalez,F,25,73.1,61,103,128
Celeste Jones,F,25,80.2,69,114,137
Alyssa Villanueva,F,25,86.2,62,143,155
Jourdawn Kirkland,F,25,95.7,69,131,151
Christina Davidson,F,25,63.9,57,109,130
Megan Horn,F,25,118.3,57,118,132
Ashton Brown #1,F,25,69.3,86,126,137
Rachel Jordan,F,25,62.9,73,133,150
Jonalyn Barcarse,F,25,54.4,80,132,179
Olivia Behling,F,25,69.1,60,102,131
Tessa Sawyers,F,25,72.4,81,129,138
Rachel Van Fleet,F,25,59.5,55,100,137.5
Victoria Portier,F,25,57.4,50,105,112.5
Kaliopi Skevofilax,F,25,57.6,49,90,114
Marie Lucas,F,25,63.2,79,114,148
Claris Gandionko,F,25,70.5,68,148,155
Paige Hughes,F,25,59.2,52,107,134
Celeste Jones,F,25,78.9,73,130,162
Bonnie Hogue,F,25,120.8,81,200,156
Jonalyn Barcarse,F,25,54.3,85,127,173
Esther Johnson,F,25,81.6,61,128,150
Elizabeth Mercado,F,25,72.1,54,102,140
Maeghan Yon,F,25,64.2,78,115,142
Ashton Brown #1,F,25,66.7,81,115,127
Bri Henry,F,25,80.3,82,149,152
Allyson Donnelly,F,25,116.7,80,159,188
Honesty Robinson,F,25,67.1,48,116,159
Emily Widomski,F,25,79.3,59,120,136
Jonalyn Barcarse,F,25,53.7,87,125,173
Allie Higgins,F,25,66,67,141,157
Edyta Marciniszyn,F,25,67.7,80,150,155
Daria Ławniczak,F,25,79.9,106,142.5,167.5
Olimpia Felińska,F,25,56,85,130,147.5
Anna Gamayunova,F,25,41.75,42.5,57.5,60
Anna Gradova,F,25,50.8,42.5,62.5,87.5
Anna Efimova,F,25,45.7,45,90,85
Oksana Kuznetsova,F,25,48,50,80,110
Kristina Chin-Chi-Min,F,25,54.2,45,90,125
Nadezhda Kiyashko,F,25,59.8,82.5,95,157.5
Adile Ramazanova,F,25,53.7,55,102.5,132.5
Valeriya Shubina,F,25,66.9,50,115,130
Mariya Bandur,F,25,50.8,50,80,105
Mariya Okhramenko,F,25,47.3,40,50,75
Anna Golub,F,25,56.9,47.5,75,87.5
Tatyana Ivanova,F,25,43.4,27.5,47.5,67.5
Darya Durneva,F,25,66.9,50,80,110
Anna Akimova,F,25,59.8,65,110,135
Kristina Petukhova,F,25,53.8,62.5,85,105
Elizaveta Semyonova,F,25,73.6,62.5,90,110
Leyla Platonova,F,25,51.7,47.5,67.5,100
Svetlana Sharynkina,F,25,42.6,62.5,77.5,95
Elizaveta Tkacheva,F,25,48.4,40,75,80
Tatyana Rakina,F,25,86.3,72.5,110,140
Anastasiya Andriyanova,F,25,55.7,35,60,77.5
Ekaterina Dudareva,F,25,55.4,80,107.5,130
Alena Kuzmina,F,25,61.7,40,87.5,110
Alina Myachina,F,25,65.9,60,100,120
Anna Kraynova,F,25,73.7,72.5,127.5,130
Anna Mamont,F,25,48.5,57.5,87.5,120
Ekaterina Lyapina,F,25,55.8,45,85,115
Veronika Tomskaya,F,25,47.8,42.5,75,97.5
Kristina Chin-Chi-Min,F,25,52,35,75,105
Anastasiya Alekseeva,F,25,64.5,65,125,172.5
Zara Arutyunyan,F,25,52,35,60,100
Alena Kuzmina,F,25,59.7,45,80,115
Yuliya Kurakina,F,25,104.2,60,85,105
Anastasiya Antonova,F,25,61.7,40,75,82.5
Viktoriya Koroleva,F,25,48,55,90,92.5
Valeriya Shubina,F,25,66.7,55,125,140
Kseniya Almasova,F,25,59.4,57.5,115,125
Anastasiya Morozova,F,25,58.4,45,110,115
Yulianna Lyakhovskaya,F,25,50.3,45,65,100
Elena Shushkova,F,25,48,50,60,97.5
Ani Sabodash,F,25,49.1,52.5,100,110
Evgeniya Lebedikova,F,25,48,42.5,85,80
Olga Ostreyko,F,25,54.6,50,90,92.5
Alyona Dryutskaya,F,25,66.5,42.5,80,100
Lyubov Gumenyuk,F,25,53.95,50,80,102.5
Aleksandra Aslamova,F,25,57.8,50,95,115
Elizaveta Tkacheva,F,25,47.6,35,65,80
Ekaterina Dityakina,F,25,55.8,50,82.5,107.5
Ekaterina Teryumina,F,25,71.9,55,80,100
Nika Velial,F,25,56,77.5,95,117.5
Darya Anufrieva,F,25,72.55,52.5,75,100
Yuliya Anisimova,F,25,51.5,45,95,110
Ekaterina Amirova,F,25,65.6,62.5,90,80
Lyudmila Tkach,F,25,73.8,85,150,170
Zara Arutyunyan,F,25,54.7,40,72.5,105
Aleksandra Guseva,F,25,59.1,45,72.5,80
Tatyana Bondar,F,25,50.6,55,80,85
Ekaterina Rozhkova,F,25,71.1,45,72.5,80
Alesya Goncharova,F,25,56,37.5,90,110
Viktiriya Yepikhina,F,25,63.4,70,110,140
Tania Lanfranca,F,25,75.6,60,115,140
Agata Przybylska,F,25,51.94,80,132.5,177.5
Aurora Arias,F,25,51.4,80,152,155
Jacqueline Alas,F,25,62.92,65,117.5,165
Raquel de Los Angeles Gonzalez Zeledon,F,25,80.44,87.5,165,172.5
Brianna Lanoye,F,25,50.3,67.5,132.5,142.5
Heather Connor,F,25,46.53,65,135,175.5
Bonica Brown,F,25,118.6,120,215,210
Amanda Padgett,F,25,50.4,52.5,122.5,157.5
Abby Hall,F,25,63,90,142,150
Skylar Yanke,F,25,57.15,79,122,145
Hannah Topp,F,25,81.35,75,160,175
Niko Morozov,F,25,61,67.5,115,140
Eden Mordehaev,F,25,62.9,45,95,110
Niko Morozov,F,25,59.1,65,125,145
Amelia Hurley-Novatny,F,25,65.8,65,127.5,137.5
Hannah Lester,F,25,89.8,70,130,132.5
Lynn Lazaro,F,25,67.4,52.5,107.5,147.5
Courtney Mayo,F,25,72.4,62.5,135,125
Paige Barsema,F,25,75,62.5,110,137.5
Savannah Mensinger,F,25,59.8,65,107.5,132.5
Saleena Ziadeh,F,25,73.8,82.5,137.5,155
Rachel Bown,F,25,72.6,50,100,140
Kiah Allen,F,25,111.4,77.5,137.5,147.5
Sara Conway,F,25,74.3,50,87.5,105
Amelia Hurley-Novatny,F,25,66.6,62.5,120,132.5
Alayna Beckham,F,25,78.8,55,115,130
Brea Weller,F,25,80.2,50,102.5,142.5
Morgan Irons,F,25,109.77,112.5,175,192.5
Summer Gordon,F,25,89.1,90,130,167.5
Alayna Chapman,F,25,79.6,60,127.5,147.5
Marah Bonifacio,F,25,62.4,72.5,120,145
Lauren Parkinson,F,25,60.9,55,112.5,135
Amelia Riccobono,F,25,55.8,70,135,160
Lauren Parkinson,F,25,61.9,57.5,112.5,140
Roukayya Trad,F,25,74.95,65,147.5,170
Saraf Khan,F,25,56.4,45,115,140
Nicki Dang,F,25,62.5,72.5,125,162.5
Mel Anderson,F,25,61.95,57.5,100,142.5
Taylah Wright,F,25,75.95,67.5,125,135
Ebony Puru,F,25,83.3,55,110,145
Chloe Mercer,F,25,57,45,82.5,120
Gabrielle Green,F,25,57,70,110,137.5
Lauren Parkinson,F,25,61.35,55,112.5,132.5
Shenae Healey,F,25,62.5,82.5,135,180
Ebony Puru,F,25,87.1,55,107.5,135
Veronica Azer,F,25,70.65,47.5,100,150
Kristen Archibeque,F,25,52.05,70,95,125
Ebony Shand,F,25,54.8,92.5,130,147.5
