Name,Sex,Age,BodyweightKg,BenchKg,SquatKg,DeadliftKg
Grace Willis,F,25,64.9,57.5,100,115
Sally French,F,25,48,60,90,117.5
Angela Mar,F,25,60,52.5,85,100
Erika Porcuna,F,25,56.3,37.5,67.5,62.5
Lauren Davis #1,F,25,71.8,70,120,155
Adriana Lopez Torres,F,25,114.6,55,115,110
Alexis Revera,F,25,60,60,120,140
Tia Orona,F,25,55.79,37.5,70,80
Maketa Daniels,F,25,64.95,60,127.5,150
Maria Morales,F,25,67.5,47.5,105,105
Samantha Pierce #2,F,25,67.5,52.5,70,80
Samantha Pierce #2,F,25,67.5,50,67.5,77.5
Amulya Aradhyula,F,25,67.5,45,92.5,112.5
Sarah Fausto,F,25,74.2,80,127.5,147.5
Leslie Castillo-Ortiz,F,25,54.2,65,115,125
Leslie Castillo-Ortiz,F,25,54.2,65,115,125
Mala Thakur,F,25,73,42.5,107.5,125
Megan Daniels,F,25,62.24,65,120,147.5
Lorena Portillo,F,25,71.38,45,95,95
Abigail Narvaez,F,25,51.5,75,147.5,165
Kirsten Kinch,F,25,62.4,65,87.5,117.5
Lesley Shinnick,F,25,70,65,135,145
Sasha Payne,F,25,55.6,85,130,150
Sasha Payne,F,25,58.2,82.5,130,150
Leigh Wetheridge,F,25,110.9,115,220,230
Lucy Glover,F,25,69.1,67.5,117.5,142.5
Victoria Eades,F,25,70.8,60,115,145
Carrie Shearer,F,25,61.9,57.5,120,140
Rosie Howard,F,25,72,77.5,135,187.5
Bobbie Butters,F,25,57,106,175,182.5
Moa Wikner,F,25,62.1,92.5,155,182.5
Kirsty Liggat,F,25,61.2,77.5,137.5,160
Luisa Vargas,F,25,62.9,60,132.5,172.5
Laura Haas,F,25,60.3,55,102.5,150
Samantha Gurumurthy,F,25,67.9,62.5,110,142.5
Jessie Lee,F,25,46.45,65,112.5,150
Diana Padron,F,25,55.1,60,130,140
Orla Mulcahy,F,25,50.9,65,130,137.5
Emma Williams #1,F,25,68.5,72.5,137.5,160
Lauren Rooney,F,25,96,65,145,147.5
Lily Erskine,F,25,67.9,77.5,140,170
Susanna Argile,F,25,71.7,102.5,180,180
Gemma Wright,F,25,71.7,67.5,150,165
Apple Doepner,F,25,74.9,57.5,120,147.5
