tourney_name,surface,result,player,rank,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_in,first_serve_won,second_serve_won,serve_games_won,break_points_saved,break_points_faced
United Cup,Hard,Winner,Jessica Pegula,3,R,170,USA,28.8,3,89,2,2,48,24,17,12,9,0,3
United Cup,Hard,Loser,Martina Trevisan,27,L,160,ITA,29.1,3,89,0,0,69,43,20,12,9,3,9
United Cup,Hard,Winner,Madison Keys,11,R,178,USA,27.8,3,73,6,2,60,38,25,9,9,5,8
United Cup,Hard,Loser,Lucia Bronzetti,54,R,NA,ITA,24,3,73,0,2,49,32,14,6,8,5,11
United Cup,Hard,Winner,Jessica Pegula,3,R,170,USA,28.8,3,71,2,1,53,29,24,11,8,1,2
United Cup,Hard,Loser,Iga Swiatek,1,R,176,POL,21.5,3,71,1,2,41,26,10,5,8,2,7
United Cup,Hard,Winner,Madison Keys,11,R,178,USA,27.8,3,86,2,1,57,38,26,11,9,0,1
United Cup,Hard,Loser,Magda Linette,48,R,171,POL,30.8,3,86,0,2,65,47,29,5,9,4,8
United Cup,Hard,Winner,Martina Trevisan,27,L,160,ITA,29.1,3,194,1,2,110,75,50,15,16,5,9
United Cup,Hard,Loser,Maria Sakkari,6,R,172,GRE,27.4,3,194,5,7,106,53,37,22,17,2,9
United Cup,Hard,Winner,Lucia Bronzetti,54,R,NA,ITA,24,3,78,0,2,51,31,26,10,8,3,3
United Cup,Hard,Winner,Maria Sakkari,6,R,172,GRE,27.4,3,99,3,0,49,33,24,10,9,2,3
United Cup,Hard,Loser,Petra Martic,38,R,181,CRO,31.9,3,99,8,5,86,48,27,17,9,9,13
United Cup,Hard,Winner,Donna Vekic,67,R,179,CRO,26.5,3,64,1,4,41,27,22,7,7,0,0
United Cup,Hard,Loser,Despina Papamichail,158,R,178,GRE,29.8,3,64,0,2,49,33,17,4,7,5,10
United Cup,Hard,Winner,Iga Swiatek,1,R,176,POL,21.5,3,111,1,1,59,44,31,9,9,3,4
United Cup,Hard,Loser,Martina Trevisan,27,L,160,ITA,29.1,3,111,0,4,77,50,29,11,9,7,11
United Cup,Hard,Winner,Magda Linette,48,R,171,POL,30.8,3,73,2,1,48,28,23,11,8,0,0
United Cup,Hard,Loser,Lucia Bronzetti,54,R,NA,ITA,24,3,73,2,3,47,25,16,7,7,7,11
United Cup,Hard,Winner,Jessica Pegula,3,R,170,USA,28.8,3,57,1,2,37,22,18,11,7,0,0
United Cup,Hard,Loser,Harriet Dart,98,R,175,GBR,26.4,3,57,0,2,45,26,14,4,7,3,8
United Cup,Hard,Winner,Madison Keys,11,R,178,USA,27.8,3,138,3,3,96,70,45,10,14,8,12
United Cup,Hard,Winner,Maria Sakkari,6,R,172,GRE,27.4,3,83,5,0,50,28,22,10,10,0,3
United Cup,Hard,Loser,Elise Mertens,29,R,179,BEL,27.1,3,83,0,4,57,39,19,6,9,5,11
United Cup,Hard,Loser,Despina Papamichail,158,R,178,GRE,29.8,3,150,0,2,96,63,37,16,14,7,13
United Cup,Hard,Winner,Maria Sakkari,6,R,172,GRE,27.4,3,87,3,5,55,32,27,10,9,1,2
United Cup,Hard,Loser,Viktoriya Tomova,90,R,170,BUL,27.8,3,87,1,3,56,33,20,6,8,4,8
United Cup,Hard,Winner,Despina Papamichail,158,R,178,GRE,29.8,3,139,2,3,91,61,38,14,13,1,6
United Cup,Hard,Winner,Elise Mertens,29,R,179,BEL,27.1,3,115,2,8,74,44,32,12,12,7,11
United Cup,Hard,Winner,Iga Swiatek,1,R,176,POL,21.5,3,121,2,0,65,44,31,13,11,1,3
United Cup,Hard,Loser,Belinda Bencic,12,R,175,SUI,25.8,3,121,3,2,77,50,29,14,10,4,7
United Cup,Hard,Winner,Magda Linette,48,R,171,POL,30.8,3,162,5,4,108,78,54,13,15,7,10
United Cup,Hard,Loser,Jil Teichmann,35,L,170,SUI,25.4,3,162,1,4,96,63,42,15,14,8,13
United Cup,Hard,Winner,Iga Swiatek,1,R,176,POL,21.5,3,64,1,0,42,30,22,11,8,1,1
United Cup,Hard,Loser,Yulia Putintseva,51,R,163,KAZ,27.9,3,64,0,3,49,33,19,6,8,1,5
United Cup,Hard,Winner,Magda Linette,48,R,171,POL,30.8,3,67,1,0,48,26,21,12,8,3,4
United Cup,Hard,Winner,Belinda Bencic,12,R,175,SUI,25.8,3,114,2,3,76,47,33,15,11,3,5
United Cup,Hard,Loser,Yulia Putintseva,51,R,163,KAZ,27.9,3,114,1,4,65,40,25,10,10,4,7
United Cup,Hard,Winner,Jil Teichmann,35,L,170,SUI,25.4,3,82,4,6,52,21,18,16,9,0,2
United Cup,Hard,Winner,Jessica Pegula,3,R,170,USA,28.8,3,80,0,2,43,24,18,15,8,0,0
United Cup,Hard,Loser,Laura Siegemund,176,R,168,GER,34.8,3,80,0,2,61,45,22,9,9,3,7
United Cup,Hard,Winner,Madison Keys,11,R,178,USA,27.8,3,70,2,1,44,33,27,7,9,0,1
United Cup,Hard,Loser,Jule Niemeier,65,R,178,GER,23.3,3,70,4,7,63,34,21,10,8,4,8
United Cup,Hard,Winner,Petra Kvitova,16,L,183,CZE,32.8,3,119,2,5,74,44,29,18,11,4,6
United Cup,Hard,Loser,Jessica Pegula,3,R,170,USA,28.8,3,119,2,3,91,52,34,19,11,8,11
United Cup,Hard,Winner,Madison Keys,11,R,178,USA,27.8,3,80,1,3,48,31,23,11,10,0,2
