stadium,attendance,home_team,away_team,home_goals,away_goals,Home Expected goals(xG),Home Total shots,Home Shots on target,Home Big chances,Home Big chances missed,Home Accurate passes,Home Accurate passes %,Home Fouls committed,Home Corners,Home Shots off target,Home Blocked shots,Home Hit woodwork,Home Shots inside box,Home Shots outside box,Home xG open play,Home xG set play,Home Non-penalty xG,Home xG on target (xGOT),Home Passes,Home Own half,Home Opposition half,Home Accurate long balls,Home Accurate long balls %,Home Accurate crosses,Home Accurate crosses %,Home Throws,Home Touches in opposition box,Home Offsides,Home Yellow cards,Home Red cards,Home Tackles won,Home Tackles won %,Home Interceptions,Home Blocks,Home Clearances,Home Keeper saves,Home Duels won,Home Ground duels won,Home Ground duels won %,Home Aerial duels won,Home Aerial duels won %,Home Successful dribbles,Home Successful dribbles %,Away Expected goals(xG),Away Total shots,Away Shots on target,Away Big chances,Away Big chances missed,Away Accurate passes,Away Accurate passes %,Away Fouls committed,Away Corners,Away Total shots.,Away Shots off target,Away Blocked shots,Away Hit woodwork,Away Shots inside box,Away Shots outside box,Away xG open play,Away xG set play,Away Non-penalty xG,Away xG on target (xGOT),Away Passes,Away Own half,Away Opposition half,Away Accurate long balls,Away Accurate long balls %,Away Accurate crosses,Away Accurate crosses %,Away Throws,Away Touches in opposition box,Away Offsides,Away Yellow cards,Away Red cards,Away Tackles won,Away Tackles won %,Away Interceptions,Away Blocks,Away Clearances,Away Keeper saves,Away Duels won,Away Ground duels won,Away Ground duels won %,Away Aerial duels won,Away Aerial duels won %,Away Successful dribbles,Away Successful dribbles %
Leipzig Stadium,38531,Netherlands,France,0,0,0.47,8,4,1,1,511,89,13,3,0,4,0,4,4,0.4,0.07,0.47,0.97,398,236,116,12,55,3,38,12,12,4,1,0,7,88,3,5,23,3,22,16,32,6,60,0,0,1.43,15,3,2,2,379,86,8,6,15,7,5,0,8,7,1.34,0.09,1.43,1.18,660,277,332,19,59,4,20,17,20,0,0,0,7,54,2,3,9,4,38,34,68,4,40,9,69
Volksparkstadion,46524,Georgia,Czechia,1,1,1.11,5,1,2,1,511,89,12,5,3,1,0,3,2,0.33,0.28,0.33,0.99,310,131,115,19,40,0,0,13,13,0,4,0,13,68,5,7,45,11,54,43,55,11,34,9,41,3.07,27,12,4,3,379,86,17,11,27,8,7,1,15,12,1.19,1.87,3.07,4,493,150,280,15,45,9,20,18,27,1,5,0,16,73,3,1,19,0,56,35,45,21,66,3,21
BVB Stadion Dortmund,61047,Turkiye,Portugal,0,3,0.72,11,3,1,1,618,88,16,9,4,4,0,4,7,0.63,0.09,0.72,0.72,433,210,163,18,47,2,13,11,13,0,3,0,10,48,8,2,13,1,44,38,49,6,38,10,63,1.86,12,3,3,1,169,66,8,1,12,7,2,0,9,3,1.86,0,1.86,1.63,566,293,212,18,53,6,43,17,33,4,2,0,6,40,9,4,18,3,49,39,51,10,63,8,36
Cologne Stadium,42535,Belgium,Romania,2,0,1.76,20,9,3,2,618,88,9,7,5,6,0,14,6,1.52,0.23,1.76,3.21,431,173,192,32,64,1,8,25,42,5,1,0,12,67,7,3,22,4,53,39,56,14,64,10,48,0.94,14,5,2,2,169,66,11,7,14,7,2,0,7,7,0.63,0.31,0.94,0.83,352,135,151,21,47,4,33,23,19,1,2,0,9,43,4,6,24,7,39,31,44,8,36,1,17
Stuttgart Arena,54000,Scotland,Hungary,0,1,0.17,4,0,0,0,572,90,16,2,1,3,0,2,2,0.07,0.1,0.17,0.19,501,242,169,25,45,6,32,18,16,3,1,0,5,42,6,2,26,4,67,30,45,37,64,7,54,1.22,14,5,3,2,247,79,13,6,14,7,2,2,8,6,0.95,0.28,1.22,1.31,357,146,113,23,33,2,11,23,21,5,5,0,9,45,6,3,15,0,57,36,55,21,36,3,25
Frankfurt Arena,46685,Switzerland,Germany,1,1,0.6,4,3,1,0,572,90,14,2,1,0,0,1,3,0.6,0,0.6,1.58,331,145,117,18,50,0,0,18,10,2,3,0,9,53,8,5,16,2,38,30,43,8,50,3,27,1.56,18,3,3,2,247,79,12,9,18,10,5,1,12,6,0.97,0.59,1.56,1,636,264,307,20,50,8,30,12,39,2,1,0,9,53,7,0,11,2,48,40,57,8,50,10,67
Dsseldorf Arena,46586,Albania,Spain,0,1,0.48,10,4,0,0,668,93,6,2,3,3,0,4,6,0.24,0.24,0.48,0.84,407,212,128,21,45,2,15,18,11,1,2,0,9,53,13,3,24,2,51,44,62,7,32,12,60,1.51,16,3,2,1,248,81,15,6,16,9,4,0,12,4,1.33,0.18,1.51,1.34,577,246,272,31,69,7,30,12,31,2,1,0,12,75,5,3,20,4,42,27,38,15,68,6,33
Leipzig Stadium,38322,Croatia,Italy,1,1,1.49,6,4,3,2,668,93,18,2,0,2,0,4,2,0.7,0,0.7,2.47,504,246,199,20,49,2,17,12,21,0,6,0,12,80,14,7,28,2,32,29,46,3,20,9,69,0.9,12,3,3,2,248,81,6,11,12,2,7,0,10,2,0.33,0.57,0.9,1.47,569,261,229,32,62,6,25,20,26,2,2,0,4,31,1,1,13,3,46,34,54,12,80,5,50
BVB Stadion Dortmund,59728,France,Poland,1,1,2.32,19,8,5,4,287,77,12,11,3,8,0,12,7,1.3,0.23,1.54,3.4,548,180,301,21,58,6,30,14,57,1,1,0,15,88,6,2,12,2,55,45,54,10,77,14,58,1.16,10,3,2,1,344,82,15,3,10,5,2,0,5,5,0.24,0.14,0.38,1.28,405,238,105,14,45,2,20,12,8,0,3,0,10,53,10,8,31,7,41,38,46,3,23,7,54
Olympiastadion Berlin,68363,Netherlands,Austria,2,3,1.73,11,2,4,3,287,77,10,5,6,3,1,9,2,1.5,0.23,1.73,1.33,428,204,154,17,52,5,22,26,21,1,0,0,13,72,4,3,5,3,58,42,52,16,62,9,36,0.95,9,5,2,1,344,82,16,2,9,1,3,0,5,4,0.31,0.63,0.95,1.98,404,181,136,33,49,3,38,16,15,1,3,0,16,70,10,3,14,0,49,39,48,10,38,7,70
