"rank","Player","G","AB","R","H","Doubles","Triples","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS_plus","wOBA","BB%","K%","BB/K","HR%","ISO","begin_year","end_year","Pos","PA"
21,"Crush Holloway",883,3472,582,944,131,52,30,410,149,2,247,9,0,15,89,1,NA,0.272,0.323,0.365,0.688,83,0.315,6.5,0.6,11.33,0.8,0.094,1921,1939,"RF",3824
22,"Jerry Benjamin",777,3100,645,914,109,41,28,364,139,2,313,10,1,16,81,1,3,0.295,0.362,0.384,0.746,103,0.346,8.9,0.3,27,0.8,0.089,1932,1948,"CF",3511
23,"George Scales",849,2777,575,909,214,51,73,619,58,0,463,28,2,23,71,2,5,0.327,0.427,0.52,0.947,143,0.424,13.9,1.7,8.14,2.2,0.193,1921,1946,"2B",3336
24,"Branch Russell",789,2956,645,908,135,75,57,502,72,NA,385,3,NA,22,110,0,NA,0.307,0.391,0.461,0.852,114,0.38,11.1,0.3,33.33,1.6,0.154,1922,1936,"RF",3473
25,"Walter Cannady",749,2787,526,890,163,47,43,553,103,3,237,16,1,10,87,3,0,0.319,0.374,0.458,0.832,117,0.372,7.6,1,7.5,1.4,0.139,1921,1945,"2B",3124
26,"Wilson Redus",819,2915,496,873,135,45,86,527,49,1,260,12,0,32,71,1,0,0.299,0.363,0.465,0.828,113,0.37,7.9,0.9,8.83,2.6,0.166,1924,1940,"LF",3279
27,"Fats Jenkins",634,2508,571,847,109,32,21,294,133,1,291,4,0,13,63,0,0,0.338,0.409,0.432,0.841,121,0.387,10.1,0.4,24.25,0.7,0.094,1920,1940,"LF",2875
28,"Buck Leonard",690,2479,603,847,160,54,106,611,38,2,453,18,3,23,35,2,3,0.342,0.447,0.578,1.025,176,0.46,15.1,0.6,23.94,3.5,0.236,1933,1948,"1B",2992
29,"Wade Johnston",704,2751,510,826,116,57,44,380,74,1,295,5,0,10,63,2,0,0.3,0.37,0.432,0.802,115,0.363,9.5,0.6,14.6,1.4,0.132,1921,1933,"LF",3121
30,"Pete Hill",690,2483,511,814,145,45,48,443,81,0,311,0,NA,20,73,2,NA,0.328,0.407,0.48,0.887,168,0.41,10.8,0,NA,1.7,0.153,1904,1925,"CF",2889
31,"John Henry Russell",791,2898,442,811,106,51,29,391,63,0,217,0,0,10,103,NA,0,0.28,0.332,0.382,0.714,85,0.321,6.7,0,NA,0.9,0.102,1923,1934,"2B",3228
32,"Bill Riggins",716,2695,506,795,124,39,45,431,104,0,259,5,NA,22,123,1,NA,0.295,0.361,0.42,0.781,99,0.349,8.4,0.4,15,1.5,0.125,1920,1935,"SS",3100
33,"George Carr",662,2440,461,765,134,38,57,437,132,6,232,32,1,23,48,3,0,0.314,0.378,0.47,0.848,130,0.386,8.4,2,4.59,2.1,0.156,1920,1934,"1B",2746
34,"John Beckwith",597,2171,444,756,160,37,99,557,48,1,188,20,NA,8,41,0,NA,0.348,0.402,0.593,0.995,169,0.437,7.8,2.3,3.05,4.1,0.245,1919,1937,"3B",2408
35,"Sandy Thompson",683,2496,362,752,103,25,7,317,63,4,189,13,0,9,88,0,0,0.301,0.353,0.371,0.724,106,0.33,6.8,1.5,4.85,0.3,0.07,1917,1933,"LF",2782
36,"Roy Parnell",621,2294,471,751,132,53,43,385,57,4,223,11,2,16,53,0,0,0.327,0.391,0.487,0.878,137,0.394,8.6,0.5,17.36,1.7,0.16,1927,1943,"LF",2586
37,"Sam Bankhead",706,2664,456,749,101,35,19,368,107,2,270,14,1,16,81,3,0,0.281,0.35,0.367,0.717,95,0.333,8.9,0.5,16.86,0.6,0.086,1932,1948,"SS",3034
