year,ratio_DNF,flow
2015,0.06358381502890173,300
2016,0.030864197530864196,636
2017,0.00510204081632653,2649
2018,0.056962025316455694,450
2022,0.1642512077294686,1400
2023,0.07913669064748201,630
2024,0.16877637130801687,790
2025,0.013377926421404682,380
2019,NA,1300
