Date,Site,set,play_description,set_winner,losing_team_at_timeout,losing_team_win,home_before_timeout,visiting_before_timeout,winner_next_point,home_after_timeout,visiting_after_timeout,overall_set_number
2014-09-20,"Boston, Mass. (Cabot Center)

",4,Timeout Northeastern.,home,visiting,FALSE,21,19,visiting,21,20,991
2014-09-20,"Boston, Mass. (Cabot Center)

",4,Timeout Harvard.,home,tied,FALSE,22,22,visiting,22,23,991
2014-09-20,"Boston, Mass. (Cabot Center)

",4,Timeout Harvard.,home,home,TRUE,23,24,home,24,24,991
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout Boston College.,visiting,home,FALSE,14,15,visiting,14,16,992
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout Boston College.,visiting,home,FALSE,18,21,home,19,21,992
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Harvard.,visiting,visiting,TRUE,19,15,visiting,19,16,993
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Boston College.,visiting,visiting,TRUE,19,17,visiting,19,18,993
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Boston College.,visiting,tied,FALSE,20,20,home,21,20,993
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Harvard.,visiting,visiting,TRUE,24,23,visiting,24,24,993
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",3,Timeout Harvard.,home,visiting,FALSE,16,11,home,17,11,994
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",3,Timeout Harvard.,home,visiting,FALSE,21,12,home,22,12,994
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",4,Timeout Harvard.,home,visiting,FALSE,15,13,home,16,13,995
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",4,Timeout Boston College.,home,home,TRUE,17,18,home,18,18,995
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",4,Timeout Boston College.,home,home,TRUE,20,22,home,21,22,995
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",4,Timeout Harvard.,home,tied,FALSE,22,22,home,23,22,995
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",5,Timeout Harvard.,visiting,home,FALSE,6,7,home,7,7,996
2014-09-21,"Cambridge, Mass. (Malkin Athletic Cent)

",5,Timeout Boston College.,visiting,home,FALSE,7,10,home,8,10,996
