"Event","NOC"
"Rowing Women's Lightweight Double Sculls","KAZ"
"Rowing Women's Lightweight Double Sculls","KOR"
"Rowing Women's Lightweight Double Sculls","MEX"
"Rowing Women's Lightweight Double Sculls","NED"
"Rowing Women's Lightweight Double Sculls","NZL"
"Rowing Women's Lightweight Double Sculls","POL"
"Rowing Women's Lightweight Double Sculls","ROU"
"Rowing Women's Lightweight Double Sculls","RSA"
"Rowing Women's Lightweight Double Sculls","SUI"
"Rowing Women's Lightweight Double Sculls","SWE"
"Rowing Women's Lightweight Double Sculls","TUN"
"Rowing Women's Lightweight Double Sculls","USA"
"Rowing Women's Lightweight Double Sculls","VIE"
"Rowing Women's Quadruple Sculls","AUS"
"Rowing Women's Quadruple Sculls","BEL"
"Rowing Women's Quadruple Sculls","BLR"
"Rowing Women's Quadruple Sculls","BUL"
"Rowing Women's Quadruple Sculls","CAN"
"Rowing Women's Quadruple Sculls","CHN"
"Rowing Women's Quadruple Sculls","DEN"
"Rowing Women's Quadruple Sculls","EUN"
"Rowing Women's Quadruple Sculls","FRA"
"Rowing Women's Quadruple Sculls","GBR"
"Rowing Women's Quadruple Sculls","GDR"
"Rowing Women's Quadruple Sculls","GER"
"Rowing Women's Quadruple Sculls","HUN"
"Rowing Women's Quadruple Sculls","NED"
"Rowing Women's Quadruple Sculls","NZL"
"Rowing Women's Quadruple Sculls","POL"
"Rowing Women's Quadruple Sculls","ROU"
"Rowing Women's Quadruple Sculls","RUS"
"Rowing Women's Quadruple Sculls","TCH"
"Rowing Women's Quadruple Sculls","UKR"
"Rowing Women's Quadruple Sculls","URS"
"Rowing Women's Quadruple Sculls","USA"
"Rowing Women's Single Sculls","ALG"
"Rowing Women's Single Sculls","ARG"
"Rowing Women's Single Sculls","AUS"
"Rowing Women's Single Sculls","AUT"
"Rowing Women's Single Sculls","AZE"
"Rowing Women's Single Sculls","BAH"
"Rowing Women's Single Sculls","BEL"
"Rowing Women's Single Sculls","BER"
"Rowing Women's Single Sculls","BLR"
"Rowing Women's Single Sculls","BRA"
"Rowing Women's Single Sculls","BUL"
"Rowing Women's Single Sculls","CAN"
"Rowing Women's Single Sculls","CHI"
"Rowing Women's Single Sculls","CHN"
"Rowing Women's Single Sculls","CUB"
"Rowing Women's Single Sculls","CZE"
"Rowing Women's Single Sculls","DEN"
"Rowing Women's Single Sculls","EGY"
"Rowing Women's Single Sculls","ESA"
"Rowing Women's Single Sculls","ESP"
"Rowing Women's Single Sculls","FIN"
"Rowing Women's Single Sculls","FRA"
"Rowing Women's Single Sculls","FRG"
"Rowing Women's Single Sculls","GBR"
"Rowing Women's Single Sculls","GDR"
"Rowing Women's Single Sculls","GER"
"Rowing Women's Single Sculls","GRE"
"Rowing Women's Single Sculls","HKG"
"Rowing Women's Single Sculls","HUN"
"Rowing Women's Single Sculls","INA"
"Rowing Women's Single Sculls","IRI"
"Rowing Women's Single Sculls","IRL"
"Rowing Women's Single Sculls","ITA"
"Rowing Women's Single Sculls","JPN"
"Rowing Women's Single Sculls","KAZ"
"Rowing Women's Single Sculls","KOR"
"Rowing Women's Single Sculls","LTU"
"Rowing Women's Single Sculls","MEX"
"Rowing Women's Single Sculls","MYA"
"Rowing Women's Single Sculls","NED"
"Rowing Women's Single Sculls","NGR"
"Rowing Women's Single Sculls","NOR"
"Rowing Women's Single Sculls","NZL"
"Rowing Women's Single Sculls","PAR"
"Rowing Women's Single Sculls","PER"
"Rowing Women's Single Sculls","POL"
"Rowing Women's Single Sculls","ROU"
"Rowing Women's Single Sculls","RSA"
"Rowing Women's Single Sculls","RUS"
"Rowing Women's Single Sculls","SGP"
"Rowing Women's Single Sculls","SRB"
"Rowing Women's Single Sculls","SUI"
"Rowing Women's Single Sculls","SWE"
"Rowing Women's Single Sculls","TCH"
"Rowing Women's Single Sculls","THA"
"Rowing Women's Single Sculls","TOG"
"Rowing Women's Single Sculls","TPE"
"Rowing Women's Single Sculls","TTO"
"Rowing Women's Single Sculls","TUN"
"Rowing Women's Single Sculls","URS"
"Rowing Women's Single Sculls","USA"
"Rowing Women's Single Sculls","UZB"
"Rowing Women's Single Sculls","ZIM"
