"Event","NOC"
"Rowing Men's Coxed Pairs (1 kilometres)","GRE"
"Rowing Men's Coxed Pairs (1 kilometres)","ITA"
"Rowing Men's Coxed Pairs (1 mile)","BEL"
"Rowing Men's Coxed Pairs (1 mile)","DEN"
"Rowing Men's Coxed Pairs (1 mile)","FRA"
"Rowing Men's Coxed Pairs (1 mile)","GRE"
"Rowing Men's Coxed Pairs (1 mile)","ITA"
"Rowing Men's Coxless Fours","ARG"
"Rowing Men's Coxless Fours","AUS"
"Rowing Men's Coxless Fours","AUT"
"Rowing Men's Coxless Fours","BEL"
"Rowing Men's Coxless Fours","BLR"
"Rowing Men's Coxless Fours","BRA"
"Rowing Men's Coxless Fours","BUL"
"Rowing Men's Coxless Fours","CAN"
"Rowing Men's Coxless Fours","CHN"
"Rowing Men's Coxless Fours","CRO"
"Rowing Men's Coxless Fours","CUB"
"Rowing Men's Coxless Fours","CZE"
"Rowing Men's Coxless Fours","DEN"
"Rowing Men's Coxless Fours","EGY"
"Rowing Men's Coxless Fours","ESP"
"Rowing Men's Coxless Fours","EST"
"Rowing Men's Coxless Fours","EUN"
"Rowing Men's Coxless Fours","FIN"
"Rowing Men's Coxless Fours","FRA"
"Rowing Men's Coxless Fours","FRG"
"Rowing Men's Coxless Fours","GBR"
"Rowing Men's Coxless Fours","GDR"
"Rowing Men's Coxless Fours","GER"
"Rowing Men's Coxless Fours","GRE"
"Rowing Men's Coxless Fours","HUN"
"Rowing Men's Coxless Fours","IRL"
"Rowing Men's Coxless Fours","ITA"
"Rowing Men's Coxless Fours","JPN"
"Rowing Men's Coxless Fours","KOR"
"Rowing Men's Coxless Fours","MEX"
"Rowing Men's Coxless Fours","NED"
"Rowing Men's Coxless Fours","NOR"
"Rowing Men's Coxless Fours","NZL"
"Rowing Men's Coxless Fours","POL"
"Rowing Men's Coxless Fours","PRK"
"Rowing Men's Coxless Fours","ROU"
"Rowing Men's Coxless Fours","RSA"
"Rowing Men's Coxless Fours","RUS"
"Rowing Men's Coxless Fours","SAA"
"Rowing Men's Coxless Fours","SCG"
"Rowing Men's Coxless Fours","SLO"
"Rowing Men's Coxless Fours","SRB"
"Rowing Men's Coxless Fours","SUI"
"Rowing Men's Coxless Fours","SWE"
"Rowing Men's Coxless Fours","TCH"
"Rowing Men's Coxless Fours","URS"
"Rowing Men's Coxless Fours","USA"
"Rowing Men's Coxless Fours","YUG"
"Rowing Men's Coxless Pairs","ARG"
"Rowing Men's Coxless Pairs","AUS"
"Rowing Men's Coxless Pairs","AUT"
"Rowing Men's Coxless Pairs","BEL"
"Rowing Men's Coxless Pairs","BLR"
"Rowing Men's Coxless Pairs","BRA"
"Rowing Men's Coxless Pairs","BUL"
"Rowing Men's Coxless Pairs","CAN"
"Rowing Men's Coxless Pairs","CRO"
"Rowing Men's Coxless Pairs","CUB"
"Rowing Men's Coxless Pairs","CZE"
"Rowing Men's Coxless Pairs","DEN"
"Rowing Men's Coxless Pairs","EGY"
"Rowing Men's Coxless Pairs","ESP"
"Rowing Men's Coxless Pairs","EUN"
"Rowing Men's Coxless Pairs","FIN"
"Rowing Men's Coxless Pairs","FRA"
"Rowing Men's Coxless Pairs","FRG"
"Rowing Men's Coxless Pairs","GBR"
"Rowing Men's Coxless Pairs","GDR"
"Rowing Men's Coxless Pairs","GER"
"Rowing Men's Coxless Pairs","GRE"
"Rowing Men's Coxless Pairs","GUA"
"Rowing Men's Coxless Pairs","HUN"
"Rowing Men's Coxless Pairs","IND"
"Rowing Men's Coxless Pairs","IOA"
"Rowing Men's Coxless Pairs","IRL"
"Rowing Men's Coxless Pairs","ITA"
"Rowing Men's Coxless Pairs","JPN"
"Rowing Men's Coxless Pairs","LTU"
"Rowing Men's Coxless Pairs","MEX"
"Rowing Men's Coxless Pairs","NED"
"Rowing Men's Coxless Pairs","NOR"
"Rowing Men's Coxless Pairs","NZL"
"Rowing Men's Coxless Pairs","PER"
"Rowing Men's Coxless Pairs","POL"
"Rowing Men's Coxless Pairs","PRK"
"Rowing Men's Coxless Pairs","ROU"
"Rowing Men's Coxless Pairs","RSA"
"Rowing Men's Coxless Pairs","SAA"
"Rowing Men's Coxless Pairs","SCG"
"Rowing Men's Coxless Pairs","SLO"
"Rowing Men's Coxless Pairs","SRB"
"Rowing Men's Coxless Pairs","SUI"
"Rowing Men's Coxless Pairs","SWE"
"Rowing Men's Coxless Pairs","TCH"
"Rowing Men's Coxless Pairs","URS"
"Rowing Men's Coxless Pairs","URU"
"Rowing Men's Coxless Pairs","USA"
"Rowing Men's Coxless Pairs","YUG"
"Rowing Men's Double Sculls","ARG"
"Rowing Men's Double Sculls","AUS"
"Rowing Men's Double Sculls","AUT"
"Rowing Men's Double Sculls","AZE"
"Rowing Men's Double Sculls","BEL"
"Rowing Men's Double Sculls","BLR"
"Rowing Men's Double Sculls","BRA"
"Rowing Men's Double Sculls","BUL"
"Rowing Men's Double Sculls","CAN"
"Rowing Men's Double Sculls","CHI"
"Rowing Men's Double Sculls","CHN"
"Rowing Men's Double Sculls","CRO"
"Rowing Men's Double Sculls","CUB"
"Rowing Men's Double Sculls","CZE"
"Rowing Men's Double Sculls","DEN"
"Rowing Men's Double Sculls","ESP"
"Rowing Men's Double Sculls","EST"
"Rowing Men's Double Sculls","EUN"
"Rowing Men's Double Sculls","FIN"
"Rowing Men's Double Sculls","FRA"
"Rowing Men's Double Sculls","FRG"
"Rowing Men's Double Sculls","GBR"
"Rowing Men's Double Sculls","GDR"
"Rowing Men's Double Sculls","GER"
"Rowing Men's Double Sculls","GRE"
"Rowing Men's Double Sculls","HKG"
"Rowing Men's Double Sculls","HUN"
"Rowing Men's Double Sculls","IRQ"
"Rowing Men's Double Sculls","ITA"
"Rowing Men's Double Sculls","JPN"
"Rowing Men's Double Sculls","KOR"
"Rowing Men's Double Sculls","LAT"
"Rowing Men's Double Sculls","LTU"
