name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,e_fg_percent,ft_percent,ts_percent
Brandon Miller,CHA,SF,"6'9""",81,"6'11.5""",83.5,3,27,924,0.403,19,0.403,0.597,0.475,0.355,0.509,0.861,0.54
Brice Sensabaugh,UTA,SF,"6'6""",78,"6'11""",83,5,71,1432,0.459,18.7,0.379,0.621,0.52,0.422,0.59,0.89,0.612
Bronny James,LAL,PG,"6'1.5""",73.5,"6'7.25""",79.25,5.75,27,181,0.313,16.6,0.522,0.478,0.343,0.281,0.381,0.786,0.424
Brook Lopez,MIL,C,"6'11.25""",83.25,"7'5.5""",89.5,6.25,80,2546,0.509,16,0.518,0.482,0.636,0.373,0.599,0.826,0.624
Bruce Brown,NOP,SG,"6'3.25""",75.25,"6'9""",81,5.75,41,922,0.421,11.1,0.738,0.262,0.452,0.333,0.464,0.815,0.504
Bryce McGowens,POR,SG,"6'5.25""",77.25,"6'8.75""",80.75,3.5,13,32,0.286,11.3,0.714,0.286,0.4,0,0.286,0.833,0.391
Bub Carrington,WAS,SG,"6'3.75""",75.75,"6'8""",80,4.25,82,2458,0.401,19.1,0.456,0.544,0.475,0.339,0.493,0.812,0.514
Buddy Hield,GSW,SG,"6'3.75""",75.75,"6'9.25""",81.25,5.5,82,1863,0.417,20,0.302,0.698,0.527,0.37,0.546,0.828,0.56
CJ McCollum,NOP,SG,"6'2.25""",74.25,"6'6.25""",78.25,4,56,1832,0.444,16.1,0.541,0.459,0.505,0.373,0.53,0.717,0.55
Cade Cunningham,DET,SG,"6'6""",78,"7'0.25""",84.25,6.25,70,2452,0.469,12.6,0.713,0.287,0.515,0.356,0.521,0.846,0.565
Caleb Houstan,ORL,SG,"6'7.5""",79.5,"6'11""",83,3.5,58,788,0.421,22.4,0.158,0.842,0.533,0.4,0.589,0.882,0.605
Caleb Martin,DAL,SF,"6'4""",76,"6'10.25""",82.25,6.25,45,1218,0.424,13.2,0.661,0.339,0.458,0.359,0.485,0.622,0.513
Cam Christie,LAC,SG,"6'4.5""",76.5,"6'8""",80,3.5,13,59,0.292,15.9,0.458,0.542,0.455,0.154,0.333,0.5,0.349
Cam Reddish,LAL,SF,"6'6.5""",78.5,"7'0.5""",84.5,6,33,589,0.404,14.7,0.5,0.5,0.532,0.277,0.473,0.615,0.498
Cam Spencer,MEM,SG,"6'3""",75,"6'5""",77,2,25,252,0.415,19,0.354,0.646,0.517,0.358,0.53,1,0.587
Cam Thomas,BKN,SG,"6'3""",75,"6'6.5""",78.5,3.5,25,781,0.438,16.3,0.57,0.43,0.506,0.349,0.513,0.881,0.575
Cam Whitmore,HOU,SF,"6'5.75""",77.75,"6'8.5""",80.5,2.75,51,827,0.444,14.9,0.546,0.454,0.518,0.355,0.525,0.75,0.549
Cameron Johnson,BKN,PF,"6'7""",79,"6'10""",82,3,57,1800,0.475,17.2,0.454,0.546,0.578,0.39,0.582,0.893,0.632
Cameron Payne,NYK,PG,"6'0.75""",72.75,"6'7.25""",79.25,6.5,72,1090,0.401,17.8,0.426,0.574,0.453,0.363,0.506,0.907,0.532
Caris LeVert,ATL,SF,"6'5.75""",77.75,"6'10""",82,4.25,64,1596,0.467,14.3,0.526,0.474,0.552,0.373,0.556,0.71,0.582
Cason Wallace,OKC,PG,"6'2.5""",74.5,"6'8.5""",80.5,6,68,1876,0.474,13.2,0.575,0.425,0.562,0.356,0.55,0.811,0.562
Charles Bassey,SAS,C,"6'9""",81,"7'3.5""",87.5,7,36,376,0.581,3.5,1,0,0.581,NA,0.581,0.636,0.597
Chet Holmgren,OKC,C,"7'0""",84,"7'6""",90,6,32,877,0.49,12.4,0.66,0.34,0.547,0.379,0.554,0.754,0.599
Chris Boucher,TOR,C,"6'8""",80,"7'4""",88,8,50,862,0.492,14.9,0.478,0.522,0.633,0.363,0.586,0.782,0.615
Chris Paul,SAS,PG,"6'1""",73,"6'4""",76,3,82,2292,0.427,21.2,0.364,0.636,0.514,0.377,0.547,0.924,0.58
Christian Braun,DEN,SF,"6'5.5""",77.5,"6'6.5""",78.5,1,79,2675,0.58,9.9,0.727,0.273,0.648,0.397,0.634,0.827,0.665
Christian Koloko,LAL,C,"6'10.75""",82.75,"7'5.25""",89.25,6.5,37,342,0.606,4.6,0.939,0.061,0.645,0,0.606,0.714,0.624
Clint Capela,ATL,C,"6'10""",82,"7'4.5""",88.5,6.5,55,1176,0.559,3,0.997,0.003,0.56,0,0.559,0.536,0.564
Coby White,CHI,PG,"6'3.5""",75.5,"6'5""",77,1.5,74,2450,0.453,16.6,0.479,0.521,0.544,0.37,0.55,0.902,0.601
Cody Martin,PHX,SF,"6'4.75""",76.75,"6'10.25""",82.25,5.5,53,1173,0.418,15.3,0.535,0.465,0.534,0.285,0.485,0.705,0.509
Cody Williams,UTA,SF,"6'6.5""",78.5,"7'1""",85,6.5,50,1060,0.323,16.3,0.475,0.525,0.393,0.259,0.391,0.725,0.419
Colby Jones,WAS,SG,"6'4.5""",76.5,"6'8""",80,3.5,39,515,0.457,14.6,0.62,0.38,0.538,0.327,0.519,0.657,0.544
Cole Anthony,ORL,PG,"6'2""",74,"6'4.5""",76.5,2.5,67,1234,0.424,15.6,0.599,0.401,0.471,0.353,0.494,0.823,0.531
Cole Swider,TOR,PF,"6'9""",81,"6'11""",83,2,10,169,0.349,23.2,0.254,0.746,0.438,0.319,0.468,0,0.465
Collin Sexton,UTA,PG,"6'0.5""",72.5,"6'7.25""",79.25,6.75,63,1758,0.48,13.1,0.687,0.313,0.513,0.406,0.543,0.865,0.593
Corey Kispert,WAS,SF,"6'6""",78,"6'7""",79,1,61,1602,0.451,17.5,0.416,0.584,0.574,0.364,0.558,0.852,0.584
Cory Joseph,ORL,PG,"6'2""",74,"6'5.5""",77.5,3.5,50,612,0.403,20.4,0.305,0.695,0.489,0.364,0.529,0.778,0.547
Craig Porter Jr.,CLE,PG,"6'1""",73,"6'4""",76,3,51,513,0.514,12.3,0.657,0.343,0.554,0.438,0.589,0.719,0.61
D'Angelo Russell,BKN,PG,"6'3.25""",75.25,"6'9.75""",81.75,6.5,58,1480,0.39,18.4,0.436,0.564,0.489,0.314,0.479,0.834,0.522
Dalano Banton,POR,SG,"6'9""",81,"6'10.25""",82.25,1.25,67,1120,0.391,14.4,0.562,0.438,0.442,0.324,0.462,0.728,0.497
Dalen Terry,CHI,SG,"6'6""",78,"7'0.75""",84.75,6.75,73,987,0.448,11.7,0.612,0.388,0.506,0.356,0.517,0.71,0.546
Dalton Knecht,LAL,SF,"6'5.25""",77.25,"6'9""",81,3.75,78,1494,0.461,18.1,0.39,0.61,0.594,0.376,0.576,0.762,0.594
Damian Lillard,MIL,PG,"6'1.75""",73.75,"6'7.75""",79.75,6,58,2093,0.448,18.5,0.472,0.528,0.528,0.376,0.547,0.921,0.621
Daniel Gafford,DAL,C,"6'9.25""",81.25,"7'2.5""",86.5,5.25,57,1226,0.702,2.6,1,0,0.702,NA,0.702,0.689,0.716
Dante Exum,DAL,SG,"6'5""",77,"6'9""",81,4,20,372,0.478,13.3,0.604,0.396,0.506,0.434,0.563,0.742,0.589
Dario Šarić,DEN,PF,"6'9.5""",81.5,"6'10""",82,0.5,16,210,0.362,14.1,0.552,0.448,0.438,0.269,0.422,0.7,0.449
Dariq Whitehead,BKN,SG,"6'5.75""",77.75,"6'10.25""",82.25,4.5,20,246,0.406,21.3,0.229,0.771,0.273,0.446,0.578,0.6,0.58
Darius Garland,CLE,PG,"6'1""",73,"6'5""",77,4,75,2301,0.472,16.3,0.549,0.451,0.53,0.401,0.562,0.878,0.6
David Roddy,HOU,PF,"6'4.5""",76.5,"6'11.5""",83.5,7,33,410,0.456,16.3,0.512,0.488,0.594,0.311,0.532,0.769,0.561
Davion Mitchell,MIA,PG,"6'0""",72,"6'4.25""",76.25,4.25,74,2027,0.468,14.2,0.557,0.443,0.525,0.398,0.557,0.69,0.573
Day'Ron Sharpe,BKN,C,"6'9""",81,"7'0""",84,3,50,907,0.521,6.6,0.858,0.142,0.566,0.244,0.538,0.757,0.568
De'Aaron Fox,SAS,PG,"6'2""",74,"6'6.5""",78.5,4.5,62,2241,0.463,14.4,0.672,0.328,0.538,0.31,0.514,0.827,0.56
De'Andre Hunter,CLE,SF,"6'7""",79,"7'2""",86,7,64,1740,0.47,16.5,0.491,0.509,0.537,0.405,0.573,0.846,0.623
De'Anthony Melton,BKN,SG,"6'2.25""",74.25,"6'8.5""",80.5,6.25,6,121,0.407,18.2,0.352,0.648,0.474,0.371,0.528,0.625,0.539
DeAndre Jordan,DEN,C,"6'9.75""",81.75,"7'6""",90,8.25,56,691,0.65,2.3,1,0,0.65,NA,0.65,0.422,0.621
DeMar DeRozan,SAC,SF,"6'5.5""",77.5,"6'9""",81,3.5,77,2768,0.477,15.3,0.804,0.196,0.513,0.328,0.509,0.857,0.569
Dean Wade,CLE,PF,"6'9""",81,"6'10""",82,1,59,1252,0.413,21,0.181,0.819,0.653,0.36,0.561,0.533,0.563
Deandre Ayton,POR,C,"6'11""",83,"7'6""",90,7,40,1206,0.566,8.4,0.932,0.068,0.594,0.188,0.573,0.667,0.583
Dejounte Murray,NOP,PG,"6'4""",76,"6'10""",82,6,31,1012,0.393,14.8,0.648,0.352,0.444,0.299,0.445,0.823,0.494
Delon Wright,NYK,PG,"6'4.25""",76.25,"6'7.5""",79.5,3.25,40,635,0.344,15.6,0.443,0.557,0.431,0.274,0.42,0.6,0.44
Deni Avdija,POR,SF,"6'8.75""",80.75,"6'8.5""",80.5,-0.25,72,2161,0.476,12.9,0.595,0.405,0.552,0.365,0.55,0.78,0.605
Dennis Schröder,DET,PG,"6'1""",73,"6'7.75""",79.75,6.75,75,2105,0.406,16.7,0.551,0.449,0.458,0.342,0.483,0.838,0.531
Dereck Lively II,DAL,C,"7'1""",85,"7'7""",91,6,36,833,0.702,3.1,1,0,0.702,NA,0.702,0.63,0.704
Derrick Jones Jr.,LAC,PF,"6'6""",78,"7'0""",84,6,77,1873,0.526,11.4,0.628,0.372,0.627,0.356,0.593,0.703,0.609
Derrick White,BOS,SG,"6'3.25""",75.25,"6'7.5""",79.5,4.25,76,2574,0.442,20.7,0.279,0.721,0.593,0.384,0.58,0.839,0.606
Desmond Bane,MEM,SG,"6'5""",77,"6'4.25""",76.25,-0.75,69,2205,0.484,14.7,0.589,0.411,0.548,0.392,0.565,0.894,0.6
Devin Booker,PHX,SG,"6'4.5""",76.5,"6'8.25""",80.25,3.75,75,2795,0.461,16.2,0.612,0.388,0.542,0.332,0.525,0.894,0.589
Devin Carter,SAC,SG,"6'2.25""",74.25,"6'8.75""",80.75,6.5,36,396,0.37,15.6,0.52,0.48,0.439,0.295,0.441,0.591,0.471
Devin Vassell,SAS,SG,"6'5""",77,"6'10""",82,5,64,1983,0.443,17.2,0.517,0.483,0.513,0.368,0.532,0.792,0.553
Dillon Brooks,HOU,SF,"6'5""",77,"6'6""",78,1,75,2388,0.429,17.3,0.476,0.524,0.465,0.397,0.533,0.818,0.555
Dillon Jones,OKC,SF,"6'4.5""",76.5,"6'11""",83,6.5,54,551,0.383,14.4,0.526,0.474,0.5,0.254,0.444,0.607,0.464
Domantas Sabonis,SAC,C,"6'10""",82,"6'11""",83,1,70,2429,0.59,8.1,0.825,0.175,0.627,0.417,0.627,0.754,0.655
Dominick Barlow,ATL,PF,"6'8.75""",80.75,"7'3""",87,6.25,35,375,0.531,9.3,0.761,0.239,0.616,0.259,0.562,0.636,0.58
Donovan Clingan,POR,C,"7'1.75""",85.75,"7'6.75""",90.75,5,67,1324,0.539,5.8,0.853,0.147,0.582,0.286,0.56,0.596,0.574
Donovan Mitchell,CLE,SG,"6'1.25""",73.25,"6'10""",82,8.75,71,2232,0.443,17,0.52,0.48,0.512,0.368,0.531,0.823,0.575
Donte DiVincenzo,MIN,SG,"6'3.5""",75.5,"6'6""",78,2.5,62,1606,0.422,20.5,0.261,0.739,0.49,0.397,0.568,0.778,0.582
Dorian Finney-Smith,LAL,SF,"6'6.5""",78.5,"6'11.75""",83.75,5.25,63,1818,0.448,18.8,0.278,0.722,0.545,0.411,0.597,0.667,0.604
Doug McDermott,SAC,SF,"6'6.25""",78.25,"6'9.25""",81.25,3,42,342,0.427,23.3,0.137,0.863,0.375,0.436,0.615,0.6,0.617
Draymond Green,GSW,PF,"6'5.75""",77.75,"7'1.25""",85.25,7.5,68,1983,0.424,14.9,0.517,0.483,0.517,0.325,0.503,0.687,0.534
Drew Eubanks,LAC,C,"6'9""",81,"6'11""",83,2,61,746,0.593,4.7,0.969,0.031,0.596,0.5,0.601,0.662,0.622
Duop Reath,POR,C,"6'9""",81,"7'1""",85,4,46,469,0.422,17.5,0.361,0.639,0.6,0.321,0.524,0.909,0.552
Dwight Powell,DAL,C,"6'9.5""",81.5,"7'0.5""",84.5,3,55,551,0.689,3.9,0.918,0.082,0.714,0.4,0.705,0.651,0.713
Dyson Daniels,ATL,SG,"6'6""",78,"6'10.5""",82.5,4.5,76,2571,0.493,10.4,0.745,0.255,0.545,0.34,0.536,0.593,0.545
E.J. Liddell,CHI,PF,"6'5.5""",77.5,"6'11.75""",83.75,6.25,12,53,0.533,20.3,0.333,0.667,1,0.3,0.633,1,0.661
Emoni Bates,CLE,SF,"6'8.25""",80.25,"6'9""",81,0.75,10,75,0.342,23.4,0.211,0.789,0.25,0.367,0.487,NA,0.487
Eric Gordon,PHI,SG,"6'2""",74,"6'9""",81,7,39,768,0.426,19.9,0.328,0.672,0.463,0.409,0.564,0.75,0.591
Evan Mobley,CLE,PF,"6'11""",83,"7'4""",88,5,71,2167,0.557,9.4,0.746,0.254,0.621,0.37,0.604,0.725,0.633
Franz Wagner,ORL,SF,"6'9""",81,"6'11.5""",83.5,2.5,60,2023,0.463,12.5,0.697,0.303,0.535,0.295,0.507,0.871,0.558
Fred VanVleet,HOU,PG,"6'0""",72,"6'2""",74,2,60,2111,0.378,20.2,0.393,0.607,0.43,0.345,0.483,0.81,0.515
GG Jackson II,MEM,PF,"6'8.25""",80.25,"6'11.5""",83.5,3.25,29,459,0.372,14.6,0.523,0.477,0.404,0.337,0.452,0.725,0.482
Gary Harris,ORL,SG,"6'2.5""",74.5,"6'6.75""",78.75,4.25,48,711,0.383,20.7,0.241,0.759,0.469,0.356,0.519,0.583,0.524
Gary Payton II,GSW,SG,"6'2""",74,"6'8""",80,6,62,927,0.574,10.1,0.681,0.319,0.69,0.326,0.626,0.711,0.635
Gary Trent Jr.,MIL,SG,"6'4.25""",76.25,"6'8.75""",80.75,4.5,74,1893,0.431,20.4,0.341,0.659,0.46,0.416,0.568,0.848,0.591
Georges Niang,ATL,PF,"6'6.75""",78.75,"6'10""",82,3.25,79,1697,0.461,18.1,0.34,0.66,0.569,0.406,0.595,0.793,0.607
Giannis Antetokounmpo,MIL,PF,"6'11""",83,"7'3""",87,4,67,2289,0.601,7,0.952,0.048,0.62,0.222,0.607,0.617,0.625
Goga Bitadze,ORL,C,"6'10.5""",82.5,"7'2""",86,3.5,70,1430,0.611,4.9,0.917,0.083,0.656,0.107,0.615,0.639,0.631
Gradey Dick,TOR,SG,"6'6.25""",78.25,"6'8.75""",80.75,2.5,54,1587,0.41,16.3,0.496,0.504,0.47,0.35,0.498,0.858,0.543
Grant Williams,CHA,PF,"6'5.75""",77.75,"6'9.75""",81.75,4,16,479,0.439,17.9,0.398,0.602,0.551,0.365,0.549,0.838,0.596
Grayson Allen,PHX,SG,"6'3""",75,"6'7.25""",79.25,4.25,64,1544,0.448,20,0.284,0.716,0.504,0.426,0.6,0.816,0.631
Guerschon Yabusele,PHI,PF,"6'7.5""",79.5,"7'1""",85,5.5,70,1895,0.501,14.4,0.513,0.487,0.616,0.38,0.593,0.725,0.616
Harrison Barnes,SAS,PF,"6'7""",79,"6'11.25""",83.25,4.25,82,2230,0.508,14.8,0.473,0.527,0.591,0.433,0.622,0.809,0.656
Harrison Ingram,SAS,SF,"6'5.25""",77.25,"7'0.25""",84.25,7,5,35,0.5,13.1,0.75,0.25,0.667,0,0.5,NA,0.5
Haywood Highsmith,MIA,SF,"6'5""",77,"6'11.5""",83.5,7,74,1818,0.458,16.4,0.404,0.596,0.57,0.382,0.572,0.721,0.583
Herbert Jones,NOP,SF,"6'6""",78,"7'0.25""",84.25,6.25,20,648,0.436,13.5,0.581,0.419,0.53,0.306,0.5,0.825,0.541
Immanuel Quickley,TOR,PG,"6'2""",74,"6'8.25""",80.25,6.25,33,918,0.42,17.3,0.486,0.514,0.465,0.378,0.517,0.867,0.57
Isaac Okoro,CLE,SF,"6'5""",77,"6'8.5""",80.5,3.5,55,1053,0.464,14.8,0.434,0.566,0.586,0.371,0.569,0.717,0.587
Isaiah Collier,UTA,PG,"6'2.5""",74.5,"6'4.75""",76.75,2.25,71,1839,0.422,12,0.695,0.305,0.497,0.249,0.459,0.682,0.494
Isaiah Hartenstein,OKC,C,"6'11.5""",83.5,"7'2.25""",86.25,2.75,57,1590,0.581,6.7,0.96,0.04,0.605,0,0.581,0.675,0.599
Isaiah Jackson,IND,C,"6'9.5""",81.5,"7'2.25""",86.25,4.75,5,84,0.609,1.9,1,0,0.609,NA,0.609,0.5,0.6
Isaiah Joe,OKC,SG,"6'3""",75,"6'7.5""",79.5,4.5,74,1604,0.44,22.3,0.207,0.793,0.549,0.412,0.604,0.821,0.617
Isaiah Stewart,DET,C,"6'7.25""",79.25,"7'4.75""",88.75,9.5,72,1434,0.559,7.2,0.832,0.168,0.607,0.321,0.586,0.759,0.616
Ivica Zubac,LAC,C,"6'11.5""",83.5,"7'4""",88,4.5,80,2624,0.628,4.4,1,0,0.628,NA,0.628,0.661,0.641
JD Davison,BOS,PG,"6'0.5""",72.5,"6'6.5""",78.5,6,16,93,0.353,17.8,0.471,0.529,0.5,0.222,0.412,0.714,0.445
JT Thor,WAS,PF,"6'8.5""",80.5,"7'3.25""",87.25,6.75,20,249,0.424,14,0.644,0.356,0.5,0.286,0.475,0.682,0.517
Ja Morant,MEM,PG,"6'2.5""",74.5,"6'6""",78,3.5,50,1519,0.454,12.7,0.679,0.321,0.523,0.309,0.504,0.824,0.563
Ja'Kobe Walter,TOR,PG,"6'4.25""",76.25,"6'10""",82,5.75,52,1103,0.405,15,0.527,0.473,0.454,0.349,0.487,0.795,0.523
Jabari Smith Jr.,HOU,PF,"6'10.5""",82.5,"7'1""",85,2.5,57,1716,0.438,16.2,0.511,0.489,0.519,0.354,0.525,0.825,0.562
Jabari Walker,POR,PF,"6'6.75""",78.75,"6'10.75""",82.75,4,60,749,0.515,10.1,0.686,0.314,0.573,0.389,0.576,0.69,0.601
Jaden Hardy,DAL,SG,"6'3.5""",75.5,"6'9""",81,5.5,57,907,0.435,16.2,0.524,0.476,0.479,0.386,0.527,0.698,0.549
Jaden Ivey,DET,SG,"6'3.5""",75.5,"6'9""",81,5.5,30,898,0.46,13.7,0.627,0.373,0.49,0.409,0.536,0.733,0.569
Jaden McDaniels,MIN,SF,"6'9""",81,"6'11""",83,2,82,2614,0.477,12.8,0.637,0.363,0.561,0.33,0.537,0.813,0.562
Jaden Springer,UTA,SG,"6'3""",75,"6'7.75""",79.75,4.75,43,365,0.389,16.6,0.467,0.533,0.548,0.25,0.456,0.711,0.511
Jae Crowder,SAC,PF,"6'4.75""",76.75,"6'9.25""",81.25,4.5,9,103,0.318,20.6,0.318,0.682,0.429,0.267,0.409,0.833,0.467
Jae'Sean Tate,HOU,PF,"6'4""",76,"6'8""",80,4,52,588,0.473,10.4,0.689,0.311,0.529,0.348,0.527,0.681,0.557
Jaime Jaquez Jr.,MIA,SF,"6'6""",78,"6'9.5""",81.5,3.5,66,1368,0.461,9.9,0.742,0.258,0.513,0.311,0.501,0.754,0.543
Jake LaRavia,SAC,SF,"6'6.75""",78.75,"6'9.5""",81.5,2.75,66,1349,0.475,14.6,0.579,0.421,0.513,0.423,0.564,0.678,0.591
Jakob Poeltl,TOR,C,"7'0.25""",84.25,"7'2.75""",86.75,2.5,57,1686,0.627,5,0.995,0.005,0.628,0.333,0.628,0.674,0.641
Jalen Brunson,NYK,PG,"6'1""",73,"6'4""",76,3,65,2301,0.488,14.2,0.669,0.331,0.539,0.383,0.551,0.821,0.605
Jalen Duren,DET,C,"6'10.25""",82.25,"7'5""",89,6.75,78,2034,0.692,2.5,1,0,0.692,NA,0.692,0.669,0.703
Jalen Green,HOU,SG,"6'4""",76,"6'7.5""",79.5,3.5,82,2697,0.423,16.3,0.54,0.46,0.482,0.354,0.505,0.813,0.544
Jalen Hood-Schifino,PHI,PG,"6'4.25""",76.25,"6'10.25""",82.25,6,15,315,0.378,16.8,0.531,0.469,0.442,0.304,0.449,0.857,0.494
Jalen Johnson,ATL,PF,"6'7.75""",79.75,"7'0.25""",84.25,4.5,36,1284,0.5,10.2,0.74,0.26,0.566,0.312,0.541,0.746,0.569
Jalen Pickett,DEN,PG,"6'2""",74,"6'7.25""",79.25,5.25,49,666,0.428,18.8,0.439,0.561,0.468,0.396,0.539,0.75,0.545
Jalen Smith,CHI,PF,"6'9.25""",81.25,"7'2.25""",86.25,5,64,962,0.466,15.4,0.456,0.544,0.634,0.324,0.554,0.809,0.586
Jalen Suggs,ORL,PG,"6'3.5""",75.5,"6'5.5""",77.5,2,35,1002,0.41,17.7,0.497,0.503,0.506,0.314,0.489,0.882,0.536
Jalen Williams,OKC,SG,"6'4.5""",76.5,"7'2.25""",86.25,9.75,69,2237,0.484,13.3,0.709,0.291,0.533,0.365,0.537,0.789,0.573
Jalen Wilson,BKN,SF,"6'5.5""",77.5,"6'8""",80,2.5,79,2031,0.397,16.9,0.416,0.584,0.481,0.337,0.495,0.818,0.541
Jamal Murray,DEN,PG,"6'3.5""",75.5,"6'6.5""",78.5,3,67,2418,0.474,15.6,0.646,0.354,0.518,0.393,0.543,0.886,0.584
Jamal Shead,TOR,PG,"6'0.25""",72.25,"6'3""",75,2.75,75,1467,0.405,15.3,0.558,0.442,0.47,0.323,0.476,0.768,0.499
James Harden,LAC,SG,"6'4""",76,"6'10.75""",82.75,6.75,79,2789,0.41,17.3,0.484,0.516,0.472,0.352,0.501,0.874,0.582
Jarace Walker,IND,PF,"6'6.5""",78.5,"7'2.5""",86.5,8,75,1187,0.472,16.4,0.486,0.514,0.543,0.405,0.576,0.667,0.59
Jared McCain,PHI,SG,"6'2""",74,"6'3.5""",75.5,1.5,23,592,0.46,16,0.515,0.485,0.532,0.383,0.553,0.875,0.589
Jaren Jackson Jr.,MEM,PF,"6'9.75""",81.75,"7'5.25""",89.25,7.5,74,2207,0.488,13.1,0.679,0.321,0.541,0.375,0.548,0.781,0.591
Jarred Vanderbilt,LAL,PF,"6'8.5""",80.5,"7'1""",85,4.5,36,581,0.488,8.2,0.736,0.264,0.562,0.281,0.525,0.556,0.537
Jarrett Allen,CLE,C,"6'9""",81,"7'5.25""",89.25,8.25,82,2296,0.706,3.6,0.992,0.008,0.712,0,0.706,0.718,0.724
Jaxson Hayes,LAL,C,"6'10.25""",82.25,"7'3.5""",87.5,5.25,56,1093,0.722,2.9,0.987,0.013,0.732,0,0.722,0.622,0.72
Jaylen Brown,BOS,SF,"6'5.25""",77.25,"6'11.75""",83.75,6.5,63,2158,0.463,13.4,0.68,0.32,0.529,0.324,0.515,0.764,0.555
Jaylen Clark,MIN,SG,"6'4""",76,"6'9""",81,5,40,522,0.467,13.4,0.575,0.425,0.493,0.431,0.558,0.784,0.598
Jaylen Wells,MEM,SF,"6'6.5""",78.5,"6'7.25""",79.25,0.75,79,2043,0.425,17.4,0.42,0.58,0.525,0.352,0.527,0.822,0.56
Jaylin Williams,OKC,C,"6'8.75""",80.75,"7'1""",85,4.25,47,784,0.439,19.7,0.308,0.692,0.529,0.399,0.577,0.767,0.594
Jaylon Tyson,CLE,SG,"6'5.5""",77.5,"6'8""",80,2.5,47,453,0.43,12.4,0.611,0.389,0.484,0.345,0.497,0.792,0.523
Jayson Tatum,BOS,SF,"6'7.5""",79.5,"6'11""",83,3.5,72,2624,0.452,17.1,0.503,0.497,0.559,0.343,0.537,0.814,0.582
Jeff Green,HOU,PF,"6'7""",79,"7'1.25""",85.25,6.25,32,396,0.504,18.5,0.347,0.653,0.762,0.367,0.624,0.808,0.649
Jerami Grant,POR,PF,"6'6.5""",78.5,"7'2.75""",86.75,8.25,47,1524,0.373,16,0.484,0.516,0.381,0.365,0.467,0.849,0.523
Jeremiah Robinson-Earl,NOP,PF,"6'7.75""",79.75,"6'9.75""",81.75,2,66,1239,0.455,14,0.527,0.473,0.557,0.341,0.536,0.836,0.563
Jeremy Sochan,SAS,PF,"6'8.5""",80.5,"6'11.75""",83.75,3.25,54,1364,0.535,7.4,0.806,0.194,0.59,0.308,0.565,0.696,0.589
Jericho Sims,MIL,C,"6'10""",82,"7'3""",87,5,53,632,0.634,2.5,1,0,0.634,NA,0.634,0.615,0.639
Jett Howard,ORL,SF,"6'8""",80,"6'9""",81,1,60,701,0.374,20.8,0.29,0.71,0.566,0.296,0.479,0.696,0.491
Jevon Carter,CHI,PG,"6'0.25""",72.25,"6'4.25""",76.25,4,36,321,0.377,20.3,0.281,0.719,0.488,0.333,0.497,0.8,0.509
Jimmy Butler,GSW,SF,"6'6""",78,"6'7.5""",79.5,1.5,55,1746,0.504,9,0.826,0.174,0.546,0.308,0.531,0.842,0.626
Jock Landale,HOU,C,"6'11""",83,"7'2""",86,3,42,500,0.533,9.2,0.829,0.171,0.556,0.423,0.569,0.675,0.59
Joe Ingles,MIN,SF,"6'7.75""",79.75,"6'10.25""",82.25,2.5,19,114,0.261,19.4,0.348,0.652,0.375,0.2,0.326,NA,0.326
Joel Embiid,PHI,C,"6'11.75""",83.75,"7'5""",89,5.25,19,574,0.444,13.5,0.756,0.244,0.492,0.299,0.481,0.882,0.58
John Collins,UTA,PF,"6'8.25""",80.25,"6'11.25""",83.25,3,40,1220,0.527,11,0.721,0.279,0.577,0.399,0.583,0.848,0.628
John Konchar,MEM,SF,"6'4.75""",76.75,"6'8""",80,3.25,46,558,0.451,18,0.319,0.681,0.621,0.371,0.577,0.875,0.592
Johnny Furphy,IND,SF,"6'7.5""",79.5,"6'8""",80,0.5,50,379,0.38,15.3,0.457,0.543,0.476,0.3,0.462,0.818,0.506
Jonas Valančiūnas,SAC,C,"6'11""",83,"7'5""",89,6,81,1524,0.55,7.3,0.941,0.059,0.571,0.216,0.557,0.879,0.602
Jonathan Isaac,ORL,PF,"6'10.5""",82.5,"7'1""",85,2.5,71,1090,0.414,14.1,0.534,0.466,0.549,0.258,0.474,0.682,0.512
Jonathan Kuminga,GSW,SF,"6'7""",79,"6'11.25""",83.25,4.25,47,1144,0.454,11.3,0.734,0.266,0.508,0.305,0.495,0.668,0.535
Jonathan Mogbo,TOR,PF,"6'6.25""",78.25,"7'2""",86,7.75,63,1286,0.438,8.6,0.803,0.197,0.486,0.243,0.462,0.732,0.496
Jordan Clarkson,UTA,SG,"6'3.25""",75.25,"6'8""",80,4.75,37,962,0.408,16.6,0.529,0.471,0.448,0.362,0.493,0.797,0.54
Jordan Hawkins,NOP,SG,"6'4.25""",76.25,"6'6.75""",78.75,2.5,56,1321,0.372,19.3,0.403,0.597,0.433,0.331,0.471,0.816,0.504
Jordan McLaughlin,SAS,PG,"5'11""",71,"6'4.5""",76.5,5.5,46,314,0.431,19.5,0.361,0.639,0.462,0.413,0.563,0.773,0.6
Jordan Miller,LAC,SF,"6'4.5""",76.5,"6'11.75""",83.75,7.25,37,420,0.433,10.2,0.716,0.284,0.521,0.211,0.463,0.8,0.509
