name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,e_fg_percent,ft_percent,ts_percent
Richaun Holmes,WAS,C,"6'8.25""",80.25,"7'1.5""",85.5,5.25,31,534,0.647,3.6,0.978,0.022,0.662,0,0.647,0.833,0.695
Rob Dillingham,MIN,PG,"6'1""",73,"6'3""",75,2,49,516,0.441,13.9,0.649,0.351,0.496,0.338,0.5,0.533,0.503
Robert Williams,POR,C,"6'8""",80,"7'5.5""",89.5,9.5,20,351,0.641,3.7,0.962,0.038,0.653,0.333,0.647,0.882,0.679
Ron Holland,DET,SG,"6'6.5""",78.5,"6'10.75""",82.75,4.25,81,1266,0.474,12.1,0.637,0.363,0.608,0.238,0.517,0.754,0.556
Royce O'Neale,PHX,SF,"6'4""",76,"6'9""",81,5,75,1837,0.423,21.2,0.226,0.774,0.481,0.406,0.58,0.731,0.585
Rudy Gobert,MIN,C,"7'0.5""",84.5,"7'8.5""",92.5,8,72,2388,0.669,2.4,1,0,0.669,NA,0.669,0.674,0.687
Rui Hachimura,LAL,PF,"6'7.75""",79.75,"7'2""",86,6.25,59,1869,0.509,13.7,0.571,0.429,0.581,0.413,0.597,0.77,0.619
Russell Westbrook,DEN,PG,"6'2.25""",74.25,"6'7.75""",79.75,5.5,75,2092,0.449,12.3,0.65,0.35,0.517,0.323,0.505,0.661,0.532
Ryan Dunn,PHX,PF,"6'6.25""",78.25,"7'1.5""",85.5,7.25,74,1410,0.43,16,0.447,0.553,0.577,0.311,0.516,0.487,0.517
Ryan Rollins,MIL,PG,"6'2""",74,"6'9.75""",81.75,7.75,56,820,0.487,14.6,0.557,0.443,0.55,0.408,0.577,0.8,0.6
Sam Hauser,BOS,SF,"6'6.75""",78.75,"6'9.25""",81.25,2.5,71,1541,0.451,22.9,0.158,0.842,0.64,0.416,0.627,1,0.632
Sam Merrill,CLE,SG,"6'3.5""",75.5,"6'5""",77,1.5,71,1401,0.406,22.7,0.132,0.868,0.625,0.372,0.567,0.966,0.583
Sandro Mamukelashvili,SAS,PF,"6'9""",81,"7'1.25""",85.25,4.25,61,681,0.502,16.1,0.427,0.573,0.675,0.373,0.609,0.741,0.628
Santi Aldama,MEM,PF,"6'10.75""",82.75,"6'11""",83,0.25,65,1660,0.483,15.6,0.497,0.503,0.599,0.368,0.576,0.691,0.588
Scoot Henderson,POR,PG,"6'2""",74,"6'9""",81,7,66,1759,0.419,14.9,0.566,0.434,0.469,0.354,0.496,0.767,0.54
Scottie Barnes,TOR,SF,"6'7""",79,"7'2.75""",86.75,7.75,65,2134,0.446,12.6,0.737,0.263,0.508,0.271,0.482,0.755,0.523
Seth Curry,CHA,SG,"6'1""",73,"6'4""",76,3,68,1062,0.478,18.8,0.469,0.531,0.503,0.456,0.599,0.846,0.616
Shaedon Sharpe,POR,SG,"6'4.25""",76.25,"6'11.5""",83.5,7.25,72,2252,0.452,15.7,0.572,0.428,0.557,0.311,0.519,0.785,0.551
Shai Gilgeous-Alexander,OKC,PG,"6'4.5""",76.5,"6'11.5""",83.5,7,76,2598,0.519,12.9,0.737,0.263,0.571,0.375,0.569,0.898,0.637
Shake Milton,LAL,SG,"6'4.5""",76.5,"7'0.75""",84.75,8.25,57,837,0.453,14.3,0.583,0.417,0.52,0.358,0.528,0.797,0.563
Sidy Cissoko,POR,SF,"6'5.5""",77.5,"6'9.75""",81.75,4.25,22,114,0.433,13.7,0.567,0.433,0.588,0.231,0.483,0.333,0.471
Spencer Dinwiddie,DAL,PG,"6'4.5""",76.5,"6'8.25""",80.25,3.75,79,2136,0.416,15.9,0.522,0.478,0.492,0.334,0.496,0.802,0.553
Stephen Curry,GSW,PG,"6'2""",74,"6'3.5""",75.5,1.5,70,2252,0.448,20,0.377,0.623,0.534,0.397,0.572,0.933,0.618
Stephon Castle,SAS,SG,"6'5.5""",77.5,"6'9""",81,3.5,81,2162,0.428,12.6,0.663,0.337,0.501,0.285,0.476,0.724,0.522
Steven Adams,HOU,C,"6'10.75""",82.75,"7'4.5""",88.5,5.75,58,794,0.545,4.1,0.988,0.012,0.552,0,0.545,0.462,0.541
Svi Mykhailiuk,UTA,SG,"6'6.5""",78.5,"6'5""",77,-1.5,38,760,0.391,19.7,0.328,0.672,0.485,0.345,0.507,0.8,0.526
T.J. McConnell,IND,PG,"6'0.5""",72.5,"6'2""",74,1.5,79,1415,0.519,9.1,0.921,0.079,0.537,0.306,0.531,0.74,0.547
Talen Horton-Tucker,CHI,SG,"6'2.5""",74.5,"7'1.25""",85.25,10.75,58,724,0.457,12.6,0.581,0.419,0.544,0.336,0.527,0.735,0.567
Tari Eason,HOU,PF,"6'6.75""",78.75,"7'2""",86,7.25,57,1420,0.487,11.3,0.671,0.329,0.557,0.342,0.543,0.76,0.567
Taurean Prince,MIL,SF,"6'6.5""",78.5,"6'11.5""",83.5,5,80,2166,0.457,18,0.348,0.652,0.492,0.439,0.6,0.813,0.613
Taylor Hendricks,UTA,PF,"6'8.25""",80.25,"7'0.5""",84.5,4.25,3,75,0.222,18.8,0.333,0.667,0.167,0.25,0.306,0.75,0.354
Terance Mann,ATL,SF,"6'4.75""",76.75,"6'7.75""",79.75,3,67,1414,0.496,13.5,0.605,0.395,0.58,0.368,0.569,0.691,0.584
Terrence Shannon Jr.,MIN,SG,"6'5.75""",77.75,"6'8.75""",80.75,3,32,339,0.482,9.8,0.728,0.272,0.53,0.355,0.531,0.81,0.56
Terry Rozier,MIA,PG,"6'0.5""",72.5,"6'8.25""",80.25,7.75,64,1658,0.391,15.7,0.515,0.485,0.48,0.295,0.462,0.852,0.497
Terry Taylor,SAC,PF,"6'4.75""",76.75,"6'11.5""",83.5,6.75,3,6,0,5.9,1,0,0,NA,0,NA,0
Thomas Bryant,IND,C,"6'9.5""",81.5,"7'6""",90,8.5,66,963,0.508,14.9,0.539,0.461,0.665,0.324,0.583,0.859,0.614
Tidjane Salaün,CHA,PF,"6'9""",81,"7'0.75""",84.75,3.75,60,1244,0.33,17.6,0.406,0.594,0.4,0.283,0.414,0.713,0.457
Tim Hardaway Jr.,DET,SG,"6'4.5""",76.5,"6'7""",79,2.5,77,2153,0.406,20.2,0.328,0.672,0.484,0.368,0.529,0.855,0.567
Tobias Harris,DET,PF,"6'6.5""",78.5,"6'11""",83,4.5,73,2305,0.477,13.1,0.672,0.328,0.542,0.345,0.534,0.861,0.571
Toumani Camara,POR,PF,"6'7""",79,"7'0.5""",84.5,5.5,78,2548,0.458,14,0.497,0.503,0.542,0.375,0.552,0.722,0.572
Trae Young,ATL,PG,"6'0.5""",72.5,"6'3""",75,2.5,76,2739,0.411,17.3,0.533,0.467,0.474,0.34,0.491,0.875,0.567
Trayce Jackson-Davis,GSW,C,"6'8.25""",80.25,"7'1""",85,4.75,62,967,0.576,3.4,0.99,0.01,0.582,0,0.576,0.578,0.587
Tre Jones,CHI,PG,"6'1""",73,"6'4""",76,3,46,905,0.538,8.9,0.798,0.202,0.574,0.396,0.578,0.821,0.617
Tre Mann,CHA,PG,"6'3.25""",75.25,"6'4""",76,0.75,13,319,0.435,13.6,0.627,0.373,0.455,0.4,0.509,0.905,0.537
Trendon Watford,BKN,PF,"6'7.5""",79.5,"7'2.25""",86.25,6.75,44,913,0.469,10.2,0.749,0.251,0.515,0.33,0.51,0.762,0.557
Trey Lyles,SAC,PF,"6'9""",81,"7'1.5""",85.5,4.5,69,1349,0.42,17.6,0.364,0.636,0.559,0.34,0.528,0.7,0.551
Trey Murphy III,NOP,SF,"6'7.5""",79.5,"7'0""",84,4.5,53,1854,0.454,16.6,0.478,0.522,0.556,0.361,0.548,0.887,0.598
Tristan Da Silva,ORL,PF,"6'8.25""",80.25,"6'10.25""",82.25,2,74,1629,0.412,15.1,0.505,0.495,0.488,0.335,0.495,0.873,0.522
Ty Jerome,CLE,PG,"6'4.25""",76.25,"6'4""",76,-0.25,70,1392,0.516,15.6,0.591,0.409,0.57,0.439,0.606,0.872,0.643
TyTy Washington Jr.,PHX,PG,"6'2.25""",74.25,"6'8""",80,5.75,16,118,0.311,17.4,0.533,0.467,0.417,0.19,0.356,0.5,0.367
Tyler Herro,MIA,SG,"6'4.5""",76.5,"6'3.25""",75.25,-1.25,77,2725,0.472,16.7,0.514,0.486,0.565,0.375,0.563,0.878,0.605
Tyler Kolek,NYK,PG,"6'1.25""",73.25,"6'2.75""",74.75,1.5,41,296,0.329,17.2,0.427,0.573,0.371,0.298,0.415,0.765,0.453
Tyler Smith,MIL,PF,"6'9""",81,"7'1""",85,4,23,122,0.48,17.2,0.4,0.6,0.55,0.433,0.61,0.75,0.626
Tyrese Haliburton,IND,PG,"6'4.75""",76.75,"6'7.75""",79.75,3,73,2451,0.473,19.3,0.441,0.559,0.581,0.388,0.582,0.851,0.616
Tyrese Maxey,PHI,PG,"6'2""",74,"6'7""",79,5,52,1960,0.437,15.1,0.562,0.438,0.515,0.337,0.511,0.879,0.562
Tyus Jones,PHX,PG,"6'0.5""",72.5,"6'5""",77,4.5,81,2174,0.448,18.3,0.413,0.587,0.496,0.414,0.57,0.895,0.585
Vasilije Micić,PHX,PG,"6'4""",76,"6'7""",79,3,41,785,0.348,17,0.542,0.458,0.338,0.36,0.43,0.829,0.462
Victor Wembanyama,SAS,C,"7'4""",88,"8'0""",96,8,46,1527,0.476,17,0.53,0.47,0.586,0.352,0.559,0.836,0.594
Vince Williams Jr.,MEM,SG,"6'4""",76,"6'11""",83,7,27,499,0.401,16.9,0.431,0.569,0.569,0.274,0.479,0.792,0.504
Vlatko Čančar,DEN,PF,"6'7.75""",79.75,"6'11""",83,3.25,13,136,0.385,16.4,0.423,0.577,0.545,0.267,0.462,NA,0.462
Walker Kessler,UTA,C,"7'0.25""",84.25,"7'4.25""",88.25,4,58,1740,0.663,4.3,0.919,0.081,0.706,0.176,0.671,0.52,0.66
Wendell Carter Jr.,ORL,C,"6'8.75""",80.75,"7'4.5""",88.5,7.75,68,1758,0.46,12.1,0.678,0.322,0.568,0.234,0.498,0.737,0.544
Wendell Moore Jr.,CHA,SG,"6'4.25""",76.25,"7'0.75""",84.75,8.5,36,499,0.468,11.1,0.675,0.325,0.529,0.341,0.524,0.818,0.553
Xavier Tillman Sr.,BOS,PF,"6'7.5""",79.5,"7'2""",86,6.5,33,231,0.245,17.2,0.396,0.604,0.381,0.156,0.292,0.75,0.31
Yves Missi,NOP,C,"6'10.75""",82.75,"7'2""",86,3.25,73,1956,0.547,2.8,0.998,0.002,0.548,0,0.547,0.623,0.572
Zaccharie Risacher,ATL,SF,"6'8.25""",80.25,"6'10.5""",82.5,2.25,75,1843,0.458,13.5,0.558,0.442,0.54,0.355,0.537,0.711,0.558
Zach Collins,CHI,C,"6'10.25""",82.25,"7'1""",85,2.75,64,977,0.507,11.6,0.649,0.351,0.617,0.302,0.56,0.885,0.605
Zach Edey,MEM,C,"7'3.75""",87.75,"7'10.75""",94.75,7,66,1416,0.58,6.1,0.88,0.12,0.612,0.346,0.6,0.709,0.624
Zach LaVine,SAC,SG,"6'4.5""",76.5,"6'8.25""",80.25,3.75,74,2602,0.511,15.9,0.562,0.438,0.562,0.446,0.609,0.825,0.639
Zeke Nnaji,DEN,PF,"6'9.25""",81.25,"7'2""",86,4.75,57,608,0.496,11.4,0.631,0.369,0.596,0.327,0.557,0.614,0.574
Ziaire Williams,BKN,SF,"6'8.25""",80.25,"6'10.25""",82.25,2,63,1541,0.412,16.2,0.419,0.581,0.509,0.341,0.511,0.821,0.55
Zion Williamson,NOP,PF,"6'5.75""",77.75,"6'10.5""",82.5,4.75,30,857,0.567,4.8,0.974,0.026,0.576,0.231,0.57,0.656,0.6
