Rank,Climber,Number,Gender,School,Tops,Zones,Attempts_Tops,Attempts_Zones,Boulder,Problem,Attempts
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,2,3,0
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,3,1,1
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,3,2,3
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,3,3,0
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,4,1,9
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,4,2,0
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,4,3,0
12,Jessica Wence,18,Women,None Listed,0,2,0,3,1,1,2
12,Jessica Wence,18,Women,None Listed,0,2,0,3,1,2,6
12,Jessica Wence,18,Women,None Listed,0,2,0,3,1,3,0
12,Jessica Wence,18,Women,None Listed,0,2,0,3,2,1,1
12,Jessica Wence,18,Women,None Listed,0,2,0,3,2,2,4
12,Jessica Wence,18,Women,None Listed,0,2,0,3,2,3,0
12,Jessica Wence,18,Women,None Listed,0,2,0,3,3,1,1
12,Jessica Wence,18,Women,None Listed,0,2,0,3,3,2,6
12,Jessica Wence,18,Women,None Listed,0,2,0,3,3,3,0
12,Jessica Wence,18,Women,None Listed,0,2,0,3,4,1,1
12,Jessica Wence,18,Women,None Listed,0,2,0,3,4,2,4
12,Jessica Wence,18,Women,None Listed,0,2,0,3,4,3,0
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,1,1,2
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,1,2,3
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,1,3,0
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,2,1,1
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,2,2,2
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,2,3,0
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,3,1,9
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,3,2,0
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,3,3,0
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,4,1,10
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,4,2,0
13,Sophia Hoermann,69,Women,U of Utah,0,2,0,3,4,3,0
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,1,1,3
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,1,2,3
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,1,3,0
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,2,1,1
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,2,2,2
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,2,3,0
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,3,1,1
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,3,2,5
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,3,3,0
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,4,1,7
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,4,2,0
14,Sophia Terrill,70,Women,U of Utah,0,2,0,4,4,3,0
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,1,1,4
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,1,2,4
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,1,3,0
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,2,1,2
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,2,2,3
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,2,3,0
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,3,1,1
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,3,2,2
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,3,3,0
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,4,1,8
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,4,2,0
15,Kylie Szilagyi,61,Women,U of Utah,0,2,0,6,4,3,0
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,1,1,6
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,1,2,7
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,1,3,0
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,2,1,2
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,2,2,7
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,2,3,0
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,3,1,1
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,3,2,4
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,3,3,0
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,4,1,20
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,4,2,0
16,Courtney Arnold,8,Women,Northern Arizona University,0,2,0,8,4,3,0
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,1,1,5
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,1,2,0
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,1,3,0
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,2,1,1
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,2,2,3
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,2,3,0
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,3,1,1
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,3,2,2
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,3,3,12
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,4,1,1
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,4,2,1
17,Ariana Mathews,5,Women,Tufts University,0,2,0,13,4,3,0
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,1,1,1
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,1,2,3
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,1,3,0
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,2,1,5
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,2,2,0
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,2,3,0
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,3,1,1
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,3,2,5
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,3,3,0
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,4,1,6
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,4,2,0
18,Cadance Hurt,44,Women,U of Colorado Boulder,0,1,0,1,4,3,0
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,1,1,6
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,1,2,0
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,1,3,0
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,2,1,1
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,2,2,3
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,2,3,0
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,3,1,6
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,3,2,0
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,3,3,0
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,4,1,8
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,4,2,0
19,Anika Shoemaker,41,Women,U of Colorado Boulder,0,1,0,1,4,3,0
20,Claire Lin,48,Women,None Listed,0,1,0,1,1,1,1
20,Claire Lin,48,Women,None Listed,0,1,0,1,1,2,2
20,Claire Lin,48,Women,None Listed,0,1,0,1,1,3,0
20,Claire Lin,48,Women,None Listed,0,1,0,1,2,1,4
20,Claire Lin,48,Women,None Listed,0,1,0,1,2,2,0
20,Claire Lin,48,Women,None Listed,0,1,0,1,2,3,0
20,Claire Lin,48,Women,None Listed,0,1,0,1,3,1,6
20,Claire Lin,48,Women,None Listed,0,1,0,1,3,2,0
20,Claire Lin,48,Women,None Listed,0,1,0,1,3,3,0
