Rank,Climber,Number,Gender,School,Tops,Zones,Attempts_Tops,Attempts_Zones,Boulder,Problem,Attempts
12,Stefan Fellner,79,Men,U of Utah,1,3,7,9,2,3,0
12,Stefan Fellner,79,Men,U of Utah,1,3,7,9,3,1,7
12,Stefan Fellner,79,Men,U of Utah,1,3,7,9,3,2,7
12,Stefan Fellner,79,Men,U of Utah,1,3,7,9,3,3,7
12,Stefan Fellner,79,Men,U of Utah,1,3,7,9,4,1,1
12,Stefan Fellner,79,Men,U of Utah,1,3,7,9,4,2,4
12,Stefan Fellner,79,Men,U of Utah,1,3,7,9,4,3,0
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,1,1,9
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,1,2,0
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,1,3,0
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,2,1,2
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,2,2,1
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,2,3,2
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,3,1,1
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,3,2,1
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,3,3,0
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,4,1,3
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,4,2,0
13,Ben Blackmore,4,Men,Colorado College,1,1,2,1,4,3,0
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,1,1,6
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,1,2,7
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,1,3,0
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,2,1,1
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,2,2,4
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,2,3,0
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,3,1,3
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,3,2,1
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,3,3,2
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,4,1,7
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,4,2,0
14,Derek New,49,Men,U of Colorado Boulder,0,3,0,10,4,3,0
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,1,1,5
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,1,2,7
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,1,3,0
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,2,1,4
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,2,2,6
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,2,3,0
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,3,1,3
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,3,2,6
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,3,3,0
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,4,1,5
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,4,2,0
15,Michael Jucewicz,70,Men,U of Massachusetts Amherst,0,3,0,12,4,3,0
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,1,1,9
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,1,2,9
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,1,3,0
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,2,1,4
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,2,2,10
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,2,3,0
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,3,1,10
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,3,2,0
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,3,3,10
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,4,1,4
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,4,2,0
16,Tyler Thompson,39,Men,None Listed,0,3,0,23,4,3,0
17,Austin Leigh,45,Men,None Listed,0,2,0,5,1,1,8
17,Austin Leigh,45,Men,None Listed,0,2,0,5,1,2,0
17,Austin Leigh,45,Men,None Listed,0,2,0,5,1,3,0
17,Austin Leigh,45,Men,None Listed,0,2,0,5,2,1,4
17,Austin Leigh,45,Men,None Listed,0,2,0,5,2,2,7
17,Austin Leigh,45,Men,None Listed,0,2,0,5,2,3,0
17,Austin Leigh,45,Men,None Listed,0,2,0,5,3,1,8
17,Austin Leigh,45,Men,None Listed,0,2,0,5,3,2,0
17,Austin Leigh,45,Men,None Listed,0,2,0,5,3,3,0
17,Austin Leigh,45,Men,None Listed,0,2,0,5,4,1,1
17,Austin Leigh,45,Men,None Listed,0,2,0,5,4,2,4
17,Austin Leigh,45,Men,None Listed,0,2,0,5,4,3,0
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,1,1,8
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,1,2,0
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,1,3,0
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,2,1,6
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,2,2,8
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,2,3,0
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,3,1,2
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,3,2,5
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,3,3,0
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,4,1,6
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,4,2,0
18,Gabe Shuster,54,Men,U of Utah,0,2,0,8,4,3,0
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,1,1,6
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,1,2,0
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,1,3,0
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,2,1,8
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,2,2,9
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,2,3,0
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,3,1,2
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,3,2,7
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,3,3,0
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,4,1,7
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,4,2,0
19,Savelei Nemchuk,78,Men,U of Massachusetts Amherst,0,2,0,10,4,3,0
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,1,1,7
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,1,2,0
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,1,3,0
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,2,1,2
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,2,2,4
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,2,3,0
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,3,1,9
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,3,2,9
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,3,3,0
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,4,1,4
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,4,2,0
20,Joshua Muehring,23,Men,Georgia Institute of Technology,0,2,0,11,4,3,0
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,1,1,1
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,1,2,4
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,1,3,0
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,2,1,1
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,2,2,3
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,2,3,0
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,3,1,1
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,3,2,1
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,3,3,1
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,4,1,5
