Player,Surface,Matches,EloRank,WinPercentage,DoubleFP,ReturnPWP,AcesPDF
Iga Swiatek,Clay,22,1,0.95455,0.02902,0.50809,0.51282
Iga Swiatek,Grass,9,1,0.77778,0.02056,0.46655,1.09091
Iga Swiatek,Hard,56,1,0.875,0.0283,0.49928,1.10753
Elena Rybakina,Clay,12,2,0.83333,0.03868,0.43698,1.82353
Elena Rybakina,Grass,7,2,0.71429,0.0367,0.39565,3.5625
Elena Rybakina,Hard,44,2,0.75,0.03474,0.44009,2.68224
Aryna Sabalenka,Clay,20,3,0.8,0.04188,0.42211,1.10769
Aryna Sabalenka,Grass,8,3,0.75,0.04962,0.42697,2.11538
Aryna Sabalenka,Hard,39,3,0.74359,0.06737,0.45367,1.30636
Coco Gauff,Clay,15,4,0.73333,0.10197,0.50761,0.23684
Coco Gauff,Grass,7,4,0.57143,0.03931,0.39899,2.4375
Coco Gauff,Hard,51,4,0.82353,0.06775,0.48759,0.82051
Jessica Pegula,Clay,7,6,0.71429,0.02292,0.47398,1.54545
Jessica Pegula,Grass,8,6,0.75,0.01887,0.45781,1.2
Jessica Pegula,Hard,45,6,0.73333,0.03605,0.46728,1.18868
Madison Keys,Clay,16,7,0.75,0.03028,0.46376,1.69697
Madison Keys,Grass,10,7,0.9,0.02651,0.44807,2.05556
Madison Keys,Hard,20,7,0.55,0.03545,0.41172,1.39583
Jelena Ostapenko,Clay,10,9,0.6,0.05524,0.4788,0.53846
Jelena Ostapenko,Grass,10,9,0.8,0.06242,0.44121,1.19608
Jelena Ostapenko,Hard,42,9,0.66667,0.06825,0.44779,0.78539
Maria Sakkari,Clay,11,11,0.63636,0.04559,0.45227,1.03333
Maria Sakkari,Grass,7,11,0.57143,0.02703,0.43197,1.42857
Maria Sakkari,Hard,44,11,0.61364,0.05054,0.43045,0.91333
Marketa Vondrousova,Clay,12,12,0.58333,0.06579,0.47032,0.54545
Marketa Vondrousova,Grass,10,12,0.9,0.05287,0.44595,0.85714
