"game_id","season","season_type","game_date","game_date_time","team_id","team_uid","team_slug","team_location","team_name","team_abbreviation","team_display_name","team_short_display_name","team_color","team_alternate_color","team_logo","team_home_away","team_score","team_winner","assists","blocks","defensive_rebounds","field_goal_pct","field_goals_made","field_goals_attempted","flagrant_fouls","fouls","free_throw_pct","free_throws_made","free_throws_attempted","offensive_rebounds","steals","team_turnovers","technical_fouls","three_point_field_goal_pct","three_point_field_goals_made","three_point_field_goals_attempted","total_rebounds","total_technical_fouls","total_turnovers","turnovers","opponent_team_id","opponent_team_uid","opponent_team_slug","opponent_team_location","opponent_team_name","opponent_team_abbreviation","opponent_team_display_name","opponent_team_short_display_name","opponent_team_color","opponent_team_alternate_color","opponent_team_logo","opponent_team_score","largest_lead"
401320705,2021,2,2021-08-24,2021-08-24 19:00:00,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png","away",70,FALSE,20,6,31,37.8,28,74,0,18,85.7,6,7,10,7,1,0,33.3,8,24,41,0,15,14,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png",76,"0"
401320705,2021,2,2021-08-24,2021-08-24 19:00:00,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png","home",76,TRUE,18,5,33,42.4,28,66,0,13,93.8,15,16,4,8,0,0,35.7,5,14,37,0,12,12,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png",70,"14"
401320706,2021,2,2021-08-24,2021-08-24 19:00:00,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png","away",86,TRUE,24,4,31,51.5,34,66,0,17,71.4,10,14,4,3,0,0,47.1,8,17,35,0,12,12,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",79,"15"
401320706,2021,2,2021-08-24,2021-08-24 19:00:00,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","home",79,FALSE,19,6,24,41.8,33,79,0,13,66.7,6,9,14,6,1,0,31.8,7,22,38,0,8,7,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",86,"2"
401320707,2021,2,2021-08-24,2021-08-24 19:00:00,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png","away",62,FALSE,15,3,24,39.7,25,63,1,14,90,9,10,6,6,0,1,33.3,3,9,30,1,14,14,18,"s:40~l:59~t:18","connecticut-sun","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",76,"5"
401320707,2021,2,2021-08-24,2021-08-24 19:00:00,18,"s:40~l:59~t:18","connecticut-sun","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png","home",76,TRUE,16,2,31,44.8,30,67,0,14,83.3,10,12,8,11,3,0,33.3,6,18,39,0,14,11,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",62,"14"
401320708,2021,2,2021-08-24,2021-08-24 19:00:00,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png","away",68,FALSE,11,6,27,35.7,25,70,0,17,86.7,13,15,8,9,1,0,22.7,5,22,35,0,12,11,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",78,"0"
401320708,2021,2,2021-08-24,2021-08-24 19:00:00,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","home",78,TRUE,18,5,33,44.4,28,63,0,18,82.4,14,17,8,8,0,1,44.4,8,18,41,1,15,15,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png",68,"37"
401320704,2021,2,2021-08-22,2021-08-22 15:00:00,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png","away",85,TRUE,20,11,35,44.6,33,74,0,13,81.3,13,16,7,13,0,1,25,6,24,42,1,12,12,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",78,"14"
401320704,2021,2,2021-08-22,2021-08-22 15:00:00,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","home",78,FALSE,22,1,32,36.8,28,76,0,16,93.8,15,16,9,7,1,0,31.8,7,22,41,0,15,14,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png",85,"12"
401320703,2021,2,2021-08-22,2021-08-22 14:00:00,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png","away",86,TRUE,22,6,22,47.1,32,68,1,23,73.7,14,19,4,12,0,0,34.8,8,23,26,0,10,10,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",83,"9"
401320703,2021,2,2021-08-22,2021-08-22 14:00:00,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png","home",83,FALSE,23,2,30,41.3,26,63,0,23,83.3,15,18,5,7,3,0,45.7,16,35,35,0,26,23,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png",86,"11"
401320702,2021,2,2021-08-21,2021-08-21 20:00:00,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png","away",101,TRUE,22,4,29,54,34,63,0,19,84.8,28,33,4,4,1,2,62.5,5,8,33,2,14,13,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",95,"13"
401320702,2021,2,2021-08-21,2021-08-21 20:00:00,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png","home",95,FALSE,24,8,20,47.9,35,73,0,27,84.2,16,19,3,6,0,1,37.5,9,24,23,1,9,9,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png",101,"6"
401320701,2021,2,2021-08-21,2021-08-21 12:00:00,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png","away",84,TRUE,22,5,37,52.6,30,57,0,14,68.2,15,22,10,4,2,0,47.4,9,19,47,0,24,22,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",69,"17"
401320701,2021,2,2021-08-21,2021-08-21 12:00:00,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","home",69,FALSE,11,5,18,40.3,29,72,0,19,75,6,8,6,13,1,0,23.8,5,21,24,0,10,9,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",84,"1"
401320700,2021,2,2021-08-20,2021-08-20 20:00:00,5,"s:40~l:59~t:5","indiana-fever","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png","away",83,TRUE,20,2,18,45.3,29,64,0,18,85.7,18,21,10,8,3,1,35,7,20,28,1,11,8,3,"s:40~l:59~t:3","dallas-wings","Dallas","Wings","DAL","Dallas Wings","Wings","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png",81,"5"
401320700,2021,2,2021-08-20,2021-08-20 20:00:00,3,"s:40~l:59~t:3","dallas-wings","Dallas","Wings","DAL","Dallas Wings","Wings","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png","home",81,FALSE,18,6,23,46.7,28,60,0,19,88.9,16,18,7,5,1,0,40.9,9,22,30,0,15,14,5,"s:40~l:59~t:5","indiana-fever","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",83,"12"
401320699,2021,2,2021-08-20,2021-08-20 19:00:00,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png","away",99,TRUE,24,6,32,48.5,33,68,0,14,100,19,19,9,2,0,0,53.8,14,26,41,0,12,12,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",83,"22"
401320699,2021,2,2021-08-20,2021-08-20 19:00:00,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png","home",83,FALSE,19,5,24,38.6,27,70,0,18,89.5,17,19,5,7,1,1,40,12,30,29,1,10,9,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png",99,"9"
401320698,2021,2,2021-08-19,2021-08-19 22:30:00,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","away",64,FALSE,15,5,23,39.4,26,66,0,21,57.1,4,7,11,7,3,0,32,8,25,34,0,21,18,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png",66,"3"
