"driverId","driverName","lap","lapTime","lapPosition"
847,"George Russell",32,91.815,6
847,"George Russell",33,92.41,6
847,"George Russell",34,92.417,6
847,"George Russell",35,91.865,6
847,"George Russell",36,92.019,5
847,"George Russell",37,92.257,4
847,"George Russell",38,91.605,4
847,"George Russell",39,92.016,4
847,"George Russell",40,91.758,4
847,"George Russell",41,91.78,4
847,"George Russell",42,91.481,4
847,"George Russell",43,91.556,4
847,"George Russell",44,91.701,4
847,"George Russell",45,92.042,4
847,"George Russell",46,91.936,4
847,"George Russell",47,91.749,4
847,"George Russell",48,91.606,4
847,"George Russell",49,91.395,4
847,"George Russell",50,91.362,4
847,"George Russell",51,91.266,4
847,"George Russell",52,91.44,4
847,"George Russell",53,91.59,4
847,"George Russell",54,91.615,4
847,"George Russell",55,91.32,4
847,"George Russell",56,91.102,4
847,"George Russell",57,91.015,4
844,"Charles Leclerc",1,100.402,6
844,"Charles Leclerc",2,94.62,6
844,"Charles Leclerc",3,94.906,6
844,"Charles Leclerc",4,94.83,8
844,"Charles Leclerc",5,93.426,8
844,"Charles Leclerc",6,93.619,8
844,"Charles Leclerc",7,93.274,8
844,"Charles Leclerc",8,93.3,8
844,"Charles Leclerc",9,93.315,8
844,"Charles Leclerc",10,93.322,8
844,"Charles Leclerc",11,92.876,8
844,"Charles Leclerc",12,93.063,8
844,"Charles Leclerc",13,94.593,8
844,"Charles Leclerc",14,93.747,7
844,"Charles Leclerc",15,93.435,6
844,"Charles Leclerc",16,93.35,6
844,"Charles Leclerc",17,97.645,7
844,"Charles Leclerc",18,108.229,15
844,"Charles Leclerc",19,93.391,15
844,"Charles Leclerc",20,92.826,15
844,"Charles Leclerc",21,93.034,15
844,"Charles Leclerc",22,92.792,15
844,"Charles Leclerc",23,92.582,14
844,"Charles Leclerc",24,93.038,14
844,"Charles Leclerc",25,92.612,14
844,"Charles Leclerc",26,92.67,14
844,"Charles Leclerc",27,92.479,13
844,"Charles Leclerc",28,92.484,13
844,"Charles Leclerc",29,92.51,13
844,"Charles Leclerc",30,92.238,13
844,"Charles Leclerc",31,91.911,13
844,"Charles Leclerc",32,92.062,13
844,"Charles Leclerc",33,92.585,12
844,"Charles Leclerc",34,92.55,12
844,"Charles Leclerc",35,92.734,12
844,"Charles Leclerc",36,92.833,11
844,"Charles Leclerc",37,93.652,11
844,"Charles Leclerc",38,92.262,9
844,"Charles Leclerc",39,92.386,9
844,"Charles Leclerc",40,92.105,8
844,"Charles Leclerc",41,91.977,8
844,"Charles Leclerc",42,91.768,7
844,"Charles Leclerc",43,91.577,7
844,"Charles Leclerc",44,91.831,7
844,"Charles Leclerc",45,91.683,7
844,"Charles Leclerc",46,92.105,7
844,"Charles Leclerc",47,91.987,7
844,"Charles Leclerc",48,91.732,7
844,"Charles Leclerc",49,91.891,7
844,"Charles Leclerc",50,92.17,7
844,"Charles Leclerc",51,91.777,7
844,"Charles Leclerc",52,91.532,7
844,"Charles Leclerc",53,92.265,6
844,"Charles Leclerc",54,92.353,7
844,"Charles Leclerc",55,91.832,7
844,"Charles Leclerc",56,91.627,7
844,"Charles Leclerc",57,91.434,7
825,"Kevin Magnussen",1,100.86,7
825,"Kevin Magnussen",2,94.557,7
825,"Kevin Magnussen",3,94.58,7
825,"Kevin Magnussen",4,94.079,7
825,"Kevin Magnussen",5,93.281,7
825,"Kevin Magnussen",6,93.595,7
825,"Kevin Magnussen",7,93.163,7
825,"Kevin Magnussen",8,93.136,7
825,"Kevin Magnussen",9,93.293,7
825,"Kevin Magnussen",10,93.551,7
825,"Kevin Magnussen",11,93.431,7
825,"Kevin Magnussen",12,93.148,7
825,"Kevin Magnussen",13,94.546,7
825,"Kevin Magnussen",14,98.728,12
825,"Kevin Magnussen",15,107.363,16
825,"Kevin Magnussen",16,92.134,15
825,"Kevin Magnussen",17,92.645,15
825,"Kevin Magnussen",18,92.418,14
825,"Kevin Magnussen",19,92.833,14
825,"Kevin Magnussen",20,93.613,14
825,"Kevin Magnussen",21,92.334,14
825,"Kevin Magnussen",22,92.522,13
