"final_place","PP","Horse","Jockey","Trainer","Odds","Win","Place","Show","year","race","high_temp","low_temp","precipitation_24hrs","weather","track_condition","attendance"
1,"7","Rags to Riches","John Velazquez","Todd Pletcher",4,10.6,44.4,3.2,2007,"Belmont Stakes",81,62.1,0,"Clear","Fast",46870
2,"3","Curlin","Robby Albarado","Steve Asmussen",2.2,0,3,2.3,2007,"Belmont Stakes",81,62.1,0,"Clear","Fast",46870
3,"2","Tiago","Mike Smith","John Shirreffs",11,0,0,3.7,2007,"Belmont Stakes",81,62.1,0,"Clear","Fast",46870
4,"6","Hard Spun","Garrett Gomez","J. Larry Jones",3.5,0,0,0,2007,"Belmont Stakes",81,62.1,0,"Clear","Fast",46870
5,"4","C P West","Edgar Prado","Nick Zito",13,0,0,0,2007,"Belmont Stakes",81,62.1,0,"Clear","Fast",46870
6,"1","Imawildandcrazyguy","Mark Guidry","BillÂ Kaplan",21,0,0,0,2007,"Belmont Stakes",81,62.1,0,"Clear","Fast",46870
7,"5","Slewâs Tizzy","Rafael Bejarano","Greg Fox",21,0,0,0,2007,"Belmont Stakes",81,62.1,0,"Clear","Fast",46870
1,"6","Da' Tara","Alan Garcia","Nick Zito",40,79,28,14.8,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
2,"4","Denis of Cork","Robby Albarado","David M. Carroll",7,0,5.4,4.1,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
3,"8 (*DH)","Anak Nakal","Julien Leparoux","Nick Zito",35,0,0,7.6,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
4,"9 (*DH)","Ready's Echo","John Velazquez","Todd Pletcher",31,0,0,6.2,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
5,"3","Macho Again","Garrett Gomez","Dallas Stewart",18,0,0,0,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
6,"7","Tale of Ekati","Eibar Coa","Barclay Tagg",15,0,0,0,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
7,"2","Guadalcanal","Javier Castellano","Frederick J.Â Seitz",23,0,0,0,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
8,"10","Icabad Crane","Jeremy Rose","H. Graham Motion",16,0,0,0,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
9,"1","Big Brown","Kent Desormeaux","Rick Dutrow Jr.",1.25,0,0,0,2008,"Belmont Stakes",82.9,57.9,0,"Clear","Fast",94476
1,"4","Summer Bird","Ken Desormeaux","Tim Ice",13,25.4,9.3,4.7,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
2,"2","Dunkirk","John Velazquez","Todd Pletcher",5.5,0,5.4,3.6,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
3,"7","Mine That Bird","Calvin Borel","Chip Woolley Jr.",3,0,0,2.6,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
4,"6","Charitable Man","Alan Garcia","Kiaran McLaughlin",5.5,0,0,0,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
5,"5","Luv Gov","Miguel Mena","D. Wayne Lukas",23,0,0,0,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
6,"8","Flying Private","Julian Leparoux","D. Wayne Lukas",18,0,0,0,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
7,"10","Brave Victory","Rajiv Maragh","Nick Zito",29,0,0,0,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
8,"3","Mr. Hot Stuff","Edgar Prado","Eoin Harty",24,0,0,0,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
9,"1","Chocolate Candy","Garrett Gomez","Jerry Hollendorfer",11,0,0,0,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
10,"9","Miner's Escape","Jose Lezcano","Nick Zito",23,0,0,0,2009,"Belmont Stakes",72,57,0,"Clear","Fast",52186
1,"1","Drosselmeyer","Mike Smith","William Mott",14,28,11.6,7.7,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
2,"2","Fly Down","John Velazquez","Nick Zito",6,0,6.8,5.1,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
3,"3","First Dude","Ramon Dominguez","Dale Romans",6,0,0,4.9,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
4,"4","Game On Dude","Martin Garcia","Bob Baffert",18,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
5,"5","Stay Put","Jamie Theriot","Steve Margolis",27,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
6,"6","Interactif","Javier Castellano","Todd Pletcher",20,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
7,"7","Stately Victor","Alan Garcia","Michael Maker",15,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
8,"8","Ice Box","Jose Lezcano","Nick Zito",2.8,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
9,"9","Make Music for Me","Joel Rosario","Alexis Barba",13,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
10,"10","Dave in Dixie","Calvin Borel","John Sadler",15,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
11,"11","Spangled Star","Garrett Gomez","Richard Dutrow Jr.",24,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
12,"12","Uptowncharlybrown","Rajiv Maragh","Linda White",11,0,0,0,2010,"Belmont Stakes",90,70,0,"Clear","Fast",45243
1,"3","Ruler On Ice","Jose Valdivia Jr.","Kelly Breen",25,51.5,26,13.6,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
2,"2","Stay Thirsty","Javier Castellano","Todd Pletcher",17,0,19.4,10.8,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
3,"5","Brilliant Speed","Joel Rosario","Tom Albertrani",11,0,0,7.9,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
4,"6","Nehro","Corey Nakatani","Steve Asmussen",5.5,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
5,"12","Shackleford","Jesus Castanon","Dale Romans",8,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
6,"9","Animal Kingdom","John Velazquez","Graham Motion",3.5,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
7,"10","Mucho Macho Man","Ramon Dominguez","Kathy Ritvo",8,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
8,"4","Santiva","Shaun Bridgmohan","Eddie Kenneally",14,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
9,"7","Monzon","Jose Lezcano","Ignacio Correas IV",27,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
10,"1","Master of Hounds","Garrett Gomez","Aidan O'Brien",6,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
11,"8","Prime Cut","Edgar Prado","Neil Howard",21,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
12,"11","Isn't He Perfect","Rajiv Maragh","Doodnauth Shivmangal",29,0,0,0,2011,"Belmont Stakes",75.9,62.6,0.2,"Cloudy","Sloppy",47562
1,"3","Union Rags","John Velazquez","Mike Matz",4,7.5,4.2,3.4,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
2,"9","Paynter","Mike Smith","Bob Baffert",5,0,5.1,3.9,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
3,"4","Atigun","Julian Leparoux","Ken McPeek",22,0,0,10.6,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
4,"1","Street Life","Jose Lezcano","Chad Brown",11,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
5,"7","Five Sixteen","Rosie Napravnik","Dominick Schettino",20,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
6,"2","Unstoppable U","Junior Alvarado","Ken McPeek",13,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
7,"5","Dullahan","Javier Castellano","Dale Romans",3.5,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
8,"12","My Adonis","Ramon Dominguez","Kelly Green",21,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
9,"6","Ravelo's Boy","Alex Solis","M. Azpurua Azpurua",13,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
10,"10","Optimizer","Cory Nakatani","D. Wayne Lukas",36,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
11,"*8","Guyana Star Dweej","Kent Desormeaux","Doodnauth Shivmangal",24,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
12,"**11","I'll Have Another","Mario Gutierrez","Doug O'Neill",1.8,0,0,0,2012,"Belmont Stakes",80.1,59,0,"Cloudy","Fast",85811
1,"12","Palace Malice","Mike Smith","Todd Pletcher",16,29.6,11.2,6.7,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
2,"7","Oxbow","Gary Stevens","D. Wayne Lukas",10,0,9.9,6.1,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
3,"5","Orb","Joel Rosario","Shug McGaughey",NA,0,0,3.9,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
4,"6","Incognito","Irad Ortiz Jr.","Kiaran McLaughlin",11,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
5,"9","Revolutionary","Calvin Borel","Todd Pletcher",6,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
6,"13","Unlimited Budget","Javier Castellano","Todd A. Pletcher",14,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
7,"3","Overanalyze","Rafael Bejarano","Todd Pletcher",11,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
8,"11","Vyjack","Julien Leparoux","Rudy Rodriguez",29,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
9,"14","Golden Soul","Robby Albarado","Dallas Stewart",12,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
10,"10","Will Take Charge","Jon Court","D. Wayne Lukas",22,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
11,"4","Giant Finish","Jose Espinoza","Tony Dutrow",32,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
12,"8","Midnight Taboo","Garrett Gomez","Todd Pletcher",29,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
13,"2","Freedom Child","Luis Saez","Thomas Albertrani",10,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
14,"1","Frac Daddy","Alan Garcia","Kenneth McPeek",30,0,0,0,2013,"Belmont Stakes",75.9,57,4.11,"Clear","Fast",55779
1,"11","Tonalist","Joel Rosario","Christophe Clement",10,20.4,9.6,7,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
2,"8","Commissioner","Javier Castellano","Todd Pletcher",28,0,23.2,13.2,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
3,"1","Medal Count","Robby Albarado","Dale L. Romans",27,0,0,13.2,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
4,"DH - 9","Wicked Strong","Rajiv Maragh","Jimmy Jerkens",6,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
5,"DH - 2","California Chrome","Victor Espinoza","Art Sherman",1.8,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
6,"7","Samraat","Jose Ortiz","Rick Violette",20,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
7,"10","General a Rod","Rosie Napravnik","Mike Maker",37,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
8,"3","Matterhorn","Joe Bravo","Todd Pletcher",39,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
9,"4","Commanding Curve","Shaun Bridgmohan","Dallas Stewart",9,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
10,"6","Matuszak","Mike Smith","Bill Mott",32,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
11,"5","Ride On Curlin","John Velazquez","Billy Gowan",8,0,0,0,2014,"Belmont Stakes",80.1,61,0,"Clear","Fast",102199
1,"5","American Pharoah","Victor Espinoza","Bob Baffert",1.6,3.5,2.8,2.5,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
2,"6","Frosted","Joel Rosario","Kiaran McLaughlin",6,0,3.5,2.9,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
3,"7","Keen Ice ","Kent Desormeaux","Dale Romans",21,0,0,4.6,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
4,"1","Mubtaahij ","Irad Ortiz, Jr.","Mike De Kock",11,0,0,0,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
5,"4","Frammento","Mike Smith","Nick Zito",31,0,0,0,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
6,"3","Madefromlucky ","Javier Castellano","Todd Pletcher",13,0,0,0,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
7,"2","Tale Of Verve ","Gary Stevens","Dallas Stewart",16,0,0,0,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
8,"8","Materiality ","John Velazquez","Todd Pletcher",7,0,0,0,2015,"Belmont Stakes",79,57,0.2,"Clear","Fast",90000
1,"13","Creator","Irad Ortiz Jr.","Steve Asmussen",16,34.8,14.6,9.4,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
2,"2","Destin","Javier Castellano","Todd Pletcher",11,0,9.4,6.2,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
3,"10","Lani","Yutaka Take","Mikio Matsunaga",12,0,0,6.6,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
4,"1","Governor Malibu","Joel Rosario","Christophe Clement",21,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
5,"12","Brodys Cause","Luis Saez","Dale Romans",22,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
6,"3","Cherry Wine","Corey J. Lanerie","Dale Romans",10,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
7,"11","Exaggerator","Kent Desormeaux","Keith Desormeaux",2.2,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
8,"8","Forever dOro","Jose Ortiz","Dallas Stewart",61,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
9,"6","Gettysburg","Paco Lopez","Steve Asmussen",51,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
10,"7","Seeking the Soul","Florent Geroux","Dallas Stewart",51,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
11,"5","Stradivari","John Velazquez","Todd Pletcher",8,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
12,"4","Suddenbreakingnews","Mike Smith","Donnie Von Hemel",6,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
13,"9","Trojan Nation","Aaron Gryder","Patrick Gallagher",61,0,0,0,2016,"Belmont Stakes",82,57.9,0,"Clear","Fast",60114
1,"2","Tapwrit","Jose L. Ortiz","Todd Pletcher",7,12.6,6.5,5,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
2,"7","Irish War Cry","Rajiv Maragh","H. Graham Motion",4.5,0,4.7,3.9,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
3,"12","Patch","John R. Velazquez","Todd A. Pletcher",13,0,0,6.5,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
4,"3","Gormley","Victor Espinoza","John A. Shirreffs",9,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
5,"8","Senior Investment","Channing Hill","Kenneth G. McPeek",13,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
6,"1","Twisted Tom","Javier Castellano","Chad C. Brown",21,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
7,"6","Lookin At Lee","Irad Ortiz Jr.","Steven M. Asmussen",6,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
8,"9","Meantime","Mike Smith","Brian A. Lynch",16,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
9,"4","J Boys Echo","Robby Albarado","Dale L. Romans",16,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
10,"10","Multiplier","Joel Rosario","Brendan P. Walsh",16,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
11,"5","Hollywood Handsome","Florent Geroux","Dallas Stewart",31,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
12,"11","Epicharis","Christophe Lemaire","Kiyoshi Hagiwara",NA,0,0,0,2017,"Belmont Stakes",84,51.1,0,"Clear","Fast",57729
1,"1","Justify","Mike Smith","Bob Baffert",1.8,3.6,3.5,2.8,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
2,"6","Gronkowski","Jose Ortiz","Chad Brown",23,0,13.8,7,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
3,"4","Hofburg","Irad Ortiz Jr.","Bill Mott",6,0,0,3.7,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
4,"8","Vino Rosso","John Velazquez","Todd Pletcher",8,0,0,0,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
5,"7","Tenfold","Ricardo Santana Jr.","Steve Asmussen",11,0,0,0,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
6,"3","Bravazo","Luis Saez","D. Wayne Lukas",9,0,0,0,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
7,"2","Free Drop Billy","Robby Albarado","Dale Romans",31,0,0,0,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
8,"5","Restoring Hope","Florent Geroux","Bob Baffert",35,0,0,0,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
9,"10","Blended Citizen","Kyle Frey","Doug OâNeill",23,0,0,0,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
10,"9","Noble Indy","Javier Castellano","Todd Pletcher",24,0,0,0,2018,"Belmont Stakes",79,57.9,0,"Clear","Fast",90327
1,"7","Sir Winston","Mark Casse","Joel Rosario",11,22.4,8.8,6.1,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
2,"10","Tacitus","Bill Mott","Jose Ortiz",2.8,0,3.9,3.2,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
3,"1","Joevia","Gregg Sacco","Jose Lezcano",22,0,0,8.7,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
4,"4","Tax","Danny Gargan","Irad Ortiz Jr.",13,0,0,0,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
5,"3","Master Fencer","Koichi Tsunoda","Julien Leparoux",14,0,0,0,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
6,"6","Spinoff","Todd Pletcher","Javier Castellano",11,0,0,0,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
7,"2","Everfast","Dale Romans","Luis Saez",18,0,0,0,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
8,"8","Intrepid Heart","Todd Pletcher","John Velazquez",8,0,0,0,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
9,"9","War of Will","Mark Casse","Tyler Gaffalione",4.5,0,0,0,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
10,"5","Bourbon War","Mark Hennig","Mike Smith",11,0,0,0,2019,"Belmont Stakes",78.1,60.1,0,"Clear","Fast",56217
1,"12","Afleet Alex","Jeremy Rose","Timothy F. Ritchey",2,8.6,5,3.2,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
2,"5","Scrappy T","Ramon Dominguez","Robert Bailes",13,0,11.2,5.8,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
3,"13","Giacomo","Mike Smith","John Shirreffs",21,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
4,"10","Sun King","Rafael Bejarano","Nick Zito",18,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
5,"11","High Limit","Edgar Prado","Robert Frankel",17,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
6,"3","Noble Causeway","Gary L. Stevens","Nick Zito",16,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
7,"4","Greeley's Galaxy","David Flores","Warren Stute",6,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
8,"1","Malibu Moonshine","Steve Hamilton","King T.Â Leatherbury",16,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
9,"7","Closing Argument","Cornelio Velasquez","Kiaran McLaughlin",21,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
10,"2","High Fly","Jerry D. Bailey","Nick Zito",12,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
11,"6","Hal's Image","Jose Santos","Barry R. Rose",16,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
12,"9","Wilko","Corey Kakatani","D. Wayne Lukas",14,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
13,"5","Galloping Grocer","Joe Bravo","Dominick Schettino",28,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
14,"14","Going Wild","Robby Albarado","D. Wayne Lukas",27,0,0,0,2005,"Preakness",73,48.9,0,"Clear","Fast",125687
1,"8","Bernardini","Javier Castellano","Tom Albertrani",13,27.8,9.4,5.8,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
2,"7","Sweetnorthernsaint","Kent Desormeaux","Michael Trombetta",8,0,7.8,5,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
3,"3","Hemingway's Key","Jeremy Rose","Nick Zito",31,0,0,8,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
4,"5","Brother Derek","Alex Solis","Dan Hendricks",4,0,0,0,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
5,"4","Greeley's Legacy","Richard Migliore","George Weaver",21,0,0,0,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
6,"2","Platinum Couple","Jose Espinoza","Joseph Lostritto",51,0,0,0,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
7,"1","Like Now","Garrett Gomez","Kiaran McLaughlin",13,0,0,0,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
8,"9","Diabolical","Ramon Dominguez","Steve Klesaris",31,0,0,0,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
9,"6","Barbaro","Edgar Prado","Michael Matz",1.6,0,0,0,2006,"Preakness",68,55.4,0,"Clear","Fast",128643
1,"4","Curlin","Robby Albarado","Steve Asmussen",4.5,8.8,3.8,2.8,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
2,"8","Street Sense","Calvin Borel","Carl Nafzger",2.4,0,3,2.4,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
3,"7","Hard Spun","Mario G. Pino","J. LarryÂ Jones",3.5,0,0,3,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
4,"9","CP West","Edgar Prado","Nick Zito",21,0,0,0,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
5,"3","Circular Quay","John R. Velazquez","Todd Pletcher",9,0,0,0,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
6,"5","King of the Roxy","Garrett Gomez","Todd Pletcher",13,0,0,0,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
7,"1","Mint Slewlep","Alan Garcia","Larry Jones",31,0,0,0,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
8,"2","Xchanger","Ramon Dominguez","Carl Nafzger",16,0,0,0,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
9,"6","Flying First Class","Mark Guidry","D. Wayne Lukas",21,0,0,0,2007,"Preakness",75.9,54,0,"Cloudy","Fast",132221
1,"7","Big Brown","Kent Desormeaux","Richard Dutrow Jr.",1.5,2.4,2.6,2.4,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
2,"1","Macho Again","Julien Leparoux","Dallas Stewart",21,0,17.2,10.4,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
3,"3","Icabad Crane","Jeremy Rose","H. Graham Motion",31,0,0,5.6,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
4,"6","Racecar Rhapsody","Robby Albarado","Kenneth McPeek",31,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
5,"9","Stevil","John R. Velazquez","Nick Zito",31,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
6,"8","Kentucky Bear","Jamie Theriot","Reade Blake",16,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
7,"13","Hey Byrn","Charles C. Lopez","Edward Plesa, Jr.",21,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
8,"11","Giant Moon","Ramon A. Dominguez","Richard E.Â Schosberg",31,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
9,"2","Tres Borrachos","Tyler Baze","C. BeauÂ Greely",31,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
10,"4","Yankee Bravo","Alex Solis","Patrick Gallagher",16,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
11,"12","Gayego","Mike Smith","Paulo Lobo",9,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
12,"10","Riley Tucker","Edgar Prado","William I. Mott",31,0,0,0,2008,"Preakness",75,48.9,0.17,"Clear","Fast",121876
1,"13","Rachel Alexandra","Calvin Borel","Steve Asmussen",2.8,5.6,4.6,3.6,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
2,"2","Mine That Bird","Mike Smith","Bennie ""Chip"" Woolley Jr.",5.5,0,6.6,4.8,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
3,"3","Musket Man","Eibar Coa","Derek Ryan",11,0,0,5,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
4,"10","Flying Private","Alan Garcia","D. Wayne Lucas",51,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
5,"1","Big Drama","John Velazquez","David Fawkes",11,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
6,"7","Papa Clem","Rafael Bejarano","Gary Stute",9,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
7,"6","Terrain","Jeremy Rose","Albert Stall Jr.",31,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
8,"4","Luv Gov","Jamie Theriot","D. Wayne Lukas",51,0,0,0,2009,"Preakness",75.7,66.7,0,"Showery","Fast",77850
