"Name","Age","Reg_Tm","Lg","Reg_G","Reg_PA","Reg_AB","Reg_R","Reg_H","Reg_Doubles","Reg_Triples","Reg_HR","Reg_RBI","Reg_SB","Reg_CS","Reg_BB","Reg_SO","Reg_BA","Reg_OBP","Reg_SLG","Reg_OPS","OPS+","Reg_TB","Reg_GDP","Reg_HBP","Reg_SH","Reg_SF","Reg_IBB","OppQual","Spring_G","Spring_PA","Spring_AB","Spring_R","Spring_H","Spring_Doubles","Spring_Triples","Spring_HR","Spring_RBI","Spring_SB","Spring_CS","Spring_BB","Spring_SO","Spring_BA","Spring_OBP","Spring_SLG","Spring_OPS","Spring_TB","Spring_GDP","Spring_HBP","Spring_SH","Spring_SF","Spring_IBB"
"Jake Alu",26,"WSN","NL",51,175,159,14,36,2,1,2,16,5,1,10,42,0.226,0.282,0.289,0.571,60,46,2,3,1,2,0,7.3,11,22,17,3,4,1,0,0,2,0,0,4,6,0.235,0.409,0.294,0.703,5,0,1,0,0,0
"Francisco Alvarez",21,"NYM","NL",123,423,382,51,80,12,0,25,63,2,0,34,110,0.209,0.284,0.437,0.721,96,167,14,6,0,1,0,7.3,17,50,44,7,9,3,0,3,9,1,0,6,16,0.205,0.3,0.477,0.777,21,3,0,0,0,0
"Yordan Alvarez",26,"HOU","AL",114,496,410,77,120,24,1,31,97,0,0,69,92,0.293,0.407,0.583,0.99,170,239,7,13,0,4,5,7.8,14,41,35,8,12,1,0,1,8,0,0,5,11,0.343,0.439,0.457,0.896,16,1,1,0,0,0
"Jacob Amaya",24,"MIA","NL",4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,20,2,0,0,0,0,0,7,10,17,16,0,1,0,0,0,1,0,1,1,7,0.063,0.118,0.063,0.18,1,0,0,0,0,0
"Miguel Amaya",24,"CHC","NL",53,156,131,17,28,4,0,5,18,0,0,12,40,0.214,0.329,0.359,0.688,87,47,2,11,1,1,0,7.8,14,44,42,6,9,1,0,1,6,0,0,2,5,0.214,0.25,0.31,0.56,13,1,0,0,0,0
"Brian Anderson",30,"MIL","NL",96,361,318,38,72,12,3,9,40,1,3,36,108,0.226,0.31,0.368,0.678,84,117,10,4,0,3,0,6.8,12,32,28,7,7,2,0,2,6,0,0,3,6,0.25,0.344,0.536,0.879,15,1,1,0,0,0
"Tim Anderson",30,"CHW","AL",123,524,493,52,121,18,2,1,25,13,2,26,122,0.245,0.286,0.296,0.582,62,146,15,3,0,2,0,8,13,37,37,3,10,2,1,1,1,0,0,0,15,0.27,0.27,0.459,0.73,17,2,0,0,0,0
"Elvis Andrus",34,"CHW","AL",112,406,374,39,94,20,1,6,44,12,4,25,71,0.251,0.304,0.358,0.662,82,134,11,4,1,2,1,7.9,6,18,17,0,2,0,0,0,0,0,0,1,4,0.118,0.167,0.118,0.284,2,0,0,0,0,0
"Miguel Andujar",28,"PIT","NL",30,90,84,9,21,7,0,4,18,2,0,6,13,0.25,0.3,0.476,0.776,107,40,1,0,0,0,0,7.2,14,43,42,8,15,1,0,5,15,1,0,1,0,0.357,0.372,0.738,1.11,31,0,0,0,0,0
"Jonathan Aranda",25,"TBR","AL",34,103,87,13,20,4,1,2,13,0,0,13,31,0.23,0.34,0.368,0.708,99,32,1,2,0,1,1,7.4,13,38,35,2,13,4,0,1,7,0,1,3,3,0.371,0.421,0.571,0.992,20,0,0,0,0,0
"Orlando Arcia",28,"ATL","NL",139,533,488,66,129,25,0,17,65,1,0,39,102,0.264,0.321,0.42,0.741,98,205,14,3,0,3,0,7.5,19,48,44,9,11,1,0,5,8,0,0,3,12,0.25,0.313,0.614,0.926,27,3,1,0,0,0
"Nolan Arenado",32,"STL","NL",144,612,560,71,149,26,2,26,93,3,3,41,101,0.266,0.315,0.459,0.774,109,257,21,3,0,8,5,7.8,20,52,47,5,11,5,0,0,6,0,0,5,15,0.234,0.308,0.34,0.648,16,0,0,0,0,0
"Gabriel Arias",23,"CLE","AL",122,345,315,36,66,15,0,10,26,3,4,28,113,0.21,0.275,0.352,0.628,72,111,9,1,0,1,0,7.4,15,47,43,5,10,2,1,1,6,3,0,4,13,0.233,0.298,0.395,0.693,17,0,0,0,0,0
"Randy Arozarena",28,"TBR","AL",151,654,551,95,140,19,3,23,83,22,10,80,156,0.254,0.364,0.425,0.789,121,234,10,18,0,5,1,7.1,15,44,40,5,6,1,0,4,6,0,0,3,14,0.15,0.205,0.475,0.68,19,1,0,0,1,0
"Luis Arráez",26,"MIA","NL",147,617,574,71,203,30,3,10,69,3,2,35,34,0.354,0.393,0.469,0.861,130,269,18,4,1,3,10,7.8,16,46,44,6,17,6,0,1,4,0,0,0,7,0.386,0.391,0.591,0.982,26,0,1,0,1,0
"Christian Arroyo",28,"BOS","AL",66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,70,72,8,1,1,2,0,7.5,8,23,22,0,4,1,0,0,3,1,0,1,8,0.182,0.217,0.227,0.445,5,0,0,0,0,0
"José Azocar",27,"SDP","NL",55,102,91,16,21,6,0,2,9,8,2,4,24,0.231,0.278,0.363,0.641,75,33,2,2,5,0,0,7.8,16,38,37,7,12,1,1,2,7,0,1,1,9,0.324,0.342,0.568,0.91,21,1,0,0,0,0
"Akil Baddoo",24,"DET","AL",112,357,312,40,68,13,1,11,34,14,3,42,89,0.218,0.31,0.372,0.682,87,116,4,0,2,1,2,7.6,14,34,28,3,5,0,0,1,2,0,1,3,14,0.179,0.303,0.286,0.589,8,0,2,0,0,0
"Harrison Bader",29,"TOT","MLB",98,344,319,44,74,12,2,7,40,20,3,17,59,0.232,0.274,0.348,0.622,69,111,7,3,1,4,0,7.1,13,35,31,3,8,1,0,2,2,2,1,3,5,0.258,0.343,0.484,0.827,15,1,1,0,0,0
"Harrison Bader",29,"NYY","AL",84,310,288,40,69,11,2,7,37,17,2,14,56,0.24,0.278,0.365,0.643,75,105,6,3,1,4,0,7.1,13,35,31,3,8,1,0,2,2,2,1,3,5,0.258,0.343,0.484,0.827,15,1,1,0,0,0
"Harrison Bader",29,"CIN","NL",14,34,31,4,5,1,0,0,3,3,1,3,3,0.161,0.235,0.194,0.429,17,6,1,0,0,0,0,7.1,13,35,31,3,8,1,0,2,2,2,1,3,5,0.258,0.343,0.484,0.827,15,1,1,0,0,0
"Ji Hwan Bae",23,"PIT","NL",111,371,334,54,77,17,2,2,32,24,9,30,92,0.231,0.296,0.311,0.608,66,104,4,2,3,2,0,7.9,7,16,11,3,3,0,0,0,1,2,0,4,4,0.273,0.5,0.273,0.773,3,0,1,0,0,0
"Javier Báez",30,"DET","AL",136,547,510,58,113,18,4,9,59,12,0,24,125,0.222,0.267,0.325,0.593,63,166,12,9,0,3,0,7.7,19,52,49,3,7,3,0,0,2,0,0,1,15,0.143,0.154,0.204,0.358,10,1,0,0,2,0
"Patrick Bailey",24,"SFG","NL",97,353,326,29,76,18,1,7,48,1,0,21,100,0.233,0.285,0.359,0.644,78,117,8,3,2,1,0,7.3,10,27,23,4,3,0,0,1,7,0,0,4,10,0.13,0.259,0.261,0.52,6,1,0,0,0,0
"Luken Baker",26,"STL","NL",33,99,86,9,18,3,0,2,10,0,0,13,31,0.209,0.313,0.314,0.627,73,27,1,0,0,0,0,7.1,23,48,44,2,9,1,0,1,6,0,0,3,13,0.205,0.25,0.295,0.545,13,0,0,0,1,0
"Rylan Bannon",27,"HOU","AL",2,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,7.3,14,21,18,4,5,3,0,0,2,0,0,2,5,0.278,0.333,0.444,0.778,8,0,0,0,1,0
"Austin Barnes",33,"LAD","NL",59,200,178,15,32,5,0,2,11,2,1,17,43,0.18,0.256,0.242,0.498,37,43,7,2,1,2,0,7.7,12,33,28,4,6,1,0,0,3,1,0,5,6,0.214,0.333,0.25,0.583,7,2,0,0,0,0
"Tucker Barnhart",32,"CHC","NL",43,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,49,28,4,1,0,1,0,7.4,11,31,25,5,5,2,0,0,2,0,0,5,5,0.2,0.355,0.28,0.635,7,2,1,0,0,0
"Jose Barrero",25,"CIN","NL",46,149,133,15,29,8,0,2,17,3,2,15,44,0.218,0.295,0.323,0.619,66,43,1,0,0,1,0,7.6,6,14,10,2,2,1,0,1,1,0,2,4,4,0.2,0.429,0.6,1.029,6,0,0,0,0,0
"Joey Bart",26,"SFG","NL",30,95,87,9,18,5,0,0,5,0,0,3,23,0.207,0.263,0.264,0.528,48,23,0,4,0,1,0,7.2,15,38,29,9,12,1,0,0,6,1,0,7,7,0.414,0.526,0.448,0.975,13,1,1,0,1,0
"Osleivis Basabe",22,"TBR","AL",31,94,87,15,19,5,0,1,12,0,1,6,25,0.218,0.277,0.31,0.587,65,27,2,1,0,0,0,7.6,12,28,26,1,5,0,0,0,2,1,1,1,4,0.192,0.25,0.192,0.442,5,1,1,0,0,0
"Matthew Batten",28,"SDP","NL",43,139,120,19,31,6,0,2,11,2,2,17,30,0.258,0.355,0.358,0.713,98,43,0,1,1,0,0,7.5,11,25,24,0,3,0,0,0,1,0,1,1,7,0.125,0.16,0.125,0.285,3,0,0,0,0,0
"Brett Baty",23,"NYM","NL",108,389,353,41,75,12,0,9,34,2,0,29,109,0.212,0.275,0.323,0.598,66,114,8,2,1,1,0,7.4,19,61,53,10,13,1,0,3,7,0,1,6,11,0.245,0.333,0.434,0.767,23,1,1,0,0,0
"Jake Bauers",27,"NYY","AL",84,272,242,28,49,15,0,12,30,3,2,27,95,0.202,0.279,0.413,0.693,87,100,3,0,0,3,0,7.4,14,48,41,7,11,3,0,1,10,1,1,5,13,0.268,0.375,0.415,0.79,17,0,2,0,0,0
"Josh Bell",30,"TOT","MLB",150,617,547,52,135,28,0,22,74,0,1,63,134,0.247,0.325,0.419,0.744,102,229,13,2,0,3,2,7.8,16,47,41,5,8,3,0,1,5,0,0,5,9,0.195,0.283,0.341,0.624,14,3,0,0,0,0
"Josh Bell",30,"CLE","AL",97,393,347,26,81,19,0,11,48,0,1,43,81,0.233,0.318,0.383,0.701,93,133,7,1,0,2,1,7.8,16,47,41,5,8,3,0,1,5,0,0,5,9,0.195,0.283,0.341,0.624,14,3,0,0,0,0
"Josh Bell",30,"MIA","NL",53,224,200,26,54,9,0,11,26,0,0,20,53,0.27,0.338,0.48,0.818,116,96,6,1,0,1,1,7.8,16,47,41,5,8,3,0,1,5,0,0,5,9,0.195,0.283,0.341,0.624,14,3,0,0,0,0
"Cody Bellinger",27,"CHC","NL",130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,135,262,7,5,0,12,3,7.1,13,36,30,5,9,1,0,1,6,0,0,5,10,0.3,0.389,0.433,0.822,13,0,0,0,1,0
"Anthony Bemboom",33,"BAL","AL",6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,44,2,0,0,0,0,0,7.1,16,22,17,3,3,0,0,1,1,0,0,3,4,0.176,0.364,0.353,0.717,6,1,2,0,0,0
"Andrew Benintendi",28,"CHW","AL",151,621,562,72,147,34,2,5,45,13,2,52,89,0.262,0.326,0.356,0.682,88,200,12,3,1,3,5,8.2,18,57,49,5,14,1,0,0,3,0,0,8,9,0.286,0.386,0.306,0.692,15,0,0,0,0,0
"Will Benson",25,"CIN","NL",108,329,287,51,79,15,8,11,31,19,3,40,103,0.275,0.365,0.498,0.863,129,143,3,1,0,1,0,7.8,18,58,46,10,9,4,1,2,5,6,1,11,16,0.196,0.362,0.457,0.819,21,0,1,0,0,0
"Jon Berti",33,"MIA","NL",133,424,388,53,114,16,3,7,33,16,6,29,77,0.294,0.344,0.405,0.748,100,157,10,2,2,3,2,7.8,14,40,35,4,8,2,0,1,6,1,1,4,12,0.229,0.325,0.371,0.696,13,0,1,0,0,0
"Christian Bethancourt",31,"TBR","AL",104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,75,120,6,0,1,3,0,7.9,15,39,36,3,9,2,0,0,3,1,0,2,9,0.25,0.282,0.306,0.588,11,5,0,0,1,0
