"Name","Age","Reg_Tm","Lg","Reg_G","Reg_PA","Reg_AB","Reg_R","Reg_H","Reg_Doubles","Reg_Triples","Reg_HR","Reg_RBI","Reg_SB","Reg_CS","Reg_BB","Reg_SO","Reg_BA","Reg_OBP","Reg_SLG","Reg_OPS","OPS+","Reg_TB","Reg_GDP","Reg_HBP","Reg_SH","Reg_SF","Reg_IBB","OppQual","Spring_G","Spring_PA","Spring_AB","Spring_R","Spring_H","Spring_Doubles","Spring_Triples","Spring_HR","Spring_RBI","Spring_SB","Spring_CS","Spring_BB","Spring_SO","Spring_BA","Spring_OBP","Spring_SLG","Spring_OPS","Spring_TB","Spring_GDP","Spring_HBP","Spring_SH","Spring_SF","Spring_IBB"
"Junior Caminero",19,"TBR","AL",7,36,34,4,8,1,0,1,7,0,0,2,8,0.235,0.278,0.353,0.631,76,12,2,0,0,0,0,6.6,9,27,26,1,7,1,0,1,4,0,0,1,4,0.269,0.296,0.423,0.719,11,0,0,0,0,0
"Luis Campusano",24,"SDP","NL",49,174,163,27,52,7,0,7,30,0,0,7,21,0.319,0.356,0.491,0.847,131,80,8,3,0,1,0,7.9,14,38,36,5,9,2,0,1,4,0,0,1,8,0.25,0.289,0.389,0.678,14,1,1,0,0,0
"Alexander Canario",23,"CHC","NL",6,17,17,1,5,1,1,1,6,0,0,0,8,0.294,0.294,0.647,0.941,145,11,0,0,0,0,0,7.5,23,63,53,9,12,4,1,0,2,3,0,10,15,0.226,0.349,0.34,0.689,18,2,0,0,0,0
"Jeimer Candelario",29,"TOT","NL",140,576,505,77,127,39,3,22,70,8,1,53,127,0.251,0.336,0.471,0.807,120,238,11,13,0,4,1,7.5,15,47,42,7,8,1,1,1,2,0,0,4,11,0.19,0.277,0.333,0.61,14,2,1,0,0,0
"Jeimer Candelario",29,"WSN","NL",99,419,368,57,95,30,2,16,53,6,1,36,88,0.258,0.342,0.481,0.823,126,177,10,12,0,2,1,7.5,15,47,42,7,8,1,1,1,2,0,0,4,11,0.19,0.277,0.333,0.61,14,2,1,0,0,0
"Jeimer Candelario",29,"CHC","NL",41,157,137,20,32,9,1,6,17,2,0,17,39,0.234,0.318,0.445,0.764,105,61,1,1,0,2,0,7.5,15,47,42,7,8,1,1,1,2,0,0,4,11,0.19,0.277,0.333,0.61,14,2,1,0,0,0
"Mark Canha",34,"TOT","NL",139,507,435,51,114,25,1,11,62,11,1,49,79,0.262,0.355,0.4,0.755,108,174,11,17,0,6,1,7.5,18,53,46,2,9,3,0,0,3,1,0,4,14,0.196,0.302,0.261,0.563,12,0,3,0,0,0
"Mark Canha",34,"NYM","NL",89,303,257,28,63,15,1,6,29,7,0,32,52,0.245,0.343,0.381,0.725,101,98,8,9,0,5,0,7.5,18,53,46,2,9,3,0,0,3,1,0,4,14,0.196,0.302,0.261,0.563,12,0,3,0,0,0
"Mark Canha",34,"MIL","NL",50,204,178,23,51,10,0,5,33,4,1,17,27,0.287,0.373,0.427,0.8,118,76,3,8,0,1,1,7.5,18,53,46,2,9,3,0,0,3,1,0,4,14,0.196,0.302,0.261,0.563,12,0,3,0,0,0
"Dominic Canzone",25,"TOT","MLB",59,182,173,23,38,13,0,6,21,1,0,8,32,0.22,0.258,0.399,0.657,82,69,5,1,0,0,0,7.6,17,49,44,6,13,4,1,4,11,2,0,4,16,0.295,0.347,0.705,1.051,31,0,0,0,1,0
"Dominic Canzone",25,"ARI","NL",15,41,38,4,9,2,0,1,8,0,0,2,8,0.237,0.293,0.368,0.661,81,14,1,1,0,0,0,7.6,17,49,44,6,13,4,1,4,11,2,0,4,16,0.295,0.347,0.705,1.051,31,0,0,0,1,0
"Dominic Canzone",25,"SEA","AL",44,141,135,19,29,11,0,5,13,1,0,6,24,0.215,0.248,0.407,0.656,82,55,4,0,0,0,0,7.6,17,49,44,6,13,4,1,4,11,2,0,4,16,0.295,0.347,0.705,1.051,31,0,0,0,1,0
"Conner Capel",26,"OAK","AL",32,86,73,6,19,5,0,0,3,5,3,12,25,0.26,0.372,0.329,0.701,102,24,1,1,0,0,0,7.3,12,19,18,2,4,1,0,1,2,1,0,1,8,0.222,0.263,0.444,0.708,8,0,0,0,0,0
"Vinny Capra",26,"PIT","NL",9,21,18,3,3,1,0,0,1,0,0,2,5,0.167,0.25,0.222,0.472,31,4,0,0,1,0,0,7.1,13,24,22,6,7,2,0,1,1,3,0,2,6,0.318,0.375,0.545,0.92,12,0,0,0,0,0
"Victor Caratini",29,"MIL","NL",62,226,201,23,52,4,0,7,25,1,1,19,45,0.259,0.327,0.383,0.711,93,77,8,3,0,3,0,8,12,38,32,7,7,2,0,0,2,0,0,3,8,0.219,0.342,0.281,0.623,9,0,3,0,0,0
"Dylan Carlson",24,"STL","NL",76,255,219,27,48,8,1,5,27,3,0,26,49,0.219,0.318,0.333,0.651,79,73,4,7,0,3,0,7.8,18,53,48,5,13,3,0,3,13,1,0,5,14,0.271,0.34,0.521,0.86,25,0,0,0,0,0
"Kerry Carpenter",25,"DET","AL",118,459,418,57,116,17,2,20,64,6,0,32,115,0.278,0.34,0.471,0.811,121,197,5,8,0,1,3,8.5,14,44,42,7,11,2,1,3,8,0,0,1,14,0.262,0.273,0.571,0.844,24,4,0,0,1,0
"Matt Carpenter",37,"SDP","NL",76,237,188,18,33,12,0,5,31,1,0,41,67,0.176,0.322,0.319,0.641,79,60,2,2,0,5,0,7.9,13,32,26,5,9,5,0,1,5,0,0,3,9,0.346,0.419,0.654,1.073,17,0,1,0,1,0
"Corbin Carroll",22,"ARI","NL",155,645,565,116,161,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,135,286,7,13,6,4,1,7.7,19,60,54,8,17,3,2,0,4,4,0,5,11,0.315,0.367,0.444,0.811,24,0,0,0,1,0
"Evan Carter",20,"TEX","AL",23,75,62,15,19,4,1,5,12,3,0,12,24,0.306,0.413,0.645,1.058,187,40,1,0,0,1,1,8,20,61,53,9,14,1,0,2,10,2,1,5,13,0.264,0.344,0.396,0.74,21,1,2,0,1,0
"Curt Casali",34,"CIN","NL",40,96,80,8,14,2,0,0,6,0,0,11,23,0.175,0.29,0.2,0.49,36,16,1,2,3,0,0,7.9,9,19,17,0,1,1,0,0,1,0,0,2,2,0.059,0.158,0.118,0.276,2,3,0,0,0,0
"Triston Casas",23,"BOS","AL",132,502,429,66,113,21,2,24,65,0,0,70,126,0.263,0.367,0.49,0.856,129,210,7,1,0,2,2,7.5,18,58,49,6,11,1,0,2,7,0,0,9,14,0.224,0.345,0.367,0.712,18,1,0,0,0,0
"Nick Castellanos",31,"PHI","NL",157,671,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,111,298,17,3,0,6,0,7.6,16,43,42,3,5,0,0,2,3,1,0,1,12,0.119,0.14,0.262,0.401,11,0,0,0,0,0
"Diego Castillo",25,"ARI","NL",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,7.1,12,21,17,2,6,1,0,0,1,0,0,4,5,0.353,0.476,0.412,0.888,7,0,0,0,0,0
"Rodolfo Castro",24,"TOT","NL",92,256,227,21,48,7,0,6,24,1,4,23,74,0.211,0.297,0.322,0.618,69,73,4,5,0,1,1,7.4,15,32,30,4,8,2,0,0,3,0,0,1,10,0.267,0.313,0.333,0.646,10,0,1,0,0,0
"Rodolfo Castro",24,"PIT","NL",78,224,197,19,45,7,0,6,22,1,4,21,62,0.228,0.317,0.355,0.672,83,70,4,5,0,1,1,7.4,15,32,30,4,8,2,0,0,3,0,0,1,10,0.267,0.313,0.333,0.646,10,0,1,0,0,0
"Rodolfo Castro",24,"PHI","NL",14,32,30,2,3,0,0,0,2,0,0,2,12,0.1,0.156,0.1,0.256,-28,3,0,0,0,0,0,7.4,15,32,30,4,8,2,0,0,3,0,0,1,10,0.267,0.313,0.333,0.646,10,0,1,0,0,0
"Willi Castro",26,"MIN","AL",124,409,358,60,92,18,5,9,34,33,5,34,99,0.257,0.339,0.411,0.75,106,147,5,12,2,3,1,7.4,15,41,41,5,14,2,1,1,2,1,0,0,12,0.341,0.341,0.512,0.854,21,0,0,0,0,0
"Jake Cave",30,"PHI","NL",65,203,184,18,39,8,1,5,21,3,0,15,55,0.212,0.272,0.348,0.62,68,64,3,1,1,2,0,7.6,2,6,6,1,2,1,0,0,0,1,0,0,1,0.333,0.333,0.5,0.833,3,0,0,0,0,0
"Yu Chang",27,"BOS","AL",39,112,105,12,17,2,0,6,18,4,0,3,34,0.162,0.2,0.352,0.552,45,37,2,2,2,0,0,7.8,2,3,3,1,1,0,0,1,1,0,0,0,1,0.333,0.333,1.333,1.667,4,0,0,0,0,0
"Matt Chapman",30,"TOR","AL",140,581,509,66,122,39,2,17,54,4,2,62,165,0.24,0.33,0.424,0.755,107,216,4,8,0,2,1,7.3,11,35,30,4,8,1,0,2,3,0,0,3,5,0.267,0.371,0.5,0.871,15,0,2,0,0,0
"Michael Chavis",27,"WSN","NL",48,96,91,16,22,3,0,2,5,1,0,5,33,0.242,0.281,0.341,0.622,72,31,3,0,0,0,0,7.7,9,20,19,1,2,0,0,1,2,0,0,1,8,0.105,0.15,0.263,0.413,5,1,0,0,0,0
"Jazz Chisholm Jr.",25,"MIA","NL",97,383,352,50,88,12,2,19,51,22,3,26,118,0.25,0.304,0.457,0.761,100,161,4,2,1,2,0,7.7,15,42,38,9,12,2,0,3,8,2,0,4,14,0.316,0.381,0.605,0.986,23,0,0,0,0,0
"Jiman Choi",32,"TOT","NL",39,117,104,12,17,5,0,6,13,0,0,10,35,0.163,0.239,0.385,0.624,67,40,2,1,0,2,0,7.1,16,44,37,2,7,2,0,1,5,0,0,7,12,0.189,0.318,0.324,0.643,12,1,0,0,0,0
"Jiman Choi",32,"PIT","NL",23,76,73,9,15,4,0,6,11,0,0,2,27,0.205,0.224,0.507,0.731,91,37,1,0,0,1,0,7.1,16,44,37,2,7,2,0,1,5,0,0,7,12,0.189,0.318,0.324,0.643,12,1,0,0,0,0
"Jiman Choi",32,"SDP","NL",16,41,31,3,2,1,0,0,2,0,0,8,8,0.065,0.268,0.097,0.365,8,3,1,1,0,1,0,7.1,16,44,37,2,7,2,0,1,5,0,0,7,12,0.189,0.318,0.324,0.643,12,1,0,0,0,0
"Kody Clemens",27,"PHI","NL",47,148,139,15,32,7,0,4,13,0,0,8,40,0.23,0.277,0.367,0.644,74,51,1,1,0,0,0,7.7,17,46,40,11,13,3,1,3,10,0,0,4,7,0.325,0.391,0.675,1.066,27,0,1,0,1,0
"Ernie Clement",27,"TOR","AL",29,52,50,7,19,1,1,1,10,1,0,1,4,0.38,0.385,0.5,0.885,143,25,0,0,0,1,0,7.8,17,49,47,8,17,0,2,3,8,2,0,2,1,0.362,0.388,0.638,1.026,30,0,0,0,0,0
"Oscar Colás",24,"CHW","AL",75,263,245,32,53,9,0,5,19,4,3,12,71,0.216,0.257,0.314,0.571,57,77,5,2,2,2,1,7.7,11,22,20,1,3,1,0,0,1,0,0,2,8,0.15,0.227,0.2,0.427,4,0,0,0,0,0
"Michael Conforto",30,"SFG","NL",125,470,406,58,97,14,0,15,58,4,0,53,106,0.239,0.334,0.384,0.718,100,156,12,7,0,4,4,7.2,16,50,41,4,10,2,0,0,2,0,0,8,10,0.244,0.36,0.293,0.653,12,1,0,0,1,0
"William Contreras",25,"MIL","NL",141,611,540,86,156,38,1,17,78,6,1,63,126,0.289,0.367,0.457,0.825,123,247,23,5,1,2,2,7.7,16,52,49,5,13,3,0,3,9,1,0,2,11,0.265,0.308,0.51,0.818,25,3,1,0,0,0
"Willson Contreras",31,"STL","NL",125,495,428,55,113,27,0,20,67,6,3,51,111,0.264,0.358,0.467,0.826,124,200,12,13,1,2,0,7.8,15,43,39,4,10,5,0,1,8,0,0,3,17,0.256,0.302,0.462,0.764,18,0,0,0,1,0
"Garrett Cooper",32,"TOT","NL",123,457,422,42,106,18,1,17,61,0,0,31,132,0.251,0.304,0.419,0.724,93,177,15,2,0,2,0,7.5,13,36,32,8,8,2,0,3,6,0,0,4,11,0.25,0.333,0.594,0.927,19,0,0,0,0,0
"Garrett Cooper",32,"MIA","NL",82,324,305,28,78,11,1,13,46,0,0,17,97,0.256,0.296,0.426,0.723,91,130,9,1,0,1,0,7.5,13,36,32,8,8,2,0,3,6,0,0,4,11,0.25,0.333,0.594,0.927,19,0,0,0,0,0
"Garrett Cooper",32,"SDP","NL",41,133,117,14,28,7,0,4,15,0,0,14,35,0.239,0.323,0.402,0.725,99,47,6,1,0,1,0,7.5,13,36,32,8,8,2,0,3,6,0,0,4,11,0.25,0.333,0.594,0.927,19,0,0,0,0,0
"Carlos Correa",28,"MIN","AL",135,580,514,60,118,29,2,18,65,0,0,59,131,0.23,0.312,0.399,0.711,94,205,30,4,0,3,3,6.8,15,42,38,4,10,1,0,1,6,0,0,3,9,0.263,0.31,0.368,0.678,14,4,0,0,1,0
"Colton Cowser",23,"BAL","AL",26,77,61,15,7,2,0,0,4,1,0,13,22,0.115,0.286,0.148,0.433,28,9,1,2,0,1,0,8.1,18,55,46,11,14,1,0,6,13,1,0,7,17,0.304,0.418,0.717,1.136,33,0,2,0,0,0
"Brandon Crawford",36,"SFG","NL",93,320,283,31,55,11,1,7,38,3,0,28,81,0.194,0.273,0.314,0.587,63,89,5,4,1,4,1,9.4,6,13,9,1,1,0,0,0,0,1,0,3,2,0.111,0.385,0.111,0.496,1,2,1,0,0,0
"J.P. Crawford",28,"SEA","AL",145,638,534,94,142,35,0,19,65,2,0,94,125,0.266,0.38,0.438,0.818,132,234,7,5,3,2,1,7.9,17,49,44,9,15,3,0,1,5,0,1,4,4,0.341,0.408,0.477,0.885,21,1,1,0,0,0
"C.J. Cron",33,"TOT","MLB",71,278,258,38,64,12,0,12,37,0,0,17,65,0.248,0.295,0.434,0.729,89,112,13,1,0,2,0,6.8,6,19,15,1,3,0,0,0,1,0,0,3,2,0.2,0.368,0.2,0.568,3,0,1,0,0,0
"C.J. Cron",33,"COL","NL",56,224,208,31,54,12,0,11,32,0,0,13,50,0.26,0.304,0.476,0.78,100,99,10,1,0,2,0,6.8,6,19,15,1,3,0,0,0,1,0,0,3,2,0.2,0.368,0.2,0.568,3,0,1,0,0,0
"C.J. Cron",33,"LAA","AL",15,54,50,7,10,0,0,1,5,0,0,4,15,0.2,0.259,0.26,0.519,43,13,3,0,0,0,0,6.8,6,19,15,1,3,0,0,0,1,0,0,3,2,0.2,0.368,0.2,0.568,3,0,1,0,0,0
"Jake Cronenworth",29,"SDP","NL",127,522,458,54,105,24,7,10,48,6,1,46,97,0.229,0.312,0.378,0.689,89,173,8,11,1,5,2,8.1,14,40,29,6,7,1,0,1,4,1,0,10,6,0.241,0.45,0.379,0.829,11,1,1,0,0,0
"Tyler Cropley",27,"KCR","AL",2,7,6,0,1,0,0,0,1,0,0,0,2,0.167,0.143,0.167,0.31,-16,1,0,0,0,1,0,6.4,7,13,12,3,5,1,0,0,2,0,0,1,3,0.417,0.462,0.5,0.962,6,0,0,0,0,0
"Pete Crow-Armstrong",21,"CHC","NL",13,19,14,3,0,0,0,0,1,2,2,3,7,0,0.176,0,0.176,-46,0,0,0,2,0,0,7.7,12,31,29,4,4,3,0,0,1,3,0,0,9,0.138,0.194,0.241,0.435,7,0,2,0,0,0
"Oneil Cruz",24,"PIT","NL",9,40,32,7,8,1,0,1,4,3,0,7,8,0.25,0.375,0.375,0.75,106,12,0,0,0,1,0,7.7,16,51,46,13,12,1,0,7,14,1,0,5,16,0.261,0.333,0.739,1.072,34,0,0,0,0,0
"Travis d'Arnaud",34,"ATL","NL",74,292,267,31,60,13,0,11,39,0,0,21,67,0.225,0.288,0.397,0.685,83,106,6,3,0,1,0,7.9,11,25,20,3,6,1,0,0,2,0,0,3,7,0.3,0.4,0.35,0.75,7,1,1,0,1,0
"David Dahl",29,"SDP","NL",4,9,9,1,1,0,0,1,1,0,0,0,2,0.111,0.111,0.444,0.556,43,4,0,0,0,0,0,7.9,16,39,36,7,9,3,0,2,7,0,0,2,9,0.25,0.282,0.5,0.782,18,0,0,0,1,0
"Bobby Dalbec",28,"BOS","AL",21,53,49,6,10,2,0,1,1,1,0,4,28,0.204,0.264,0.306,0.57,54,15,0,0,0,0,0,7.8,23,61,54,7,12,1,0,3,9,2,1,7,21,0.222,0.311,0.407,0.719,22,1,0,0,0,0
"Henry Davis",23,"PIT","NL",62,255,225,27,48,10,0,7,24,3,5,25,69,0.213,0.302,0.351,0.653,78,79,3,4,0,1,2,7.9,16,51,42,7,13,3,0,4,12,0,0,7,10,0.31,0.4,0.667,1.067,28,0,0,0,1,0
"J.D. Davis",30,"SFG","NL",144,546,480,61,119,23,1,18,69,1,0,52,152,0.248,0.325,0.413,0.738,104,198,16,6,0,6,0,7.7,7,22,22,0,4,1,0,0,1,0,0,0,5,0.182,0.182,0.227,0.409,5,0,0,0,0,0
"Jonathan Davis",31,"MIA","NL",34,104,90,22,22,4,1,2,10,1,2,7,29,0.244,0.307,0.378,0.685,83,34,1,2,2,2,0,7.6,9,18,15,2,1,0,0,0,0,0,0,0,6,0.067,0.222,0.067,0.289,1,0,3,0,0,0
"Bryan De La Cruz",26,"MIA","NL",153,626,579,60,149,32,0,19,78,4,1,40,142,0.257,0.304,0.411,0.715,90,238,18,1,0,5,0,7.5,16,45,43,6,12,2,0,0,8,1,0,2,9,0.279,0.311,0.326,0.637,14,1,0,0,0,0
"Elly De La Cruz",21,"CIN","NL",98,427,388,67,91,15,7,13,44,35,8,35,144,0.235,0.3,0.41,0.71,88,159,6,2,1,1,3,7.6,17,58,50,14,14,3,2,2,7,5,1,8,21,0.28,0.379,0.54,0.919,27,0,0,0,0,0
"Paul DeJong",29,"TOT","MLB",112,400,372,41,77,13,0,14,38,4,4,21,121,0.207,0.258,0.355,0.612,66,132,10,5,0,2,0,7.5,21,60,54,7,16,2,0,3,16,1,1,3,17,0.296,0.333,0.5,0.833,27,1,1,0,2,0
"Paul DeJong",29,"TOT","NL",99,356,328,40,74,13,0,14,37,4,4,21,103,0.226,0.281,0.393,0.674,83,129,9,5,0,2,0,7.5,21,60,54,7,16,2,0,3,16,1,1,3,17,0.296,0.333,0.5,0.833,27,1,1,0,2,0
"Paul DeJong",29,"STL","NL",81,306,279,38,65,11,0,13,32,4,4,21,87,0.233,0.297,0.412,0.71,92,115,8,5,0,1,0,7.5,21,60,54,7,16,2,0,3,16,1,1,3,17,0.296,0.333,0.5,0.833,27,1,1,0,2,0
"Paul DeJong",29,"TOR","AL",13,44,44,1,3,0,0,0,1,0,0,0,18,0.068,0.068,0.068,0.136,-62,3,1,0,0,0,0,7.5,21,60,54,7,16,2,0,3,16,1,1,3,17,0.296,0.333,0.5,0.833,27,1,1,0,2,0
"Paul DeJong",29,"SFG","NL",18,50,49,2,9,2,0,1,5,0,0,0,16,0.184,0.18,0.286,0.466,27,14,1,0,0,1,0,7.5,21,60,54,7,16,2,0,3,16,1,1,3,17,0.296,0.333,0.5,0.833,27,1,1,0,2,0
"Jason Delay",28,"PIT","NL",70,187,167,20,42,11,1,1,18,0,0,14,44,0.251,0.319,0.347,0.666,82,58,5,3,2,1,0,7.2,13,30,26,0,6,2,0,0,2,0,0,3,9,0.231,0.333,0.308,0.641,8,0,1,0,0,0
"Jonny DeLuca",24,"LAD","NL",24,45,42,5,11,1,0,2,6,1,0,3,8,0.262,0.311,0.429,0.74,98,18,0,0,0,0,0,7.1,7,16,13,2,4,0,0,0,1,1,1,1,4,0.308,0.438,0.308,0.745,4,0,2,0,0,0
"Rafael Devers",26,"BOS","AL",153,656,580,90,157,34,0,33,100,5,1,62,126,0.271,0.351,0.5,0.851,126,290,15,11,0,3,10,7.5,18,55,50,11,19,2,0,5,11,0,1,5,14,0.38,0.436,0.72,1.156,36,0,0,0,0,0
"Aledmys Díaz",32,"OAK","AL",109,344,315,25,72,20,1,4,24,1,0,17,66,0.229,0.28,0.337,0.616,74,106,14,7,1,4,2,7.6,2,4,3,1,1,0,0,0,0,0,0,1,1,0.333,0.5,0.333,0.833,1,1,0,0,0,0
"Elias Díaz",32,"COL","NL",141,526,486,48,130,25,1,14,72,1,0,34,118,0.267,0.316,0.409,0.725,88,199,12,2,0,4,0,7,12,31,28,4,9,0,0,3,9,0,0,0,6,0.321,0.323,0.643,0.965,18,0,1,0,2,0
"Jordan Diaz",22,"OAK","AL",90,293,272,20,60,9,0,10,27,0,1,17,69,0.221,0.273,0.364,0.637,78,99,10,3,0,1,0,7.4,10,27,24,2,2,1,0,0,0,0,0,2,3,0.083,0.185,0.125,0.31,3,1,1,0,0,0
"Yainer Diaz",24,"HOU","AL",104,377,355,51,100,22,0,23,60,0,0,11,74,0.282,0.308,0.538,0.846,128,191,12,5,0,6,0,7.6,15,48,42,7,10,1,0,1,8,0,0,5,5,0.238,0.333,0.333,0.667,14,3,1,0,0,0
"Yandy Díaz",31,"TBR","AL",137,600,525,95,173,35,0,22,78,0,1,65,94,0.33,0.41,0.522,0.932,159,274,16,8,0,2,0,7.3,15,43,41,5,13,2,0,4,7,0,1,2,8,0.317,0.349,0.659,1.007,27,0,0,0,0,0
"Brendan Donovan",26,"STL","NL",95,371,327,48,93,10,1,11,34,5,1,33,53,0.284,0.365,0.422,0.787,115,138,4,9,1,1,2,8.2,16,48,42,7,8,1,0,0,2,2,0,5,7,0.19,0.292,0.214,0.506,9,0,1,0,0,0
"Jeter Downs",24,"WSN","NL",6,9,5,4,2,0,0,0,1,2,0,4,1,0.4,0.667,0.4,1.067,209,2,0,0,0,0,0,7.3,11,23,20,4,4,3,0,0,3,0,1,2,8,0.2,0.304,0.35,0.654,7,0,1,0,0,0
"Brenton Doyle",25,"COL","NL",126,431,399,48,81,16,5,10,48,22,5,22,151,0.203,0.25,0.343,0.593,53,137,9,4,3,3,0,7.5,19,54,50,7,14,1,0,0,5,3,1,3,13,0.28,0.321,0.3,0.621,15,2,0,1,0,0
"Hunter Dozier",31,"KCR","AL",29,91,82,8,15,2,1,2,9,2,0,8,29,0.183,0.253,0.305,0.558,51,25,0,0,0,1,0,7.2,10,22,19,3,4,1,0,1,3,0,0,3,10,0.211,0.318,0.421,0.739,8,0,0,0,0,0
"Brandon Drury",30,"LAA","AL",125,523,485,61,127,30,3,26,83,0,2,25,136,0.262,0.306,0.497,0.803,114,241,14,8,0,5,0,7.5,20,57,51,8,18,5,0,1,9,0,2,5,15,0.353,0.421,0.51,0.931,26,2,1,0,0,0
"Mauricio Dubón",28,"HOU","AL",132,492,467,76,130,26,3,10,46,7,2,19,70,0.278,0.309,0.411,0.72,97,192,10,3,0,3,0,7.6,14,39,34,10,16,5,0,1,7,1,1,4,4,0.471,0.538,0.706,1.244,24,0,1,0,0,0
"Matt Duffy",32,"KCR","AL",78,209,191,17,48,8,0,2,16,1,0,12,39,0.251,0.306,0.325,0.631,73,62,4,4,0,2,0,7.3,17,50,45,5,13,3,0,0,3,0,0,4,5,0.289,0.34,0.356,0.696,16,1,0,0,1,0
"Ezequiel Duran",24,"TEX","AL",122,439,406,55,112,22,2,14,46,8,4,23,120,0.276,0.324,0.443,0.768,110,180,7,7,1,2,1,7.2,22,64,61,8,17,1,1,1,4,3,1,3,10,0.279,0.313,0.377,0.69,23,2,0,0,0,0
"Jarren Duran",26,"BOS","AL",102,362,332,46,98,34,2,8,40,24,2,24,90,0.295,0.346,0.482,0.828,121,160,3,3,0,2,1,7.4,16,50,48,8,12,4,1,1,5,1,0,2,9,0.25,0.28,0.438,0.718,21,0,0,0,0,0
"Adam Duvall",34,"BOS","AL",92,353,320,45,79,24,2,21,58,4,0,22,110,0.247,0.303,0.531,0.834,119,170,0,6,0,5,1,7.3,2,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Nate Eaton",26,"KCR","AL",28,56,53,2,4,0,0,0,1,3,0,2,21,0.075,0.125,0.075,0.2,-43,4,0,1,0,0,0,6.7,17,33,31,8,8,1,1,2,5,0,1,1,7,0.258,0.303,0.548,0.851,17,0,1,0,0,0
"Cam Eden",25,"TOR","AL",5,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-7,1,0,0,0,0,0,7,12,24,23,3,6,2,0,0,1,0,0,1,11,0.261,0.292,0.348,0.639,8,0,0,0,0,0
"Xavier Edwards",23,"MIA","NL",30,84,78,12,23,3,0,0,3,5,0,3,14,0.295,0.329,0.333,0.663,79,26,1,1,2,0,0,7.6,5,13,13,1,3,0,0,0,0,0,0,0,1,0.231,0.231,0.231,0.462,3,1,0,0,0,0
"Christian Encarnacion-Strand",23,"CIN","NL",63,241,222,29,60,7,0,13,37,2,0,14,69,0.27,0.328,0.477,0.805,112,106,5,5,0,0,0,7.4,16,55,51,14,17,2,3,5,14,0,0,3,7,0.333,0.382,0.784,1.166,40,0,1,0,0,0
"Eduardo Escobar",34,"TOT","MLB",99,309,288,32,65,6,5,6,31,2,1,18,78,0.226,0.269,0.344,0.613,67,99,7,0,1,2,0,7.9,15,42,41,3,5,1,1,1,7,0,0,1,17,0.122,0.143,0.268,0.411,11,1,0,0,0,0
"Eduardo Escobar",34,"NYM","NL",40,120,110,15,26,3,2,4,16,2,0,8,24,0.236,0.286,0.409,0.695,90,45,4,0,1,1,0,7.9,15,42,41,3,5,1,1,1,7,0,0,1,17,0.122,0.143,0.268,0.411,11,1,0,0,0,0
"Eduardo Escobar",34,"LAA","AL",59,189,178,17,39,3,3,2,15,0,1,10,54,0.219,0.259,0.303,0.563,54,54,3,0,0,1,0,7.9,15,42,41,3,5,1,1,1,7,0,0,1,17,0.122,0.143,0.268,0.411,11,1,0,0,0,0
"Santiago Espinal",28,"TOR","AL",93,254,230,30,57,14,0,2,25,2,1,18,36,0.248,0.31,0.335,0.644,79,77,5,3,2,1,1,7.6,2,5,5,1,3,1,0,0,1,0,0,0,1,0.6,0.6,0.8,1.4,4,1,0,0,0,0
"Thairo Estrada",27,"SFG","NL",120,530,495,63,134,26,2,14,49,23,7,22,120,0.271,0.315,0.416,0.731,102,206,10,11,0,2,1,7.3,17,52,49,11,15,2,1,2,8,1,1,3,9,0.306,0.346,0.51,0.856,25,0,0,0,0,0
"Stuart Fairchild",27,"CIN","NL",97,255,219,34,50,16,2,5,28,10,3,25,69,0.228,0.321,0.388,0.71,89,85,2,6,3,2,0,7.4,14,44,42,8,14,5,0,3,8,4,1,1,9,0.333,0.349,0.667,1.016,28,3,0,1,0,0
"Kyle Farmer",32,"MIN","AL",120,369,336,49,86,14,2,11,46,2,4,23,86,0.256,0.317,0.408,0.725,98,137,7,8,0,2,0,7.5,17,48,45,2,9,0,0,0,0,0,0,2,7,0.2,0.25,0.2,0.45,9,4,1,0,0,0
"Freddy Fermin",28,"KCR","AL",70,235,217,26,61,10,1,9,32,0,0,13,50,0.281,0.321,0.461,0.781,109,100,11,1,1,3,0,7.7,8,23,20,3,5,1,0,0,4,0,0,2,2,0.25,0.348,0.3,0.648,6,0,1,0,0,0
"José Fermín",24,"STL","NL",21,61,51,2,12,1,0,0,4,0,1,6,8,0.235,0.339,0.255,0.594,67,13,1,2,2,0,0,7.1,24,54,46,9,13,3,0,2,5,1,0,6,5,0.283,0.37,0.478,0.849,22,2,1,0,1,0
"Tyler Fitzgerald",25,"SFG","NL",10,34,32,3,7,2,0,2,5,2,0,2,10,0.219,0.265,0.469,0.733,99,15,0,0,0,0,0,7.2,23,60,45,12,9,1,1,2,11,4,1,14,24,0.2,0.383,0.4,0.783,18,1,0,0,1,0
"David Fletcher",29,"LAA","AL",33,97,89,7,22,1,0,2,12,0,0,7,9,0.247,0.302,0.326,0.628,72,29,2,0,1,0,1,7.8,16,41,37,3,12,1,0,0,3,3,0,3,3,0.324,0.366,0.351,0.717,13,2,0,0,1,0
