"","Other","Ashe","Caitlyn","Jinx","Tristana","Vayne"
"1",1952,407,496,974,647,1006
"2",643,113,139,294,177,256
"3",441,75,73,178,130,218
"4",649,126,154,265,194,251
"5",503,90,98,218,138,206
"6",1035,145,199,438,238,394
