"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"36","Mayu MATSUMOTO","Wakana NAGAHARA","HSU Ya Ching","LIN Wan Ching",10,2023,"Women","Doubles",4,4,0,184,119,65,1,303,0.607260726072607
"37","KIM So Yeong","KONG Hee Yong","LI Wenmei","LIU Xuanxuan",12,2023,"Women","Doubles",3,2,1,178,170,8,0.666666666666667,348,0.511494252873563
"38","Rena MIYAURA","Ayako SAKURAMOTO","LIU Sheng Shu","TAN Ning",13,2023,"Women","Doubles",3,2,1,172,167,5,0.666666666666667,339,0.507374631268437
"39","KIM So Yeong","KONG Hee Yong","Benyapa AIMSAARD","Nuntakarn AIMSAARD",14,2023,"Women","Doubles",4,4,0,170,110,60,1,280,0.607142857142857
"40","Febriana Dwipuji KUSUMA","Amalia Cahaya PRATIWI","Lanny Tria MAYASARI","Ribka SUGIARTO",15,2023,"Women","Doubles",4,3,1,169,150,19,0.75,319,0.529780564263323
"41","LIU Sheng Shu","TAN Ning","Maiken FRUERGAARD","Sara THYGESEN",16,2023,"Women","Doubles",4,4,0,168,120,48,1,288,0.583333333333333
"42","LIU Sheng Shu","TAN Ning","Mayu MATSUMOTO","Wakana NAGAHARA",17,2023,"Women","Doubles",4,3,1,164,146,18,0.75,310,0.529032258064516
"43","LEE Yu Lim","SHIN Seung Chan","Febriana Dwipuji KUSUMA","Amalia Cahaya PRATIWI",17,2023,"Women","Doubles",3,3,0,164,140,24,1,304,0.539473684210526
"44","Yuki FUKUSHIMA","Sayaka HIROTA","Apriyani RAHAYU","Siti Fadia Silva RAMADHANTI",19,2023,"Women","Doubles",4,2,2,163,150,13,0.5,313,0.520766773162939
"45","CHEN Qingchen","JIA Yifan","BAEK Ha Na","LEE So Hee",20,2023,"Women","Doubles",4,3,1,156,130,26,0.75,286,0.545454545454545
"46","Rin IWANAGA","Kie NAKANISHI","LEE Chia Hsin","TENG Chun Hsun",21,2023,"Women","Doubles",3,3,0,153,129,24,1,282,0.542553191489362
"47","TAN Pearly Koong Le","Muralitharan THINAAH","Mayu MATSUMOTO","Wakana NAGAHARA",22,2023,"Women","Doubles",3,2,1,152,140,12,0.666666666666667,292,0.520547945205479
"48","Mayu MATSUMOTO","Wakana NAGAHARA","Benyapa AIMSAARD","Nuntakarn AIMSAARD",23,2023,"Women","Doubles",3,2,1,151,127,24,0.666666666666667,278,0.543165467625899
"49","KIM So Yeong","KONG Hee Yong","Mayu MATSUMOTO","Wakana NAGAHARA",24,2023,"Women","Doubles",3,2,1,150,135,15,0.666666666666667,285,0.526315789473684
"50","Nami MATSUYAMA","Chiharu SHIDA","LIU Sheng Shu","TAN Ning",24,2023,"Women","Doubles",3,2,1,150,134,16,0.666666666666667,284,0.528169014084507
"51","Kodai NARAOKA",NA,"SHI Yuqi",NA,1,2023,"Men","Singles",6,4,2,301,287,14,0.666666666666667,588,0.511904761904762
"52","Kodai NARAOKA",NA,"Anders ANTONSEN",NA,2,2023,"Men","Singles",6,4,2,266,262,4,0.666666666666667,528,0.503787878787879
"53","SHI Yuqi",NA,"LU Guangzu",NA,3,2023,"Men","Singles",5,4,1,230,208,22,0.8,438,0.525114155251142
"54","Viktor AXELSEN",NA,"Christo POPOV",NA,4,2023,"Men","Singles",4,4,0,200,146,54,1,346,0.578034682080925
