date,fighter1,fighter2,fighter1_PP,fighter2_PP,fighter1_PR,fighter2_PR,fighter1_TP,fighter2_TP,fighter1_RB,fighter2_RB,fighter1_KO%,fighter2_KO%,fighter1_HKO%,fighter2_HKO%,fighter1_W,fighter2_W,verdict
2018-12-22,Josh Warrington,Carl Frampton,53,53,58.1,61.3,70,77,205,183,2.93,8.2,0,0,127.08,121.85,Warrington
2019-02-23,James Degale,Chris Eubank Jr,69,69,66.8,60.9,78,76,198,172,7.58,12.21,0,0,168.17,161.7,Eubank
2019-03-09,Yordenis Ugas,Shawn Porter,63,63,57.3,63.5,73,80,153,207,7.19,8.21,0,0,144.06,152.53,Porter
2019-03-15,Adrian Young,Luke Campbell,63,63,39.8,60,70,71,93,125,16.13,12,0,0,124.01,135.24,Campbell
2019-03-16,Mikey Garcia,Errol Spence Jr,75,75,63.5,61.5,79,76,214,96,14.02,21.88,0,0,127.69,148.6,Spence
2019-06-01,Andy Ruiz Jr,Anthony Joshua,71,71,56.7,69.9,81,83,144,84,14.58,25,0,0,248.34,237.26,Ruiz
2019-06-15,Tyson Fury,Tom Schwarz,71,71,66.5,47.7,86,69,172,89,11.05,17.98,0,0,247.5,232.91,Fury
2019-06-21,Ted Cheesman,Kieron Conway,67,67,50.7,53,64,51,91,40,9.89,5,0,0,0,0,Draw
2019-11-30,Carl Frampton,Tyler Mccreary,69,69,61.6,37.6,77,66,195,77,7.69,9.09,0,0,121.85,132.1,Frampton
2019-12-12,Joe Hughes,Sandor Martin,57,57,51.4,55.8,63,71,170,222,4.12,5.86,0,0,141.86,139.6,Martin
2020-02-29,Jessie Vargas,Mikey Garcia,61,61,67.4,63.8,78,81,241,226,4.56,13.27,0,0,143.19,128.21,Garcia
2020-02-22,Deontay Wilder,Tyson Fury,88,88,63.9,66.9,83,86,143,186,28.67,10.75,0,0,242.4,247.5,Fury
2020-10-17,Vasyl Lomachenko,Teofimo Lopez,71,71,73.9,58.1,78,76,131,58,7.63,18.97,0,0,127.11,139.6,Lopez
