"","fighter_name","Weight","Reach","Stance","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg","birthyear","height_inches"
"1056","Elvis Mutapcic",185,72,"Orthodox",3.41,40,4.27,38,0,0,81,0,1986,72
"1057","Muhammad Naimov",145,70,"Orthodox",3.47,41,5.87,44,0,0,25,0,1994,69
"1058","Keita Nakamura",170,73,"Southpaw",2.23,36,3.2,58,1.65,48,63,0.3,1984,71
"1059","Kazuhiro Nakamura",205,70,"Orthodox",1.56,37,1.83,59,1.73,36,42,0.6,1979,71
"1060","Tyson Nam",125,68,"Orthodox",3.64,31,5.69,64,0,0,100,0,1983,67
"1061","Rose Namajunas",115,65,"Orthodox",4.13,40,3.98,60,1.91,53,50,0.8,1992,65
"1062","Nad Narimani",145,70,"Orthodox",3.33,42,3,58,1.92,41,70,0,1987,68
"1063","Bobby Nash",170,74,"Orthodox",3.42,37,3.95,51,2.37,33,100,1.6,1990,72
"1064","Rodrigo Nascimento",246,80,"Orthodox",4.23,55,4.32,42,2.7,100,100,2.7,1992,74
"1065","Rafael Natal",185,77,"Orthodox",3.1,47,2.48,57,2.55,34,77,0.5,1982,72
"1066","Kevin Natividad",145,70,"Orthodox",2.57,24,3.74,54,0,0,100,0,1993,66
"1067","Ismail Naurdiev",170,74,"Orthodox",3.17,52,1.3,68,1.25,71,70,0.2,1996,70
"1068","Tafon Nchukwi",205,77,"Orthodox",7.59,55,4.31,52,0,0,75,0,1994,72
"1069","Geoff Neal",170,75,"Southpaw",4.94,49,4.93,61,0.5,50,92,0.2,1990,71
"1070","Nicolae Negumereanu",205,78,"Orthodox",0.73,40,4.67,18,0,0,40,0,1994,72
"1071","Stanislav Nedkov",205,71,"Orthodox",3.33,43,5.39,43,2.77,41,0,0,1981,71
"1072","Josh Neer",170,72,"Orthodox",3.29,46,3.63,58,1.09,34,46,1.3,1983,71
"1073","Shane Nelson",155,70,"Southpaw",1.38,31,2.84,61,1.31,18,54,1.6,1984,69
"1074","Kyle Nelson",155,71,"Switch",3.63,41,6.82,47,0.96,12,60,1.9,1991,71
"1075","Gunnar Nelson",170,72,"Switch",1.71,57,3.33,49,1.72,55,66,0.9,1988,71
"1076","Roy Nelson",263,73,"Orthodox",2.18,36,4.79,46,1.14,27,65,0.1,1976,72
"1077","Antonio Braga Neto",185,77,"Orthodox",1.36,33,3.92,45,3.07,37,0,0.5,1987,75
"1078","Journey Newson",135,67,"Orthodox",2.76,32,2.76,65,0,0,0,0.9,1989,65
"1079","Francis Ngannou",250,83,"Orthodox",2.23,37,2.03,47,0,0,71,0.5,1986,76
"1080","Ben Nguyen",125,65,"Switch",3.51,40,3.01,59,0.25,33,63,1,1988,65
"1081","Alex Nicholson",185,77,"Orthodox",4.12,43,4.65,47,0,0,50,0.5,1990,76
"1082","Matheus Nicolau",125,66,"Orthodox",3.79,52,2.83,67,1.93,44,100,1.4,1993,66
"1083","Tom Niinimaki",145,69,"Orthodox",1.91,54,2.31,58,2.97,46,33,0.5,1982,69
"1084","Ramsey Nijem",155,75,"Orthodox",3.05,44,1.62,62,5.32,62,55,1.1,1988,71
"1085","Guangyou Ning",145,64,"Southpaw",2.66,41,1.91,61,1.09,50,62,0.3,1981,64
"1086","Anthony Njokuani",155,75,"Orthodox",3.94,46,2.41,65,0.5,45,53,0.2,1980,73
"1087","Antonio Rodrigo Nogueira",240,77,"Orthodox",1.95,42,2.4,55,1.3,29,36,2.4,1976,75
"1088","Rogerio Nogueira",205,75,"Southpaw",2.43,35,2.34,59,0.64,44,62,0.8,1976,74
"1089","Kyle Noke",170,76,"Southpaw",3.23,50,2.09,64,1.53,54,66,0.8,1980,73
"1090","KJ Noons",155,70,"Orthodox",3.68,35,3.78,65,0.08,20,68,0,1982,70
"1091","Sage Northcutt",170,71,"Orthodox",3.58,52,1.96,58,1.81,34,41,0.6,1996,72
"1092","Amanda Nunes",145,69,"Orthodox",4.5,51,2.45,57,2.5,53,84,0.9,1988,68
"1093","Phillipe Nover",145,72,"Orthodox",1.79,35,2.48,56,0.99,28,44,0.7,1984,69
"1094","Diego Nunes",145,67,"Orthodox",2.72,43,2.59,58,1.18,44,65,0.6,1982,66
"1095","Khabib Nurmagomedov",155,70,"Orthodox",4.1,48,1.75,65,5.32,48,84,0.8,1988,70
"1096","Said Nurmagomedov",135,70,"Orthodox",4.65,46,2.37,60,0.45,7,71,0,1992,68
