,name_id,country,crag,sector,name,tall_recommend_sum,grade_mean,cluster,rating_tot
66,66,arg,piedra parada,alero,propulsion a chorro,0,44.2,2,-0.04521144889283872
67,67,arg,piedra parada,alero,punto g,0,33.0,1,-0.07347453424249362
68,68,arg,piedra parada,alero,rio de lava,-1,49.125,2,-0.16490179498667
69,69,arg,piedra parada,anfiteatro,en eleste esta el cachengue,0,49.333333333333336,2,0.05097807458043425
70,70,arg,piedra parada,anfiteatro,epifania,0,56.833333333333336,1,0.32555654060596007
71,71,arg,piedra parada,anfiteatro,estigma,0,53.0,1,0.3150882872475702
72,72,arg,piedra parada,anfiteatro,grito de cristal,0,51.0,2,-0.16490179498667
73,73,arg,piedra parada,anfiteatro,homofobica,0,57.75,1,0.07555858629708294
74,74,arg,piedra parada,anfiteatro,limites de la partner,0,53.0,2,0.22452371867461746
75,75,arg,piedra parada,anfiteatro,para entibiar,0,44.0,2,-0.040747957365171325
76,76,arg,piedra parada,anfiteatro,pongame una cerveza pulpero,0,49.333333333333336,0,0.21829439832942818
77,77,arg,piedra parada,anfiteatro,revelacion divina,0,51.0,1,0.4853001073193197
78,78,arg,piedra parada,anfiteatro,sacrificio del corderoy,0,42.5,3,-0.16490179498667
79,79,arg,piedra parada,anfiteatro,te chifla la cachifla,-1,54.0,0,0.4089033118477692
80,80,arg,piedra parada,anfiteatro,uyuyui,0,51.0,2,0.3201247354171039
81,81,arg,piedra parada,anfiteatro,zonda patagonico,0,55.0,1,-0.030410995397026866
82,82,arg,piedra parada,calavera,coordinacion formacion,-1,67.5,0,-0.15389876936032712
83,83,arg,piedra parada,calavera,cuarzo,-1,48.91666666666666,2,0.06224417086501911
84,84,arg,piedra parada,calavera,cumbia de la buitrera,0,62.0,1,0.16479557823658017
85,85,arg,piedra parada,calavera,dulce duro,1,62.8,0,0.11374763392672989
86,86,arg,piedra parada,calavera,erizo protegido por alambres de puas,1,39.833333333333336,2,0.0725871034081614
87,87,arg,piedra parada,calavera,flecha perdida,1,52.8,2,0.12625227894573637
88,88,arg,piedra parada,calavera,le merlin,1,56.875,0,0.09025790520134323
89,89,arg,piedra parada,calavera,les yeux qui piquent,1,59.5,1,-0.16802900298992363
90,90,arg,piedra parada,calavera,mediacratia,0,52.66666666666666,0,0.17250749355918904
91,91,arg,piedra parada,calavera,nueva atras de la flecha,1,38.25,0,-0.0348416162506533
92,92,arg,piedra parada,calavera,nueva de kopcke,2,39.0,0,0.007014647918477203
93,93,arg,piedra parada,calavera,nununu,0,49.25,2,-0.04521144889283872
94,94,arg,piedra parada,calavera,pan blanco,-1,67.66666666666667,0,0.16819467664250928
95,95,arg,piedra parada,calavera,piedra rolada,0,39.375,1,0.0146337241540769
96,96,arg,piedra parada,calavera,sofia,0,40.0,1,-0.04521144889283872
97,97,arg,piedra parada,calavera,sunny twins,0,36.66666666666666,1,-0.07347453424249362
98,98,arg,piedra parada,calavera,tete du mort,-2,48.3,2,0.03066128225381525
99,99,arg,piedra parada,calavera,tremble nahir tremble,0,36.0,1,-0.07347453424249362
100,100,arg,piedra parada,calavera,universal local,0,48.833333333333336,2,-0.16490179498667
101,101,arg,piedra parada,calavera,vino malbec,1,56.90909090909091,0,-0.05762896861071228
102,102,arg,piedra parada,circo,a rajatabla,0,33.0,1,-0.07347453424249362
103,103,arg,piedra parada,circo,alharaca de la bandurria,1,48.8,0,0.036315279949451426
104,104,arg,piedra parada,circo,angel copulador,0,49.0,2,-0.07093004921000516
105,105,arg,piedra parada,circo,apriete final,0,57.0,1,-0.07347453424249362
106,106,arg,piedra parada,circo,aquelarre,0,44.0,2,-0.04521144889283872
107,107,arg,piedra parada,circo,autofelatio,-2,63.85714285714285,1,0.1164696811209509
108,108,arg,piedra parada,circo,birlocha party,0,40.0,1,-0.07347453424249362
109,109,arg,piedra parada,circo,cabernet suavezon,0,46.0,2,0.13745664326213258
110,110,arg,piedra parada,circo,chaupapa,0,46.0,2,0.11646406124175254
111,111,arg,piedra parada,circo,clan mono,0,55.0,1,-0.07347453424249362
112,112,arg,piedra parada,circo,culebron de las marujas,0,40.5,1,0.07505101771097365
113,113,arg,piedra parada,circo,empanada locro y vino,0,29.0,1,-0.07347453424249362
114,114,arg,piedra parada,circo,laucha cuchillera,1,46.0,0,-0.04521144889283872
115,115,arg,piedra parada,circo,mansa panza,0,33.0,1,-0.07347453424249362
116,116,arg,piedra parada,circo,manso guiso,0,55.0,1,0.18914123896951054
117,117,arg,piedra parada,circo,mateina cafeina y todas las minas,0,51.0,1,0.2873743809919622
118,118,arg,piedra parada,circo,mujeres al poder,0,53.0,2,0.32295869657018517
119,119,arg,piedra parada,cortas,amigo del pan,1,35.5,0,-0.07347453424249362
120,120,arg,piedra parada,cueva,dulce duro,0,62.57142857142857,0,0.02094740692943006
121,121,arg,piedra parada,gradas,sunny twins,0,37.0,1,-0.07347453424249362
122,122,arg,piedra parada,gruyere,asado fatal,0,36.0,2,0.3201247354171039
123,123,arg,piedra parada,gruyere,cojo anal,0,40.22222222222222,2,-0.05190552467490296
124,124,arg,piedra parada,gruyere,mustache gracias,0,44.0,2,0.0690055992061167
125,125,arg,piedra parada,ongi etorri,algo muy sucio,0,36.0,1,0.3201247354171039
126,126,arg,piedra parada,ongi etorri,apriete cachete,0,54.4,2,0.22311942933634912
127,127,arg,piedra parada,ongi etorri,chinchillon,0,40.0,2,0.06510447444429893
128,128,arg,piedra parada,ongi etorri,feng shuy,-1,39.8,1,-0.07347453424249362
129,129,arg,piedra parada,ongi etorri,sos pechosa,0,48.4,0,-0.16490179498667
130,130,arg,piedra parada,ortigas,a las hora del postre,0,48.333333333333336,3,0.07447889720099252
131,131,arg,piedra parada,ortigas,cascarrona,-1,48.35714285714285,0,0.10281189109043448
132,132,arg,piedra parada,ortigas,chapati con dulce de leche,0,44.0,2,-0.07347453424249362
133,133,arg,piedra parada,ortigas,concierto de taladros,1,37.66666666666666,0,-0.04521144889283872
134,134,arg,piedra parada,ortigas,corazon contento,-1,42.5,3,0.5680434964632533
135,135,arg,piedra parada,ortigas,enana blanca,0,57.0,0,0.07761147021521697
136,136,arg,piedra parada,ortigas,negro rasta,0,44.0,4,0.3201247354171039
137,137,arg,piedra parada,ortigas,pajaro carpintero,-1,42.11111111111112,2,0.30612968073685054
138,138,arg,piedra parada,ortigas,panza llena,1,43.833333333333336,2,0.15844922528251257
139,139,arg,piedra parada,ortigas,pety gourmet extension,0,42.0,2,0.22311942933634912
140,140,arg,piedra parada,ortigas,te de ortigas,0,38.0,2,-0.07347453424249362
141,141,arg,piedra parada,ortigas,tom sawyer,0,43.5,0,0.11854702395466399
142,142,arg,piedra parada,ortigas,variante inaki,-1,53.25,3,0.32788740459719834
143,143,arg,piedra parada,totem,efecto cafe,0,48.5,0,-0.16490179498667
144,144,arg,piedra parada,totem,espolon de la tarantula,0,52.5,4,0.3201247354171039
