Player,Measure Names,Competition Level,Full Division Name,Full Team Name Correct,Full Team Name,Gender Division,Measure Values
Sam Green,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Saaketh Palchuru,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Noah Stovitz,Team Games,Division 1,Division 1 Men,Washington University Contra,Washington University Contra,Men,5
Nicholas Jeschke,Team Games,Division 1,Division 1 Men,Washington University Contra,Washington University Contra,Men,5
Morgan Williams,Team Games,Division 1,Division 1 Women,Utah Spiral Jetty,Utah Spiral Jetty,Women,5
Max Rogers,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Liz Crawford,Team Games,Division 3,Division 3 Women,Middlebury Pranksters,Middlebury Pranksters,Women,5
Lilliana Werner,Team Games,Division 1,Division 1 Women,Western Washington Chaos,Western Washington Chaos,Women,5
Lauren Goddu,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Kenni Taylor,Team Games,Division 1,Division 1 Men,Alabama-Huntsville Nightmares,Alabama-Huntsville Nightmares,Men,5
Juliana Eno,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
Julia Hasbrook,Team Games,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,5
James Baker Jr,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Isaiah Mason,Team Games,Division 1,Division 1 Men,Alabama-Huntsville Nightmares,Alabama-Huntsville Nightmares,Men,5
Grace Craig,Team Games,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,5
Doug Hoyer,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Couper Kerns,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Cole Krucke,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Clara Margulius,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Callahan Diercks,Team Games,Division 1,Division 1 Men,Alabama-Huntsville Nightmares,Alabama-Huntsville Nightmares,Men,5
Cade White,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Arianna Edwards,Team Games,Division 1,Division 1 Women,SUNY - Binghamton Big Bear,SUNY - Binghamton Big Bear,Women,5
Antonio Rueda,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Anna Pettis,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Zayna Hopkins,Team Games,Division 3,Division 3 Women,Macalester Purse Snatchers,Macalester Purse Snatchers,Women,6
Thalia Tzetos,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Sydney Merrell,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Sophie Diliberti,Team Games,Division 3,Division 3 Women,Macalester Purse Snatchers,Macalester Purse Snatchers,Women,6
Sean Wiles,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Scout Noble,Team Games,Division 3,Division 3 Women,Wesleyan Vicious Circles,Wesleyan Vicious Circles,Women,6
Raquel Alegria,Team Games,Division 3,Division 3 Women,Wellesley Whiptails,Wellesley Whiptails,Women,6
Matthew McKnight,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Kai Kirsch,Team Games,Division 3,Division 3 Men,Whitman Sweets,Whitman Sweets,Men,6
Jude Schmiesing,Team Games,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Elizabeth Swanson,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Charlie Wagner,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Annie Pozzy,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Caroline Spencer,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Atkin Arnstein,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Zoe DeLuca,Team Games,Division 1,Division 1 Women,Georgia Athena,Georgia Athena,Women,5
Zachary Loyd,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Timothy Chango Gasset,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Sarah Lang,Team Games,Division 1,Division 1 Women,Georgia Athena,Georgia Athena,Women,5
Samuel Roberts,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Sam Rose,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Melissa Torchio,Team Games,Division 1,Division 1 Women,SUNY - Binghamton Big Bear,SUNY - Binghamton Big Bear,Women,5
Maggie Coutts,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Luca Harwood,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Kushal Khangaonkar,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Josh Solomon,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Jada Himmelberg,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
Henry Everett,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Emery Goulet,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Christopher Heron,Team Games,Division 1,Division 1 Men,Washington University Contra,Washington University Contra,Men,5
Carter Hawkins,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Ben Tokarz,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Arthur Aucoin,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Alex Hasenkamp,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Aiden Landis,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Zoey Hughes,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Wade Nichols,Team Games,Division 3,Division 3 Men,Whitman Sweets,Whitman Sweets,Men,6
Tanveer Singh Chabba,Team Games,Division 3,Division 3 Men,Claremont Braineaters,Claremont Braineaters,Men,6
Sophie Roback,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
Simon Dowdy,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Rowan Keller,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Naomi Fina,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Mason Weybright,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Mara Hindery-Glasinovic,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Madeleine Salunga,Team Games,Division 3,Division 3 Women,Macalester Purse Snatchers,Macalester Purse Snatchers,Women,6
Lauren Clayter,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Kahlil Gould-Bayba,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Julie Lee,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Joniah Helperin-Lange,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
John Laney,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Henry Groves,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Hayden Ashley,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
Gavin Zielke,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Gabriel Driscoll,Team Games,Division 3,Division 3 Men,Carleton CHOP,Carleton CHOP,Men,6
Eric Crosby Lehmann,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Elijah Hoshide,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Alexander Hunkins,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Kiana Hu,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Emily Przykucki,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Dodger Middlebrook,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Carter Halstrom,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Henry Egan,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Yayla Tur,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Thomas Clayton,Team Games,Division 3,Division 3 Men,Missouri S&T Miner Threat,Missouri S&T Miner Threat,Men,6
Talon Balcom,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Sebastien Kline,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Sarah Lester,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
Sarah Combs,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Roger Zeng,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Philip Acimovic,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Paka Ferrer,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Oscar Low,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Olivia Davis,Team Games,Division 3,Division 3 Women,Haverford/Bryn Mawr Sneetches,Haverford/Bryn Mawr Sneetches,Women,6
Nubia Robles Santiago,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Nicholas Gohar,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Morey Averill,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Molly Bingham,Team Games,Division 1,Division 1 Women,California - Santa Cruz Sol,California - Santa Cruz Sol,Women,5
Mikey Curtis,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Maximilian Schmiesing,Team Games,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Mauricio Badillo Moorman,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Marcus Beidler,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Maddy Brown,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Leo Gentile,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Landon Hall,Team Games,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,6
Kevin Pignone,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Keali Mccarter,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Kayla Hickey,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Kathleen Bourdon,Team Games,Division 1,Division 1 Women,Victoria Vikes,Victoria Vikes,Women,5
Kate Goodman,Team Games,Division 3,Division 3 Women,Middlebury Pranksters,Middlebury Pranksters,Women,5
Justin Wallace,Team Games,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Julian Saunt,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Julia Mockert,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
Jolie Krebs,Team Games,Division 1,Division 1 Women,SUNY - Binghamton Big Bear,SUNY - Binghamton Big Bear,Women,5
John Savage,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
John Mogyordy,Team Games,Division 3,Division 3 Men,Rochester Piggies,Rochester Piggies,Men,6
James Whealan,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Jake Worthington,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Jade Remacle,Team Games,Division 3,Division 3 Women,Davenport Panthers,Davenport Panthers,Women,5
Jack Ringel,Team Games,Division 3,Division 3 Men,Rochester Piggies,Rochester Piggies,Men,6
Jack Dinsmore,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Ethan Pigeon,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Emmett Forster,Team Games,Division 3,Division 3 Men,Carleton CHOP,Carleton CHOP,Men,6
Emily Cook,Team Games,Division 1,Division 1 Women,SUNY - Binghamton Big Bear,SUNY - Binghamton Big Bear,Women,5
Dominic Kenyon,Team Games,Division 1,Division 1 Men,Alabama-Huntsville Nightmares,Alabama-Huntsville Nightmares,Men,5
Cullen Baker,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Conor Babcock O'Neill,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Clara Gale,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Christopher Kiepert,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Chase Drinkwater,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Benjamin Morse,Team Games,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Anna Matsui,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
alex santai,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Alex Hall-Witt,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Akos Konkoly,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Addie New-Schmidt,Team Games,Division 3,Division 3 Women,Wellesley Whiptails,Wellesley Whiptails,Women,6
Nori Catalano,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Keaton Orser,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Harper Baer,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Erica Birdsong,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Aryanna Chartrand,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Anika Quon,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Toby Rivera,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Summers Filion,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
Sean Rogers,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Pilar Andruet,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Owen Lehmkuhl,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Max Sponseller,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Katie Craven,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
Joe Salitsky,Team Games,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Jayna Rogers,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Jacques Paradis,Team Games,Division 3,Division 3 Men,Claremont Braineaters,Claremont Braineaters,Men,6
Jackson Heglie,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Iris Guo,Team Games,Division 3,Division 3 Women,Macalester Purse Snatchers,Macalester Purse Snatchers,Women,6
Hazel DeHarpporte,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Gavyn Jensen-Schneider,Team Games,Division 3,Division 3 Men,Carleton CHOP,Carleton CHOP,Men,6
Frances Magnuson,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
Elijah Axt,Team Games,Division 3,Division 3 Men,Claremont Braineaters,Claremont Braineaters,Men,6
Chander Boyd-Fliegel,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Carter Schafer,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Cameron Lowe,Team Games,Division 3,Division 3 Men,Rochester Piggies,Rochester Piggies,Men,6
Bix Weissberg,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Aria Kischner,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Annika Wolberg,Team Games,Division 3,Division 3 Women,Wellesley Whiptails,Wellesley Whiptails,Women,6
Amanda Roberts,Team Games,Division 3,Division 3 Women,Wellesley Whiptails,Wellesley Whiptails,Women,6
Adam McNichols,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Aaron Bedi,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Vincent Sullivan,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Spencer Whitcomb,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Sarah Rifkin,Team Games,Division 3,Division 3 Women,Middlebury Pranksters,Middlebury Pranksters,Women,5
Ryan Bliss,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Riley Raker,Team Games,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,5
Rachel Prager,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Nobi (Masao) Lorenz,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Nadav Melamede,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Monica O'Brien Saez,Team Games,Division 1,Division 1 Women,California - Santa Cruz Sol,California - Santa Cruz Sol,Women,5
Mitchell Gibson,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Maxime Ayad,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Mars Bau,Team Games,Division 1,Division 1 Women,California - San Diego D-Co,California - San Diego D-Co,Women,5
Leo Narbonne,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Kristof Rohaly-Medved,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Kiera Schreiber,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Joe Hess,Team Games,Division 1,Division 1 Men,Washington University Contra,Washington University Contra,Men,5
Jack Schmader,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Gus Serff-Roberts,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Gavin Babbitt,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Galen Moll,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Emma Wennberg,Team Games,Division 1,Division 1 Women,Pennsylvania Venus,Pennsylvania Venus,Women,5
Ellison Martin,Team Games,Division 1,Division 1 Women,Georgia Athena,Georgia Athena,Women,5
Ellie Kowalski,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Dylan Pearson,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Charlotte Andreasen,Team Games,Division 1,Division 1 Women,Michigan Flywheel,Michigan Flywheel,Women,5
Carter Neuman,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Alyssa Fallon,Team Games,Division 1,Division 1 Women,Georgia Athena,Georgia Athena,Women,5
Alesh Fremouw,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Sonia Rao,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Lisa Wei,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Isabel Myers-Miller,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Georgia Walker-Keleher,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Catherine Fradenburg,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Alison Brzostowicz,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
William Ahlstrom,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Tyler Shelton,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Silas Camp,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Sebastian Heredia,Team Games,Division 3,Division 3 Men,Claremont Braineaters,Claremont Braineaters,Men,6
Sasha Monks,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Sarah Malone,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
Sara Garcia,Team Games,Division 3,Division 3 Women,Grinnell Grinneleanor Roosevelts,Grinnell Grinneleanor Roosevelts,Women,6
Robert McAllister,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Rachel Poppleton,Team Games,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,6
Nora Ito,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
Matt Fliegel,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Maria Muller,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Mandy Li,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Madeline Wychocki,Team Games,Division 3,Division 3 Women,Mount Holyoke Daisy Chain,Mount Holyoke Daisy Chain,Women,6
Leah Silverman,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Kenneth Stanley,Team Games,Division 3,Division 3 Men,Missouri S&T Miner Threat,Missouri S&T Miner Threat,Men,6
Julia Smith,Team Games,Division 3,Division 3 Women,Grinnell Grinneleanor Roosevelts,Grinnell Grinneleanor Roosevelts,Women,6
Jamie Jung,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Jackson Knox (Oregon),Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Hiatt von Alten,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Henry Chen,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Ezra Tock,Team Games,Division 3,Division 3 Men,Rochester Piggies,Rochester Piggies,Men,6
Ethan Greeley,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Dylan Wilcox,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Daniel Ferriter,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Colin Pfister,Team Games,Division 3,Division 3 Men,Whitman Sweets,Whitman Sweets,Men,6
Carter Petrella,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Bryn Norton,Team Games,Division 3,Division 3 Women,Union Jillz,Union Jillz,Women,6
Benjamin Travers,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Ben Fuguet,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Audrey AlQatami,Team Games,Division 3,Division 3 Women,Occidental WAC,Occidental WAC,Women,6
Anna Roth,Team Games,Division 3,Division 3 Women,Haverford/Bryn Mawr Sneetches,Haverford/Bryn Mawr Sneetches,Women,6
Amy Tse,Team Games,Division 3,Division 3 Women,Haverford/Bryn Mawr Sneetches,Haverford/Bryn Mawr Sneetches,Women,6
Akshay Bhatia,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Aiden Fields,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Zach Brennan,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Yael Kaplan,Team Games,Division 1,Division 1 Women,California - Santa Cruz Sol,California - Santa Cruz Sol,Women,5
William McGlynn,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
William Fenimore,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Will Troop,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Wesley Killough-Hill,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Tobey Chang,Team Games,Division 1,Division 1 Men,Michigan Magnum,Michigan Magnum,Men,5
Theo Mahaffey,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Roni Itkin-Ofer,Team Games,Division 1,Division 1 Women,Pennsylvania Venus,Pennsylvania Venus,Women,5
Renaud St-Onge,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Owen Snyder-Smith,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Nico Gabby,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Mette Peluce,Team Games,Division 3,Division 3 Women,Lewis & Clark Artemis,Lewis & Clark Artemis,Women,5
Megan Louie,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Matt Rix,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Louis Douville Beaudoin,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Logan Hammersmith,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Lena Millard-Kish,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Korie Rudin,Team Games,Division 1,Division 1 Women,Georgia Athena,Georgia Athena,Women,5
Kaisa Olson,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
