"rank","Player","begin_year","end_year","Pos","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS+"
286,"Lázaro Salazar",1930,1936,"LF",171,695,608,110,188,32,6,10,81,20,0,70,6,NA,5,12,NA,NA,0.309,0.385,0.431,0.816,118
287,"Johnny Smith",1940,1948,"RF",161,653,616,81,188,19,11,3,80,5,0,33,5,0,0,3,1,0,0.305,0.34,0.386,0.726,116
288,"Ed Young",1936,1947,"1B",184,735,671,104,188,37,8,11,100,19,2,51,4,0,8,4,1,1,0.28,0.338,0.408,0.746,123
289,"Johnson Hill",1910,1928,"3B",197,794,729,93,186,30,11,21,104,8,0,34,3,NA,1,30,0,NA,0.255,0.289,0.413,0.702,98
290,"Pancho Coimbre",1940,1944,"RF",148,629,561,96,185,31,8,6,94,8,0,55,3,2,5,8,0,0,0.33,0.395,0.446,0.84,130
291,"Bonnie Serrell",1941,1945,"2B",162,650,592,102,184,37,16,9,86,13,1,44,2,0,4,9,1,0,0.311,0.362,0.473,0.835,160
292,"Felix McLaurin",1942,1946,"CF",163,705,636,97,183,20,11,7,57,19,0,62,4,0,4,3,0,0,0.288,0.355,0.387,0.741,122
293,"Bobo Leonard",1921,1928,"CF",210,773,673,96,181,28,7,9,75,11,NA,69,2,NA,1,30,0,NA,0.269,0.338,0.371,0.709,90
294,"Pepper Bassett",1935,1948,"C",224,762,708,69,181,33,2,9,101,5,0,38,5,0,3,12,1,1,0.256,0.296,0.346,0.642,80
295,"Eddie Dwight",1925,1937,"CF",212,827,710,145,180,14,8,2,57,74,0,83,4,NA,9,25,NA,NA,0.254,0.339,0.304,0.643,81
296,"Bobby Winston",1905,1921,"LF",185,789,662,125,178,34,4,2,64,21,NA,96,0,NA,3,27,1,NA,0.269,0.364,0.341,0.705,113
297,"J. C. McHaskell",1927,1929,"1B",215,883,795,81,177,21,7,3,70,7,NA,46,0,NA,3,39,NA,NA,0.223,0.268,0.278,0.546,48
298,"Duke Cleveland",1938,1947,"RF",170,707,630,119,177,22,6,2,73,19,1,63,7,0,5,9,0,0,0.281,0.351,0.344,0.695,110
299,"Luis Márquez",1946,1948,"CF",153,635,575,103,174,30,5,10,64,42,0,49,0,0,7,4,NA,1,0.303,0.365,0.424,0.789,123
300,"Ashby Dunbar",1906,1920,"LF",157,665,595,102,174,28,8,2,83,27,NA,48,NA,NA,16,6,0,NA,0.292,0.361,0.376,0.738,118
301,"Red Longley",1932,1947,"LF",238,856,744,80,174,22,6,4,88,12,0,89,3,1,4,18,1,0,0.234,0.319,0.296,0.614,81
