"rank","Player","begin_year","end_year","Pos","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS+"
387,"John Lyles",1932,1943,"SS",143,557,495,82,125,16,4,1,48,21,0,44,4,0,8,10,0,0,0.253,0.324,0.307,0.631,90
388,"Will Owens",1923,1933,"SS",175,639,591,55,125,8,2,0,43,6,NA,32,0,NA,1,15,NA,NA,0.212,0.253,0.232,0.485,34
389,"Marshall Riddle",1937,1943,"2B",131,504,452,45,124,13,9,1,48,15,0,39,3,0,1,12,0,0,0.274,0.333,0.35,0.683,105
390,"Willie Grace",1943,1948,"RF",113,437,400,45,123,16,4,1,54,5,3,26,0,0,1,10,0,0,0.308,0.351,0.375,0.726,111
391,"Granville Lyons",1932,1942,"1B",129,506,469,53,122,17,10,4,52,3,1,24,2,NA,2,11,NA,NA,0.26,0.299,0.365,0.664,82
392,"Rafael Figarola",1904,1923,"C",160,579,507,52,120,11,1,2,46,11,NA,37,NA,NA,2,33,NA,NA,0.237,0.291,0.274,0.565,80
393,"Sylvester Foreman",1921,1932,"C",187,621,536,63,120,12,10,3,57,3,0,62,3,0,4,19,0,0,0.224,0.309,0.3,0.609,64
394,"Ralph Wyatt",1941,1946,"SS",126,533,490,69,120,9,9,3,49,10,0,33,0,0,0,10,0,0,0.245,0.293,0.318,0.611,87
395,"Verdell Mathis",1940,1948,"CF",168,496,446,68,120,10,1,1,39,6,0,43,4,1,0,7,0,0,0.269,0.333,0.303,0.636,89
396,"Horace Jenkins",1910,1921,"CF",124,473,422,54,119,13,3,0,42,4,NA,32,0,NA,9,10,0,NA,0.282,0.346,0.327,0.673,114
397,"Sidney Brooks",1919,1926,"LF",186,599,528,48,119,20,1,0,43,16,1,51,0,NA,3,17,0,NA,0.225,0.297,0.267,0.564,55
398,"Jesse Douglas",1940,1945,"2B",106,444,405,62,118,13,7,1,46,13,2,30,0,0,3,6,0,0,0.291,0.345,0.365,0.71,117
399,"Harry Simpson",1946,1948,"CF",124,456,412,71,118,18,4,3,53,6,NA,41,1,1,1,2,NA,0,0.286,0.352,0.371,0.724,106
400,"Fernando Díaz",1945,1947,"RF",119,509,455,59,117,17,7,1,49,14,0,41,1,0,5,8,0,0,0.257,0.325,0.332,0.657,84
401,"Cleo Smith",1922,1928,"2B",112,464,407,77,117,16,8,5,56,19,0,39,1,NA,0,18,0,NA,0.287,0.35,0.403,0.753,106
402,"Cleveland Clark",1945,1948,"CF",136,513,443,68,115,18,10,2,52,7,0,56,1,0,2,12,0,NA,0.26,0.345,0.359,0.704,100
403,"Willie Miles",1921,1927,"CF",117,502,449,61,115,14,2,3,30,13,NA,40,NA,NA,3,10,0,NA,0.256,0.321,0.316,0.637,75
404,"Jack Ridley",1929,1933,"CF",129,538,488,59,114,9,6,2,50,11,NA,39,2,NA,2,9,NA,NA,0.234,0.293,0.289,0.582,65
405,"Fran Matthews",1938,1945,"1B",123,495,431,93,114,14,8,8,58,8,0,54,5,1,3,7,NA,1,0.265,0.35,0.39,0.74,98
406,"Regino García",1905,1912,"C",102,441,401,60,114,26,3,2,63,9,NA,26,NA,NA,3,11,NA,NA,0.284,0.333,0.379,0.712,121
407,"Buck Ewing",1920,1930,"C",118,415,367,65,113,19,13,3,59,4,0,36,2,NA,0,12,0,NA,0.308,0.37,0.455,0.825,107
408,"Goose Tatum",1941,1948,"1B",115,448,410,54,113,17,7,3,62,6,1,30,1,1,1,7,NA,0,0.276,0.327,0.373,0.7,102
409,"Luke Easter",1947,1948,"LF",110,451,390,74,113,21,10,12,77,5,0,55,4,0,5,1,NA,0,0.29,0.384,0.487,0.872,147
410,"Miguel Solís",1928,1940,"3B",118,495,449,56,112,17,6,1,52,9,NA,30,0,0,6,10,0,0,0.249,0.305,0.321,0.626,63
411,"Malvin Powell",1929,1937,"RF",186,525,479,56,109,13,6,3,51,5,0,32,3,NA,2,12,NA,NA,0.228,0.279,0.299,0.577,64
412,"Ted Kimbro",1914,1918,"3B",104,436,385,58,109,19,6,3,59,11,NA,38,NA,NA,2,11,NA,NA,0.283,0.351,0.387,0.738,107
413,"Koke Alexander",1918,1921,"LF",108,440,396,54,108,16,10,2,50,12,1,32,1,NA,6,6,0,NA,0.273,0.336,0.379,0.715,107
414,"Willie Ware",1924,1926,"1B",148,540,491,48,107,16,7,0,50,3,NA,21,NA,NA,1,27,NA,NA,0.218,0.251,0.279,0.53,50
415,"Rich Gee",1923,1929,"C",122,419,372,48,107,21,4,5,60,6,NA,37,NA,NA,0,10,NA,NA,0.288,0.352,0.406,0.758,93
416,"Charlie Biot",1939,1941,"CF",115,419,374,58,106,20,11,4,54,11,2,34,12,0,2,9,NA,1,0.283,0.346,0.428,0.774,109
417,"Big Bill Smith",1898,1914,"C",109,441,400,40,106,18,6,5,39,7,NA,27,0,NA,7,7,NA,NA,0.265,0.323,0.378,0.7,117
418,"Donald Reeves",1937,1941,"RF",97,359,333,52,106,12,10,10,75,8,1,23,10,0,1,1,1,1,0.318,0.363,0.505,0.868,155
419,"Rogelio Crespo",1918,1927,"2B",138,580,495,66,105,11,6,2,48,10,NA,50,NA,NA,15,20,NA,NA,0.212,0.304,0.271,0.574,62
420,"Charlie Watts",1924,1927,"2B",170,528,466,51,105,22,6,3,50,6,NA,34,NA,NA,4,24,0,NA,0.225,0.284,0.318,0.601,55
421,"Willie Green",1915,1924,"3B",109,468,411,43,104,12,4,1,39,15,0,45,1,NA,3,9,0,NA,0.253,0.331,0.309,0.64,95
422,"Fred McDaniel",1940,1946,"LF",122,494,432,67,104,15,6,0,36,10,NA,47,0,0,6,9,0,0,0.241,0.324,0.303,0.627,91
423,"Phil Bradley",1907,1914,"C",124,519,459,62,104,16,2,2,45,38,NA,44,NA,NA,6,10,NA,NA,0.227,0.303,0.283,0.586,71
424,"Jimsey Roussell",1929,1930,"CF",98,383,354,56,103,18,5,3,62,10,NA,19,NA,NA,0,10,NA,NA,0.291,0.327,0.395,0.723,95
425,"Clyde Nelson",1943,1948,"3B",118,448,408,56,103,18,4,4,55,3,0,34,2,0,4,2,0,1,0.252,0.316,0.346,0.662,93
426,"Nate Harris",1902,1913,"2B",104,450,392,75,103,9,3,0,37,18,NA,45,NA,NA,4,9,0,NA,0.263,0.345,0.301,0.646,93
427,"Ricardo Hernández",1908,1914,"3B",114,500,432,81,103,10,12,0,36,10,NA,53,NA,NA,1,14,NA,NA,0.238,0.323,0.317,0.64,100
428,"Paul Arnold",1926,1936,"CF",115,472,403,69,103,14,6,0,35,7,0,53,6,0,1,15,0,0,0.256,0.344,0.32,0.664,69
429,"Charles Zomphier",1926,1931,"2B",143,500,420,78,103,14,3,4,40,11,NA,64,NA,NA,2,14,NA,NA,0.245,0.348,0.321,0.669,79
430,"Archie Brathwaite",1944,1948,"RF",108,433,385,60,103,19,5,4,60,9,NA,39,0,NA,4,5,0,NA,0.268,0.341,0.374,0.715,101
431,"Bob Fagan",1921,1923,"2B",125,450,394,50,102,16,2,1,44,11,0,35,0,NA,6,14,1,NA,0.259,0.328,0.317,0.645,77
432,"Boots McClain",1920,1926,"SS",127,505,455,57,102,12,7,4,50,11,NA,35,6,NA,4,11,0,NA,0.224,0.285,0.308,0.593,54
433,"Aurelio Cortés",1928,1935,"C",122,459,416,50,102,11,3,4,59,8,NA,33,0,NA,1,9,NA,NA,0.245,0.302,0.315,0.617,74
434,"Ralph Jefferson",1920,1924,"RF",115,466,422,56,102,9,4,1,43,11,1,30,1,0,5,9,0,NA,0.242,0.3,0.289,0.589,75
435,"George Fiall",1921,1929,"SS",152,562,480,50,101,6,3,0,28,8,NA,53,1,NA,9,20,0,NA,0.21,0.301,0.235,0.536,49
436,"Joe Green",1902,1921,"CF",149,514,458,53,101,19,4,4,52,3,NA,33,1,NA,3,20,0,NA,0.221,0.277,0.306,0.583,77
437,"Flash Miller",1934,1945,"2B",122,467,406,54,101,13,7,2,44,7,0,47,2,0,7,7,NA,0,0.249,0.337,0.33,0.667,74
438,"Jesse Bragg",1906,1918,"3B",130,539,485,59,100,12,1,4,49,21,NA,28,1,NA,4,22,NA,NA,0.206,0.255,0.26,0.515,44
439,"Larnie Jordan",1936,1942,"SS",91,350,334,58,100,21,10,2,44,6,0,12,2,0,0,4,NA,0,0.299,0.324,0.44,0.764,98
440,"Lorenzo Cabrera",1947,1948,"1B",80,358,325,57,100,19,7,6,61,9,NA,27,0,NA,4,2,NA,NA,0.308,0.368,0.465,0.833,135
441,"Earl Taborn",1946,1948,"C",117,422,369,44,100,23,1,1,47,3,0,42,5,0,5,6,NA,0,0.271,0.353,0.347,0.7,89
442,"Manuel Rigal",1922,1927,"SS",140,544,472,62,99,8,2,0,45,8,NA,48,3,NA,1,23,NA,NA,0.21,0.284,0.235,0.519,45
443,"Al Robinson",1905,1912,"1B",95,391,365,31,99,8,3,5,50,6,NA,20,NA,NA,2,4,NA,NA,0.271,0.313,0.351,0.663,102
444,"Bennie Wilson",1923,1925,"RF",92,420,382,60,98,9,7,0,40,13,NA,24,NA,NA,0,14,NA,NA,0.257,0.3,0.317,0.617,61
445,"Clarence Lamar",1936,1944,"SS",128,476,426,51,98,13,4,3,47,12,0,32,1,0,6,12,0,0,0.23,0.293,0.3,0.594,75
446,"Bubbles Anderson",1922,1925,"2B",124,476,392,63,98,15,8,0,47,10,0,51,2,NA,10,23,0,NA,0.25,0.351,0.329,0.68,84
447,"Bill Bradford",1936,1945,"RF",146,529,476,44,98,13,5,1,31,11,0,41,5,0,5,6,1,1,0.206,0.275,0.261,0.536,56
448,"Heliodoro Hidalgo",1905,1913,"CF",95,389,353,52,98,13,7,4,49,19,NA,29,NA,NA,1,6,NA,NA,0.278,0.334,0.388,0.722,122
449,"Walter Thomas",1935,1946,"RF",117,385,351,54,97,13,6,1,38,5,1,20,1,0,5,9,0,NA,0.276,0.324,0.356,0.681,102
450,"Benito Calderón",1926,1928,"C",115,428,388,35,97,19,4,1,48,2,0,30,0,NA,0,10,NA,NA,0.25,0.304,0.327,0.631,74
451,"Butch Davis",1944,1947,"LF",70,300,277,51,96,12,12,3,53,25,NA,16,0,0,4,3,NA,0,0.347,0.391,0.509,0.9,143
452,"Marion Cunningham",1924,1925,"1B",131,505,468,47,96,15,11,5,43,2,NA,16,NA,NA,0,21,NA,NA,0.205,0.231,0.316,0.548,45
453,"Leslie Green",1939,1946,"CF",102,428,350,76,96,17,4,4,33,32,0,65,3,0,4,9,0,0,0.274,0.394,0.38,0.774,129
454,"Clarence Williams",1887,1913,"C",104,414,365,65,96,12,3,5,52,9,NA,23,0,NA,16,10,NA,NA,0.263,0.334,0.353,0.688,102
455,"Fred Boyd",1921,1922,"RF",86,318,295,42,96,16,7,3,48,4,0,15,2,NA,3,5,0,NA,0.325,0.364,0.458,0.822,112
456,"Reinaldo Drake",1945,1948,"CF",96,396,351,55,96,12,3,2,34,9,0,36,1,0,5,4,0,0,0.274,0.349,0.342,0.691,96
457,"Wallace Gordon",1907,1915,"RF",104,438,392,51,95,15,5,6,45,14,NA,32,NA,NA,3,11,NA,NA,0.242,0.304,0.352,0.656,96
458,"Tom Fiall",1918,1925,"CF",108,468,413,53,95,8,5,1,28,11,0,33,1,NA,2,20,0,NA,0.23,0.29,0.281,0.571,66
459,"Oscar Owens",1922,1931,"RF",104,327,288,55,95,20,3,4,42,8,0,31,3,NA,2,6,0,NA,0.33,0.399,0.462,0.861,117
460,"Ted Bond",1935,1940,"3B",102,431,365,76,95,13,8,0,37,12,1,45,5,0,5,16,NA,0,0.26,0.349,0.34,0.689,96
461,"Johnnie Oden",1927,1932,"3B",143,507,472,39,94,5,2,2,34,4,NA,23,0,NA,1,11,NA,NA,0.199,0.238,0.231,0.469,31
462,"Ray Neil",1946,1948,"2B",81,354,322,48,94,20,3,2,30,4,NA,27,1,NA,1,4,NA,0,0.292,0.349,0.391,0.74,105
463,"Carlisle Perry",1920,1924,"SS",113,445,410,43,94,9,2,6,43,3,NA,20,0,NA,2,13,0,NA,0.229,0.269,0.305,0.573,55
464,"Rafael Pedroso",1926,1930,"1B",128,484,436,36,94,7,2,3,48,2,NA,27,NA,NA,0,21,0,NA,0.216,0.261,0.261,0.523,41
465,"Porter Dallas",1929,1932,"3B",89,344,320,30,93,12,1,2,32,6,NA,18,0,NA,0,6,NA,NA,0.291,0.328,0.353,0.682,105
466,"Henry Turner",1937,1943,"C",106,401,362,49,93,15,9,1,55,3,0,38,7,0,1,0,0,0,0.257,0.329,0.356,0.686,104
467,"Harry Else",1932,1940,"C",123,395,357,48,93,9,5,1,38,7,0,29,0,0,3,6,NA,1,0.261,0.321,0.322,0.643,93
468,"Roosevelt Cox",1937,1944,"3B",116,439,399,53,92,10,8,2,51,6,0,32,5,0,1,7,0,0,0.231,0.289,0.311,0.6,70
469,"Joe Scotland",1907,1919,"CF",115,450,397,46,91,10,5,3,44,26,NA,38,NA,NA,4,11,NA,NA,0.229,0.303,0.302,0.605,72
470,"Rufus Baker",1943,1948,"SS",151,520,458,54,91,9,5,0,26,9,0,47,1,0,3,12,0,NA,0.199,0.278,0.24,0.518,45
471,"Ramón Heredía",1939,1941,"3B",86,356,334,58,91,15,4,3,36,2,0,16,4,1,0,6,NA,0,0.272,0.306,0.368,0.674,87
472,"Bob Wilson",1947,1948,"3B",91,329,299,30,90,10,1,3,40,8,NA,25,NA,NA,1,4,NA,NA,0.301,0.357,0.371,0.728,106
473,"Bob Jordan",1897,1907,"1B",77,319,290,39,90,13,1,4,41,5,NA,18,NA,NA,4,7,NA,NA,0.31,0.359,0.403,0.762,134
474,"Wyman Smith",1920,1924,"LF",81,303,275,46,90,19,3,6,48,14,0,19,1,NA,1,8,0,NA,0.327,0.373,0.484,0.857,143
475,"Henry Merchant",1940,1948,"CF",129,446,379,58,90,10,3,1,34,8,0,50,2,1,2,15,0,0,0.237,0.329,0.288,0.617,80
476,"Thurman Jennings",1914,1921,"2B",85,369,334,50,89,15,3,0,31,10,0,22,0,NA,1,12,0,NA,0.266,0.314,0.329,0.643,94
477,"Johnnie Cowan",1940,1948,"2B",99,386,360,38,89,8,1,2,43,2,0,14,0,1,2,8,2,0,0.247,0.278,0.292,0.569,65
478,"Dan Thomas",1927,1931,"2B",78,309,281,46,87,8,5,2,42,10,NA,16,3,NA,3,9,NA,NA,0.31,0.353,0.395,0.748,103
479,"Eugene Milliner",1902,1912,"RF",76,327,307,48,87,13,8,1,45,15,NA,13,NA,NA,3,4,NA,NA,0.283,0.319,0.388,0.707,112
480,"Leo Birdine",1927,1932,"RF",128,357,337,36,87,9,6,2,19,2,NA,8,1,NA,3,9,NA,NA,0.258,0.282,0.338,0.62,74
481,"Bob Smith",1930,1944,"C",146,450,399,39,86,8,1,1,44,10,0,40,2,0,3,8,0,1,0.216,0.292,0.248,0.54,59
482,"Luis Padrón",1909,1916,"RF",82,338,299,46,86,19,4,2,49,5,NA,28,NA,NA,1,10,NA,NA,0.288,0.351,0.398,0.749,116
483,"Paul Dixon",1932,1938,"LF",104,391,351,42,86,16,0,1,38,5,NA,32,2,NA,1,7,NA,NA,0.245,0.31,0.299,0.609,59
484,"Babe Davis",1937,1940,"LF",87,346,313,57,85,16,6,5,52,6,0,28,7,0,3,2,0,0,0.272,0.337,0.409,0.746,112
485,"Sol White",1887,1907,"2B",72,312,286,59,85,17,2,5,49,7,NA,16,2,NA,2,8,NA,NA,0.297,0.339,0.423,0.762,118
486,"Herb Barnhill",1937,1946,"C",111,356,329,32,83,7,1,0,32,4,0,21,0,0,1,5,0,0,0.252,0.299,0.28,0.579,77
487,"Herman Dunlap",1936,1938,"CF",87,347,311,49,83,11,4,3,30,8,2,24,6,NA,3,9,NA,NA,0.267,0.325,0.357,0.682,101
488,"Buster Haywood",1940,1948,"C",138,422,369,29,83,7,4,0,43,6,0,39,2,0,3,11,0,0,0.225,0.304,0.266,0.57,68
489,"Lorenza Cobb",1913,1920,"C",97,336,298,41,82,9,4,2,42,13,NA,25,NA,NA,7,6,0,NA,0.275,0.345,0.352,0.698,106
490,"Danger Talbert",1901,1911,"3B",88,369,330,46,82,20,2,0,40,5,NA,30,NA,NA,2,7,NA,NA,0.248,0.315,0.321,0.636,92
491,"John Patterson",1894,1908,"LF",81,340,294,51,82,13,3,2,39,22,NA,33,NA,NA,3,10,NA,NA,0.279,0.358,0.364,0.722,125
492,"Walter Hardy",1944,1948,"SS",117,440,409,38,81,8,3,1,31,4,0,24,4,NA,1,6,0,NA,0.198,0.244,0.24,0.484,38
493,"Fred Long",1920,1926,"RF",74,282,260,42,81,17,9,7,52,3,NA,14,0,NA,2,6,0,NA,0.312,0.351,0.527,0.878,130
494,"Fred Wilson",1939,1945,"RF",77,283,247,42,80,9,3,4,36,5,0,26,4,0,5,5,0,0,0.324,0.399,0.433,0.832,130
495,"Eudie Napier",1939,1948,"C",101,329,288,37,80,10,5,3,40,5,0,31,0,0,6,4,0,0,0.278,0.36,0.378,0.738,106
496,"Henry Smith",1942,1945,"2B",99,402,367,35,80,10,3,0,24,7,0,23,1,0,0,11,1,0,0.218,0.263,0.262,0.525,62
497,"Bill Lindsay",1909,1914,"CF",100,328,293,44,80,6,4,1,29,1,NA,21,NA,NA,1,13,NA,NA,0.273,0.324,0.331,0.655,97
498,"Charlie Grant",1897,1913,"2B",87,401,362,57,79,9,2,2,25,12,NA,31,NA,NA,3,5,NA,NA,0.218,0.285,0.271,0.556,73
499,"Carlos Etchegoyen",1930,1937,"3B",75,324,298,35,79,15,5,3,36,3,0,18,7,NA,1,7,NA,NA,0.265,0.309,0.379,0.688,87
500,"Rags Roberts",1922,1928,"CF",69,286,249,34,78,14,3,3,28,9,1,27,1,NA,3,7,0,NA,0.313,0.387,0.43,0.817,138
