Player,Season,salary,inflationAdjSalary
Harold Jamison,1999,"$301,875","$538,200"
Rodney Buford,1999,"$301,875","$538,200"
Rafer Alston,1999,"$301,875","$538,200"
Lazaro Borrell,1999,"$301,875","$538,200"
Todd MacCulloch,1999,"$301,875","$538,200"
Ryan Robertson,1999,"$301,875","$538,200"
Derrick Dial,1999,"$301,875","$538,200"
Calvin Booth,1999,"$301,875","$538,200"
Laron Profit,1999,"$301,875","$538,200"
Jamie Watson,1999,"$250,000","$445,714"
Dominique Wilkins,1999,"$250,000","$445,714"
Danny Schayes,1999,"$211,765","$377,546"
Kornel David,1999,"$202,941","$361,814"
Damon Jones,1999,"$176,647","$314,936"
Mitchell Butler,1999,"$150,000","$267,428"
Dedric Willoughby,1999,"$134,956","$240,607"
Benoit Benjamin,1999,"$123,529","$220,234"
A.J. Bramlett,1999,"$118,974","$212,113"
Bill Curley,1999,"$117,867","$210,140"
Randell Jackson,1999,"$115,500","$205,920"
Rick Hughes,1999,"$115,423","$205,782"
DeMarco Johnson,1999,"$111,871","$199,450"
Mark Davis,1999,"$106,000","$188,982"
Stanley Roberts,1999,"$102,824","$183,320"
Corey Brewer,1999,"$100,000","$178,285"
Jermaine Walker,1999,"$100,000","$178,285"
Lou Roe,1999,"$97,412","$173,671"
Lari Ketner,1999,"$92,338","$164,625"
Chris Carr,1999,"$90,000","$160,456"
Joe Stephens,1999,"$88,441","$157,677"
Earl Boykins,1999,"$88,324","$157,469"
Devin Gray,1999,"$88,223","$157,289"
Drew Barry,1999,"$62,765","$111,901"
Mark Hendrickson,1999,"$62,764","$111,899"
Kiwane Garris,1999,"$61,147","$109,016"
Jamel Thomas,1999,"$58,599","$104,473"
Eric Riley,1999,"$50,206","$89,510"
Adrian Caldwell,1999,"$50,000","$89,142"
Terry Dehere,1999,"$50,000","$89,142"
Derek Hood,1999,"$49,721","$88,645"
Greg Buckner,1999,"$47,647","$84,947"
Ben Davis,1999,"$45,847","$81,738"
Marcus Brown,1999,"$43,294","$77,187"
Rusty Larue,1999,"$40,588","$72,362"
Tyrone Grant,1999,"$37,290","$66,482"
Brandon Williams,1999,"$35,176","$62,713"
Bakari Hendrix,1999,"$31,706","$56,527"
Khalid Reeves,1999,"$30,309","$54,036"
Wayne Turner,1999,"$30,000","$53,485"
Anthony Miller,1999,"$30,000","$53,485"
Casey Shaw,1999,"$25,000","$44,571"
LaMarcus Golden,1999,"$25,000","$44,571"
Mike Brown,1999,"$25,000","$44,571"
Art Long,1999,"$25,000","$44,571"
Jason Lawson,1999,"$25,000","$44,571"
Maceo Baston,1999,"$20,000","$35,657"
Brett Robisch,1999,"$20,000","$35,657"
Kebu Stewart,1999,"$18,941","$33,769"
Jason Miskiri,1999,"$15,982","$28,493"
Louis Bullock,1999,"$10,000","$17,828"
Robert Werdann,1999,"$7,471","$13,319"
Jimmy Oliver,1999,"$7,471","$13,319"
John Morton,1999,"$6,735","$12,007"
Andy Panko,1999,"$5,000","$8,914"
Jonathan Kerner,1999,"$5,000","$8,914"
Ira Bowman,1999,"$4,529","$8,074"
Trevor Winter,1999,"$4,529","$8,074"
Steve Goodrich,1999,"$4,529","$8,074"
Jason Sasser,1999,"$2,706","$4,824"
Kevin Garnett,2000,"$19,610,000","$33,704,516"
Shaquille O'Neal,2000,"$19,285,715","$33,147,154"
Alonzo Mourning,2000,"$16,880,000","$29,012,353"
Juwan Howard,2000,"$16,875,000","$29,003,759"
Hakeem Olajuwon,2000,"$16,700,000","$28,702,979"
Karl Malone,2000,"$15,750,000","$27,070,175"
David Robinson,2000,"$14,700,000","$25,265,497"
Dikembe Mutombo,2000,"$14,400,000","$24,749,874"
Patrick Ewing,2000,"$14,000,000","$24,062,378"
Jayson Williams,2000,"$13,800,000","$23,718,629"
Scottie Pippen,2000,"$13,750,000","$23,632,692"
Rasheed Wallace,2000,"$12,600,000","$21,656,140"
Gary Payton,2000,"$12,200,000","$20,968,643"
Tim Hardaway,2000,"$12,000,000","$20,624,895"
Chris Webber,2000,"$12,000,000","$20,624,895"
Shawn Kemp,2000,"$11,720,000","$20,143,648"
Damon Stoudamire,2000,"$11,250,000","$19,335,839"
Arvydas Sabonis,2000,"$11,250,000","$19,335,839"
Larry Johnson,2000,"$11,000,000","$18,906,154"
John Stockton,2000,"$11,000,000","$18,906,154"
Antonio McDyess,2000,"$10,800,000","$18,562,406"
Reggie Miller,2000,"$10,670,000","$18,338,969"
Antoine Walker,2000,"$10,130,000","$17,410,849"
Stephon Marbury,2000,"$10,130,000","$17,410,849"
Zydrunas Ilgauskas,2000,"$10,130,000","$17,410,849"
Kobe Bryant,2000,"$10,130,000","$17,410,849"
Shareef Abdur-Rahim,2000,"$10,130,000","$17,410,849"
Ray Allen,2000,"$10,130,000","$17,410,849"
Vin Baker,2000,"$10,130,000","$17,410,849"
Allen Iverson,2000,"$10,130,000","$17,410,849"
Anfernee Hardaway,2000,"$10,130,000","$17,410,849"
Latrell Sprewell,2000,"$10,125,000","$17,402,255"
Bryant Reeves,2000,"$10,110,000","$17,376,474"
Mitch Richmond,2000,"$10,000,000","$17,187,412"
Rod Strickland,2000,"$10,000,000","$17,187,412"
Jalen Rose,2000,"$9,660,000","$16,603,040"
Grant Hill,2000,"$9,660,000","$16,603,040"
Tracy McGrady,2000,"$9,660,000","$16,603,040"
Tim Duncan,2000,"$9,660,000","$16,603,040"
Vlade Divac,2000,"$9,640,000","$16,568,666"
Tom Gugliotta,2000,"$9,360,000","$16,087,418"
Nick Van Exel,2000,"$9,200,000","$15,812,419"
Keith Van Horn,2000,"$9,000,000","$15,468,671"
Allan Houston,2000,"$9,000,000","$15,468,671"
Eddie Jones,2000,"$8,960,000","$15,399,922"
Brian Grant,2000,"$8,900,000","$15,296,797"
Tim Thomas,2000,"$8,510,000","$14,626,488"
Michael Finley,2000,"$8,400,000","$14,437,426"
Shawn Bradley,2000,"$8,370,000","$14,385,864"
Terrell Brandon,2000,"$8,330,000","$14,317,115"
Glenn Robinson,2000,"$8,120,000","$13,956,179"
Steve Smith,2000,"$8,100,000","$13,921,804"
Elden Campbell,2000,"$8,050,000","$13,835,867"
Danny Manning,2000,"$8,030,000","$13,801,492"
Derrick Coleman,2000,"$8,000,000","$13,749,930"
Avery Johnson,2000,"$8,000,000","$13,749,930"
Theo Ratliff,2000,"$7,800,000","$13,406,182"
Kerry Kittles,2000,"$7,770,000","$13,354,619"
Jason Kidd,2000,"$7,680,000","$13,199,933"
Glen Rice,2000,"$7,578,900","$13,026,168"
Kenny Anderson,2000,"$7,520,000","$12,924,934"
Matt Geiger,2000,"$7,515,840","$12,917,784"
Tyrone Hill,2000,"$7,300,000","$12,546,811"
Kendall Gill,2000,"$7,000,000","$12,031,189"
Clifford Robinson,2000,"$6,890,000","$11,842,127"
Christian Laettner,2000,"$6,625,000","$11,386,661"
Horace Grant,2000,"$6,500,000","$11,171,818"
Jamal Mashburn,2000,"$6,200,000","$10,656,196"
Chris Dudley,2000,"$6,200,000","$10,656,196"
Toni Kukoc,2000,"$6,000,000","$10,312,447"
Dale Davis,2000,"$6,000,000","$10,312,447"
Bryant Stith,2000,"$5,920,000","$10,174,948"
Alan Henderson,2000,"$5,910,000","$10,157,761"
Charles Oakley,2000,"$5,760,000","$9,899,949"
Marcus Camby,2000,"$5,750,000","$9,882,762"
Luc Longley,2000,"$5,750,000","$9,882,762"
PJ Brown,2000,"$5,740,000","$9,865,575"
Jermaine O'Neal,2000,"$5,710,000","$9,814,012"
Donyell Marshall,2000,"$5,630,000","$9,676,513"
Erick Dampier,2000,"$5,610,000","$9,642,138"
Wesley Person,2000,"$5,600,000","$9,624,951"
Chris Gatling,2000,"$5,550,000","$9,539,014"
Anthony Mason,2000,"$5,550,000","$9,539,014"
Ron Mercer,2000,"$5,520,000","$9,487,451"
Steve Nash,2000,"$5,500,000","$9,453,077"
Isaac Austin,2000,"$5,500,000","$9,453,077"
Antonio Davis,2000,"$5,500,000","$9,453,077"
Jim McIlvaine,2000,"$5,400,000","$9,281,203"
Derrick McKey,2000,"$5,400,000","$9,281,203"
Kelvin Cato,2000,"$5,330,000","$9,160,891"
Jerry Stackhouse,2000,"$5,310,000","$9,126,516"
Austin Croshere,2000,"$5,300,000","$9,109,328"
Sean Elliott,2000,"$5,300,000","$9,109,328"
Greg Ostertag,2000,"$5,200,000","$8,937,454"
Charlie Ward,2000,"$5,040,000","$8,662,456"
Lorenzen Wright,2000,"$4,950,000","$8,507,769"
Loy Vaught,2000,"$4,812,025","$8,270,626"
Chris Mills,2000,"$4,800,000","$8,249,958"
Mookie Blaylock,2000,"$4,800,000","$8,249,958"
Robert Horry,2000,"$4,800,000","$8,249,958"
Hersey Hawkins,2000,"$4,760,000","$8,181,208"
Chris Childs,2000,"$4,680,000","$8,043,709"
Chris Mullin,2000,"$4,650,000","$7,992,146"
Bobby Phills,2000,"$4,640,000","$7,974,959"
Bryon Russell,2000,"$4,570,000","$7,854,647"
Tariq Abdul-Wahad,2000,"$4,500,000","$7,734,335"
Bo Outlaw,2000,"$4,500,000","$7,734,335"
Bob Sura,2000,"$4,390,000","$7,545,274"
Jason Caffey,2000,"$4,380,000","$7,528,086"
Robert Pack,2000,"$4,320,000","$7,424,962"
Brent Barry,2000,"$4,320,000","$7,424,962"
Vitaly Potapenko,2000,"$4,290,000","$7,373,400"
Brevin Knight,2000,"$4,250,000","$7,304,650"
Howard Eisley,2000,"$4,250,000","$7,304,650"
Walt Williams,2000,"$4,250,000","$7,304,650"
Scott Williams,2000,"$4,200,000","$7,218,713"
Dan Majerle,2000,"$4,050,000","$6,960,902"
Brad Miller,2000,"$4,000,000","$6,874,965"
Ben Wallace,2000,"$4,000,000","$6,874,965"
Duane Causwell,2000,"$4,000,000","$6,874,965"
Sam Cassell,2000,"$4,000,000","$6,874,965"
Danny Fortson,2000,"$3,950,000","$6,789,028"
Corliss Williamson,2000,"$3,940,000","$6,771,840"
Cedric Ceballos,2000,"$3,937,500","$6,767,543"
Jahidi White,2000,"$3,922,000","$6,740,903"
Cuttino Mobley,2000,"$3,920,000","$6,737,465"
Rashard Lewis,2000,"$3,920,000","$6,737,465"
Scot Pollard,2000,"$3,920,000","$6,737,465"
Eric Williams,2000,"$3,890,000","$6,685,903"
Voshon Lenard,2000,"$3,780,000","$6,496,842"
Nick Anderson,2000,"$3,750,000","$6,445,279"
Dana Barros,2000,"$3,700,000","$6,359,342"
Michael Olowokandi,2000,"$3,697,440","$6,354,942"
Doug West,2000,"$3,680,000","$6,324,967"
Kurt Thomas,2000,"$3,680,000","$6,324,967"
Elton Brand,2000,"$3,629,160","$6,237,587"
Adonal Foyle,2000,"$3,580,000","$6,153,093"
Mark Jackson,2000,"$3,570,000","$6,135,906"
Kenyon Martin,2000,"$3,536,640","$6,078,569"
Michael Stewart,2000,"$3,520,000","$6,049,969"
Derek Strong,2000,"$3,510,000","$6,032,781"
Travis Best,2000,"$3,500,000","$6,015,594"
Rex Chapman,2000,"$3,500,000","$6,015,594"
Greg Anthony,2000,"$3,500,000","$6,015,594"
Rick Fox,2000,"$3,400,000","$5,843,720"
Adam Keefe,2000,"$3,390,000","$5,826,533"
Lamond Murray,2000,"$3,380,000","$5,809,345"
Derek Fisher,2000,"$3,380,000","$5,809,345"
Eric Snow,2000,"$3,380,000","$5,809,345"
Mike Bibby,2000,"$3,308,160","$5,685,871"
Jud Buechler,2000,"$3,260,000","$5,603,096"
Steve Francis,2000,"$3,246,960","$5,580,684"
Greg Minor,2000,"$3,240,000","$5,568,721"
Tony Battie,2000,"$3,200,000","$5,499,972"
Travis Knight,2000,"$3,200,000","$5,499,972"
Don MacLean,2000,"$3,178,500","$5,463,018"
Stromile Swift,2000,"$3,164,280","$5,438,578"
Doug Christie,2000,"$3,140,000","$5,396,847"
Darrell Armstrong,2000,"$3,100,000","$5,328,098"
Tracy Murray,2000,"$3,060,000","$5,259,348"
Mark Bryant,2000,"$3,029,268","$5,206,527"
Chucky Atkins,2000,"$3,000,000","$5,156,223"
Tyrone Nesby,2000,"$2,990,000","$5,139,036"
Raef LaFrentz,2000,"$2,970,840","$5,106,105"
Samaki Walker,2000,"$2,960,000","$5,087,474"
Baron Davis,2000,"$2,916,000","$5,011,849"
David Wesley,2000,"$2,880,000","$4,949,974"
Brent Price,2000,"$2,880,000","$4,949,974"
Dean Garrett,2000,"$2,880,000","$4,949,974"
Jerome Williams,2000,"$2,870,000","$4,932,787"
Kevin Willis,2000,"$2,870,000","$4,932,787"
Mikki Moore,2000,"$2,850,000","$4,898,412"
Darius Miles,2000,"$2,841,720","$4,884,181"
Antonio Daniels,2000,"$2,820,000","$4,846,850"
Popeye Jones,2000,"$2,812,500","$4,833,959"
Anthony Peeler,2000,"$2,740,000","$4,709,351"
Jon Barry,2000,"$2,730,000","$4,692,163"
Cedric Henderson,2000,"$2,700,000","$4,640,601"
Ervin Johnson,2000,"$2,700,000","$4,640,601"
Lawrence Funderburke,2000,"$2,700,000","$4,640,601"
Antawn Jamison,2000,"$2,678,400","$4,603,476"
Walter McCarty,2000,"$2,670,000","$4,589,039"
Lindsey Hunter,2000,"$2,650,000","$4,554,664"
Lamar Odom,2000,"$2,628,960","$4,518,502"
Vernon Maxwell,2000,"$2,570,000","$4,417,164"
Malik Rose,2000,"$2,570,000","$4,417,165"
Marcus Fizer,2000,"$2,562,000","$4,403,415"
Erick Strickland,2000,"$2,560,000","$4,399,977"
Dragan Tarlac,2000,"$2,500,000","$4,296,853"
Vince Carter,2000,"$2,425,440","$4,168,703"
Matt Maloney,2000,"$2,401,000","$4,126,696"
Gary Trent,2000,"$2,400,000","$4,124,979"
Terry Mills,2000,"$2,400,000","$4,124,978"
Mark Strickland,2000,"$2,400,000","$4,124,979"
Jonathan Bender,2000,"$2,380,680","$4,091,773"
Sam Mitchell,2000,"$2,370,000","$4,073,416"
Chris Whitney,2000,"$2,370,000","$4,073,416"
Jim Jackson,2000,"$2,330,000","$4,004,667"
Mike Miller,2000,"$2,320,080","$3,987,617"
Dale Ellis,2000,"$2,290,000","$3,935,917"
Randy Brown,2000,"$2,250,000","$3,867,167"
Aaron Williams,2000,"$2,250,000","$3,867,167"
Bimbo Coles,2000,"$2,250,000","$3,867,167"
Joe Smith,2000,"$2,250,000","$3,867,167"
Maurice Taylor,2000,"$2,250,000","$3,867,167"
Sam Perkins,2000,"$2,250,000","$3,867,167"
Brian Shaw,2000,"$2,250,000","$3,867,167"
Othella Harrington,2000,"$2,250,000","$3,867,167"
A.C. Green,2000,"$2,250,000","$3,867,167"
Chauncey Billups,2000,"$2,250,000","$3,867,167"
Tony Delk,2000,"$2,250,000","$3,867,167"
Will Perdue,2000,"$2,250,000","$3,867,167"
Bobby Jackson,2000,"$2,250,000","$3,867,167"
Derek Anderson,2000,"$2,250,000","$3,867,167"
John Starks,2000,"$2,250,000","$3,867,167"
Eric Montross,2000,"$2,240,000","$3,849,980"
Robert Traylor,2000,"$2,203,080","$3,786,524"
Chris Crawford,2000,"$2,200,000","$3,781,230"
Jamie Feick,2000,"$2,200,000","$3,781,230"
Otis Thorpe,2000,"$2,200,000","$3,781,230"
J.R. Reid,2000,"$2,200,000","$3,781,230"
Calbert Cheaney,2000,"$2,200,000","$3,781,230"
George McCloud,2000,"$2,200,000","$3,781,230"
John Wallace,2000,"$2,200,000","$3,781,230"
Michael Curry,2000,"$2,200,000","$3,781,230"
Terry Cummings,2000,"$2,200,000","$3,781,230"
Carlos Rogers,2000,"$2,200,000","$3,781,230"
Shandon Anderson,2000,"$2,200,000","$3,781,230"
Eric Piatkowski,2000,"$2,200,000","$3,781,230"
Ron Harper,2000,"$2,200,000","$3,781,230"
Grant Long,2000,"$2,200,000","$3,781,230"
George Lynch,2000,"$2,200,000","$3,781,230"
Rodney Rogers,2000,"$2,200,000","$3,781,230"
Detlef Schrempf,2000,"$2,200,000","$3,781,230"
Steve Kerr,2000,"$2,200,000","$3,781,230"
Terry Porter,2000,"$2,200,000","$3,781,230"
Olden Polynice,2000,"$2,200,000","$3,781,230"
Michael Smith,2000,"$2,200,000","$3,781,230"
Wally Szczerbiak,2000,"$2,162,280","$3,716,399"
Lucious Harris,2000,"$2,160,000","$3,712,481"
Cory Alexander,2000,"$2,160,000","$3,712,481"
Sean Rooks,2000,"$2,160,000","$3,712,481"
DerMarr Johnson,2000,"$2,107,200","$3,621,731"
John Williams,2000,"$2,100,000","$3,609,356"
Clarence Weatherspoon,2000,"$2,100,000","$3,609,356"
Hubert Davis,2000,"$2,100,000","$3,609,356"
Billy Owens,2000,"$2,100,000","$3,609,356"
Eric Murdock,2000,"$2,100,000","$3,609,356"
Vinny Del Negro,2000,"$2,100,000","$3,609,356"
Matt Bullard,2000,"$2,100,000","$3,609,356"
Cherokee Parks,2000,"$2,100,000","$3,609,356"
Alvin Williams,2000,"$2,100,000","$3,609,356"
Jason Williams,2000,"$2,011,080","$3,456,526"
Johnny Newman,2000,"$2,000,000","$3,437,482"
Dell Curry,2000,"$2,000,000","$3,437,482"
Richard Hamilton,2000,"$1,973,880","$3,392,589"
Chris Mihm,2000,"$1,923,600","$3,306,170"
Keith Closs,2000,"$1,920,000","$3,299,983"
Andrew DeClercq,2000,"$1,920,000","$3,299,983"
James Robinson,2000,"$1,870,000","$3,214,046"
Larry Hughes,2000,"$1,842,480","$3,166,746"
Aaron McKie,2000,"$1,818,000","$3,124,671"
Andre Miller,2000,"$1,808,400","$3,108,171"
Jamal Crawford,2000,"$1,762,320","$3,028,972"
Greg Foster,2000,"$1,760,000","$3,024,984"
Jaren Jackson Jr,2000,"$1,750,000","$3,007,797"
Lorenzo Williams,2000,"$1,750,000","$3,007,797"
Muggsy Bogues,2000,"$1,740,000","$2,990,609"
Darvin Ham,2000,"$1,700,000","$2,921,860"
Dirk Nowitzki,2000,"$1,693,560","$2,910,791"
Shawn Marion,2000,"$1,662,240","$2,856,960"
Joel Przybilla,2000,"$1,619,880","$2,784,154"
Paul Pierce,2000,"$1,608,840","$2,765,179"
Jason Terry,2000,"$1,579,080","$2,714,030"
Keyon Dooling,2000,"$1,538,880","$2,644,936"
Bonzi Wells,2000,"$1,528,440","$2,626,992"
Trajan Langdon,2000,"$1,500,120","$2,578,318"
Jacque Vaughn,2000,"$1,500,000","$2,578,111"
Predrag Stojakovic,2000,"$1,480,000","$2,543,737"
Jerome Moiso,2000,"$1,461,960","$2,512,731"
Michael Doleac,2000,"$1,452,000","$2,495,612"
Aleksandar Radojevic,2000,"$1,425,120","$2,449,412"
Etan Thomas,2000,"$1,388,880","$2,387,125"
Keon Clark,2000,"$1,379,400","$2,370,831"
Tony Massenburg,2000,"$1,360,000","$2,337,488"
Corey Maggette,2000,"$1,353,960","$2,327,106"
Corie Blount,2000,"$1,320,000","$2,268,738"
Courtney Alexander,2000,"$1,319,400","$2,267,707"
Gary Grant,2000,"$1,316,969","$2,263,528"
Michael Dickerson,2000,"$1,310,400","$2,252,238"
William Avery,2000,"$1,286,160","$2,210,576"
Mateen Cleaves,2000,"$1,253,400","$2,154,270"
Matt Harpring,2000,"$1,244,880","$2,139,626"
Anthony Johnson,2000,"$1,200,000","$2,062,489"
Chris Carr,2000,"$1,200,000","$2,062,489"
Eldridge Recasner,2000,"$1,200,000","$2,062,489"
Joe Kleine,2000,"$1,200,000","$2,062,489"
Zan Tabak,2000,"$1,200,000","$2,062,489"
Chuck Person,2000,"$1,200,000","$2,062,489"
Anthony Carter,2000,"$1,200,000","$2,062,489"
LaPhonso Ellis,2000,"$1,200,000","$2,062,489"
Danny Ferry,2000,"$1,200,000","$2,062,489"
Dennis Scott,2000,"$1,200,000","$2,062,489"
Jason Collier,2000,"$1,190,760","$2,046,608"
Bryce Drew,2000,"$1,182,600","$2,032,583"
Metta World Peace,2000,"$1,160,760","$1,995,046"
Elliot Perry,2000,"$1,144,000","$1,966,239"
Hidayet Turkoglu,2000,"$1,131,240","$1,944,308"
Tom Hammonds,2000,"$1,130,000","$1,942,177"
Radoslav Nesterovic,2000,"$1,123,560","$1,931,108"
Jelani McCoy,2000,"$1,110,000","$1,907,802"
Cal Bowdler,2000,"$1,102,800","$1,895,427"
Sherman Douglas,2000,"$1,100,000","$1,890,615"
Greg Buckner,2000,"$1,100,000","$1,890,615"
Desmond Mason,2000,"$1,074,720","$1,847,165"
Mirsad Turkcan,2000,"$1,069,400","$1,838,021"
James Posey,2000,"$1,047,600","$1,800,553"
Bill Curley,2000,"$1,034,500","$1,778,036"
Quentin Richardson,2000,"$1,020,960","$1,754,766"
Pat Garrity,2000,"$1,019,280","$1,751,878"
Quincy Lewis,2000,"$1,000,440","$1,719,497"
Kevin Edwards,2000,"$1,000,000","$1,718,741"
Jerome Kersey,2000,"$1,000,000","$1,718,741"
Felton Spencer,2000,"$1,000,000","$1,718,741"
David Wingate,2000,"$1,000,000","$1,718,741"
Pervis Ellison,2000,"$1,000,000","$1,718,741"
Dee Brown,2000,"$1,000,000","$1,718,741"
Monty Williams,2000,"$1,000,000","$1,718,741"
Mario Elie,2000,"$1,000,000","$1,718,741"
Tyrone Corbin,2000,"$1,000,000","$1,718,741"
Bruno Sundov,2000,"$997,000","$1,713,584"
Ruben Patterson,2000,"$990,000","$1,701,553"
Roshown McLeod,2000,"$978,600","$1,681,960"
Jamaal Magloire,2000,"$975,000","$1,675,772"
Dion Glover,2000,"$960,480","$1,650,816"
Ricky Davis,2000,"$939,360","$1,614,516"
Speedy Claxton,2000,"$936,000","$1,608,741"
Terry Davis,2000,"$923,500","$1,587,257"
Stacey Augmon,2000,"$923,500","$1,587,257"
Jeff Foster,2000,"$922,080","$1,584,816"
Brian Skinner,2000,"$901,800","$1,549,960"
Morris Peterson,2000,"$898,560","$1,544,392"
Kenny Thomas,2000,"$885,120","$1,521,292"
Fred Hoiberg,2000,"$880,000","$1,512,492"
Tyronn Lue,2000,"$865,800","$1,488,086"
Donnell Harvey,2000,"$862,560","$1,482,517"
Devean George,2000,"$849,720","$1,460,448"
Felipe Lopez,2000,"$831,120","$1,428,480"
DeShawn Stevenson,2000,"$828,120","$1,423,324"
John Crotty,2000,"$800,000","$1,374,993"
Mahmoud Abdul-Rauf,2000,"$798,500","$1,372,414"
Al Harrington,2000,"$797,880","$1,371,349"
Dalibor Bagaric,2000,"$795,000","$1,366,399"
Tim James,2000,"$783,120","$1,345,980"
Sam Jacobson,2000,"$768,500","$1,320,852"
Iakovos Tsakalidis,2000,"$763,200","$1,311,743"
Vonteego Cummings,2000,"$757,200","$1,301,430"
Corey Benjamin,2000,"$749,160","$1,287,612"
Vladimir Stepania,2000,"$749,160","$1,287,612"
Nazr Mohammed,2000,"$739,080","$1,270,287"
Mamadou N'diaye,2000,"$737,880","$1,268,224"
Isaiah Rider,2000,"$736,000","$1,264,993"
Todd Day,2000,"$736,000","$1,264,993"
David Benoit,2000,"$736,000","$1,264,993"
Jumaine Jones,2000,"$735,600","$1,264,306"
Bruce Bowen,2000,"$733,000","$1,259,837"
Scott Padgett,2000,"$730,800","$1,256,056"
Erick Barkley,2000,"$712,200","$1,224,087"
Damon Jones,2000,"$710,000","$1,220,306"
Mark Madsen,2000,"$707,040","$1,215,218"
Reggie Slater,2000,"$673,500","$1,157,572"
Darrick Martin,2000,"$673,500","$1,157,572"
Larry Robinson,2000,"$611,000","$1,050,150"
Todd Fuller,2000,"$611,000","$1,050,150"
Don Reid,2000,"$611,000","$1,050,150"
Antonio Harvey,2000,"$611,000","$1,050,150"
Emanual Davis,2000,"$610,000","$1,048,432"
Eddie Robinson,2000,"$600,000","$1,031,244"
John Amaechi,2000,"$600,000","$1,031,244"
Shammond Williams,2000,"$550,000","$945,307"
Doug Overton,2000,"$548,500","$942,729"
Shawnelle Scott,2000,"$548,500","$942,729"
Rick Brunson,2000,"$539,500","$927,260"
Kevin Ollie,2000,"$523,500","$899,761"
Moochie Norris,2000,"$523,500","$899,761"
Tyus Edney,2000,"$523,500","$899,761"
Jeff McInnis,2000,"$523,500","$899,761"
Etdrick Bohannon,2000,"$523,500","$899,761"
Troy Hudson,2000,"$523,500","$899,761"
Roy Rogers,2000,"$523,500","$899,761"
Ryan Bowen,2000,"$510,000","$876,558"
Ansu Sesay,2000,"$508,000","$873,120"
Laron Profit,2000,"$508,000","$873,120"
Adrian Griffin,2000,"$498,500","$856,792"
Earl Boykins,2000,"$498,500","$856,792"
William Cunningham,2000,"$498,500","$856,792"
Mark Pope,2000,"$498,500","$856,792"
Andrae Patterson,2000,"$498,500","$856,792"
Kornel David,2000,"$498,500","$856,792"
Gerard King,2000,"$489,500","$841,323"
Leon Smith,2000,"$483,680","$831,320"
Michael Ruffin,2000,"$440,000","$756,246"
Evan Eschmeyer,2000,"$423,500","$727,886"
Rodney Buford,2000,"$423,500","$727,886"
Michael Hawkins,2000,"$423,500","$727,886"
Lari Ketner,2000,"$423,500","$727,886"
Maceo Baston,2000,"$423,500","$727,886"
Rafer Alston,2000,"$423,500","$727,886"
Jonathan Kerner,2000,"$423,500","$727,886"
Lazaro Borrell,2000,"$423,500","$727,886"
Jermaine Jackson,2000,"$423,500","$727,886"
Todd MacCulloch,2000,"$423,500","$727,886"
Derrick Dial,2000,"$423,500","$727,886"
Calvin Booth,2000,"$423,500","$727,886"
Obinna Ekezie,2000,"$423,500","$727,886"
Hanno Mottola,2000,"$316,969","$544,787"
Mark Blount,2000,"$316,969","$544,787"
Milt Palacio,2000,"$316,969","$544,787"
Chris Herren,2000,"$316,969","$544,787"
Soumaila Samake,2000,"$316,969","$544,787"
Stephen Jackson,2000,"$316,969","$544,787"
Lee Nailon,2000,"$316,969","$544,787"
Terrance Roberson,2000,"$316,969","$544,787"
AJ Guyton,2000,"$316,969","$544,787"
Jake Voskuhl,2000,"$316,969","$544,787"
Khalid El-Amin,2000,"$316,969","$544,787"
Eduardo Najera,2000,"$316,969","$544,787"
Brian Cardinal,2000,"$316,969","$544,787"
Torraye Braggs,2000,"$316,969","$544,787"
Marc Jackson,2000,"$316,969","$544,787"
Chris Porter,2000,"$316,969","$544,787"
Dan Langhi,2000,"$316,969","$544,787"
Zendon Hamilton,2000,"$316,969","$544,787"
Stanislav Medvedenko,2000,"$316,969","$544,787"
Mike Penberthy,2000,"$316,969","$544,787"
Eddie House,2000,"$316,969","$544,787"
Jason Hart,2000,"$316,969","$544,787"
Michael Redd,2000,"$316,969","$544,787"
Lavor Postell,2000,"$316,969","$544,787"
Pete Mickeal,2000,"$316,969","$544,787"
Olumide Oyedeji,2000,"$316,969","$544,787"
Ruben Wolkowyski,2000,"$316,969","$544,787"
Pepe Sanchez,2000,"$316,969","$544,787"
Ademola Okulaja,2000,"$316,969","$544,787"
Daniel Santiago,2000,"$316,969","$544,787"
Paul McPherson,2000,"$316,969","$544,787"
Ruben Garces,2000,"$316,969","$544,787"
Jabari Smith Sr,2000,"$316,969","$544,787"
Ira Newble,2000,"$316,969","$544,787"
Chris Carrawell,2000,"$316,969","$544,787"
Garth Joseph,2000,"$316,969","$544,787"
Mike Smith,2000,"$316,969","$544,787"
Mark Karcher,2000,"$50,000","$85,937"
Anthony Miller,2000,"$40,000","$68,749"
Jamal Robinson,2000,"$40,000","$68,749"
Kevin Garnett,2001,"$22,400,000","$37,288,575"
Shaquille O'Neal,2001,"$21,428,572","$35,671,469"
Alonzo Mourning,2001,"$18,754,800","$31,220,525"
Juwan Howard,2001,"$18,750,000","$31,212,535"
Scottie Pippen,2001,"$18,083,564","$30,103,140"
Karl Malone,2001,"$17,500,000","$29,131,699"
Jayson Williams,2001,"$15,125,000","$25,178,111"
Rasheed Wallace,2001,"$14,400,000","$23,971,226"
Dikembe Mutombo,2001,"$14,315,790","$23,831,045"
Gary Payton,2001,"$12,926,493","$21,518,326"
Allan Houston,2001,"$12,750,000","$21,224,523"
