Player,Season,salary,inflationAdjSalary
Dennis Hopson,1990,"$915,000","$2,087,179"
Jeff Malone,1990,"$915,000","$2,087,179"
Michael Cage,1990,"$910,000","$2,075,773"
Frank Brickowski,1990,"$905,000","$2,064,368"
Dell Curry,1990,"$900,000","$2,052,963"
Lester Conner,1990,"$900,000","$2,052,963"
Kurt Rambis,1990,"$900,000","$2,052,963"
Walter Davis,1990,"$900,000","$2,052,963"
Paul Pressey,1990,"$900,000","$2,052,963"
Doc Rivers,1990,"$895,000","$2,041,557"
James Donaldson,1990,"$880,000","$2,007,341"
Dennis Rodman,1990,"$880,000","$2,007,341"
Kenny Walker,1990,"$875,000","$1,995,936"
Mark West,1990,"$875,000","$1,995,936"
Alvin Robertson,1990,"$870,000","$1,984,530"
Joe Kleine,1990,"$850,000","$1,938,909"
William Bedford,1990,"$850,000","$1,938,909"
Mitch Richmond,1990,"$850,000","$1,938,909"
Darrell Griffith,1990,"$850,000","$1,938,909"
Sidney Green,1990,"$837,000","$1,909,255"
Trent Tucker,1990,"$835,000","$1,904,693"
Tyrone Corbin,1990,"$830,000","$1,893,288"
Michael Adams,1990,"$825,000","$1,881,882"
Loy Vaught,1990,"$825,000","$1,881,882"
Muggsy Bogues,1990,"$805,000","$1,836,261"
Orlando Woolridge,1990,"$805,000","$1,836,261"
Rumeal Robinson,1990,"$800,000","$1,824,856"
Tree Rollins,1990,"$800,000","$1,824,856"
Larry Smith,1990,"$800,000","$1,824,856"
Travis Mays,1990,"$800,000","$1,824,856"
Tom Hammonds,1990,"$800,000","$1,824,856"
Tim McCormick,1990,"$775,000","$1,767,829"
Vlade Divac,1990,"$770,000","$1,756,423"
Reggie Theus,1990,"$765,000","$1,745,018"
Scottie Pippen,1990,"$765,000","$1,745,018"
Roy Tarpley,1990,"$765,000","$1,745,018"
Mike Sanders,1990,"$760,000","$1,733,613"
Rony Seikaly,1990,"$755,000","$1,722,207"
Ed Pinckney,1990,"$750,000","$1,710,802"
Chris Morris,1990,"$750,000","$1,710,802"
Cliff Levingston,1990,"$750,000","$1,710,802"
David Wingate,1990,"$750,000","$1,710,802"
Randy White,1990,"$730,000","$1,665,181"
Gerald Wilkins,1990,"$725,000","$1,653,775"
Nick Anderson,1990,"$725,000","$1,653,775"
Danny Ainge,1990,"$725,000","$1,653,775"
Willie Anderson,1990,"$725,000","$1,653,775"
Kenny Smith,1990,"$700,000","$1,596,749"
Bill Wennington,1990,"$700,000","$1,596,749"
Fred Roberts,1990,"$690,000","$1,573,938"
Kevin Willis,1990,"$685,000","$1,562,532"
Rex Chapman,1990,"$675,000","$1,539,722"
Buck Johnson,1990,"$675,000","$1,539,722"
Tim Perry,1990,"$675,000","$1,539,722"
Charles Jones,1990,"$675,000","$1,539,722"
Vern Fleming,1990,"$667,000","$1,521,473"
Nate McMillan,1990,"$658,000","$1,500,944"
Reggie Miller,1990,"$654,000","$1,491,819"
Alexander Volkov,1990,"$650,000","$1,482,695"
Dave Jamerson,1990,"$650,000","$1,482,695"
Jay Humphries,1990,"$650,000","$1,482,695"
Sedale Threatt,1990,"$650,000","$1,482,695"
Duane Causwell,1990,"$650,000","$1,482,695"
Dave Greenwood,1990,"$650,000","$1,482,695"
Mike Brown,1990,"$650,000","$1,482,695"
Chucky Brown,1990,"$630,000","$1,437,074"
Mychal Thompson,1990,"$615,000","$1,402,858"
Pooh Richardson,1990,"$615,000","$1,402,858"
Antoine Carr,1990,"$610,000","$1,391,452"
Darrell Walker,1990,"$610,000","$1,391,452"
Jeff Grayer,1990,"$605,000","$1,380,047"
Larry Krystkowiak,1990,"$605,000","$1,380,047"
Ledell Eackles,1990,"$605,000","$1,380,047"
Terry Mills,1990,"$600,000","$1,368,642"
Craig Hodges,1990,"$600,000","$1,368,642"
Brad Davis,1990,"$600,000","$1,368,642"
Olden Polynice,1990,"$600,000","$1,368,642"
Andrew Lang,1990,"$600,000","$1,368,642"
John Battle,1990,"$590,000","$1,345,831"
Tod Murphy,1990,"$590,000","$1,345,831"
John Salley,1990,"$575,000","$1,311,615"
Elden Campbell,1990,"$575,000","$1,311,615"
Gerald Glass,1990,"$575,000","$1,311,615"
Todd Lichti,1990,"$565,000","$1,288,804"
Jerrod Mustaf,1990,"$565,000","$1,288,804"
John Bagley,1990,"$550,000","$1,254,588"
Larry Drew,1990,"$550,000","$1,254,588"
Terry Teagle,1990,"$550,000","$1,254,588"
Ed Nealy,1990,"$550,000","$1,254,588"
Jerome Kersey,1990,"$550,000","$1,254,588"
Bob Hansen,1990,"$550,000","$1,254,588"
Steve Kerr,1990,"$548,000","$1,250,026"
Dee Brown,1990,"$547,000","$1,247,745"
Gary Grant,1990,"$530,000","$1,208,967"
Michael Smith,1990,"$525,000","$1,197,561"
Mookie Blaylock,1990,"$525,000","$1,197,561"
Derrick Chievous,1990,"$525,000","$1,197,561"
Winston Bennett,1990,"$525,000","$1,197,561"
Dwayne Schintzius,1990,"$520,000","$1,186,156"
Sidney Moncrief,1990,"$510,000","$1,163,345"
Spud Webb,1990,"$510,000","$1,163,345"
Bill Hanzlik,1990,"$510,000","$1,163,345"
Les Jepsen,1990,"$505,000","$1,151,940"
Jerome Lane,1990,"$500,000","$1,140,535"
Tim Hardaway,1990,"$500,000","$1,140,535"
Rod Higgins,1990,"$500,000","$1,140,535"
Randy Wittman,1990,"$500,000","$1,140,535"
Sam Mitchell,1990,"$500,000","$1,140,535"
Dana Barros,1990,"$500,000","$1,140,535"
Jayson Williams,1990,"$500,000","$1,140,535"
Mark Alarie,1990,"$500,000","$1,140,535"
Eric Leckner,1990,"$485,000","$1,106,318"
Greg Kite,1990,"$480,000","$1,094,913"
Harvey Grant,1990,"$475,000","$1,083,508"
Negele Knight,1990,"$468,000","$1,067,540"
Brian Oliver,1990,"$455,000","$1,037,886"
Will Perdue,1990,"$450,000","$1,026,481"
Scott Hastings,1990,"$450,000","$1,026,481"
Winston Garland,1990,"$450,000","$1,026,481"
Jerry Reynolds,1990,"$450,000","$1,026,481"
Otis Smith,1990,"$450,000","$1,026,481"
Danny Young,1990,"$450,000","$1,026,481"
Mark Acres,1990,"$437,000","$996,827"
Dan Majerle,1990,"$430,000","$980,860"
BJ Armstrong,1990,"$425,000","$969,454"
Kevin Edwards,1990,"$425,000","$969,454"
Quintin Dailey,1990,"$425,000","$969,454"
Ron Anderson,1990,"$425,000","$969,454"
Tate George,1990,"$410,000","$935,238"
Jeff Turner,1990,"$410,000","$935,238"
Scott Skiles,1990,"$408,000","$930,676"
Tom Tolbert,1990,"$405,000","$923,833"
Mark Bryant,1990,"$405,000","$923,833"
Reggie Lewis,1990,"$400,000","$912,428"
Ken Bannister,1990,"$400,000","$912,428"
Billy Thompson,1990,"$400,000","$912,428"
Adrian Dantley,1990,"$400,000","$912,428"
Eddie Lee Wilkins,1990,"$400,000","$912,428"
Dave Hoppen,1990,"$400,000","$912,428"
Kenny Payne,1990,"$400,000","$912,428"
Rod Strickland,1990,"$400,000","$912,428"
Alaa Abdelnaby,1990,"$395,000","$901,022"
John Paxson,1990,"$385,000","$878,211"
Kevin Gamble,1990,"$375,000","$855,401"
Byron Irvin,1990,"$375,000","$855,401"
Anthony Cook,1990,"$370,000","$843,995"
Lance Blanks,1990,"$365,000","$832,590"
Jack Haley,1990,"$360,000","$821,185"
Brian Quinnett,1990,"$360,000","$821,185"
Blue Edwards,1990,"$360,000","$821,185"
Kenny Gattison,1990,"$355,000","$809,779"
John Morton,1990,"$350,000","$798,374"
Kenny Battle,1990,"$350,000","$798,374"
Shawn Kemp,1990,"$350,000","$798,374"
Joe Barry Carroll,1990,"$350,000","$798,374"
Morlon Wiley,1990,"$347,000","$791,531"
Tom Garrick,1990,"$340,000","$775,563"
Jon Sundvold,1990,"$335,000","$764,158"
Bob Thornton,1990,"$335,000","$764,158"
Micheal Williams,1990,"$325,000","$741,347"
Mike Smrek,1990,"$325,000","$741,347"
Sherman Douglas,1990,"$325,000","$741,347"
Randolph Keys,1990,"$322,000","$734,504"
Derek Smith,1990,"$315,000","$718,537"
David Wood,1990,"$300,000","$684,321"
Greg Dreiling,1990,"$300,000","$684,321"
Grant Long,1990,"$300,000","$684,321"
Greg Grant,1990,"$300,000","$684,321"
Dave Corzine,1990,"$300,000","$684,321"
Scott Meents,1990,"$300,000","$684,321"
Rory Sparrow,1990,"$300,000","$684,321"
Steve Colter,1990,"$300,000","$684,321"
Scott Brooks,1990,"$295,000","$672,915"
Bimbo Coles,1990,"$290,000","$661,510"
Adrian Caldwell,1990,"$275,000","$627,294"
Dave Feitl,1990,"$275,000","$627,294"
A.J. English,1990,"$275,000","$627,294"
Greg Foster,1990,"$275,000","$627,294"
Steve Alford,1990,"$250,000","$570,267"
Vernon Maxwell,1990,"$250,000","$570,267"
Terry Davis,1990,"$250,000","$570,267"
Cliff Robinson,1990,"$250,000","$570,267"
Doug West,1990,"$230,000","$524,646"
Jud Buechler,1990,"$225,000","$513,240"
Frank Kornet,1990,"$225,000","$513,240"
Walter Palmer,1990,"$225,000","$513,240"
Stojko Vrankovic,1990,"$222,000","$506,397"
Delaney Rudd,1990,"$215,000","$490,430"
Marcus Liberty,1990,"$210,000","$479,024"
Jeff Martin,1990,"$210,000","$479,024"
Gary Leonard,1990,"$200,000","$456,214"
Steve Scheffler,1990,"$200,000","$456,214"
Milos Babic,1990,"$200,000","$456,214"
Michael Ansley,1990,"$200,000","$456,214"
Kevin Pritchard,1990,"$185,000","$421,997"
Kenny Williams,1990,"$175,000","$399,187"
Cedric Ceballos,1990,"$175,000","$399,187"
Derrick Gervin,1990,"$155,000","$353,565"
Scott Williams,1990,"$150,000","$342,160"
John Shasky,1990,"$150,000","$342,160"
John Long,1990,"$150,000","$342,160"
Keith Askins,1990,"$150,000","$342,160"
Richard Coffey,1990,"$150,000","$342,160"
Sean Higgins,1990,"$150,000","$342,160"
Tony Massenburg,1990,"$150,000","$342,160"
Alan Ogg,1990,"$130,000","$296,539"
Ian Lockhart,1990,"$130,000","$296,539"
Duane Ferrell,1990,"$125,000","$285,133"
Gerald Henderson,1990,"$125,000","$285,133"
Rick Calloway,1990,"$125,000","$285,133"
Kurk Lee,1990,"$120,000","$273,728"
Gerald Paddio,1990,"$120,000","$273,728"
Matt Bullard,1990,"$120,000","$273,728"
Kennard Winchester,1990,"$120,000","$273,728"
Tony Smith,1990,"$120,000","$273,728"
Irving Thomas,1990,"$120,000","$273,728"
Steve Henson,1990,"$120,000","$273,728"
John Starks,1990,"$120,000","$273,728"
Rickey Green,1990,"$120,000","$273,728"
Andy Toolson,1990,"$120,000","$273,728"
Haywoode Workman,1990,"$120,000","$273,728"
Jim Grandholm,1990,"$115,000","$262,323"
Andre Turner,1990,"$110,000","$250,917"
Darnell Valentine,1990,"$100,000","$228,107"
Paul Mokeski,1990,"$100,000","$228,107"
Dave Popson,1990,"$80,000","$182,485"
Scott Haffner,1990,"$75,000","$171,080"
Henry James,1990,"$75,000","$171,080"
Mario Elie,1990,"$50,000","$114,053"
Avery Johnson,1990,"$50,000","$114,053"
Alan Bannister,1990,"$50,000","$114,053"
Tony Brown,1990,"$50,000","$114,053"
A.J. Wynder,1990,"$30,000","$68,432"
Kelvin Upshaw,1990,"$30,000","$68,432"
Anthony Frederick,1990,"$30,000","$68,432"
Larry Bird,1991,"$7,070,000","$15,403,814"
Hot Rod Williams,1991,"$3,786,000","$8,248,775"
Kevin McHale,1991,"$3,500,000","$7,625,650"
Reggie Lewis,1991,"$3,340,000","$7,277,049"
Michael Jordan,1991,"$3,250,000","$7,080,961"
Reggie Miller,1991,"$3,211,000","$6,995,989"
Charles Barkley,1991,"$3,200,000","$6,972,023"
Hakeem Olajuwon,1991,"$3,170,000","$6,906,660"
Patrick Ewing,1991,"$3,139,000","$6,839,119"
Dominique Wilkins,1991,"$3,100,000","$6,754,147"
Robert Parish,1991,"$3,000,000","$6,536,272"
Isiah Thomas,1991,"$2,960,000","$6,449,121"
Benoit Benjamin,1991,"$2,875,000","$6,263,927"
Chris Mullin,1991,"$2,844,000","$6,196,385"
Danny Ferry,1991,"$2,843,000","$6,194,207"
Scottie Pippen,1991,"$2,770,000","$6,035,157"
Ralph Sampson,1991,"$2,685,000","$5,849,963"
Karl Malone,1991,"$2,556,000","$5,568,903"
Bernard King,1991,"$2,525,000","$5,501,362"
Sam Perkins,1991,"$2,507,000","$5,462,144"
Magic Johnson,1991,"$2,500,000","$5,446,893"
Wayman Tisdale,1991,"$2,333,000","$5,083,040"
Derrick Coleman,1991,"$2,300,000","$5,011,141"
Danny Manning,1991,"$2,300,000","$5,011,141"
Pervis Ellison,1991,"$2,300,000","$5,011,141"
Tom Chambers,1991,"$2,275,000","$4,956,672"
Steve Smith,1991,"$2,250,000","$4,902,204"
Brad Daugherty,1991,"$2,245,000","$4,891,310"
David Robinson,1991,"$2,240,000","$4,880,416"
Chuck Person,1991,"$2,156,000","$4,697,400"
John Stockton,1991,"$2,100,000","$4,575,390"
Kevin Duckworth,1991,"$2,013,000","$4,385,838"
Mahmoud Abdul-Rauf,1991,"$2,008,000","$4,374,944"
Dikembe Mutombo,1991,"$2,005,000","$4,368,408"
Rony Seikaly,1991,"$2,002,000","$4,361,872"
Jon Koncak,1991,"$2,000,000","$4,357,514"
Sam Bowie,1991,"$2,000,000","$4,357,514"
Bill Cartwright,1991,"$2,000,000","$4,357,514"
John Salley,1991,"$2,000,000","$4,357,514"
LaSalle Thompson,1991,"$2,000,000","$4,357,514"
Dennis Scott,1991,"$1,980,000","$4,313,939"
Larry Johnson,1991,"$1,955,000","$4,259,470"
Kevin Johnson,1991,"$1,950,000","$4,248,576"
Scott Skiles,1991,"$1,925,000","$4,194,107"
Rolando Blackman,1991,"$1,920,000","$4,183,214"
Kendall Gill,1991,"$1,908,000","$4,157,069"
Gary Payton,1991,"$1,883,000","$4,102,600"
Terry Cummings,1991,"$1,861,000","$4,054,667"
Mike Gminski,1991,"$1,850,000","$4,030,701"
Kenny Anderson,1991,"$1,828,000","$3,982,768"
Mychal Thompson,1991,"$1,807,000","$3,937,014"
Sean Elliott,1991,"$1,802,000","$3,926,120"
Terry Porter,1991,"$1,787,000","$3,893,439"
Otis Thorpe,1991,"$1,786,000","$3,891,260"
Horace Grant,1991,"$1,750,000","$3,812,825"
A.C. Green,1991,"$1,750,000","$3,812,825"
James Worthy,1991,"$1,750,000","$3,812,825"
Ricky Pierce,1991,"$1,750,000","$3,812,825"
Derek Harper,1991,"$1,725,000","$3,758,356"
Johnny Dawkins,1991,"$1,700,000","$3,703,887"
Buck Williams,1991,"$1,700,000","$3,703,887"
Ron Harper,1991,"$1,650,000","$3,594,949"
Kenny Smith,1991,"$1,633,000","$3,557,910"
Xavier McDaniel,1991,"$1,625,000","$3,540,480"
Fat Lever,1991,"$1,619,000","$3,527,408"
John Paxson,1991,"$1,600,000","$3,486,011"
Danny Schayes,1991,"$1,600,000","$3,486,011"
Moses Malone,1991,"$1,600,000","$3,486,011"
Luc Longley,1991,"$1,590,000","$3,464,224"
Vinnie Johnson,1991,"$1,580,000","$3,442,436"
Jeff Malone,1991,"$1,580,000","$3,442,436"
Blair Rasmussen,1991,"$1,558,000","$3,394,503"
Mark Price,1991,"$1,520,000","$3,311,711"
Billy Owens,1991,"$1,509,000","$3,287,744"
Doug Smith,1991,"$1,500,000","$3,268,136"
Sleepy Floyd,1991,"$1,500,000","$3,268,136"
Greg Anderson,1991,"$1,465,000","$3,191,879"
Jeff Hornacek,1991,"$1,428,000","$3,111,265"
Willie Burton,1991,"$1,402,000","$3,054,617"
Kevin Gamble,1991,"$1,400,000","$3,050,260"
Michael Cage,1991,"$1,390,000","$3,028,472"
Terry Catledge,1991,"$1,386,000","$3,019,757"
Clyde Drexler,1991,"$1,378,000","$3,002,327"
Brad Lohaus,1991,"$1,377,000","$3,000,148"
Drazen Petrovic,1991,"$1,375,000","$2,995,791"
Bill Laimbeer,1991,"$1,369,000","$2,982,718"
Larry Nance,1991,"$1,363,000","$2,969,646"
Cliff Levingston,1991,"$1,350,000","$2,941,322"
Rik Smits,1991,"$1,350,000","$2,941,322"
Armen Gilliam,1991,"$1,350,000","$2,941,322"
Manute Bol,1991,"$1,350,000","$2,941,322"
Felton Spencer,1991,"$1,340,000","$2,919,534"
Alton Lister,1991,"$1,333,000","$2,904,283"
Mark Eaton,1991,"$1,333,000","$2,904,283"
Charles Shackleford,1991,"$1,332,000","$2,902,104"
Brian Shaw,1991,"$1,313,000","$2,860,708"
Michael Adams,1991,"$1,309,000","$2,851,993"
Glen Rice,1991,"$1,302,000","$2,836,742"
Dale Ellis,1991,"$1,300,000","$2,832,384"
Jerry Reynolds,1991,"$1,300,000","$2,832,384"
Joe Dumars,1991,"$1,295,000","$2,821,490"
Lionel Simmons,1991,"$1,289,000","$2,808,418"
Detlef Schrempf,1991,"$1,278,000","$2,784,451"
Sarunas Marciulionis,1991,"$1,267,000","$2,760,485"
Antoine Carr,1991,"$1,263,000","$2,751,770"
Sam Vincent,1991,"$1,260,000","$2,745,234"
J.R. Reid,1991,"$1,250,000","$2,723,446"
Sherman Douglas,1991,"$1,250,000","$2,723,446"
Randy Breuer,1991,"$1,250,000","$2,723,446"
Mark Jackson,1991,"$1,250,000","$2,723,446"
Mark Aguirre,1991,"$1,232,000","$2,684,229"
Walter Davis,1991,"$1,215,000","$2,647,189"
Johnny Newman,1991,"$1,206,000","$2,627,581"
Tyrone Hill,1991,"$1,200,000","$2,614,508"
Wayne Cooper,1991,"$1,200,000","$2,614,508"
Doc Rivers,1991,"$1,195,000","$2,603,615"
Herb Williams,1991,"$1,183,000","$2,577,469"
Tony Campbell,1991,"$1,183,000","$2,577,469"
Mike Brown,1991,"$1,175,000","$2,560,039"
Ken Norman,1991,"$1,150,000","$2,505,570"
Bo Kimble,1991,"$1,150,000","$2,505,570"
Alec Kessler,1991,"$1,122,000","$2,444,565"
Derrick McKey,1991,"$1,112,000","$2,422,778"
Stacey King,1991,"$1,100,000","$2,396,633"
Byron Scott,1991,"$1,100,000","$2,396,633"
John Williams,1991,"$1,100,000","$2,396,633"
Dennis Rodman,1991,"$1,075,000","$2,342,164"
Sidney Green,1991,"$1,063,000","$2,316,019"
Frank Brickowski,1991,"$1,055,000","$2,298,589"
Charles Smith,1991,"$1,050,000","$2,287,695"
Charles Oakley,1991,"$1,050,000","$2,287,695"
Eddie Johnson,1991,"$1,050,000","$2,287,695"
Alvin Robertson,1991,"$1,033,000","$2,250,656"
Rumeal Robinson,1991,"$1,025,000","$2,233,226"
Rodney McCray,1991,"$1,025,000","$2,233,226"
Kiki Vandeweghe,1991,"$1,020,000","$2,222,332"
Dell Curry,1991,"$1,006,000","$2,191,829"
Maurice Cheeks,1991,"$1,000,000","$2,178,757"
Travis Mays,1991,"$1,000,000","$2,178,757"
Chris Dudley,1991,"$1,000,000","$2,178,757"
Loy Vaught,1991,"$1,000,000","$2,178,757"
Thurl Bailey,1991,"$1,000,000","$2,178,757"
Ron Anderson,1991,"$1,000,000","$2,178,757"
Paul Pressey,1991,"$1,000,000","$2,178,757"
Larry Smith,1991,"$997,000","$2,172,221"
George McCloud,1991,"$990,000","$2,156,969"
Mark West,1991,"$975,000","$2,124,288"
Mark Macon,1991,"$970,000","$2,113,394"
Orlando Woolridge,1991,"$957,000","$2,085,070"
Joe Kleine,1991,"$950,000","$2,069,819"
Jeff Grayer,1991,"$950,000","$2,069,819"
Kurt Rambis,1991,"$950,000","$2,069,819"
Dennis Hopson,1991,"$950,000","$2,069,819"
Mitch Richmond,1991,"$950,000","$2,069,819"
Roy Hinson,1991,"$943,000","$2,054,568"
Vlade Divac,1991,"$942,000","$2,052,389"
Rex Chapman,1991,"$940,000","$2,048,031"
Jim Petersen,1991,"$936,000","$2,039,316"
James Edwards,1991,"$933,000","$2,032,780"
Gary Grant,1991,"$928,000","$2,021,886"
Craig Ehlo,1991,"$925,000","$2,015,350"
Joe Barry Carroll,1991,"$925,000","$2,015,350"
Tyrone Corbin,1991,"$922,000","$2,008,814"
Muggsy Bogues,1991,"$906,000","$1,973,954"
Ed Pinckney,1991,"$900,000","$1,960,881"
William Bedford,1991,"$900,000","$1,960,881"
Lester Conner,1991,"$900,000","$1,960,881"
James Donaldson,1991,"$880,000","$1,917,306"
Stacey Augmon,1991,"$875,000","$1,906,412"
Greg Anthony,1991,"$865,000","$1,884,625"
Mike Sanders,1991,"$860,000","$1,873,731"
Randy White,1991,"$855,000","$1,862,837"
Terry Mills,1991,"$850,000","$1,851,943"
Darrell Griffith,1991,"$850,000","$1,851,943"
Dave Jamerson,1991,"$840,000","$1,830,156"
Tim McCormick,1991,"$825,000","$1,797,474"
Tom Hammonds,1991,"$825,000","$1,797,474"
Duane Causwell,1991,"$820,000","$1,786,581"
Trent Tucker,1991,"$813,000","$1,771,329"
Hersey Hawkins,1991,"$805,000","$1,753,899"
Gerald Wilkins,1991,"$795,000","$1,732,112"
Fred Roberts,1991,"$791,000","$1,723,397"
Ledell Eackles,1991,"$780,000","$1,699,430"
Bison Dele,1991,"$777,000","$1,692,894"
Buck Johnson,1991,"$775,000","$1,688,536"
Willie Anderson,1991,"$775,000","$1,688,536"
Joe Wolf,1991,"$763,000","$1,662,391"
Vern Fleming,1991,"$760,000","$1,655,855"
Jay Humphries,1991,"$760,000","$1,655,855"
Pooh Richardson,1991,"$760,000","$1,655,855"
Tod Murphy,1991,"$760,000","$1,655,855"
