Team,Home_Runs,Home_Run_Per_Game
Purdue Fort Wayne (Horizon),23,0.49
Sacramento St. (Big Sky),23,0.48
Gardner-Webb (Big South),25,0.47
DePaul (Big East),22,0.47
Georgetown (Big East),22,0.47
Georgia St. (Sun Belt),24,0.45
UIW (Southland),23,0.45
FDU (NEC),22,0.45
Toledo (MAC),22,0.45
Creighton (Big East),26,0.45
Bradley (MVC),25,0.45
Dayton (Atlantic 10),24,0.44
North Ala. (ASUN),24,0.44
Nicholls (Southland),25,0.44
Mount St. Mary's (MAAC),20,0.43
LIU (NEC),23,0.43
Ga. Southern (Sun Belt),22,0.43
Illinois St. (MVC),23,0.43
Southeast Mo. St. (OVC),23,0.43
Towson (CAA),23,0.43
UC Riverside (Big West),20,0.43
Houston Christian (Southland),21,0.42
Weber St. (Big Sky),21,0.42
Southeastern La. (Southland),26,0.42
Seattle U (WAC),23,0.42
N.C. A&T (CAA),20,0.42
UC Santa Barbara (Big West),20,0.42
USC Upstate (Big South),22,0.42
Cal St. Fullerton (Big West),24,0.41
N.C. Central (MEAC),23,0.41
Detroit Mercy (Horizon),18,0.41
FIU (CUSA),20,0.40
Indiana St. (MVC),20,0.40
Montana (Big Sky),20,0.40
Winthrop (Big South),22,0.40
Buffalo (MAC),19,0.40
CSUN (Big West),20,0.39
Southern U. (SWAC),16,0.39
Louisiana Tech (CUSA),21,0.39
Col. of Charleston (CAA),19,0.39
Robert Morris (Horizon),17,0.39
Utah (Pac-12),22,0.39
Belmont (MVC),19,0.38
Central Mich. (MAC),19,0.38
George Mason (Atlantic 10),19,0.37
Army West Point (Patriot),19,0.36
South Dakota (Summit League),19,0.36
San Jose St. (Mountain West),16,0.36
Tennessee St. (OVC),18,0.35
Saint Mary's (CA) (WCC),19,0.35
Morehead St. (OVC),14,0.35
Hofstra (CAA),17,0.35
Austin Peay (ASUN),18,0.35
ULM (Sun Belt),19,0.35
Tennessee Tech (OVC),16,0.34
UC Davis (Big West),17,0.34
Kennesaw St. (ASUN),18,0.34
Pacific (WCC),18,0.34
South Fla. (AAC),19,0.34
Jacksonville (ASUN),17,0.33
Long Beach St. (Big West),18,0.33
Rider (MAAC),17,0.33
Lehigh (Patriot),17,0.33
Merrimack (NEC),17,0.32
Memphis (AAC),16,0.32
Portland St. (Big Sky),15,0.32
Oakland (Horizon),14,0.32
SIUE (OVC),17,0.31
Siena (MAAC),17,0.31
Rhode Island (Atlantic 10),16,0.31
UT Martin (OVC),16,0.31
UNCW (CAA),17,0.30
Texas Southern (SWAC),12,0.30
Furman (SoCon),16,0.30
Holy Cross (Patriot),14,0.29
Manhattan (MAAC),14,0.28
Lamar University (Southland),14,0.27
Purdue (Big Ten),14,0.27
A&M-Corpus Christi (Southland),11,0.26
Fairfield (MAAC),12,0.26
