Team,Runs_Scored,Runs_Per_Game
UTEP (CUSA),223,4.74
Samford (SoCon),265,4.73
Missouri (SEC),312,4.73
App State (Sun Belt),241,4.73
Florida A&M (SWAC),217,4.72
Illinois (Big Ten),245,4.71
Utah (Pac-12),268,4.70
Western Ky. (CUSA),253,4.69
Niagara (MAAC),234,4.68
Gardner-Webb (Big South),248,4.68
Northern Colo. (Big Sky),248,4.68
Utah Valley (WAC),248,4.68
Fresno St. (Mountain West),243,4.67
Stony Brook (CAA),242,4.65
Wisconsin (Big Ten),242,4.65
McNeese (Southland),279,4.65
Arizona St. (Pac-12),237,4.65
Omaha (Summit League),268,4.62
Stanford (Pac-12),309,4.61
Saint Mary's (CA) (WCC),248,4.59
Iowa St. (Big 12),234,4.59
UC Santa Barbara (Big West),220,4.58
LMU (CA) (WCC),242,4.57
Dayton (Atlantic 10),246,4.56
Louisiana Tech (CUSA),246,4.56
Dartmouth (Ivy League),159,4.54
Maryland (Big Ten),245,4.54
Southern Miss. (Sun Belt),230,4.51
Tennessee St. (OVC),230,4.51
Ohio (MAC),247,4.49
Santa Clara (WCC),238,4.49
San Diego St. (Mountain West),229,4.49
Toledo (MAC),220,4.49
Abilene Christian (WAC),215,4.48
Providence (Big East),206,4.48
Fordham (Atlantic 10),246,4.47
Ole Miss (SEC),258,4.45
Yale (Ivy League),204,4.43
California Baptist (WAC),257,4.43
Central Conn. St. (NEC),208,4.43
UT Martin (OVC),230,4.42
Southeast Mo. St. (OVC),238,4.41
Cal St. Fullerton (Big West),255,4.40
Kansas (Big 12),236,4.37
Siena (MAAC),240,4.36
Utah St. (Mountain West),218,4.36
UMBC (America East),196,4.36
Princeton (Ivy League),209,4.35
Mercer (SoCon),229,4.32
Colgate (Patriot),216,4.32
Seton Hall (Big East),215,4.30
NIU (MAC),223,4.29
Drake (MVC),210,4.29
Bethune-Cookman (SWAC),222,4.27
Canisius (MAAC),192,4.27
Creighton (Big East),247,4.26
Radford (Big South),199,4.23
FIU (CUSA),211,4.22
Seattle U (WAC),232,4.22
Portland St. (Big Sky),198,4.21
North Texas (AAC),235,4.20
Auburn (SEC),214,4.20
Jacksonville St. (CUSA),222,4.19
Loyola Chicago (Atlantic 10),222,4.19
North Florida (ASUN),226,4.19
SIUE (OVC),226,4.19
Liberty (CUSA),263,4.17
Butler (Big East),217,4.17
Baylor (Big 12),246,4.17
Akron (MAC),216,4.15
UConn (Big East),227,4.13
Sacramento St. (Big Sky),197,4.10
Western Mich. (MAC),201,4.10
Saint Peter's (MAAC),205,4.10
Morgan St. (MEAC),224,4.07
Campbell (CAA),240,4.07
Cal Poly (Big West),183,4.07
Montana (Big Sky),203,4.06
Jacksonville (ASUN),207,4.06
Alabama (SEC),239,4.05
Cornell (Ivy League),149,4.03
Belmont (MVC),201,4.02
Weber St. (Big Sky),201,4.02
LIU (NEC),213,4.02
Virginia (ACC),216,4.00
