Team,Strike_Outs_For,Walks_Given_Up,K_Per_BB_Ratio
Tulsa (AAC),272,187,1.45
Toledo (MAC),202,139,1.45
Arizona St. (Pac-12),228,157,1.45
George Washington (Atlantic 10),212,146,1.45
Kent St. (MAC),225,155,1.45
Bradley (MVC),296,204,1.45
Southern Utah (WAC),178,124,1.44
Bethune-Cookman (SWAC),215,150,1.43
Harvard (Ivy League),186,130,1.43
Central Mich. (MAC),208,146,1.42
Florida St. (ACC),259,182,1.42
FGCU (ASUN),248,175,1.42
Southern U. (SWAC),194,137,1.42
UT Arlington (WAC),175,124,1.41
Missouri St. (MVC),148,105,1.41
Arizona (Pac-12),207,147,1.41
Santa Clara (WCC),174,124,1.40
UNC Greensboro (SoCon),231,165,1.40
Presbyterian (Big South),257,184,1.40
Seattle U (WAC),204,148,1.38
Quinnipiac (MAAC),183,133,1.38
Samford (SoCon),268,195,1.37
Utah St. (Mountain West),184,134,1.37
Miami (OH) (MAC),247,180,1.37
Massachusetts (Atlantic 10),253,185,1.37
North Dakota (Summit League),280,206,1.36
Mount St. Mary's (MAAC),148,109,1.36
New Mexico St. (CUSA),209,155,1.35
Seton Hall (Big East),209,156,1.34
Akron (MAC),183,137,1.34
Utah Valley (WAC),215,161,1.34
Purdue (Big Ten),175,132,1.33
Pacific (WCC),192,145,1.32
Colorado St. (Mountain West),154,117,1.32
Southeast Mo. St. (OVC),176,134,1.31
Houston Christian (Southland),224,171,1.31
Drake (MVC),166,127,1.31
San Jose St. (Mountain West),158,121,1.31
Texas Southern (SWAC),140,108,1.30
BYU (Big 12),262,203,1.29
Yale (Ivy League),138,107,1.29
DePaul (Big East),134,104,1.29
San Diego (WCC),224,174,1.29
Long Beach St. (Big West),177,138,1.28
Mercer (SoCon),197,154,1.28
Colgate (Patriot),198,155,1.28
Green Bay (Horizon),167,131,1.27
Minnesota (Big Ten),195,154,1.27
Prairie View (SWAC),142,114,1.25
Radford (Big South),164,132,1.24
UC Riverside (Big West),123,99,1.24
Alabama A&M (SWAC),162,131,1.24
Drexel (CAA),186,151,1.23
Montana (Big Sky),182,148,1.23
Indiana St. (MVC),209,170,1.23
ULM (Sun Belt),228,186,1.23
Jacksonville (ASUN),168,139,1.21
Holy Cross (Patriot),192,160,1.20
George Mason (Atlantic 10),193,163,1.18
Wagner (NEC),161,136,1.18
Central Ark. (ASUN),186,159,1.17
Georgia St. (Sun Belt),210,180,1.17
Manhattan (MAAC),183,157,1.17
Georgia Tech (ACC),276,237,1.16
Butler (Big East),161,140,1.15
Rhode Island (Atlantic 10),166,145,1.14
UTEP (CUSA),174,152,1.14
Jackson St. (SWAC),119,105,1.13
Iona (MAAC),157,139,1.13
North Dakota St. (Summit League),184,163,1.13
Hampton (CAA),180,160,1.13
NIU (MAC),214,191,1.12
Detroit Mercy (Horizon),142,130,1.09
Mississippi Val. (SWAC),71,65,1.09
Iowa St. (Big 12),182,167,1.09
Ball St. (MAC),189,175,1.08
UAB (AAC),152,141,1.08
Nebraska (Big Ten),170,158,1.08
Middle Tenn. (CUSA),166,155,1.07
Troy (Sun Belt),213,199,1.07
California Baptist (WAC),168,157,1.07
Kansas (Big 12),209,198,1.06
Merrimack (NEC),206,197,1.05
Georgetown (Big East),189,183,1.03
UNLV (Mountain West),165,160,1.03
Saint Joseph's (Atlantic 10),194,189,1.03
South Carolina St. (MEAC),145,142,1.02
ETSU (SoCon),162,160,1.01
Coppin St. (MEAC),103,102,1.01
UC Santa Barbara (Big West),175,174,1.01
Texas Tech (Big 12),182,181,1.01
Florida A&M (SWAC),176,176,1.00
Furman (SoCon),190,190,1.00
Towson (CAA),162,163,0.99
Longwood (Big South),182,184,0.99
Norfolk St. (MEAC),151,153,0.99
UTSA (AAC),211,215,0.98
Iowa (Big Ten),162,171,0.95
Saint Peter's (MAAC),123,133,0.92
FIU (CUSA),122,133,0.92
New Mexico (Mountain West),166,182,0.91
UMES (MEAC),166,184,0.90
Illinois St. (MVC),143,159,0.90
Pittsburgh (ACC),138,154,0.90
N.C. Central (MEAC),195,218,0.89
UIC (MVC),179,201,0.89
Fairfield (MAAC),136,154,0.88
Southern Miss. (Sun Belt),142,164,0.87
Elon (CAA),175,203,0.86
Abilene Christian (WAC),144,171,0.84
Valparaiso (MVC),137,163,0.84
Lafayette (Patriot),106,130,0.82
Morehead St. (OVC),116,150,0.77
N.C. A&T (CAA),119,156,0.76
Lipscomb (ASUN),121,164,0.74
Penn (Ivy League),88,122,0.72
Hawaii (Big West),93,130,0.72
IU Indy (Horizon),125,175,0.71
Cornell (Ivy League),100,142,0.70
Weber St. (Big Sky),129,187,0.69
Marshall (Sun Belt),149,221,0.67
Houston (Big 12),127,189,0.67
St. Bonaventure (Atlantic 10),121,182,0.66
Columbia (Ivy League),103,155,0.66
Evansville (MVC),133,201,0.66
Maine (America East),149,240,0.62
Memphis (AAC),159,266,0.60
Col. of Charleston (CAA),126,211,0.60
Alcorn (SWAC),129,232,0.56
Bowling Green (MAC),99,188,0.53
CSU Bakersfield (Big West),68,160,0.43
