Team,win_loss_percent
UT Arlington (WAC),0.404
Indiana St. (MVC),0.4
Sam Houston (CUSA),0.4
San Jose St. (Mountain West),0.4
Columbia (Ivy League),0.4
Arizona St. (Pac-12),0.392
Iowa St. (Big 12),0.392
Iowa (Big Ten),0.391
Ark.-Pine Bluff (SWAC),0.388
Bethune-Cookman (SWAC),0.385
George Mason (Atlantic 10),0.385
Iona (MAAC),0.383
Northwestern St. (Southland),0.38
Missouri St. (MVC),0.373
UMass Lowell (America East),0.37
Southern U. (SWAC),0.366
Longwood (Big South),0.365
Massachusetts (Atlantic 10),0.364
Merrimack (NEC),0.358
N.C. Central (MEAC),0.357
Monmouth (CAA),0.353
SIUE (OVC),0.352
UIC (MVC),0.352
Pittsburgh (ACC),0.347
NIU (MAC),0.346
Central Mich. (MAC),0.34
Montana (Big Sky),0.34
Western Caro. (SoCon),0.34
Abilene Christian (WAC),0.333
Buffalo (MAC),0.333
Drexel (CAA),0.333
Delaware St. (MEAC),0.333
Hampton (CAA),0.327
San Diego (WCC),0.321
Pacific (WCC),0.321
Saint Peter's (MAAC),0.32
Western Ill. (OVC),0.32
North Dakota St. (Summit League),0.315
Grambling (SWAC),0.311
Evansville (MVC),0.308
Lipscomb (ASUN),0.308
Mount St. Mary's (MAAC),0.304
Kennesaw St. (ASUN),0.302
Morehead St. (OVC),0.3
Fairfield (MAAC),0.298
Georgetown (Big East),0.298
Purdue Fort Wayne (Horizon),0.298
New Mexico (Mountain West),0.296
Presbyterian (Big South),0.294
SFA (WAC),0.291
Rhode Island (Atlantic 10),0.288
Stetson (ASUN),0.288
Holy Cross (Patriot),0.286
South Carolina St. (MEAC),0.286
Penn (Ivy League),0.275
Alcorn (SWAC),0.267
Army West Point (Patriot),0.264
UTSA (AAC),0.263
IU Indy (Horizon),0.26
Manhattan (MAAC),0.26
North Dakota (Summit League),0.25
N.C. A&T (CAA),0.25
Alabama A&M (SWAC),0.25
UMES (MEAC),0.239
ETSU (SoCon),0.22
Cornell (Ivy League),0.216
Wagner (NEC),0.211
Georgia St. (Sun Belt),0.208
Col. of Charleston (CAA),0.204
DePaul (Big East),0.191
Green Bay (Horizon),0.191
Valparaiso (MVC),0.184
Bowling Green (MAC),0.136
Detroit Mercy (Horizon),0.136
Memphis (AAC),0.12
Lafayette (Patriot),0.119
Maine (America East),0.109
CSU Bakersfield (Big West),0.098
St. Bonaventure (Atlantic 10),0.093
Norfolk St. (MEAC),0.085
Mississippi Val. (SWAC),0.081
