Team,At_Bats,Hits,Walks,Hit_By_Pitch,Sac_Fly,Sac_Hit,On_Base_Percent
Oklahoma (Big 12),"1,710",619,337,28,26,10,0.468
Texas (Big 12),"1,720",637,247,32,31,28,0.451
Miami (OH) (MAC),"1,543",537,276,23,15,2,0.45
Florida (SEC),"1,763",581,302,68,31,19,0.439
Virginia Tech (ACC),"1,515",518,211,17,15,6,0.424
North Carolina (ACC),"1,335",463,164,17,14,15,0.421
Florida St. (ACC),"1,654",550,237,29,27,13,0.419
Grand Canyon (WAC),"1,640",547,202,41,32,27,0.413
Georgia Tech (ACC),"1,442",446,212,42,15,15,0.409
BYU (Big 12),"1,441",460,181,50,18,47,0.409
Howard (MEAC),"1,227",409,137,26,16,32,0.407
UNLV (Mountain West),"1,312",415,182,29,20,42,0.406
Texas A&M (SEC),"1,502",460,226,34,16,20,0.405
Fla. Atlantic (AAC),"1,491",444,225,55,17,20,0.405
Arizona (Pac-12),"1,506",496,178,25,20,29,0.404
Southeastern La. (Southland),"1,582",537,161,23,20,66,0.404
Colorado St. (Mountain West),"1,252",404,139,41,15,8,0.404
Nevada (Mountain West),"1,573",527,151,37,17,17,0.402
Washington (Pac-12),"1,269",403,173,11,8,22,0.402
Mississippi St. (SEC),"1,343",400,215,30,21,18,0.401
UCLA (Pac-12),"1,399",440,178,37,21,21,0.401
Duke (ACC),"1,632",525,181,53,29,34,0.401
Prairie View (SWAC),"1,161",349,181,23,21,25,0.399
Indiana (Big Ten),"1,592",495,205,39,19,23,0.398
Houston (Big 12),"1,393",411,201,44,25,18,0.394
Minnesota (Big Ten),"1,460",435,212,30,17,28,0.394
James Madison (Sun Belt),"1,421",441,176,26,15,26,0.393
Louisiana (Sun Belt),"1,692",537,165,51,15,15,0.392
George Washington (Atlantic 10),"1,404",419,185,33,10,42,0.39
Boise St. (Mountain West),"1,612",487,203,33,9,28,0.389
Northwestern (Big Ten),"1,217",332,186,54,13,18,0.389
Rutgers (Big Ten),"1,514",453,190,48,25,26,0.389
Eastern Ky. (ASUN),"1,360",405,178,35,19,21,0.388
Ohio St. (Big Ten),"1,370",408,173,34,8,22,0.388
Oklahoma St. (Big 12),"1,548",475,184,32,18,34,0.388
Clemson (ACC),"1,492",443,192,45,25,18,0.388
Texas Tech (Big 12),"1,309",407,142,30,13,8,0.388
Western Ky. (CUSA),"1,357",403,182,28,15,37,0.387
LSU (SEC),"1,601",464,234,34,23,28,0.387
Harvard (Ivy League),"1,204",376,134,25,20,20,0.387
Tennessee (SEC),"1,480",428,195,47,10,10,0.387
Troy (Sun Belt),"1,475",443,200,20,20,28,0.387
Boston U. (Patriot),"1,652",531,157,31,24,41,0.386
Georgia (SEC),"1,633",481,210,38,13,27,0.385
East Carolina (AAC),"1,510",457,185,30,22,23,0.385
Chattanooga (SoCon),"1,506",451,160,59,17,69,0.385
Wichita St. (AAC),"1,293",367,186,31,11,17,0.384
Villanova (Big East),"1,490",396,253,38,10,6,0.384
Coastal Carolina (Sun Belt),"1,366",386,190,40,10,28,0.384
Louisville (ACC),"1,376",379,192,53,7,36,0.383
Bryant (America East),"1,356",405,159,37,16,25,0.383
Saint Francis (PA) (NEC),"1,451",439,155,42,16,11,0.382
California (Pac-12),"1,496",460,164,27,17,32,0.382
Marshall (Sun Belt),"1,445",454,151,19,19,14,0.382
Marist (MAAC),"1,553",483,163,22,14,23,0.381
Fresno St. (Mountain West),"1,427",447,117,45,10,42,0.381
NC State (ACC),"1,248",339,191,36,14,11,0.38
Eastern Ill. (OVC),"1,477",437,178,34,24,39,0.379
Oregon (Pac-12),"1,381",425,136,32,17,19,0.379
Nebraska (Big Ten),"1,488",441,161,44,13,20,0.379
UIW (Southland),"1,434",448,127,29,11,38,0.377
UNC Greensboro (SoCon),"1,564",417,240,41,13,36,0.376
UNI (MVC),"1,267",331,217,25,17,8,0.375
Delaware (CAA),"1,395",410,162,26,17,16,0.374
Ball St. (MAC),"1,528",416,208,52,23,25,0.373
Seton Hall (Big East),"1,346",373,183,30,11,11,0.373
Cal St. Fullerton (Big West),"1,541",483,128,29,17,51,0.373
Tulsa (AAC),"1,393",417,139,31,10,24,0.373
Charlotte (AAC),"1,477",394,215,44,17,11,0.373
Southern Ill. (MVC),"1,385",374,200,38,22,17,0.372
Lehigh (Patriot),"1,421",426,142,25,10,33,0.371
Illinois (Big Ten),"1,403",415,138,37,13,37,0.371
Texas St. (Sun Belt),"1,647",484,192,15,15,30,0.37
Florida A&M (SWAC),"1,167",362,100,17,12,29,0.37
UTEP (CUSA),"1,230",348,144,31,14,37,0.369
UC Santa Barbara (Big West),"1,314",382,138,27,7,20,0.368
Butler (Big East),"1,397",383,180,33,11,50,0.368
