Team,2B
Florida (SEC),112
Oklahoma (Big 12),109
Grand Canyon (WAC),102
Texas (Big 12),99
Nevada (Mountain West),97
Florida St. (ACC),96
Minnesota (Big Ten),96
California Baptist (WAC),92
Fordham (Atlantic 10),92
Penn St. (Big Ten),92
Miami (OH) (MAC),90
Charlotte (AAC),89
Fla. Atlantic (AAC),89
Liberty (CUSA),89
McNeese (Southland),89
Nebraska (Big Ten),89
Montana (Big Sky),88
Omaha (Summit League),88
Texas Tech (Big 12),88
Boston U. (Patriot),87
Delaware (CAA),87
Missouri (SEC),87
California (Pac-12),86
East Carolina (AAC),86
Georgia (SEC),86
James Madison (Sun Belt),85
Oklahoma St. (Big 12),85
Ball St. (MAC),84
Chattanooga (SoCon),84
Idaho St. (Big Sky),84
Binghamton (America East),83
Stanford (Pac-12),83
Texas St. (Sun Belt),83
Eastern Ky. (ASUN),82
Indiana (Big Ten),82
Villanova (Big East),82
Marist (MAAC),81
Seattle U (WAC),80
Tulsa (AAC),80
UNC Greensboro (SoCon),80
Virginia Tech (ACC),80
Abilene Christian (WAC),79
George Washington (Atlantic 10),79
Iowa St. (Big 12),79
UCF (Big 12),79
Boise St. (Mountain West),78
Bryant (America East),78
Colorado St. (Mountain West),78
Eastern Ill. (OVC),78
Oregon (Pac-12),78
Saint Peter's (MAAC),78
Creighton (Big East),77
Duke (ACC),77
LIU (NEC),77
LSU (SEC),77
Louisiana Tech (CUSA),77
Niagara (MAAC),77
South Dakota St. (Summit League),77
Georgia Tech (ACC),76
Jacksonville St. (CUSA),76
Kentucky (SEC),76
Marshall (Sun Belt),76
Mississippi St. (SEC),76
Morgan St. (MEAC),76
Southeastern La. (Southland),76
Texas A&M (SEC),76
Wichita St. (AAC),76
North Ala. (ASUN),75
SIUE (OVC),75
Saint Francis (PA) (NEC),75
UTEP (CUSA),75
Baylor (Big 12),74
Coppin St. (MEAC),74
Louisiana (Sun Belt),74
Southeast Mo. St. (OVC),74
Tennessee Tech (OVC),74
Toledo (MAC),74
Fresno St. (Mountain West),73
Northern Colo. (Big Sky),73
Siena (MAAC),73
UConn (Big East),73
BYU (Big 12),72
Bradley (MVC),72
Central Mich. (MAC),72
Gardner-Webb (Big South),72
Rutgers (Big Ten),72
UNLV (Mountain West),72
North Texas (AAC),71
Northern Ky. (Horizon),71
San Diego (WCC),71
South Carolina (SEC),71
UIW (Southland),71
Nicholls (Southland),70
Saint Louis (Atlantic 10),70
Seton Hall (Big East),70
Utah (Pac-12),70
Utah Valley (WAC),70
Campbell (CAA),69
Elon (CAA),69
Kent St. (MAC),69
Lehigh (Patriot),69
Maryland (Big Ten),69
Ohio (MAC),69
Southern Miss. (Sun Belt),69
Wisconsin (Big Ten),69
Youngstown St. (Horizon),69
Arizona St. (Pac-12),68
Clemson (ACC),68
Michigan (Big Ten),68
Saint Joseph's (Atlantic 10),68
App State (Sun Belt),67
Illinois (Big Ten),67
Prairie View (SWAC),67
Rider (MAAC),67
St. John's (NY) (Big East),67
Washington (Pac-12),67
Buffalo (MAC),66
Houston (Big 12),66
Ole Miss (SEC),66
Purdue Fort Wayne (Horizon),66
Central Conn. St. (NEC),65
Dayton (Atlantic 10),65
Holy Cross (Patriot),65
Belmont (MVC),64
Boston College (ACC),64
Howard (MEAC),64
South Fla. (AAC),64
Weber St. (Big Sky),64
Yale (Ivy League),64
A&M-Corpus Christi (Southland),63
Brown (Ivy League),63
Coastal Carolina (Sun Belt),63
Iona (MAAC),63
NIU (MAC),63
Providence (Big East),63
Tennessee (SEC),63
Western Ill. (OVC),63
Cal St. Fullerton (Big West),62
Kansas (Big 12),62
South Alabama (Sun Belt),62
Southern Ill. (MVC),62
UT Arlington (WAC),62
Western Mich. (MAC),62
Cleveland St. (Horizon),61
FIU (CUSA),61
Harvard (Ivy League),61
Houston Christian (Southland),61
Long Beach St. (Big West),61
New Mexico St. (CUSA),61
Sam Houston (CUSA),61
UC Santa Barbara (Big West),61
UCLA (Pac-12),61
UNI (MVC),61
Arizona (Pac-12),60
Evansville (MVC),60
Jacksonville (ASUN),60
Portland St. (Big Sky),60
Purdue (Big Ten),60
Sacred Heart (NEC),60
Southern Utah (WAC),60
UT Martin (OVC),60
Army West Point (Patriot),59
Massachusetts (Atlantic 10),59
N.C. Central (MEAC),59
Towson (CAA),59
UC Riverside (Big West),59
Western Ky. (CUSA),59
NC State (ACC),58
Ohio St. (Big Ten),58
Pacific (WCC),58
Princeton (Ivy League),58
San Diego St. (Mountain West),58
Tennessee St. (OVC),58
Troy (Sun Belt),58
Butler (Big East),57
CSUN (Big West),57
Colgate (Patriot),57
Hampton (CAA),57
Louisville (ACC),57
Northwestern (Big Ten),57
Saint Mary's (CA) (WCC),57
Western Caro. (SoCon),57
Jackson St. (SWAC),56
Middle Tenn. (CUSA),56
South Dakota (Summit League),56
Lamar University (Southland),55
North Florida (ASUN),55
UAlbany (America East),55
Virginia (ACC),55
Arkansas (SEC),54
George Mason (Atlantic 10),54
Indiana St. (MVC),54
Northwestern St. (Southland),54
Oakland (Horizon),54
Stony Brook (CAA),54
Bethune-Cookman (SWAC),53
IU Indy (Horizon),53
Notre Dame (ACC),53
Presbyterian (Big South),53
Syracuse (ACC),53
ULM (Sun Belt),53
UTSA (AAC),53
Utah St. (Mountain West),53
Col. of Charleston (CAA),52
Illinois St. (MVC),52
LMU (CA) (WCC),52
Loyola Chicago (Atlantic 10),52
Santa Clara (WCC),52
Alabama (SEC),51
Canisius (MAAC),51
Central Ark. (ASUN),51
Drake (MVC),51
Furman (SoCon),51
Quinnipiac (MAAC),51
Alabama St. (SWAC),50
Cornell (Ivy League),50
Dartmouth (Ivy League),50
Drexel (CAA),50
Florida A&M (SWAC),50
Merrimack (NEC),50
Mount St. Mary's (MAAC),50
Ark.-Pine Bluff (SWAC),49
Georgetown (Big East),49
Grambling (SWAC),49
Manhattan (MAAC),49
Rhode Island (Atlantic 10),49
Robert Morris (Horizon),49
Cal Poly (Big West),48
ETSU (SoCon),48
Ga. Southern (Sun Belt),48
Kansas City (Summit League),48
Mercer (SoCon),48
North Dakota St. (Summit League),47
Oregon St. (Pac-12),47
UMBC (America East),47
USC Upstate (Big South),47
Winthrop (Big South),47
Kennesaw St. (ASUN),46
Michigan St. (Big Ten),46
Morehead St. (OVC),46
N.C. A&T (CAA),46
North Carolina (ACC),46
Samford (SoCon),46
UMass Lowell (America East),46
FGCU (ASUN),45
Hofstra (CAA),45
Alabama A&M (SWAC),44
Iowa (Big Ten),44
Lipscomb (ASUN),44
Maine (America East),44
Monmouth (CAA),44
New Mexico (Mountain West),44
Radford (Big South),44
Austin Peay (ASUN),43
Columbia (Ivy League),43
Sacramento St. (Big Sky),43
San Jose St. (Mountain West),43
CSU Bakersfield (Big West),42
Georgia St. (Sun Belt),42
Wofford (SoCon),42
Auburn (SEC),41
Bucknell (Patriot),41
Delaware St. (MEAC),41
Green Bay (Horizon),41
Norfolk St. (MEAC),41
UNCW (CAA),41
Charleston So. (Big South),40
Longwood (Big South),40
North Dakota (Summit League),40
UC Davis (Big West),40
Lafayette (Patriot),39
Memphis (AAC),39
SFA (WAC),39
UAB (AAC),39
UIC (MVC),39
Missouri St. (MVC),38
Murray St. (MVC),38
Detroit Mercy (Horizon),37
Penn (Ivy League),37
Akron (MAC),36
Hawaii (Big West),36
Pittsburgh (ACC),36
Texas Southern (SWAC),36
Alcorn (SWAC),35
Fairfield (MAAC),35
Southern U. (SWAC),35
St. Bonaventure (Atlantic 10),35
Stetson (ASUN),35
UMES (MEAC),35
DePaul (Big East),34
South Carolina St. (MEAC),33
Bowling Green (MAC),31
FDU (NEC),30
Valparaiso (MVC),26
Wagner (NEC),25
Mississippi Val. (SWAC),24
