Place,Athlete,Year,Team,Time,Meet,Meet.Date,Event,Speed
25,"Wilson, Brooke",SO-2,Wake Forest,947.75,Wake Forest Invitational 2025,"Apr 17, 2025",5000,5.275652862041678
26,"Scatchard, Mena",SR-4,Princeton,948.24,Sam Howell Invitational,"Apr 4, 2025",5000,5.272926685227368
27,"Brown, Brynn",JR-3,North Carolina,948.75,ACC Outdoor Track & Field Championships,"May 15, 2025",5000,5.270092226613966
28,"Salmon, Penelope",JR-3,Harvard,948.88,Raleigh Relays,"Mar 27, 2025",5000,5.2693702048731135
29,"Naukot, Joy",FR-1,West Virginia,949.37,Penn Relays,"Apr 24, 2025",5000,5.266650515605085
30,"May, Kimberley",SR-4,Providence,950.04,2025 BIG EAST Outdoor Track & Field Championships,"May 15, 2025",5000,5.262936297419056
31,"Malague, Molly",JR-3,Harvard,950.39,Raleigh Relays,"Mar 27, 2025",5000,5.260998116562674
32,"Elbadra, Salma",SO-2,South Carolina,951.24,SEC Outdoor Track & Field Championships,"May 15, 2025",5000,5.256297043858543
33,"Whiting, Chloe",JR-3,Bryant,951.97,2025 Bryan Clay Invitational,"Apr 16, 2025",5000,5.25226635293129
34,"Wilson, Tia",JR-3,Florida,952.13,SEC Outdoor Track & Field Championships,"May 15, 2025",5000,5.251383739615389
35,"Zydanowicz, Jenna",SR-4,Connecticut,952.31,Raleigh Relays,"Mar 27, 2025",5000,5.250391154140984
36,"Bryce, Emily",JR-3,West Virginia,952.63,2025 Bryan Clay Invitational,"Apr 16, 2025",5000,5.248627483912957
37,"St. John-Kletter, Logan",FR-1,North Carolina,952.7,Penn Relays,"Apr 24, 2025",5000,5.24824183898394
38,"Mutisya , Peninah",SO-2,Hampton,953.09,Raleigh Relays,"Mar 27, 2025",5000,5.2460942828064505
39,"Brady, Mary",SR-4,Georgia Tech,953.17,ACC Outdoor Track & Field Championships,"May 15, 2025",5000,5.245653975681148
40,"Haquet, Augustine",SR-4,Cornell,953.23,Raleigh Relays,"Mar 27, 2025",5000,5.245323793837794
41,"Schilling, Jenny",SR-4,Virginia,953.43,ACC Outdoor Track & Field Championships,"May 15, 2025",5000,5.244223487828157
42,"Kimutai, Blezzin",FR-1,Tulane,954.12,Raleigh Relays,"Mar 27, 2025",5000,5.240430973043223
43,"Allori, Isabel",FR-1,Notre Dame,954.23,Raleigh Relays,"Mar 27, 2025",5000,5.239826876120013
44,"Wilkes, Carly",JR-3,Furman,954.45,Wake Forest Invitational 2025,"Apr 17, 2025",5000,5.238619100005239
45,"Covert, Emily",SR-4,Notre Dame,954.52,Wake Forest Invitational 2025,"Apr 17, 2025",5000,5.238234924359888
46,"Barnett, Mackenzie",SR-4,Lipscomb,954.57,2025 Bryan Clay Invitational,"Apr 16, 2025",5000,5.237960547681155
47,"Dalton, Mary Bonner",FR-1,Notre Dame,954.93,Raleigh Relays,"Mar 27, 2025",5000,5.235985883782058
48,"Sigfstead, Sadie",JR-3,Villanova,955,Virginia Challenge,"Apr 18, 2025",5000,5.2356020942408374
49,"Coetzee, Gene",JR-3,Auburn,955.31,SEC Outdoor Track & Field Championships,"May 15, 2025",5000,5.2339031309208535
50,"Singh, Roshni",SR-4,Boston College,956.03,Stanford Invitational,"Apr 4, 2025",5000,5.229961402884847
1,"Hartman, Grace",JR-3,NC State,1880.6,Raleigh Relays,"Mar 27, 2025",10000,5.317451877060513
2,"Scrimgeour, Chloe",SR-4,Georgetown,1933.64,2025 BIG EAST Outdoor Track & Field Championships,"May 15, 2025",10000,5.171593471380401
3,"Naukot, Joy",FR-1,West Virginia,1941.84,Raleigh Relays,"Mar 27, 2025",10000,5.149754871668109
4,"Chelulei, Edna",FR-1,Eastern Kentucky,1942.8,Raleigh Relays,"Mar 27, 2025",10000,5.147210212065061
5,"Caron, Florence",JR-3,Penn State,1946.52,Raleigh Relays,"Mar 27, 2025",10000,5.137373363746583
6,"Sigfstead, Sadie",JR-3,Villanova,1959.54,Penn Relays,"Apr 24, 2025",10000,5.1032385151617214
7,"Jepchirchir, Brenda",FR-1,Auburn,1962.28,Wake Forest Invitational 2025,"Apr 17, 2025",10000,5.096112685243696
8,"Eastman, Emma",JR-3,Syracuse,1967.21,Stanford Invitational,"Apr 4, 2025",10000,5.083341381957188
9,"Wilson, Brooke",SO-2,Wake Forest,1970.07,Raleigh Relays,"Mar 27, 2025",10000,5.075961767855965
10,"Barnett, Mackenzie",SR-4,Lipscomb,1972.43,Raleigh Relays,"Mar 27, 2025",10000,5.069888411756057
11,"Millard, Alex",JR-3,Providence,1973.97,2025 BIG EAST Outdoor Track & Field Championships,"May 15, 2025",10000,5.065933119550956
12,"White, Ruth",FR-1,New Hampshire,1977.83,2025 America East Outdoor Track & Field Championship,"May 3, 2025",10000,5.0560462729354905
13,"Toti, Sophia",SR-4,Penn State,1978.91,Big Ten Outdoor Track & Field Championships,"May 16, 2025",10000,5.0532869104709155
14,"Covert, Emily",SR-4,Notre Dame,1982.95,Raleigh Relays,"Mar 27, 2025",10000,5.042991502559318
15,"Lusk, Rylie",SR-4,Syracuse,1993.56,Stanford Invitational,"Apr 4, 2025",10000,5.0161520094704954
16,"Tuwei, Brenda",JR-3,Alabama,1994.24,2025 Bryan Clay Invitational,"Apr 16, 2025",10000,5.014441591784339
17,"Olemomoi, Hilda",JR-3,Florida,1995.52,SEC Outdoor Track & Field Championships,"May 15, 2025",10000,5.0112251443232845
18,"Schilling, Jenny",SR-4,Virginia,1995.54,Raleigh Relays,"Mar 27, 2025",10000,5.01117492007176
19,"Wilkes, Carly",JR-3,Furman,2000.08,Raleigh Relays,"Mar 27, 2025",10000,4.9998000079996805
20,"Heinen, Mary Caroline",SR-4,Michigan,2001.92,Raleigh Relays,"Mar 27, 2025",10000,4.995204603580563
21,"Roark, Savannah",SR-4,Syracuse,2002.6,Stanford Invitational,"Apr 4, 2025",10000,4.993508439029262
22,"Green, Lesley",SR-4,Chattanooga,2003.12,Raleigh Relays,"Mar 27, 2025",10000,4.992212149047486
23,"Perez, Angelina",SO-2,Wake Forest,2003.72,Raleigh Relays,"Mar 27, 2025",10000,4.990717265885453
24,"Wehrle, Mariah",SR-4,Indiana,2004.04,Raleigh Relays,"Mar 27, 2025",10000,4.98992036087104
25,"Fairley, Adelyn",SR-4,Liberty,2009.29,2025 Bryan Clay Invitational,"Apr 16, 2025",10000,4.976882381338682
26,"Atkinson, Sophie",JR-3,Virginia,2009.46,Raleigh Relays,"Mar 27, 2025",10000,4.976461337871866
27,"Alanis, Fatima",SR-4,North Carolina,2012.75,Penn Relays,"Apr 24, 2025",10000,4.968326915911067
28,"Trott, Jasmine",JR-3,Bryant,2015.17,2025 Bryan Clay Invitational,"Apr 16, 2025",10000,4.962360495640566
29,"Chepngetich, Vicody",FR-1,Eastern Kentucky,2015.26,Wake Forest Invitational 2025,"Apr 17, 2025",10000,4.962138880342983
30,"Singh, Roshni",SR-4,Boston College,2015.52,Wake Forest Invitational 2025,"Apr 17, 2025",10000,4.961498769548305
31,"Diamond, Louisa",SO-2,Army West Point,2015.67,Wake Forest Invitational 2025,"Apr 17, 2025",10000,4.961129549975938
32,"Fadil, Ella",SO-2,Boston College,2018.38,Stanford Invitational,"Apr 4, 2025",10000,4.9544684350815995
33,"Locher, Madeleine",JR-3,Dartmouth,2019.91,Battle Road Twilight Meet 2,"May 17, 2025",10000,4.95071562594373
34,"Strzelecki, Erin",SR-4,Notre Dame,2021.47,ACC Outdoor Track & Field Championships,"May 15, 2025",10000,4.9468950813022206
35,"Dalton, Mary Bonner",FR-1,Notre Dame,2021.97,2025 Bryan Clay Invitational,"Apr 16, 2025",10000,4.945671795328319
36,"Curtsinger, Claire",JR-3,Cincinnati,2026.17,Raleigh Relays,"Mar 27, 2025",10000,4.935420028921561
37,"Olson, Arianne",SO-2,Notre Dame,2026.24,2025 Bryan Clay Invitational,"Apr 16, 2025",10000,4.935249526216046
38,"McNatt, Anna",SO-2,Princeton,2027.64,Wake Forest Invitational 2025,"Apr 17, 2025",10000,4.931841944329368
39,"Birimac, Katarina",SR-4,Fordham,2028.47,Penn Relays,"Apr 24, 2025",10000,4.929823955986532
40,"Synowiec, Madison",SR-4,Elon,2031.52,Raleigh Relays,"Mar 27, 2025",10000,4.922422619516421
41,"Chepkemoi, Edna",FR-1,LSU,2034.99,SEC Outdoor Track & Field Championships,"May 15, 2025",10000,4.91402906156787
42,"Turney, Payne",SR-4,Purdue,2037.75,2025 Bryan Clay Invitational,"Apr 16, 2025",10000,4.90737332842596
43,"Jortberg, Kate",JR-3,Georgia Tech,2038.68,Raleigh Relays,"Mar 27, 2025",10000,4.905134694998725
44,"Bushee, Gillian",SO-2,Virginia,2039.72,Raleigh Relays,"Mar 27, 2025",10000,4.9026336948208575
45,"Lavassas, Daphnee",SR-4,Miami (Fla.),2040.07,Wake Forest Invitational 2025,"Apr 17, 2025",10000,4.901792585548535
46,"Aramini, Amaya",FR-1,Notre Dame,2042.1,2025 Bryan Clay Invitational,"Apr 16, 2025",10000,4.896919837422262
47,"Kimutai, Blezzin",FR-1,Tulane,2046.66,Drake Relays,"Apr 23, 2025",10000,4.886009400682087
48,"DeBoer, Arianna",SR-4,William & Mary,2047.04,Raleigh Relays,"Mar 27, 2025",10000,4.885102391746131
49,"Hynes, Kaitlyn",JR-3,Michigan State,2047.19,Big Ten Outdoor Track & Field Championships,"May 16, 2025",10000,4.884744454593858
50,"Gilson, Ella",SR-4,Harvard,2049.5,Raleigh Relays,"Mar 27, 2025",10000,4.8792388387411565
