Player,Measure Names,Competition Level,Full Division Name,Full Team Name Correct,Full Team Name,Gender Division,Measure Values
Jacques Nissen,Turns,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,12
Jacques Nissen,Ds,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Jacques Nissen,Assists,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,38
Jacques Nissen,Points,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,13
Jacques Nissen,Plus Minus,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,47
Cal Nightingale,Turns,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,3
Cal Nightingale,Ds,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,0
Cal Nightingale,Assists,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,12
Cal Nightingale,Points,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,27
Cal Nightingale,Plus Minus,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,36
Faye Burdick,Turns,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,6
Faye Burdick,Ds,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,12
Faye Burdick,Assists,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,16
Faye Burdick,Points,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,13
Faye Burdick,Plus Minus,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,35
Matthew Gregor,Turns,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,2
Matthew Gregor,Ds,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Matthew Gregor,Assists,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,3
Matthew Gregor,Points,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,26
Matthew Gregor,Plus Minus,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,33
Frankie Saraniti,Turns,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,11
Frankie Saraniti,Ds,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,15
Frankie Saraniti,Assists,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,12
Frankie Saraniti,Points,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,17
Frankie Saraniti,Plus Minus,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,33
Jacob Felton,Turns,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,36
Jacob Felton,Ds,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,7
Jacob Felton,Assists,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,43
Jacob Felton,Points,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,18
Jacob Felton,Plus Minus,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,32
Rowan Dong,Turns,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,23
Rowan Dong,Ds,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,20
Rowan Dong,Assists,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,18
Rowan Dong,Points,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,16
Rowan Dong,Plus Minus,Division 3,Division 3 Women,Carleton Eclipse,Carleton Eclipse,Women,31
Leo Gordon,Turns,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,27
Leo Gordon,Ds,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,6
Leo Gordon,Assists,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,34
Leo Gordon,Points,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,18
Leo Gordon,Plus Minus,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,31
Charles Tantum,Turns,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,8
Charles Tantum,Ds,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,11
Charles Tantum,Assists,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,10
Charles Tantum,Points,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,18
Charles Tantum,Plus Minus,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,31
Will Brandt,Turns,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,8
Will Brandt,Ds,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,4
Will Brandt,Assists,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,26
Will Brandt,Points,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,8
Will Brandt,Plus Minus,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,30
Max Zwerin,Turns,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,8
Max Zwerin,Ds,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,10
Max Zwerin,Assists,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Max Zwerin,Points,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,22
Max Zwerin,Plus Minus,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,30
Dawn Culton,Turns,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,19
Dawn Culton,Ds,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,12
Dawn Culton,Assists,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,16
Dawn Culton,Points,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,21
Dawn Culton,Plus Minus,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,30
Emily Kemp,Turns,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Emily Kemp,Ds,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,7
Emily Kemp,Assists,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Emily Kemp,Points,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,22
Emily Kemp,Plus Minus,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,29
Devin Quinn,Turns,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,6
Devin Quinn,Ds,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,5
Devin Quinn,Assists,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,13
Devin Quinn,Points,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,17
Devin Quinn,Plus Minus,Division 1,Division 1 Women,California - Santa Barbara Burning Skirts,California - Santa Barbara Burning Skirts,Women,29
Sage McGinley-Smith,Turns,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,3
Sage McGinley-Smith,Ds,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,9
Sage McGinley-Smith,Assists,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,5
Sage McGinley-Smith,Points,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,17
Sage McGinley-Smith,Plus Minus,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,28
Anton Orme,Turns,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,9
Anton Orme,Ds,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,5
Anton Orme,Assists,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,20
Anton Orme,Points,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,12
Anton Orme,Plus Minus,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,28
Mika Kurahashi,Turns,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,2
Mika Kurahashi,Ds,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,5
Mika Kurahashi,Assists,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,12
Mika Kurahashi,Points,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,12
Mika Kurahashi,Plus Minus,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,27
Leo Farley,Turns,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,9
Leo Farley,Ds,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,8
Leo Farley,Assists,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,18
Leo Farley,Points,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,10
Leo Farley,Plus Minus,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,27
Tori Gray,Turns,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,13
Tori Gray,Ds,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,17
Tori Gray,Assists,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,13
Tori Gray,Points,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,9
Tori Gray,Plus Minus,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,26
Matthew Kompelien,Turns,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,4
Matthew Kompelien,Ds,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,8
Matthew Kompelien,Assists,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,16
Matthew Kompelien,Points,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Matthew Kompelien,Plus Minus,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,26
Alex Nelson,Turns,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,3
Alex Nelson,Ds,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,5
Alex Nelson,Assists,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,6
Alex Nelson,Points,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,18
Alex Nelson,Plus Minus,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,26
Stacy Gaskill,Turns,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,2
Stacy Gaskill,Ds,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,3
Stacy Gaskill,Assists,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,12
Stacy Gaskill,Points,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,12
Stacy Gaskill,Plus Minus,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,25
Scott Heyman,Turns,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,8
Scott Heyman,Ds,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,9
Scott Heyman,Assists,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,16
Scott Heyman,Points,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,7
Scott Heyman,Plus Minus,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,24
Rowan Jamieson,Turns,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,8
Rowan Jamieson,Ds,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,5
Rowan Jamieson,Assists,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,5
Rowan Jamieson,Points,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,22
Rowan Jamieson,Plus Minus,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,24
Daniel Snider,Turns,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,28
Daniel Snider,Ds,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Daniel Snider,Assists,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,38
Daniel Snider,Points,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,8
Daniel Snider,Plus Minus,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,24
