"","player","level","gender","division","team_name","statistic","value"
"71","Theo Shapinsky","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"72","Scott Whitley","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"73","Robert McCabe","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"74","Keziah Wilde","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"75","Ethan Lieman","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"76","Declan Miller","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"77","Daniel Chen","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"78","Audrey Stineman","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"79","Nathan Buchholz","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"80","Clil Phillips","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"81","Sofia Canoutas-Nadel","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"82","Julia Berard","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"83","Elan Siegler","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"84","Ben Dameron","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"85","Aaron Kaplan","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"86","Tristan Yarter","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"87","Reid Duncan","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"88","Peter Ngo","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"89","Margot Nissen","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"90","Joshua Gill","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"91","Emmanuel Kameri","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"92","Emma Smith","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"93","Char Bokhof","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"94","Annabel White","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"95","Elliott Rosenberg","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"96","Zach Van Dusen","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"97","Zac Kuelz","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"98","Wade Buchheit","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"99","Tyler Shanahan","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"100","Jonah Barer","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"101","Dorthea Trelstad Pi-Sunyer","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"102","Adam Kohn","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"103","Savanna Tucker","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"104","Peter Mans","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"105","Owen Smith","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"106","Max Dehlin","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"107","Logan Keillor","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"108","Jack Krugler","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"109","Gavin Rice","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"110","Gavin Abrahamsson","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"111","Cole Chanler","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"112","Ciona Antolin","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"113","Chaily Derecskey","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"114","Casey Thornton","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"115","Brynn Freeland","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"116","Macy Vollbrecht","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"117","Amelia Hawkins","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"118","Abbie Gillach","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"119","Sebastian Williamson","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"120","Maxwell Caputo","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"121","Maryanne Maxwell","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"122","Vincent Su","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"123","Ryan Loui-Ying","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"124","Leo Renzema","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"125","Harriet Dahlstrom","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"126","Grace Maroon","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"127","Genevieve Reyland-Slawson","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"128","Edi Lam","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"129","Cice Kim","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"130","Timothy Loftus","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"131","Michiko Magnant","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"132","Matthew Timoney","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"133","Matthew Peterson","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"134","Grant Klebig","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"135","Collin Hill","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"136","Ben Horrisberger","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"137","Thomas Preston","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"138","Ryanne Barrett","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"139","Presten Berg","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"140","Leilani Lepe","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"141","Katrina McGuire","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"142","Griffin Yas","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"143","Cameron Freeman","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"144","Austin Gin","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"145","Aaron Barcio","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"146","Raekwon Adkins","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"147","Kennedy McCarthy","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"148","Joe Claramunt","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"149","Isamu Masayoshi Sims","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
