"","player","level","gender","division","team_name","statistic","value"
"306","Josh Solomon","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"307","Jada Himmelberg","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"308","Henry Everett","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"309","Emery Goulet","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"310","Christopher Heron","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"311","Carter Hawkins","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"312","Ben Tokarz","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"313","Arthur Aucoin","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"314","Alex Hasenkamp","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"315","Aiden Landis","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"316","Zoey Hughes","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"317","Wade Nichols","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"318","Tanveer Singh Chabba","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"319","Sophie Roback","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"320","Simon Dowdy","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"321","Rowan Keller","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"322","Naomi Fina","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"323","Mason Weybright","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"324","Mara Hindery-Glasinovic","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"325","Madeleine Salunga","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"326","Lauren Clayter","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"327","Kahlil Gould-Bayba","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"328","Julie Lee","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"329","Joniah Helperin-Lange","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"330","John Laney","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"331","Henry Groves","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"332","Hayden Ashley","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"333","Gavin Zielke","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"334","Gabriel Driscoll","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"335","Eric Crosby Lehmann","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"336","Elijah Hoshide","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"337","Alexander Hunkins","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"338","Kiana Hu","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"339","Emily Przykucki","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"340","Dodger Middlebrook","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"341","Carter Halstrom","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"342","Henry Egan","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"343","Yayla Tur","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"344","Thomas Clayton","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"345","Talon Balcom","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"346","Sebastien Kline","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"347","Sarah Lester","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"348","Sarah Combs","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"349","Roger Zeng","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"350","Philip Acimovic","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"351","Paka Ferrer","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"352","Oscar Low","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"353","Olivia Davis","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"354","Nubia Robles Santiago","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"355","Nicholas Gohar","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"356","Morey Averill","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"357","Molly Bingham","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"358","Mikey Curtis","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"359","Maximilian Schmiesing","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"360","Mauricio Badillo Moorman","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"361","Marcus Beidler","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"362","Maddy Brown","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"363","Leo Gentile","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"364","Landon Hall","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"365","Kevin Pignone","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"366","Keali Mccarter","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"367","Kayla Hickey","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"368","Kathleen Bourdon","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"369","Kate Goodman","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"370","Justin Wallace","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"371","Julian Saunt","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"372","Julia Mockert","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"373","Jolie Krebs","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"374","John Savage","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"375","John Mogyordy","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"376","James Whealan","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"377","Jake Worthington","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"378","Jade Remacle","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"379","Jack Ringel","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"380","Jack Dinsmore","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"381","Ethan Pigeon","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"382","Emmett Forster","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"383","Emily Cook","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"384","Dominic Kenyon","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"385","Cullen Baker","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"386","Conor Babcock O'Neill","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"387","Clara Gale","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"388","Christopher Kiepert","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"389","Chase Drinkwater","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"390","Benjamin Morse","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"391","Anna Matsui","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"392","alex santai","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"393","Alex Hall-Witt","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"394","Akos Konkoly","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"395","Addie New-Schmidt","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"396","Nori Catalano","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"397","Keaton Orser","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"398","Harper Baer","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"399","Erica Birdsong","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"400","Aryanna Chartrand","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"401","Anika Quon","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"402","Toby Rivera","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"403","Summers Filion","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"404","Sean Rogers","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"405","Pilar Andruet","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"406","Owen Lehmkuhl","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"407","Max Sponseller","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"408","Katie Craven","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"409","Joe Salitsky","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"410","Jayna Rogers","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"411","Jacques Paradis","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"412","Jackson Heglie","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"413","Iris Guo","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"414","Hazel DeHarpporte","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"415","Gavyn Jensen-Schneider","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"416","Frances Magnuson","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"417","Elijah Axt","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"418","Chander Boyd-Fliegel","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"419","Carter Schafer","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"420","Cameron Lowe","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"421","Bix Weissberg","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"422","Aria Kischner","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"423","Annika Wolberg","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"424","Amanda Roberts","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"425","Adam McNichols","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"426","Aaron Bedi","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"427","Vincent Sullivan","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"428","Spencer Whitcomb","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"429","Sarah Rifkin","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"430","Ryan Bliss","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"431","Riley Raker","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"432","Rachel Prager","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"433","Nobi (Masao) Lorenz","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"434","Nadav Melamede","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"435","Monica O'Brien Saez","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"436","Mitchell Gibson","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"437","Maxime Ayad","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"438","Mars Bau","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"439","Leo Narbonne","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"440","Kristof Rohaly-Medved","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"441","Kiera Schreiber","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"442","Joe Hess","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"443","Jack Schmader","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"444","Gus Serff-Roberts","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"445","Gavin Babbitt","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"446","Galen Moll","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"447","Emma Wennberg","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"448","Ellison Martin","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"449","Ellie Kowalski","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"450","Dylan Pearson","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"451","Charlotte Andreasen","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"452","Carter Neuman","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"453","Alyssa Fallon","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"454","Alesh Fremouw","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"455","Sonia Rao","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"456","Lisa Wei","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"457","Isabel Myers-Miller","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"458","Georgia Walker-Keleher","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"459","Catherine Fradenburg","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"460","Alison Brzostowicz","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"461","William Ahlstrom","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"462","Tyler Shelton","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"463","Silas Camp","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"464","Sebastian Heredia","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"465","Sasha Monks","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"466","Sarah Malone","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"467","Sara Garcia","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"468","Robert McAllister","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"469","Rachel Poppleton","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"470","Nora Ito","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"471","Matt Fliegel","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"472","Maria Muller","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"473","Mandy Li","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"474","Madeline Wychocki","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"475","Leah Silverman","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"476","Kenneth Stanley","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"477","Julia Smith","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"478","Jamie Jung","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"479","Jackson Knox (Oregon)","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"480","Hiatt von Alten","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"481","Henry Chen","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"482","Ezra Tock","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"483","Ethan Greeley","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"484","Dylan Wilcox","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"485","Daniel Ferriter","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"486","Colin Pfister","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"487","Carter Petrella","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"488","Bryn Norton","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"489","Benjamin Travers","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"490","Ben Fuguet","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"491","Audrey AlQatami","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"492","Anna Roth","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"493","Amy Tse","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"494","Akshay Bhatia","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"495","Aiden Fields","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"496","Zach Brennan","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"497","Yael Kaplan","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"498","William McGlynn","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"499","William Fenimore","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"500","Will Troop","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"501","Wesley Killough-Hill","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"502","Tobey Chang","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"503","Theo Mahaffey","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"504","Roni Itkin-Ofer","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"505","Renaud St-Onge","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"506","Owen Snyder-Smith","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"507","Nico Gabby","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"508","Mette Peluce","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"509","Megan Louie","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"510","Matt Rix","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"511","Louis Douville Beaudoin","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"512","Logan Hammersmith","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"513","Lena Millard-Kish","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"514","Korie Rudin","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"515","Kaisa Olson","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"516","Kaia O’Neill","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"517","Josefina O'Toole","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"518","Jorre Dahl","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"519","Jedidiah Pratt","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"520","Jacob Markus","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"521","Jack Davis","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"522","Isaac Trommer","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"523","Geir Hartl","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"524","Fin Fuhrmann","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"525","Evan Medrow","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"526","Evan Kandell","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"527","Emily Dalley","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"528","Emi Moreno","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"529","Constanza Capriles","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"530","Colby Bong","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"531","Chanel van Ginkel","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"532","Brooke Chomko","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"533","Bria Stocker","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"534","Brenden Gasper","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"535","Breanna Campbell","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"536","Bradley Fleming","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"537","Bobby Eleveld","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"538","Austin King","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"539","Andie Madsen","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"540","Carson Crouch","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"541","Aylen Learned","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"542","Abigail Stevens","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"543","Zoe McDaniel","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"544","Zane Ross","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"545","Teddy Schwartz","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"546","Sarah Zhang","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"547","Sabine Blumenthal","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"548","Ryan Ward","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"549","Rebecca Hazen","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"550","Owen Alvord","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"551","Noah Krumme","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"552","Noah Edmonds-Estes","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"553","Nicholas Cao","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"554","Miles Goldman","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"555","May Courtney","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"556","Max Massey","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"557","Marco Willen","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"558","Marco Muralles","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"559","Luke Updike","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"560","Laura Boyd","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"561","Kjellen MacBain","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"562","Kali Bate","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"563","Kai LaMothe","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"564","Josh Stanton","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"565","Jenalyn Ng","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"566","James Euston","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"567","Jake Schwartz","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"568","Jack McCleary","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"569","Ivan Khoo","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"570","Henry Currie","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"571","Hayden Fahnhorst","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"572","Hannah Hackenmueller","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"573","Graham Gordon","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"574","Genesis Meadows","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"575","Evelyn Leduc","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"576","Elliot Green","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"577","Danny Shope","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"578","Collin Pearson","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"579","Charles Forster","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"580","Caroline Lukasick","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"581","Camryn Hines","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"582","Bodhi Harmony","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"583","Audrey Deligan","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"584","Anna Eifert","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"585","Andrew Yeh","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"586","Andrew Purcell","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"587","Ami Endo","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"588","Allen MacMillan","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"589","Aidan Stark-Chessa","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"590","Aidan Byrne","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"591","Adriel Portillo","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"592","Sam Kilgore","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"593","Oliver Faase","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"594","Lena Nyblade","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"595","Grace Mattox","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"596","Wyatt Crow","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"597","William Cox","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"598","True Hanson","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"599","Tova Benson","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"600","Tobias Paperno","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"601","Theo Gobeil","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"602","Terron Ross","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"603","Samuel Teppo","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"604","Samuel Laur","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"605","Sam Jordan","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"606","Ryan Reinhart","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"607","Rebecca Zhang","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"608","Rachel Katzovitz","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"609","Prunella Crombie Presberg","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"610","Philippa Steinberg","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"611","Parissa Teli","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
