POS,COUNTRY,ATHLETE,TIME,DISTANCE,GENDER
42,GER,Tabea KIEFER,51:46:00,10000,1
43,RSA,Lee Sue NYATHI,51:50 PB,10000,1
44,FIN,Aliisa KIISKI,52:21:00,10000,1
45,LTU,Aiva BILEVIČIŪTĖ,54:08:00,10000,1
46,POL,Emilia WIŚNIEWSKA,54:28:00,10000,1
47,BRA,Thaliane Janaina MIRANDA,54:49 PB,10000,1
1,PER,Kimberly GARCÍA LEÓN,1:27:12,20000,1
2,CHN,Zhenxia MA,1:27:55,20000,1
3,BRA,Erica SENA,1:29:22 SB,20000,1
4,PER,Evelyn INGA,1:29:26,20000,1
5,ECU,Paula Milena TORRES,1:29:47,20000,1
6,CHN,Haiying JI,1:30:08,20000,1
7,CHN,Yuxia SHI,1:30:21,20000,1
8,ESP,Lidia SANCHEZ-PUEBLA,1:30:24 PB,20000,1
9,ESP,Antia CHAMOSA,1:30:32 PB,20000,1
10,PER,Mary Luz ANDIA,1:31:05,20000,1
11,FRA,Camille MOUTARD,1:31:15,20000,1
12,CHN,Lamei YIN,1:31:19,20000,1
13,COL,Lucy Alejandra MENDOZA MALAGON,1:31:50 PB,20000,1
14,ESP,Paula JUAREZ,1:31:56,20000,1
15,UKR,Hanna SHEVCHUK,1:32:04 SB,20000,1
16,ITA,Federica CURIAZZI,1:32:32 PB,20000,1
17,PUR,Rachelle DE ORBETA,1:32:44 SB,20000,1
18,JPN,Ayane YANAI,1:32:52,20000,1
19,MEX,Sofia RAMOS RODRÍGUEZ,1:32:57 SB,20000,1
20,CHN,Li PENG,1:33:02,20000,1
21,ESP,Lucia REDONDO,1:33:03 PB,20000,1
22,ITA,Alexandrina MIHAI,1:33:19 SB,20000,1
23,GRE,Panagiota TSINOPOULOU,1:33:29 SB,20000,1
24,FRA,Maële BIRÉ-HESLOUIS,1:34:00 PB,20000,1
25,ITA,Eleonora DOMINICI,1:34:48 SB,20000,1
26,UKR,Valeriya SHOLOMITSKA,1:34:51 PB,20000,1
27,AUS,Allanah PITCHER,1:35:04 SB,20000,1
28,ITA,Nicole COLOMBI,1:35:24,20000,1
29,TUR,Ayşe TEKDAL,1:35:34 SB,20000,1
30,BOL,Angela CASTRO,1:36:11,20000,1
31,KAZ,Yasmina TOXANBAYEVA,1:36:47,20000,1
32,BRA,Mayara Luize VICENTAINER,1:36:56 PB,20000,1
33,GUA,Yaquelin TELETOR JERÓNIMO,1:37:12,20000,1
34,KAZ,Galina YAKUSHEVA,1:37:57,20000,1
35,LTU,Monika VAICIUKEVIČIŪTĖ,1:38:10 SB,20000,1
36,HUN,Tiziana SPILLER,1:38:28,20000,1
37,COL,Natalia PULIDO,1:38:39 PB,20000,1
38,AUS,Hannah MISON,1:38:42,20000,1
39,AUS,Elizabeth MCMILLEN,1:39:04,20000,1
40,POL,Agnieszka ELLWARD,1:39:27 SB,20000,1
41,SVK,Ema HAČUNDOVÁ,1:39:47 SB,20000,1
42,IND,Kumawat POOJA,1:40:27,20000,1
43,IND,Manju RANI,1:40:31,20000,1
44,IND,Mokavi MUTHURATHINAM,1:40:33,20000,1
45,NZL,Laura LANGLEY,1:40:41 PB,20000,1
46,FRA,Elvina CARRÉ,1:41:06,20000,1
47,POL,Magdalena ŻELAZNA,1:41:13,20000,1
48,EST,Jekaterina MIROTVORTSEVA,1:41:48 SB,20000,1
49,IND,Ramandeep KAUR,1:42:12,20000,1
50,IND,. PAYAL,1:42:32,20000,1
51,TUR,Elif Nur ÖZBEY,1:45:23 PB,20000,1
52,USA,Stephanie CASEY,1:45:55 SB,20000,1
53,TUR,Selin ÇADIR,1:46:02,20000,1
54,USA,Lydia MCGRANAHAN,1:46:09 SB,20000,1
55,FIN,Heta VEIKKOLA,1:46:24 SB,20000,1
56,RSA,Marissa SWANEPOEL,1:47:40,20000,1
57,SVK,Klaudia ŽÁRSKA,1:47:44,20000,1
58,INA,Violine Intan PUSPITA,1:47:45 PB,20000,1
59,USA,Janelle BRANCH,1:47:53 PB,20000,1
60,BRA,Gabrielly Cristina DOS SANTOS,1:47:59 SB,20000,1
61,NZL,Arnika NELSON,1:50:34 PB,20000,1
62,USA,Ruby RAY,1:56:23 PB,20000,1
63,SVK,Karin DEVALDOVÁ,1:56:27,20000,1
1,SWE,Perseus KARLSTRÖM,1:18:49,20000,0
2,ESP,Paul MCGRATH,1:19:14,20000,0
