"date","home_team","away_team","home_score","away_score","competition","stadium","city","country","neutral","world_cup","winner","year"
"1900-03-19","Ireland","Wales",0,3,"1900 Home Nations Championship","Balmoral Showgrounds","Balmoral","Ireland",FALSE,FALSE,"Wales",1900
"1901-01-07","Wales","England",13,0,"1901 Home Nations Championship","Cardiff Arms Park","Cardiff","Wales",FALSE,FALSE,"Wales",1901
"1901-02-11","Scotland","Wales",18,8,"1901 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1901
"1901-02-11","Ireland","England",10,6,"1901 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1901
"1901-02-25","Scotland","Ireland",9,5,"1901 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1901
"1901-03-11","England","Scotland",3,18,"1901 Home Nations Championship","Rectory Field","Blackheath","England",FALSE,FALSE,"Scotland",1901
"1901-03-18","Wales","Ireland",10,9,"1901 Home Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1901
"1902-01-13","England","Wales",8,9,"1902 Home Nations Championship","Rectory Field","Blackheath","England",FALSE,FALSE,"Wales",1902
"1902-02-03","Wales","Scotland",14,5,"1902 Home Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1902
"1902-02-10","England","Ireland",6,3,"1902 Home Nations Championship","Welford Road","Leicester","England",FALSE,FALSE,"England",1902
"1902-02-24","Ireland","Scotland",5,0,"1902 Home Nations Championship","Balmoral Showgrounds","Belfast","Ireland",FALSE,FALSE,"Ireland",1902
"1902-03-08","Ireland","Wales",0,15,"1902 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Wales",1902
"1902-03-17","Scotland","England",3,6,"1902 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"England",1902
"1903-01-12","Wales","England",21,5,"1903 Home Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1903
"1903-02-09","Scotland","Wales",6,0,"1903 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1903
"1903-02-16","Ireland","England",6,0,"1903 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1903
"1903-03-02","Scotland","Ireland",3,0,"1903 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1903
"1903-03-16","Wales","Ireland",18,0,"1903 Home Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1903
"1903-03-23","England","Scotland",6,10,"1903 Home Nations Championship","Athletic Ground","Richmond","England",FALSE,FALSE,"Scotland",1903
"1903-08-17","Australia","New Zealand",3,22,"1903 New Zealand tour of Australia","Sydney Cricket Ground","Sydney","Australia",FALSE,FALSE,"New Zealand",1903
"1904-01-11","England","Wales",14,14,"1904 Home Nations Championship","Welford Road","Leicester","England",FALSE,FALSE,"Tie",1904
"1904-02-08","Wales","Scotland",21,3,"1904 Home Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1904
"1904-02-15","England","Ireland",19,0,"1904 Home Nations Championship","Rectory Field","Blackheath","England",FALSE,FALSE,"England",1904
