"date","home_team","away_team","home_score","away_score","competition","stadium","city","country","neutral","world_cup","winner","year"
"1910-02-07","Wales","Scotland",14,0,"1910 Five Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1910
"1910-02-13","England","Ireland",0,0,"1910 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"Tie",1910
"1910-02-28","Ireland","Scotland",0,14,"1910 Five Nations Championship","Balmoral Showgrounds","Belfast","Ireland",FALSE,FALSE,"Scotland",1910
"1910-03-05","France","England",3,11,"1910 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"England",1910
"1910-03-14","Ireland","Wales",3,19,"1910 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Wales",1910
"1910-03-21","Scotland","England",5,14,"1910 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"England",1910
"1910-03-30","France","Ireland",3,8,"1910 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"Ireland",1910
"1910-06-27","Australia","New Zealand",0,6,"1910 New Zealand tour of Australia","Sydney Cricket Ground","Sydney","Australia",FALSE,FALSE,"New Zealand",1910
"1910-06-29","Australia","New Zealand",11,0,"1910 New Zealand tour of Australia","Sydney Cricket Ground","Sydney","Australia",FALSE,FALSE,"Australia",1910
"1910-07-04","Australia","New Zealand",13,28,"1910 New Zealand tour of Australia","Sydney Cricket Ground","Sydney","Australia",FALSE,FALSE,"New Zealand",1910
"1911-01-04","France","Scotland",16,15,"1911 Five Nations Championship","Stade Yves-du-Manoir","Colombes","France",FALSE,FALSE,"France",1911
"1911-01-23","Wales","England",15,11,"1911 Five Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1911
"1911-01-30","England","France",37,0,"1911 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1911
"1911-02-06","Scotland","Wales",10,32,"1911 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Wales",1911
"1911-02-13","Ireland","England",3,0,"1911 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1911
"1911-02-27","Scotland","Ireland",10,16,"1911 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Ireland",1911
"1911-03-02","France","Wales",0,15,"1911 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"Wales",1911
"1911-03-13","Wales","Ireland",16,0,"1911 Five Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1911
"1911-03-20","England","Scotland",13,8,"1911 Five Nations Championship","Twickenham Stadium","London","England",FALSE,FALSE,"England",1911
"1911-03-27","Ireland","France",25,5,"1911 Five Nations Championship","Mardyke","Cork","Ireland",FALSE,FALSE,"Ireland",1911
"1912-01-03","France","Ireland",6,11,"1912 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"Ireland",1912
"1912-01-22","England","Wales",8,0,"1912 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1912
"1912-01-22","Scotland","France",31,3,"1912 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1912
"1912-02-05","Wales","Scotland",21,6,"1912 Five Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1912
"1912-02-12","England","Ireland",15,0,"1912 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1912
"1912-02-26","Ireland","Scotland",10,8,"1912 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1912
"1912-03-11","Ireland","Wales",12,5,"1912 Five Nations Championship","Balmoral Showgrounds","Balmoral","Ireland",FALSE,FALSE,"Ireland",1912
"1912-03-18","Scotland","England",8,3,"1912 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1912
"1912-03-27","Wales","France",14,8,"1912 Five Nations Championship","Rodney Parade","Newport","Wales",FALSE,FALSE,"Wales",1912
"1912-04-10","France","England",8,18,"1912 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"England",1912
"1912-11-25","Scotland","South Africa",0,16,"1912-13 South Africa rugby union tour of Europe","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"South Africa",1912
"1912-12-02","Ireland","South Africa",0,38,"1912-13 South Africa rugby union tour of Europe","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"South Africa",1912
"1912-12-16","Wales","South Africa",0,3,"1912-13 South Africa tour of Europe","Cardiff Arms Park","Cardiff","Wales",FALSE,FALSE,"South Africa",1912
"1913-01-03","France","Scotland",3,21,"1913 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"Scotland",1913
"1913-01-06","England","South Africa",3,9,"1912-13 South Africa rugby union tour of Europe","Twickenham","London","England",FALSE,FALSE,"South Africa",1913
"1913-01-13","France","South Africa",5,38,"1912-13 South Africa rugby union tour of Europe","Parc Lescure","Bordeaux","France",FALSE,FALSE,"South Africa",1913
"1913-01-20","Wales","England",0,12,"1913 Five Nations Championship","Cardiff Arms Park","Cardiff","Wales",FALSE,FALSE,"England",1913
"1913-01-27","England","France",20,0,"1913 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1913
"1913-02-03","Scotland","Wales",0,8,"1913 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Wales",1913
"1913-02-11","Ireland","England",4,15,"1913 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"England",1913
"1913-02-24","Scotland","Ireland",29,14,"1913 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1913
"1913-03-01","France","Wales",8,11,"1913 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"Wales",1913
"1913-03-10","Wales","Ireland",16,13,"1913 Five Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1913
"1913-03-17","England","Scotland",3,0,"1913 Five Nations Championship","Twickenham Stadium","London","England",FALSE,FALSE,"England",1913
"1913-03-26","Ireland","France",24,0,"1913 Five Nations Championship","Mardyke","Cork","Ireland",FALSE,FALSE,"Ireland",1913
"1913-09-08","New Zealand","Australia",30,5,"1913 Australia tour of New Zealand","Athletic Park","Wellington","New Zealand",FALSE,FALSE,"New Zealand",1913
"1913-09-15","New Zealand","Australia",25,13,"1913 Australia tour of New Zealand","Carisbrook","Dunedin","New Zealand",FALSE,FALSE,"New Zealand",1913
"1913-09-22","New Zealand","Australia",5,16,"1913 Australia tour of New Zealand","Lancaster Park","Christchurch","New Zealand",FALSE,FALSE,"Australia",1913
"1914-01-03","France","Ireland",6,8,"1914 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"Ireland",1914
"1914-01-19","England","Wales",10,9,"1914 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1914
"1914-02-09","Wales","Scotland",24,5,"1914 Five Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1914
"1914-02-16","England","Ireland",17,12,"1914 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1914
"1914-03-02","Ireland","Scotland",6,0,"1914 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1914
"1914-03-04","Wales","France",31,0,"1914 Five Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1914
"1914-03-16","Ireland","Wales",3,11,"1914 Five Nations Championship","Balmoral Showgrounds","Balmoral","Ireland",FALSE,FALSE,"Wales",1914
"1914-03-23","Scotland","England",15,16,"1914 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"England",1914
"1914-04-15","France","England",13,39,"1914 Five Nations Championship","Stade Yves-du-Manoir","Colombes","France",FALSE,FALSE,"England",1914
"1914-07-20","Australia","New Zealand",0,5,"1914 New Zealand tour of Australia","Sydney Sports Ground","Sydney","Australia",FALSE,FALSE,"New Zealand",1914
"1914-08-03","Australia","New Zealand",0,17,"1914 New Zealand tour of Australia","Brisbane Cricket Ground","Brisbane","Australia",FALSE,FALSE,"New Zealand",1914
"1914-08-17","Australia","New Zealand",7,22,"1914 New Zealand tour of Australia","Sydney Sports Ground","Sydney","Australia",FALSE,FALSE,"New Zealand",1914
"1920-01-03","France","Scotland",0,5,"1920 Five Nations Championship","Parc des Princes","Paris","France",FALSE,FALSE,"Scotland",1920
"1920-01-19","Wales","England",19,5,"1920 Five Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1920
"1920-02-02","England","France",8,3,"1920 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1920
"1920-02-09","Scotland","Wales",9,5,"1920 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1920
"1920-02-16","Ireland","England",11,14,"1920 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"England",1920
"1920-02-19","France","Wales",5,6,"1920 Five Nations Championship","Stade Colombes","Paris","France",FALSE,FALSE,"Wales",1920
"1920-03-01","Scotland","Ireland",19,0,"1920 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1920
"1920-03-15","Wales","Ireland",28,4,"1920 Five Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1920
"1920-03-22","England","Scotland",13,4,"1920 Five Nations Championship","Twickenham Stadium","London","England",FALSE,FALSE,"England",1920
"1920-04-05","Ireland","France",7,15,"1920 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"France",1920
"1921-01-17","England","Wales",18,3,"1921 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1921
"1921-01-24","Scotland","France",0,3,"1921 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"France",1921
"1921-02-07","Wales","Scotland",8,14,"1921 Five Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Scotland",1921
"1921-02-14","England","Ireland",15,0,"1921 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1921
"1921-02-28","Ireland","Scotland",9,8,"1921 Five Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1921
"1921-02-28","Wales","France",12,4,"1921 Five Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1921
"1921-03-14","Ireland","Wales",0,6,"1921 Five Nations Championship","Balmoral Showgrounds","Balmoral","Ireland",FALSE,FALSE,"Wales",1921
"1921-03-21","Scotland","England",0,18,"1921 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"England",1921
"1921-03-30","France","England",6,10,"1921 Five Nations Championship","Stade Yves-du-Manoir","Colombes","France",FALSE,FALSE,"England",1921
"1921-04-11","France","Ireland",20,10,"1921 Five Nations Championship","Colombes","Paris","France",FALSE,FALSE,"France",1921
"1921-08-15","New Zealand","South Africa",13,5,"1921 South Africa tour","Carisbrook","Dunedin","New Zealand",FALSE,FALSE,"New Zealand",1921
"1921-08-29","New Zealand","South Africa",5,9,"1921 South Africa tour","Eden Park","Auckland","New Zealand",FALSE,FALSE,"South Africa",1921
