visitor,v_goals,home,h_goals,extra_time,attendance,home_win,ANA,ARI,BOS,BUF,CGY,CAR,CHI,COL,CBJ,DAL,DET,EDM,FLA,LAK,MIN,MTL,NSH,NJD,NYI,NYR,OTT,PHI,PIT,SJ,SEA,STL,TBL,TOR,VAN,VGK,WSH,WPG
San Jose Sharks,2,Los Angeles Kings,3,SO,18230,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
New York Islanders,0,Colorado Avalanche,1,SO,18110,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seattle Kraken,5,Vancouver Canucks,6,SO,18794,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Los Angeles Kings,1,Arizona Coyotes,2,SO,4600,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis Blues,4,Vegas Golden Knights,5,SO,18125,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boston Bruins,2,Ottawa Senators,3,SO,20016,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegas Golden Knights,2,Anaheim Ducks,3,SO,15156,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Los Angeles Kings,5,Colorado Avalanche,4,SO,18132,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York Rangers,1,Tampa Bay Lightning,2,SO,19092,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Carolina Hurricanes,5,New Jersey Devils,4,SO,16514,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis Blues,6,Toronto Maple Leafs,5,SO,18553,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Carolina Hurricanes,3,Columbus Blue Jackets,4,SO,18663,TRUE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas Stars,2,New York Islanders,1,SO,16412,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
