"","Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
"34",2022-06-10 08:00:00,"Stukalov V.","Yurenev O.",3,1,9,11,11,8,11,4,11,7,NA,NA,1
"35",2022-06-10 08:05:00,"Skripnik S.","Mishchenko V.",2,3,11,4,7,11,11,8,3,11,9,11,0
"36",2022-06-10 08:20:00,"Fylypiv R.","Slozka M.",3,2,11,6,12,10,11,13,10,12,11,9,1
"37",2022-06-10 08:20:00,"Romanenko I.","Semipeadnii V.",1,3,7,11,3,11,11,4,8,11,NA,NA,0
"38",2022-06-10 08:25:00,"Rak S.","Nakliutskyi A.",3,0,11,9,11,8,11,7,NA,NA,NA,NA,1
"39",2022-06-10 08:30:00,"Baday M.","Sedin V.",3,0,11,4,11,8,11,8,NA,NA,NA,NA,1
"40",2022-06-10 08:30:00,"Yakubov M.","Ponomarenko O.",1,3,11,13,9,11,11,7,9,11,NA,NA,0
"41",2022-06-10 08:35:00,"Kolbasenko O.","Mrykh M.",3,1,9,11,12,10,11,8,11,4,NA,NA,1
"42",2022-06-10 08:50:00,"Lutskyi V.","Daragan S.",3,2,17,15,11,5,9,11,10,12,11,8,1
"43",2022-06-10 08:50:00,"Mul S.","Lipkan D.",3,0,11,5,11,4,11,8,NA,NA,NA,NA,1
"44",2022-06-10 08:50:00,"Turek T.","Marko J.",2,3,11,9,9,11,9,11,11,9,10,12,0
"45",2022-06-10 08:55:00,"Hordiichuk O.","Nikolenko S.",0,3,6,11,7,11,8,11,NA,NA,NA,NA,0
"46",2022-06-10 08:55:00,"Masko Y.","Cherevko R.",1,3,9,11,8,11,11,7,12,14,NA,NA,0
"47",2022-06-10 09:00:00,"Fedoryshyn I.","Zaitsev O.",1,3,11,8,7,11,9,11,7,11,NA,NA,0
"48",2022-06-10 09:00:00,"Tsoi K.","Kunchurov D.",0,3,7,11,7,11,3,11,NA,NA,NA,NA,0
"49",2022-06-10 09:05:00,"Sklyarenko A.","Nadporozhskyi O.",3,1,11,7,13,15,12,10,11,6,NA,NA,1
"50",2022-06-10 09:15:00,"Hrstka T.","Brozek M.",1,3,13,11,7,11,8,11,7,11,NA,NA,0
"51",2022-06-10 09:20:00,"Dubrovin V.","Shkepu S.",3,1,11,6,10,12,11,5,11,3,NA,NA,1
"52",2022-06-10 09:20:00,"Mikus D.","Papirnik O.",3,0,11,9,11,2,13,11,NA,NA,NA,NA,1
"53",2022-06-10 09:20:00,"Slozka M.","Maltsev D.",3,2,7,11,11,9,11,7,9,11,11,5,1
"54",2022-06-10 09:25:00,"Melnik V.","Horbanenko O.",0,3,7,11,12,14,6,11,NA,NA,NA,NA,0
"55",2022-06-10 09:25:00,"Nakliutskyi A.","Kuzmych V.",3,2,11,6,5,11,11,6,4,11,11,7,1
"56",2022-06-10 09:30:00,"Sedin V.","Tupyk M.",3,2,9,11,7,11,11,3,11,4,11,6,1
"57",2022-06-10 09:30:00,"Stukalov V.","Ponomarenko O.",3,1,11,7,10,12,12,10,12,10,NA,NA,1
"58",2022-06-10 09:35:00,"Skripnik S.","Mrykh M.",2,3,11,7,6,11,11,8,5,11,9,11,0
"59",2022-06-10 09:45:00,"Lukes T.","Herink J.",2,3,11,1,8,11,11,6,9,11,10,12,0
"60",2022-06-10 09:50:00,"Cechvala R.","Zachar M.",1,3,7,11,11,5,10,12,9,11,NA,NA,0
