Player,Team,Date,Position,Games Missed,Reported Injury Type,Downs Played After Concussion,Average Playtime Before Injury,Offense,Skilled
Johnathan Cyprien,Jacksonville Jaguars,7/09/2014,Safety,1,Concussion,78,37,Defense,Non-Skilled
Omar Bolden,Denver Broncos,19/10/2014,Comerback,1,Concussion,17,24.33,Defense,Non-Skilled
Anthony Fasano,Kansas City Chiefs,1/12/2013,Tight End,2,Concussion,53,59.86,Offense,Skilled
Eric Reid,San Francisco 49ers,15/09/2013,Safety,0,Concussion,77,67,Defense,Non-Skilled
Jerrell Freeman,Indianapolis Colts,14/10/2013,Linebacker,0,Concussion,78,56.8,Defense,Non-Skilled
Corey Liuget,San Diego Chargers,28/09/2014,Defensive End,0,Concussion,27,46.67,Defense,Non-Skilled
Eric Fisher,Kansas City Chiefs,29/09/2013,Offensive Tackle,1,Concussion,67,75.33,Offense,Non-Skilled
Phil Loadholt,Minnesota Vikings,3/11/2013,Offensive Tackle,1,Concussion,78,65.86,Offense,Non-Skilled
Alex Green,Green Bay Packers,16/12/2012,Running Back,2,Concussion,1,29.55,Offense,Skilled
John Carlson,Minnesota Vikings,8/12/2013,Tight End,3,Concussion,0,45.42,Offense,Skilled
D'Qwell Jackson,Cleveland Browns,7/10/2012,Linebacker,0,Head,75,84,Defense,Non-Skilled
Joe Staley,San Francisco 49ers,14/10/2012,Offensive Tackle,0,Concussion,61,67.4,Offense,Non-Skilled
Barry Richardson,St. Louis Rams,28/10/2012,Offensive Tackle,0,Head,88,66.14,Offense,Non-Skilled
Santana Moss,Washington Redskins,4/11/2012,Wide Receiver,0,Head,22,28.75,Offense,Skilled
Elbert Mack,New Orleans Saints,18/11/2012,Comerback,1,Concussion,39,6,Defense,Non-Skilled
Eric Wright,Tampa Bay Buccaneers,30/09/2012,Comerback,0,Head,68,63.33,Defense,Non-Skilled
Lawrence Jackson,Detroit Lions,2/12/2012,Defensive End,0,Concussion,33,28.2,Defense,Non-Skilled
Eric Reid,San Francisco 49ers,10/11/2013,Safety,0,Concussion,75,67.75,Defense,Non-Skilled
Josh McNary,Indianapolis Colts,4/01/2014,Linebacker,0,Concussion,38,37.6,Defense,Non-Skilled
Terrell McClain,Dallas Cowboys,21/09/2014,Defensive Tackle,1,Concussion,18,20,Defense,Non-Skilled
Jeremy Mincey,Jacksonville Jaguars,29/09/2013,Defensive End,3,Concussion,21,29.67,Defense,Non-Skilled
Trumaine Johnson,St. Louis Rams,24/11/2013,Comerback,0,Concussion,65,57.2,Defense,Non-Skilled
Vontaze Burfict,Cincinnati Bengals,22/12/2013,Linebacker,0,Concussion,69,70.21000000000001,Defense,Non-Skilled
Fred Jackson,Buffalo Bills,11/11/2012,Running Back,1,Concussion,32,30.33,Offense,Skilled
Drayton Florence,Detroit Lions,18/11/2012,Comerback,0,Concussion,84,45.5,Defense,Non-Skilled
Antonio Allen,New York Jets,3/11/2013,Safety,0,Concussion,6,53.13,Defense,Non-Skilled
Vance Walker,Oakland Raiders,8/12/2013,Defensive Tackle,1,Concussion,60,55.58,Defense,Non-Skilled
K'Waun Williams,Cleveland Browns,12/10/2014,Comerback,1,Concussion,15,26.8,Defense,Non-Skilled
Jordan Pugh,Washington Redskins,14/10/2012,Safety,0,Head,43,12.5,Defense,Non-Skilled
Arthur Jones,Baltimore Ravens,22/12/2013,Defensive Tackle,1,Concussion,0,41,Defense,Non-Skilled
Jason Pinkston,Cleveland Browns,22/12/2013,Guard,1,Concussion,0,60,Offense,Non-Skilled
Mike Iupati,San Francisco 49ers,13/10/2014,Guard,1,Concussion,71,73.4,Offense,Non-Skilled
Red Bryant,Seattle Seahawks,3/11/2013,Defensive End,1,Concussion,39,35.5,Defense,Non-Skilled
Rashad Jennings,Oakland Raiders,28/11/2013,Running Back,1,Concussion,62,43.27,Offense,Skilled
Vince Williams,Pittsburgh Steelers,3/11/2013,Linebacker,0,Concussion,33,43,Defense,Non-Skilled
Ramses Barden,New York Giants,30/09/2012,Wide Receiver,1,Concussion,13,42.33,Offense,Skilled
Jarvis Jones,Pittsburgh Steelers,13/10/2013,Linebacker,1,Concussion,14,57.25,Defense,Non-Skilled
Max Unger,Seattle Seahawks,3/11/2013,Center,1,Concussion,45,64.16999999999999,Offense,Non-Skilled
Brandon Bostick,Green Bay Packers,24/11/2013,Tight End,1,Concussion,26,26.88,Offense,Skilled
Scott Chandler,Buffalo Bills,30/09/2012,Tight End,0,Head,43,59.33,Offense,Skilled
Javier Arenas,Kansas City Chiefs,1/11/2012,Comerback,0,Head,72,32.86,Defense,Non-Skilled
Kyle Rudolph,Minnesota Vikings,25/11/2012,Tight End,0,Concussion,47,63.2,Offense,Skilled
Tony Moeaki,Kansas City Chiefs,16/12/2012,Tight End,1,Head,36,63.309999999999995,Offense,Skilled
Garrett Graham,Houston Texans,5/01/2013,Tight End,0,Concussion,46,46.4,Offense,Skilled
George Selvie,Dallas Cowboys,29/09/2013,Defensive End,0,Concussion,66,46.33,Defense,Non-Skilled
Danny Amendola,New England Patriots,13/10/2013,Wide Receiver,1,Concussion,38,47.5,Offense,Skilled
Chaz Schilens,New York Jets,22/11/2012,Wide Receiver,0,Concussion,43,44.4,Offense,Skilled
Alex Smith,Cincinnati Bengals,22/12/2013,Tight End,0,Concussion,37,31.14,Offense,Skilled
Terrelle Pryor,Oakland Raiders,23/09/2013,Quarterback,1,Concussion,58,63,Offense,Skilled
Andre Brown,New York Giants,22/12/2013,Running Back,1,Concussion,28,47,Offense,Skilled
Stephen Burton,Jacksonville Jaguars,22/09/2013,Wide Receiver,5,Concussion,22,43,Offense,Skilled
Donald Jones,Buffalo Bills,30/09/2012,Wide Receiver,0,Head,45,59,Offense,Skilled
Wes Welker,Denver Broncos,8/12/2013,Wide Receiver,3,Concussion,68,61.25,Offense,Skilled
Craig Dahl,St. Louis Rams,9/12/2012,Safety,0,Head,75,81.42,Defense,Non-Skilled
Mychal Kendricks,Philadelphia Eagles,23/12/2012,Linebacker,1,Concussion,0,62.790000000000006,Defense,Non-Skilled
Jordan Cameron,Cleveland Browns,15/12/2013,Tight End,1,Concussion,39,67.69,Offense,Skilled
Nate Solder,New England Patriots,15/12/2013,Offensive Tackle,1,Concussion,81,79.46000000000001,Offense,Non-Skilled
Dwayne Bowe,Kansas City Chiefs,22/12/2013,Wide Receiver,1,Concussion,71,56.07,Offense,Skilled
Harrison Smith,Minnesota Vikings,25/11/2012,Safety,0,Concussion,92,72.5,Defense,Non-Skilled
LeSean McCoy,Philadelphia Eagles,18/11/2012,Running Back,4,Concussion,64,60,Offense,Skilled
Amari Spievey,Detroit Lions,22/10/2012,Safety,10,Concussion,0,53.25,Defense,Non-Skilled
Craig Stevens,Tennessee Titans,21/10/2012,Tight End,0,Concussion,53,47,Offense,Skilled
Billy Bajema,Baltimore Ravens,30/12/2012,Tight End,0,Head,10,22.29,Offense,Skilled
Cecil Shorts,Jacksonville Jaguars,2/12/2012,Wide Receiver,1,Concussion,62,42.82,Offense,Skilled
Brandon Myers,Oakland Raiders,23/09/2012,Tight End,0,Concussion,67,68,Offense,Skilled
Josh Wilson,Washington Redskins,16/09/2012,Comerback,0,Head,70,80,Defense,Non-Skilled
Shawn Lauvao,Cleveland Browns,16/12/2012,Guard,0,Head,66,69.54,Offense,Non-Skilled
Anthony Allen,Baltimore Ravens,30/12/2012,Running Back,0,Head,19,22.6,Offense,Skilled
John Sullivan,Minnesota Vikings,17/11/2013,Center,0,Concussion,86,62,Offense,Non-Skilled
Nick Foles,Philadelphia Eagles,20/10/2013,Quarterback,1,Concussion,51,29.75,Offense,Skilled
Stanley Havili,Indianapolis Colts,14/11/2013,Full Back,1,Concussion,45,39.71,Offense,Skilled
