"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","year","tot_seconds"
"1",1,166,4,10,8,197,"Sprint","KITTEL Marcel   Team Argos - Shimano",25,"Team Argos - Shimano",20,100,"3:06:14",2013,15008
"2",2,129,3,32,7,24,"Sprint","GREIPEL André   Lotto Belisol Team",31,"Lotto Belisol Team",10,70,",,0:00",2013,12727
"3",3,148,3,52,4,151,"Sprint","CAVENDISH Mark   Omega Pharma - Quick-Step",28,"Omega Pharma - Quick-Step",6,50,",,0:00",2013,13924
"4",4,82,2,38,51,11,"Sprint","SAGAN PeterCannondale Pro Cycling Team",23,"Cannondale Pro Cycling Team",4,40,",,0:00",2013,9531
"5",5,157,4,2,9,145,"Sprint","FERRARI Roberto   Lampre - Merida",30,"Lampre - Merida",2,32,",,0:00",2013,14529
"6",6,147,3,49,50,103,"Classic","KRISTOFF Alexander   Team Katusha",26,"Team Katusha",NA,26,",,0:00",2013,13790
"7",7,134,3,38,31,57,"Hills","REZA Kévin   Team Europcar",25,"Team Europcar",NA,22,",,0:00",2013,13111
"8",8,158,4,3,6,55,"Sprint","GÈNE Yohann   Team Europcar",32,"Team Europcar",NA,18,",,0:00",2013,14586
"9",9,107,3,5,55,92,"Sprint","BENNATI Daniele   Team Saxo - Tinkoff",32,"Team Saxo - Tinkoff",NA,14,",,0:00",2013,11155
"10",10,133,3,37,48,75,"Sprint","FISCHER Murilo Antonio   FDJ.fr",34,"FDJ.fr",NA,10,",,0:00",2013,13068
"11",11,74,2,26,37,185,"Hills","IMPEY Daryl   Orica GreenEDGE",28,"Orica GreenEDGE",NA,8,",,0:00",2013,8797
"12",12,152,3,57,24,184,"Sprint","GOSS Matthew   Orica GreenEDGE",26,"Orica GreenEDGE",NA,6,",,0:00",2013,14244
"13",13,139,3,43,15,118,"Sprint","PÉREZ Rubén   Euskaltel - Euskadi",31,"Euskaltel - Euskadi",NA,4,",,0:00",2013,13395
"14",14,108,3,7,12,22,"GC","BAK Lars Ytting   Lotto Belisol Team",33,"Lotto Belisol Team",NA,2,"0:040:04",2013,11232
"15",15,165,4,7,59,115,"Sprint","LOBATO Juan José   Euskaltel - Euskadi",24,"Euskaltel - Euskadi",NA,1,",,0:04",2013,14879
"16",16,138,3,40,55,193,"GC","DE KORT Koen   Team Argos - Shimano",30,"Team Argos - Shimano",NA,NA,",,0:04",2013,13255
"17",17,144,3,48,15,207,"Sprint","VAN POPPEL Boy   Vacansoleil - DCM",25,"Vacansoleil - DCM",NA,NA,",,0:04",2013,13695
"18",18,143,3,47,11,84,"Sprint","DUMOULIN Samuel   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,",,0:04",2013,13631
"19",19,79,2,34,5,129,"Sprint","ROJAS José Joaquín   Movistar Team",28,"Movistar Team",NA,NA,",,0:04",2013,9245
"20",20,115,3,16,28,134,"Sprint","GARCÍA Egoitz   Cofidis, Solutions Crédits",27,"Cofidis, Solutions Crédits",NA,NA,",,0:04",2013,11788
"21",21,81,2,36,28,213,"GC","EL FARES Julien   Sojasun",28,"Sojasun",NA,NA,",,0:04",2013,9388
"22",22,131,3,34,33,168,"Classic","VANMARCKE Sep   Belkin-Pro Cycling Team",24,"Belkin-Pro Cycling Team",NA,NA,",,0:04",2013,12873
"23",23,37,1,27,57,89,"GC","RIBLON Christophe   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,",,0:04",2013,5277
"24",24,62,2,7,11,34,"Classic","GILBERT Philippe   BMC Racing Team",31,"BMC Racing Team",NA,NA,",,0:04",2013,7631
"25",25,162,4,4,26,26,"Sprint","HENDERSON Gregory   Lotto Belisol Team",36,"Lotto Belisol Team",NA,NA,"0:100:10",2013,14666
"26",26,120,3,21,29,177,"TT","NAVARDAUSKAS Ramūnas   Garmin Sharp",25,"Garmin Sharp",NA,NA,",,0:10",2013,12089
"27",27,7,0,12,17,63,"GC","FUGLSANG Jakob   Astana Pro Team",28,"Astana Pro Team",NA,NA,",,0:10",2013,737
"28",28,15,0,26,42,82,"Climber","BARDET Romain   AG2R La Mondiale",22,"AG2R La Mondiale",NA,NA,",,0:10",2013,1602
"29",29,119,3,21,6,107,"TT","SMUKULIS Gatis   Team Katusha",26,"Team Katusha",NA,NA,",,0:10",2013,12066
"30",30,8,0,15,26,121,"Climber","VALVERDE Alejandro   Movistar Team",33,"Movistar Team",NA,NA,",,0:10",2013,926
"31",31,5,0,7,27,94,"GC","KREUZIGER Roman   Team Saxo - Tinkoff",27,"Team Saxo - Tinkoff",NA,NA,",,0:10",2013,447
"32",32,124,3,24,28,88,"Classic","MINARD Sébastien   AG2R La Mondiale",31,"AG2R La Mondiale",NA,NA,",,0:10",2013,12268
"33",33,105,3,2,52,161,"TT","BOOM Lars   Belkin-Pro Cycling Team",27,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,10972
"34",34,14,0,23,38,47,"GC","MONFORT Maxime   RadioShack - Leopard",30,"RadioShack - Leopard",NA,NA,",,0:10",2013,1418
"35",35,4,0,6,27,91,"GC","CONTADOR Alberto   Team Saxo - Tinkoff",30,"Team Saxo - Tinkoff",NA,NA,",,0:10",2013,387
"36",36,95,2,53,36,64,"Classic","GASPAROTTO Enrico   Astana Pro Team",31,"Astana Pro Team",NA,NA,",,0:10",2013,10416
"37",37,153,3,59,14,156,"Sprint","STEEGMANS Gert   Omega Pharma - Quick-Step",32,"Omega Pharma - Quick-Step",NA,NA,",,0:10",2013,14354
"38",38,48,1,42,41,109,"GC","VORGANOV Eduard   Team Katusha",30,"Team Katusha",NA,NA,",,0:10",2013,6161
"39",39,10,0,17,39,178,"GC","TALANSKY AndrewGarmin Sharp",24,"Garmin Sharp",NA,NA,",,0:10",2013,1059
"40",40,6,0,11,42,164,"Climber","MOLLEMA Bauke   Belkin-Pro Cycling Team",26,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,702
"41",41,89,2,44,13,212,"Classic","DELAPLACE Anthony   Sojasun",23,"Sojasun",NA,NA,",,0:10",2013,9853
"42",42,42,1,36,27,112,"GC","ASTARLOZA Mikel   Euskaltel - Euskadi",33,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,5787
"43",43,154,4,0,19,186,"TT","LANCASTER Brett   Orica GreenEDGE",33,"Orica GreenEDGE",NA,NA,",,0:10",2013,14419
"44",44,80,2,34,36,181,"Classic","GERRANS Simon   Orica GreenEDGE",33,"Orica GreenEDGE",NA,NA,",,0:10",2013,9276
"45",45,130,3,32,14,187,"GC","MEYER Cameron   Orica GreenEDGE",25,"Orica GreenEDGE",NA,NA,",,0:10",2013,12734
"46",46,161,4,3,27,188,"Sprint","O'GRADY Stuart   Orica GreenEDGE",39,"Orica GreenEDGE",NA,NA,",,0:10",2013,14607
"47",47,22,0,46,0,86,"GC","GADRET John   AG2R La Mondiale",34,"AG2R La Mondiale",NA,NA,",,0:10",2013,2760
"48",48,2,0,4,20,128,"GC","QUINTANA NairoMovistar Team",23,"Movistar Team",NA,NA,",,0:10",2013,260
"49",49,118,3,19,12,125,"GC","ERVITI Imanol   Movistar Team",29,"Movistar Team",NA,NA,",,0:10",2013,11952
"50",50,69,2,21,32,114,"GC","IZAGIRRE Ion   Euskaltel - Euskadi",24,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,8492
"51",51,3,0,5,4,101,"Climber","RODRÍGUEZ Joaquim   Team Katusha",34,"Team Katusha",NA,NA,",,0:10",2013,304
"52",52,12,0,20,1,116,"Climber","NIEVE Mikel   Euskaltel - Euskadi",29,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,1201
"53",53,20,0,41,46,41,"GC","SCHLECK Andy   RadioShack - Leopard",28,"RadioShack - Leopard",NA,NA,",,0:10",2013,2506
"54",54,54,1,58,59,122,"GC","AMADOR Andrey   Movistar Team",26,"Movistar Team",NA,NA,",,0:10",2013,7139
"55",55,39,1,30,14,31,"GC","EVANS Cadel   BMC Racing Team",36,"BMC Racing Team",NA,NA,",,0:10",2013,5414
"56",56,100,2,57,3,15,"Classic","KOREN Kristijan   Cannondale Pro Cycling Team",26,"Cannondale Pro Cycling Team",NA,NA,",,0:10",2013,10623
"57",57,110,3,9,47,102,"Sprint","BRUTT Pavel   Team Katusha",31,"Team Katusha",NA,NA,",,0:10",2013,11387
"58",58,27,0,54,34,124,"GC","COSTA Rui   Movistar Team",26,"Movistar Team",NA,NA,",,0:10",2013,3274
"59",59,61,2,7,1,136,"Classic","LEVARLET Guillaume   Cofidis, Solutions Crédits",27,"Cofidis, Solutions Crédits",NA,NA,",,0:10",2013,7621
"60",60,13,0,21,39,167,"GC","TEN DAM Laurens   Belkin-Pro Cycling Team",32,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,1299
"61",61,58,2,2,59,44,"Classic","GALLOPIN Tony   RadioShack - Leopard",25,"RadioShack - Leopard",NA,NA,",,0:10",2013,7379
"62",62,11,0,18,59,153,"Classic","KWIATKOWSKI Michał   Omega Pharma - Quick-Step",23,"Omega Pharma - Quick-Step",NA,NA,",,0:10",2013,1139
"63",63,46,1,40,5,219,"Climber","VUILLERMOZ Alexis   Sojasun",25,"Sojasun",NA,NA,",,0:10",2013,6005
"64",64,26,0,54,25,162,"GC","GESINK Robert   Belkin-Pro Cycling Team",27,"Belkin-Pro Cycling Team",NA,NA,",,0:10",2013,3265
"65",65,99,2,54,53,52,"Classic","ARASHIRO Yukiya   Team Europcar",28,"Team Europcar",NA,NA,",,0:10",2013,10493
"66",66,41,1,34,30,194,"TT","DUMOULIN Tom   Team Argos - Shimano",22,"Team Argos - Shimano",NA,NA,",,0:10",2013,5670
"67",67,17,0,32,34,106,"Climber","MORENO Daniel   Team Katusha",31,"Team Katusha",NA,NA,",,0:10",2013,1954
"68",68,35,1,20,39,36,"GC","MORABITO Steve   BMC Racing Team",30,"BMC Racing Team",NA,NA,",,0:10",2013,4839
"69",69,38,1,28,6,23,"GC","DE CLERCQ Bart   Lotto Belisol Team",26,"Lotto Belisol Team",NA,NA,",,0:10",2013,5286
"70",70,72,2,23,15,25,"GC","HANSEN Adam   Lotto Belisol Team",32,"Lotto Belisol Team",NA,NA,",,0:10",2013,8595
"71",71,36,1,24,22,49,"GC","ZUBELDIA Haimar   RadioShack - Leopard",36,"RadioShack - Leopard",NA,NA,",,0:10",2013,5062
"72",72,91,2,45,5,32,"GC","BOOKWALTER Brent   BMC Racing Team",29,"BMC Racing Team",NA,NA,",,0:10",2013,9905
"73",73,9,0,15,52,139,"GC","NAVARRO Daniel   Cofidis, Solutions Crédits",30,"Cofidis, Solutions Crédits",NA,NA,",,0:10",2013,952
"74",74,25,0,54,0,159,"GC","VELITS Peter   Omega Pharma - Quick-Step",28,"Omega Pharma - Quick-Step",NA,NA,",,0:10",2013,3240
"75",75,34,1,14,59,85,"GC","DUPONT Hubert   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,",,0:10",2013,4499
"76",76,114,3,15,15,12,"TT","BODNAR Maciej   Cannondale Pro Cycling Team",28,"Cannondale Pro Cycling Team",NA,NA,",,0:10",2013,11715
"77",77,56,2,0,3,35,"GC","MOINARD Amaël   BMC Racing Team",31,"BMC Racing Team",NA,NA,",,0:10",2013,7203
"78",78,16,0,26,51,98,"TT","ROGERS Michael   Team Saxo - Tinkoff",33,"Team Saxo - Tinkoff",NA,NA,",,0:10",2013,1611
"79",79,78,2,33,55,117,"GC","OROZ Juan José   Euskaltel - Euskadi",33,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,9235
"80",80,59,2,4,19,74,"GC","FÉDRIGO Pierrick   FDJ.fr",34,"FDJ.fr",NA,NA,",,0:10",2013,7459
"81",81,145,3,48,30,192,"Classic","CURVERS Roy   Team Argos - Shimano",33,"Team Argos - Shimano",NA,NA,",,0:10",2013,13710
"82",82,29,0,57,6,77,"GC","JEANNESSON Arnold   FDJ.fr",27,"FDJ.fr",NA,NA,",,0:10",2013,3426
"83",83,122,3,23,54,119,"GC","SICARD Romain   Euskaltel - Euskadi",25,"Euskaltel - Euskadi",NA,NA,",,0:10",2013,12234
"84",84,47,1,40,35,127,"GC","PLAZA Rubén   Movistar Team",33,"Movistar Team",NA,NA,",,0:10",2013,6035
"85",85,49,1,44,50,56,"GC","MALACARNE Davide   Team Europcar",26,"Team Europcar",NA,NA,",,0:10",2013,6290
"86",86,73,2,25,25,138,"Climber","MOLARD Rudy   Cofidis, Solutions Crédits",23,"Cofidis, Solutions Crédits",NA,NA,",,0:10",2013,8725
"87",87,103,2,59,39,45,"TT","IRIZAR Markel   RadioShack - Leopard",33,"RadioShack - Leopard",NA,NA,",,0:10",2013,10779
"88",88,117,3,18,40,18,"Sprint","SABATINI Fabio   Cannondale Pro Cycling Team",28,"Cannondale Pro Cycling Team",NA,NA,",,0:10",2013,11920
"89",89,30,1,2,43,46,"GC","KLÖDEN Andreas   RadioShack - Leopard",38,"RadioShack - Leopard",NA,NA,",,0:10",2013,3763
"90",90,18,0,35,51,42,"GC","BAKELANTS Jan   RadioShack - Leopard",27,"RadioShack - Leopard",NA,NA,",,0:10",2013,2151
"91",91,44,1,38,6,76,"GC","GENIEZ Alexandre   FDJ.fr",25,"FDJ.fr",NA,NA,",,0:10",2013,5886
"92",92,136,3,38,58,96,"GC","PAULINHO Sérgio Miguel   Team Saxo - Tinkoff",33,"Team Saxo - Tinkoff",NA,NA,",,0:10",2013,13138
"93",93,21,0,45,8,149,"GC","SERPA José Rodolfo   Lampre - Merida",34,"Lampre - Merida",NA,NA,",,0:10",2013,2708
"94",94,93,2,48,3,204,"Classic","FLECHA Juan Antonio   Vacansoleil - DCM",35,"Vacansoleil - DCM",NA,NA,",,0:10",2013,10083
"95",95,112,3,11,38,215,"Sprint","LEMOINE Cyril   Sojasun",30,"Sojasun",NA,NA,"0:260:26",2013,11498
"96",96,70,2,21,41,171,"Climber","HESJEDAL Ryder   Garmin Sharp",32,"Garmin Sharp",NA,NA,"0:280:28",2013,8501
"97",97,128,3,31,19,144,"Sprint","FAVILLI Elia   Lampre - Merida",24,"Lampre - Merida",NA,NA,"0:290:29",2013,12679
"98",98,142,3,45,30,158,"Classic","TRENTIN Matteo   Omega Pharma - Quick-Step",23,"Omega Pharma - Quick-Step",NA,NA,"0:340:34",2013,13530
"99",99,57,2,0,28,148,"GC","NIEMIEC Przemysław   Lampre - Merida",33,"Lampre - Merida",NA,NA,",,0:34",2013,7228
"100",100,23,0,48,7,111,"GC","ANTÓN Igor   Euskaltel - Euskadi",30,"Euskaltel - Euskadi",NA,NA,",,0:34",2013,2887
"101",101,87,2,41,24,218,"Classic","SIMON Julien   Sojasun",27,"Sojasun",NA,NA,",,0:34",2013,9684
"102",102,84,2,39,8,65,"Classic","GAVAZZI Francesco   Astana Pro Team",28,"Astana Pro Team",NA,NA,",,0:34",2013,9548
"103",103,32,1,12,42,54,"Classic","GAUTIER Cyril   Team Europcar",25,"Team Europcar",NA,NA,",,0:34",2013,4362
"104",104,92,2,47,39,99,"Sprint","TOSATTO Matteo   Team Saxo - Tinkoff",39,"Team Saxo - Tinkoff",NA,NA,",,0:34",2013,10059
"105",105,109,3,7,26,105,"GC","LOSADA Alberto   Team Katusha",31,"Team Katusha",NA,NA,",,0:34",2013,11246
"106",106,60,2,5,28,173,"GC","DANIELSON Tom   Garmin Sharp",35,"Garmin Sharp",NA,NA,",,0:34",2013,7528
"107",107,67,2,15,9,48,"GC","VOIGT Jens   RadioShack - Leopard",41,"RadioShack - Leopard",NA,NA,",,0:34",2013,8109
"108",108,155,4,0,21,19,"TT","VANDBORG Brian Bach   Cannondale Pro Cycling Team",31,"Cannondale Pro Cycling Team",NA,NA,",,0:34",2013,14421
"109",109,55,1,59,38,141,"Climber","CUNEGO Damiano   Lampre - Merida",31,"Lampre - Merida",NA,NA,",,0:34",2013,7178
"110",110,86,2,40,22,182,"Classic","ALBASINI Michael   Orica GreenEDGE",32,"Orica GreenEDGE",NA,NA,",,0:34",2013,9622
"111",111,111,3,10,1,16,"GC","MARANGONI Alan   Cannondale Pro Cycling Team",29,"Cannondale Pro Cycling Team",NA,NA,",,0:34",2013,11401
"112",112,83,2,38,55,206,"Sprint","LAGUTIN Sergey   Vacansoleil - DCM",32,"Vacansoleil - DCM",NA,NA,",,0:34",2013,9535
"113",113,63,2,9,13,133,"TT","COPPEL Jérôme   Cofidis, Solutions Crédits",26,"Cofidis, Solutions Crédits",NA,NA,",,0:34",2013,7753
"114",114,121,3,23,23,191,"Sprint","DEGENKOLB John   Team Argos - Shimano",24,"Team Argos - Shimano",NA,NA,",,0:34",2013,12203
"115",115,76,2,28,19,147,"Classic","MORI Manuele   Lampre - Merida",32,"Lampre - Merida",NA,NA,",,0:34",2013,8899
"116",116,94,2,53,27,17,"Classic","MOSER Moreno   Cannondale Pro Cycling Team",22,"Cannondale Pro Cycling Team",NA,NA,",,0:34",2013,10407
"117",117,50,1,49,42,165,"Classic","NORDHAUG Lars Petter   Belkin-Pro Cycling Team",29,"Belkin-Pro Cycling Team",NA,NA,",,0:34",2013,6582
"118",118,51,1,49,54,108,"GC","TROFIMOV Yuri   Team Katusha",29,"Team Katusha",NA,NA,",,0:34",2013,6594
"119",119,53,1,58,53,43,"GC","DIDIER Laurent   RadioShack - Leopard",29,"RadioShack - Leopard",NA,NA,",,0:34",2013,7133
"120",120,137,3,40,31,143,"Sprint","CIMOLAI Davide   Lampre - Merida",23,"Lampre - Merida",NA,NA,",,0:34",2013,13231
"121",121,65,2,12,48,59,"Classic","VOECKLER Thomas   Team Europcar",34,"Team Europcar",NA,NA,"0:410:41",2013,7968
"122",122,40,1,34,17,97,"Climber","ROCHE Nicolas   Team Saxo - Tinkoff",29,"Team Saxo - Tinkoff",NA,NA,",,0:41",2013,5657
"123",123,33,1,13,8,175,"Climber","MARTIN Dan   Garmin Sharp",26,"Garmin Sharp",NA,NA,",,0:41",2013,4388
"124",124,85,2,39,34,37,"TT","QUINZIATO Manuel   BMC Racing Team",33,"BMC Racing Team",NA,NA,"0:430:43",2013,9574
"125",125,19,0,39,41,6,"GC","PORTE Richie   Sky Procycling",28,"Sky Procycling",NA,NA,"0:530:53",2013,2381
"126",126,77,2,33,46,3,"GC","KENNAUGH Peter   Sky Procycling",24,"Sky Procycling",NA,NA,",,0:53",2013,9226
"127",127,127,3,28,47,5,"GC","LÓPEZ David   Sky Procycling",32,"Sky Procycling",NA,NA,",,0:53",2013,12527
"128",128,1,0,0,0,1,"GC","FROOME ChrisSky Procycling",28,"Sky Procycling",NA,NA,",,0:53",2013,0
"129",129,140,3,43,34,9,"GC","THOMAS Geraint   Sky Procycling",27,"Sky Procycling",NA,NA,",,0:53",2013,13414
"130",130,135,3,38,49,8,"Classic","STANNARD Ian   Sky Procycling",26,"Sky Procycling",NA,NA,",,0:53",2013,13129
"131",131,90,2,44,43,7,"GC","SIUTSOU Kanstantsin   Sky Procycling",30,"Sky Procycling",NA,NA,",,0:53",2013,9883
"132",132,96,2,53,41,203,"TT","DE GENDT Thomas   Vacansoleil - DCM",26,"Vacansoleil - DCM",NA,NA,"0:560:56",2013,10421
"133",133,28,0,56,33,201,"GC","POELS Wout   Vacansoleil - DCM",25,"Vacansoleil - DCM",NA,NA,",,0:56",2013,3393
"134",134,64,2,10,12,166,"GC","TANKINK Bram   Belkin-Pro Cycling Team",34,"Belkin-Pro Cycling Team",NA,NA,",,0:56",2013,7812
"135",135,123,3,24,16,58,"Classic","VEILLEUX David   Team Europcar",25,"Team Europcar",NA,NA,",,0:56",2013,12256
"136",136,31,1,3,41,152,"TT","CHAVANEL Sylvain   Omega Pharma - Quick-Step",34,"Omega Pharma - Quick-Step",NA,NA,",,0:56",2013,3821
"137",137,125,3,27,17,87,"GC","KADRI Blel   AG2R La Mondiale",26,"AG2R La Mondiale",NA,NA,",,0:56",2013,12437
"138",138,24,0,52,15,51,"GC","ROLLAND Pierre   Team Europcar",26,"Team Europcar",NA,NA,",,0:56",2013,3135
"139",139,101,2,57,59,205,"Classic","HOOGERLAND Johnny   Vacansoleil - DCM",30,"Vacansoleil - DCM",NA,NA,",,0:56",2013,10679
"140",140,163,4,5,18,29,"GC","WILLEMS Frederik   Lotto Belisol Team",33,"Lotto Belisol Team",NA,NA,",,0:56",2013,14718
"141",141,150,3,53,55,163,"Sprint","LEEZER Tom   Belkin-Pro Cycling Team",27,"Belkin-Pro Cycling Team",NA,NA,"1:051:05",2013,14035
"142",142,164,4,7,19,198,"GC","TIMMER Albert   Team Argos - Shimano",28,"Team Argos - Shimano",NA,NA,"1:141:14",2013,14839
"143",143,97,2,53,41,123,"TT","CASTROVIEJO Jonathan   Movistar Team",26,"Movistar Team",NA,NA,"1:151:15",2013,10421
"144",144,88,2,43,28,137,"GC","MATÉ Luis Ángel   Cofidis, Solutions Crédits",29,"Cofidis, Solutions Crédits",NA,NA,"1:181:18",2013,9808
"145",145,102,2,59,9,131,"GC","TAARAMÄE Rein   Cofidis, Solutions Crédits",26,"Cofidis, Solutions Crédits",NA,NA,",,1:18",2013,10749
"146",146,156,4,1,10,53,"GC","COUSIN Jérôme   Team Europcar",24,"Team Europcar",NA,NA,",,1:18",2013,14470
"147",147,52,1,53,1,217,"Sprint","MÉDEREL Maxime   Sojasun",32,"Sojasun",NA,NA,",,1:18",2013,6781
"148",148,104,2,59,45,211,"GC","FEILLU Brice   Sojasun",27,"Sojasun",NA,NA,",,1:18",2013,10785
"149",149,45,1,38,57,39,"GC","VAN GARDEREN Tejay   BMC Racing Team",24,"BMC Racing Team",NA,NA,",,1:18",2013,5937
"150",150,141,3,45,2,104,"Sprint","KUSCHYNSKI Aleksandr   Team Katusha",33,"Team Katusha",NA,NA,"1:341:34",2013,13502
"151",151,159,4,3,11,155,"Sprint","PINEAU Jérôme   Omega Pharma - Quick-Step",33,"Omega Pharma - Quick-Step",NA,NA,"1:361:36",2013,14591
"152",152,71,2,23,11,13,"Climber","DE MARCHI Alessandro   Cannondale Pro Cycling Team",27,"Cannondale Pro Cycling Team",NA,NA,",,1:36",2013,8591
"153",153,149,3,52,5,157,"Classic","TERPSTRA Niki   Omega Pharma - Quick-Step",29,"Omega Pharma - Quick-Step",NA,NA,"1:511:51",2013,13925
"154",154,106,3,5,25,154,"TT","MARTIN Tony   Omega Pharma - Quick-Step",28,"Omega Pharma - Quick-Step",NA,NA,"2:012:01",2013,11125
"155",155,66,2,15,6,79,"Classic","VICHOT Arthur   FDJ.fr",24,"FDJ.fr",NA,NA,"2:212:21",2013,8106
"156",156,126,3,28,39,78,"TT","ROY Jérémy   FDJ.fr",30,"FDJ.fr",NA,NA,",,2:21",2013,12519
"157",157,132,3,37,6,169,"Classic","WYNANTS Maarten   Belkin-Pro Cycling Team",31,"Belkin-Pro Cycling Team",NA,NA,",,2:21",2013,13026
"158",158,168,4,24,52,62,"Sprint","BAZAYEV Assan   Astana Pro Team",32,"Astana Pro Team",NA,NA,",,2:21",2013,15892
"159",159,146,3,49,2,195,"GC","FRÖHLINGER Johannes   Team Argos - Shimano",28,"Team Argos - Shimano",NA,NA,"2:302:30",2013,13742
"160",160,75,2,27,42,196,"Climber","GESCHKE Simon   Team Argos - Shimano",27,"Team Argos - Shimano",NA,NA,",,2:30",2013,8862
"161",161,160,4,3,18,27,"Sprint","ROELANDTS Jürgen   Lotto Belisol Team",28,"Lotto Belisol Team",NA,NA,"2:522:52",2013,14598
"162",162,113,3,14,25,176,"TT","MILLAR David   Garmin Sharp",36,"Garmin Sharp",NA,NA,"3:133:13",2013,11665
"163",163,151,3,57,9,214,"Classic","HIVERT Jonathan   Sojasun",28,"Sojasun",NA,NA,"4:094:09",2013,14229
"164",164,116,3,16,30,216,"Sprint","MARINO Jean-Marc   Sojasun",29,"Sojasun",NA,NA,",,4:09",2013,11790
"165",165,167,4,21,46,69,"Sprint","MURAVYEV Dmitriy   Astana Pro Team",33,"Astana Pro Team",NA,NA,",,4:09",2013,15706
"166",166,43,1,36,40,93,"GC","HERNÁNDEZ BLÁZQUEZ Jesús   Team Saxo - Tinkoff",31,"Team Saxo - Tinkoff",NA,NA,",,4:09",2013,5800
"167",167,169,4,27,55,189,"TT","TUFT Svein   Orica GreenEDGE",36,"Orica GreenEDGE",NA,NA,",,4:09",2013,16075
"168",168,68,2,20,14,183,"Classic","CLARKE Simon   Orica GreenEDGE",27,"Orica GreenEDGE",NA,NA,",,4:09",2013,8414
"169",169,98,2,54,1,33,"Classic","BURGHARDT Marcus   BMC Racing Team",30,"BMC Racing Team",NA,NA,"4:244:24",2013,10441
"170",NA,NA,0,NA,NA,209,"TT","WESTRA Lieuwe   Vacansoleil - DCM",30,"Vacansoleil - DCM",NA,NA,"-",2013,NA
"171",1,161,5,6,27,101,"Sprint","KITTEL Marcel   Team Giant - Shimano",26,"Team Giant - Shimano",20,100,"3:20:50",2014,18387
"172",2,125,4,11,46,23,"Classic","KRISTOFF Alexander   Team Katusha",27,"Team Katusha",10,70,",,0:00",2014,15106
"173",3,141,4,37,42,97,"TT","NAVARDAUSKAS Ramūnas   Garmin Sharp",26,"Garmin Sharp",6,50,",,0:00",2014,16662
"174",4,149,4,44,54,135,"Sprint","GREIPEL André   Lotto Belisol",32,"Lotto Belisol",4,40,",,0:00",2014,17094
"175",5,142,4,39,3,77,"Sprint","RENSHAW Mark   Omega Pharma - Quick-Step",31,"Omega Pharma - Quick-Step",2,32,",,0:00",2014,16743
"176",6,126,4,13,21,2,"Sprint","EISEL Bernhard   Team Sky",33,"Team Sky",NA,26,",,0:00",2014,15201
"177",7,104,3,44,45,153,"Sprint","COQUARD Bryan   Team Europcar",22,"Team Europcar",NA,22,",,0:00",2014,13485
"178",8,148,4,44,47,76,"Sprint","PETACCHI Alessandro   Omega Pharma - Quick-Step",40,"Omega Pharma - Quick-Step",NA,18,",,0:00",2014,17087
"179",9,60,2,52,52,51,"Sprint","SAGAN PeterCannondale",24,"Cannondale",NA,14,",,0:00",2014,10372
"180",10,150,4,45,4,214,"Sprint","FEILLU Romain   Bretagne - Séché Environnement",30,"Bretagne - Séché Environnement",NA,10,",,0:00",2014,17104
"181",11,96,3,40,46,32,"Sprint","BENNATI Daniele   Tinkoff - Saxo",33,"Tinkoff - Saxo",NA,8,",,0:00",2014,13246
"182",12,159,5,0,29,121,"Sprint","DÉMARE Arnaud   FDJ.fr",22,"FDJ.fr",NA,6,",,0:00",2014,18029
"183",13,38,1,56,34,148,"Classic","VAN AVERMAET Greg   BMC Racing Team",29,"BMC Racing Team",NA,4,",,0:00",2014,6994
"184",14,156,4,58,20,177,"Sprint","PETIT Adrien   Cofidis, Solutions Crédits",23,"Cofidis, Solutions Crédits",NA,2,",,0:00",2014,17900
"185",15,106,3,45,54,68,"Classic","VANMARCKE Sep   Belkin-Pro Cycling Team",25,"Belkin-Pro Cycling Team",NA,1,",,0:00",2014,13554
"186",16,69,2,58,41,145,"Classic","OSS Daniel   BMC Racing Team",27,"BMC Racing Team",NA,NA,",,0:00",2014,10721
"187",17,163,5,11,58,112,"Sprint","CIMOLAI Davide   Lampre - Merida",24,"Lampre - Merida",NA,NA,",,0:00",2014,18718
"188",18,6,0,11,26,82,"Climber","BARDET Romain   AG2R La Mondiale",23,"AG2R La Mondiale",NA,NA,"0:040:04",2014,686
"189",19,5,0,11,24,141,"GC","VAN GARDEREN Tejay   BMC Racing Team",25,"BMC Racing Team",NA,NA,",,0:04",2014,684
"190",20,74,3,8,40,99,"Classic","VANSUMMEREN Johan   Garmin Sharp",33,"Garmin Sharp",NA,NA,",,0:04",2014,11320
"191",21,139,4,33,45,196,"Sprint","KLUGE Roger   IAM Cycling",28,"IAM Cycling",NA,NA,"0:060:06",2014,16425
