"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","year","tot_seconds"
"1090",109,18,0,45,21,121,"Climber","MARTIN Dan   UAE Team Emirates",32,"UAE Team Emirates",NA,NA,"0:510:51",2019,2721
"1091",110,75,2,28,7,208,"Classic","VALGREN Michael   Team Dimension Data",27,"Team Dimension Data",NA,NA,",,0:51",2019,8887
"1092",111,139,4,1,5,126,"Classic","KRISTOFF Alexander   UAE Team Emirates",32,"UAE Team Emirates",NA,NA,",,0:51",2019,14465
"1093",112,63,2,13,25,114,"Climber","GESCHKE Simon   CCC Team",33,"CCC Team",NA,NA,",,0:51",2019,8005
"1094",113,77,2,32,14,115,"Climber","PAUWELS Serge   CCC Team",35,"CCC Team",NA,NA,",,0:51",2019,9134
"1095",114,142,4,3,56,167,"GC","MONFORT Maxime   Lotto Soudal",36,"Lotto Soudal",NA,NA,",,0:51",2019,14636
"1096",115,80,2,38,26,175,"GC","SICARD Romain   Team Total Direct Energie",31,"Team Total Direct Energie",NA,NA,",,0:51",2019,9506
"1097",116,95,3,1,47,174,"Classic","OURSELIN Paul   Team Total Direct Energie",25,"Team Total Direct Energie",NA,NA,",,0:51",2019,10907
"1098",117,87,2,51,36,155,"Classic","PEREZ Anthony   Cofidis, Solutions Crédits",28,"Cofidis, Solutions Crédits",NA,NA,",,0:51",2019,10296
"1099",118,100,3,5,15,157,"GC","ROSSETTO Stéphane   Cofidis, Solutions Crédits",32,"Cofidis, Solutions Crédits",NA,NA,",,0:51",2019,11115
"1100",119,151,4,14,39,183,"TT","DOWSETT Alex   Team Katusha Alpecin",30,"Team Katusha Alpecin",NA,NA,",,0:51",2019,15279
"1101",120,64,2,14,28,186,"Classic","POLITT Nils   Team Katusha Alpecin",25,"Team Katusha Alpecin",NA,NA,",,0:51",2019,8068
"1102",121,49,1,53,54,108,"Climber","YATES Simon   Mitchelton-Scott",26,"Mitchelton-Scott",NA,NA,",,0:51",2019,6834
"1103",122,92,2,59,17,217,"GC","MOINARD Amaël   Team Arkéa Samsic",37,"Team Arkéa Samsic",NA,NA,"0:580:58",2019,10757
"1104",123,134,3,54,51,144,"TT","HAGA Chad   Team Sunweb",30,"Team Sunweb",NA,NA,"1:031:03",2019,14091
"1105",124,128,3,47,15,184,"GC","GONÇALVES José   Team Katusha Alpecin",30,"Team Katusha Alpecin",NA,NA,"1:041:04",2019,13635
"1106",125,72,2,24,58,105,"Hills","IMPEY Daryl   Mitchelton-Scott",34,"Mitchelton-Scott",NA,NA,"1:061:06",2019,8698
"1107",126,71,2,19,52,73,"Climber","FRAILE Omar   Astana Pro Team",29,"Astana Pro Team",NA,NA,"1:181:18",2019,8392
"1108",127,55,1,59,55,63,"GC","AMADOR Andrey   Movistar Team",32,"Movistar Team",NA,NA,"1:201:20",2019,7195
"1109",128,40,1,39,36,145,"Climber","KÄMNA Lennard   Team Sunweb",22,"Team Sunweb",NA,NA,"1:241:24",2019,5976
"1110",129,141,4,2,18,13,"Classic","BURGHARDT Marcus   BORA - hansgrohe",36,"BORA - hansgrohe",NA,NA,",,1:24",2019,14538
"1111",130,51,1,55,57,181,"GC","ZAKARIN Ilnur   Team Katusha Alpecin",29,"Team Katusha Alpecin",NA,NA,",,1:24",2019,6957
"1112",131,66,2,15,42,176,"GC","TAARAMÄE Rein   Team Total Direct Energie",32,"Team Total Direct Energie",NA,NA,",,1:24",2019,8142
"1113",132,48,1,53,51,34,"GC","FRANK Mathias   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,"1:361:36",2019,6831
"1114",133,115,3,27,10,36,"GC","GOUGEARD Alexis   AG2R La Mondiale",26,"AG2R La Mondiale",NA,NA,",,1:36",2019,12430
"1115",134,113,3,25,57,33,"Classic","COSNEFROY Benoît   AG2R La Mondiale",23,"AG2R La Mondiale",NA,NA,",,1:36",2019,12357
