Place,Tied,Name,School,Victories,Bouts,Pct,TS,TR,Ind,Gender,Weapon
24,FALSE,Natalie Olsen,Duke,4,23,0.174,62,107,-45,Women,Saber
1,FALSE,Luke Linder,Notre Dame,22,23,0.957,113,50,63,Men,Saber
2,FALSE,Neil Lilov,Penn State,19,23,0.826,105,60,45,Men,Saber
3,TRUE,Luca Fioretto,Ohio State,18,23,0.783,106,71,35,Men,Saber
3,TRUE,Eyad Marouf,Wayne State,17,23,0.739,97,66,31,Men,Saber
5,FALSE,Jordan Silberzweig,Yale,16,23,0.696,95,66,29,Men,Saber
6,FALSE,Kamar Skeete,Penn State,14,23,0.609,89,74,15,Men,Saber
7,FALSE,Alexandre Lacaze,Notre Dame,14,23,0.609,95,82,13,Men,Saber
8,FALSE,Antonio Escueta,Brandeis,13,23,0.565,91,73,18,Men,Saber
9,FALSE,Matthew Linsky,Harvard,13,23,0.565,88,81,7,Men,Saber
10,FALSE,Matthew Limb,Princeton,12,23,0.522,80,79,1,Men,Saber
11,FALSE,Ahmed Ferjani,St. John's,11,23,0.478,92,82,10,Men,Saber
12,FALSE,Jackson McBride,Columbia,11,23,0.478,84,90,-6,Men,Saber
13,FALSE,Flavio Vinci,Wagner,11,23,0.478,78,86,-8,Men,Saber
14,FALSE,Andrew Johnson,Princeton,10,23,0.435,85,90,-5,Men,Saber
15,FALSE,Gian Dhingra,Pennsylvania,10,23,0.435,81,94,-13,Men,Saber
16,FALSE,Luca Berman,Boston College,10,23,0.435,75,92,-17,Men,Saber
17,FALSE,Elden Wood,North Carolina,9,23,0.391,71,98,-27,Men,Saber
18,FALSE,Kevin Zu,N.Y.U.,8,23,0.348,72,96,-24,Men,Saber
19,FALSE,Arnav Raja,U.C. San Diego,8,23,0.348,67,99,-32,Men,Saber
20,FALSE,Kevin Sohn,Harvard,7,23,0.304,76,97,-21,Men,Saber
21,FALSE,Jerry Pan,N.Y.U.,7,23,0.304,70,97,-27,Men,Saber
22,FALSE,Samir Travers,Duke,6,23,0.261,81,102,-21,Men,Saber
23,FALSE,Hananiah So,U.C. San Diego,5,23,0.217,67,98,-31,Men,Saber
24,FALSE,Jared Hammerstrom,Stanford,5,23,0.217,65,100,-35,Men,Saber
1,FALSE,Jessica Guo,Harvard,20,23,0.87,107,45,62,Women,Foil
2,FALSE,Lauren Scruggs,Harvard,17,23,0.739,104,63,41,Women,Foil
3,TRUE,Dariia Myroniuk,Ohio State,17,23,0.739,96,59,37,Women,Foil
3,TRUE,Rebeca Candescu,Notre Dame,15,23,0.652,92,61,31,Women,Foil
5,FALSE,Evelyn Cheng,Columbia/Barnard,15,23,0.652,95,71,24,Women,Foil
6,FALSE,Crystal Qian,Stanford,14,23,0.609,92,70,22,Women,Foil
7,FALSE,Kristina Petrova,Yale,14,23,0.609,88,67,21,Women,Foil
8,FALSE,Christina Ferrari,Duke,13,23,0.565,93,85,8,Women,Foil
9,FALSE,Charlotte Koenig,Duke,13,23,0.565,89,86,3,Women,Foil
10,FALSE,Samantha Catantan,Penn State,12,23,0.522,93,79,14,Women,Foil
11,FALSE,Sabrina Cho,Pennsylvania,12,23,0.522,80,80,0,Women,Foil
12,FALSE,Arianna Proietti,Penn State,11,23,0.478,87,85,2,Women,Foil
13,FALSE,Josephina Conway,Notre Dame,11,23,0.478,74,75,-1,Women,Foil
14,FALSE,Katina Proestakis Ortiz,Pennsylvania,11,23,0.478,82,92,-10,Women,Foil
15,FALSE,Anna Novoseltseva,Temple,11,23,0.478,76,93,-17,Women,Foil
16,FALSE,Helen Tan,Yale,11,23,0.478,70,88,-18,Women,Foil
17,FALSE,Malwina Ko&lstrok;odziejczyk,St. John's,10,23,0.435,69,84,-15,Women,Foil
18,FALSE,Ludovica Mancini,Wayne State,10,23,0.435,73,92,-19,Women,Foil
19,FALSE,Arianna Cao,Stanford,9,23,0.391,64,86,-22,Women,Foil
20,FALSE,Rachael Kim,Columbia/Barnard,8,23,0.348,77,91,-14,Women,Foil
21,FALSE,Karina Vasile,Northwestern,8,23,0.348,71,95,-24,Women,Foil
22,FALSE,Elizabeth He,Princeton,6,23,0.261,61,98,-37,Women,Foil
