Rank,Team,G,AB,H,BA
173,Brown (Ivy League),42,"1,053",279,0.265
174,Illinois St. (MVC),54,"1,393",369,0.265
175,Louisiana Tech (CUSA),54,"1,429",378,0.265
176,UConn (Big East),55,"1,404",371,0.264
177,Robert Morris (Horizon),44,"1,113",294,0.264
178,Wisconsin (Big Ten),52,"1,312",346,0.264
179,USC Upstate (Big South),53,"1,335",352,0.264
180,Siena (MAAC),55,"1,423",375,0.264
181,Penn (Ivy League),40,"1,068",281,0.263
182,Colgate (Patriot),50,"1,295",340,0.263
183,Montana (Big Sky),50,"1,242",326,0.262
184,Longwood (Big South),52,"1,355",355,0.262
185,Belmont (MVC),50,"1,315",344,0.262
186,Hawaii (Big West),46,"1,167",305,0.261
187,UNI (MVC),50,"1,267",331,0.261
188,Middle Tenn. (CUSA),52,"1,402",366,0.261
189,North Texas (AAC),56,"1,400",365,0.261
190,Jacksonville St. (CUSA),53,"1,405",366,0.26
191,North Ala. (ASUN),54,"1,409",367,0.26
192,Indiana St. (MVC),50,"1,299",338,0.26
193,Liberty (CUSA),63,"1,603",417,0.26
194,Central Conn. St. (NEC),47,"1,231",320,0.26
195,Northern Colo. (Big Sky),53,"1,385",360,0.26
196,Furman (SoCon),54,"1,432",372,0.26
197,FGCU (ASUN),59,"1,540",400,0.26
198,Missouri (SEC),66,"1,702",442,0.26
199,Canisius (MAAC),45,"1,167",303,0.26
200,Sam Houston (CUSA),50,"1,305",338,0.259
201,Iowa (Big Ten),46,"1,251",324,0.259
202,Houston Christian (Southland),50,"1,315",340,0.259
202,Southern U. (SWAC),41,"1,052",272,0.259
204,New Mexico (Mountain West),54,"1,355",350,0.258
205,Quinnipiac (MAAC),45,"1,177",304,0.258
206,Radford (Big South),47,"1,165",300,0.258
207,Ga. Southern (Sun Belt),51,"1,301",335,0.257
208,Southern Miss. (Sun Belt),51,"1,336",344,0.257
209,Central Ark. (ASUN),54,"1,350",347,0.257
210,Loyola Chicago (Atlantic 10),53,"1,394",358,0.257
211,Alabama A&M (SWAC),36,890,228,0.256
212,Missouri St. (MVC),51,"1,281",326,0.254
213,St. John's (NY) (Big East),58,"1,516",385,0.254
214,Purdue (Big Ten),52,"1,356",344,0.254
215,Lamar University (Southland),51,"1,319",334,0.253
216,Bradley (MVC),56,"1,522",385,0.253
217,A&M-Corpus Christi (Southland),43,"1,103",279,0.253
218,N.C. Central (MEAC),56,"1,416",358,0.253
219,Auburn (SEC),51,"1,287",325,0.253
220,South Fla. (AAC),56,"1,462",369,0.252
221,Col. of Charleston (CAA),49,"1,270",320,0.252
222,Holy Cross (Patriot),49,"1,267",319,0.252
223,Winthrop (Big South),55,"1,449",364,0.251
224,Alabama (SEC),59,"1,512",379,0.251
225,UNCW (CAA),56,"1,440",360,0.25
225,Fairfield (MAAC),47,"1,184",296,0.25
227,Sacred Heart (NEC),56,"1,437",359,0.25
228,Buffalo (MAC),48,"1,265",316,0.25
229,Evansville (MVC),52,"1,314",328,0.25
230,Iona (MAAC),47,"1,245",310,0.249
231,Long Beach St. (Big West),54,"1,398",348,0.249
232,South Alabama (Sun Belt),55,"1,448",360,0.249
233,UMass Lowell (America East),46,"1,235",307,0.249
234,George Mason (Atlantic 10),52,"1,332",331,0.248
235,Hampton (CAA),52,"1,298",322,0.248
236,Michigan St. (Big Ten),51,"1,265",313,0.247
237,Virginia (ACC),54,"1,398",344,0.246
238,Kansas City (Summit League),54,"1,459",359,0.246
239,Pacific (WCC),53,"1,303",320,0.246
240,Boston College (ACC),54,"1,370",336,0.245
241,Stetson (ASUN),52,"1,278",313,0.245
242,Towson (CAA),54,"1,391",340,0.244
243,UAB (AAC),52,"1,244",304,0.244
244,Pittsburgh (ACC),49,"1,191",291,0.244
245,Rhode Island (Atlantic 10),52,"1,303",318,0.244
246,Army West Point (Patriot),53,"1,378",336,0.244
247,Central Mich. (MAC),50,"1,268",309,0.244
248,Georgia St. (Sun Belt),53,"1,334",325,0.244
249,Northwestern St. (Southland),50,"1,241",302,0.243
250,Jacksonville (ASUN),51,"1,275",310,0.243
251,Monmouth (CAA),51,"1,325",322,0.243
252,Drexel (CAA),45,"1,172",284,0.242
253,Western Ill. (OVC),50,"1,305",316,0.242
254,UC Davis (Big West),50,"1,268",307,0.242
255,UIC (MVC),54,"1,413",342,0.242
256,South Carolina (SEC),60,"1,554",376,0.242
257,Hofstra (CAA),49,"1,266",305,0.241
258,Lipscomb (ASUN),52,"1,309",315,0.241
259,South Dakota (Summit League),53,"1,408",338,0.24
260,Bucknell (Patriot),46,"1,207",288,0.239
261,ETSU (SoCon),50,"1,304",311,0.238
262,CSU Bakersfield (Big West),51,"1,196",284,0.237
263,Grambling (SWAC),45,"1,052",249,0.237
264,Presbyterian (Big South),51,"1,292",305,0.236
265,Charleston So. (Big South),50,"1,256",296,0.236
266,North Dakota St. (Summit League),54,"1,389",324,0.233
267,Massachusetts (Atlantic 10),55,"1,437",334,0.232
268,Manhattan (MAAC),50,"1,205",279,0.232
269,Georgetown (Big East),47,"1,200",277,0.231
270,SFA (WAC),55,"1,404",324,0.231
271,Murray St. (MVC),54,"1,351",310,0.229
272,Oregon St. (Pac-12),50,"1,279",292,0.228
273,DePaul (Big East),47,"1,155",263,0.228
274,Wofford (SoCon),47,"1,245",283,0.227
275,Ark.-Pine Bluff (SWAC),49,"1,169",265,0.227
276,Kennesaw St. (ASUN),53,"1,389",314,0.226
277,Green Bay (Horizon),47,"1,177",265,0.225
278,Alcorn (SWAC),45,960,216,0.225
279,Valparaiso (MVC),49,"1,224",274,0.224
280,South Carolina St. (MEAC),42,"1,034",231,0.223
281,Morehead St. (OVC),40,999,222,0.222
282,Wagner (NEC),38,981,217,0.221
283,N.C. A&T (CAA),48,"1,149",254,0.221
284,FDU (NEC),49,"1,172",259,0.221
285,Bowling Green (MAC),44,"1,050",232,0.221
286,Mount St. Mary's (MAAC),46,"1,133",248,0.219
287,Merrimack (NEC),53,"1,375",300,0.218
288,Norfolk St. (MEAC),47,"1,116",238,0.213
289,North Dakota (Summit League),56,"1,388",291,0.21
290,UTSA (AAC),57,"1,358",283,0.208
291,Mississippi Val. (SWAC),37,860,178,0.207
292,Memphis (AAC),50,"1,189",246,0.207
293,Detroit Mercy (Horizon),44,980,200,0.204
294,Maine (America East),46,"1,102",224,0.203
295,Lafayette (Patriot),42,"1,013",199,0.196
296,St. Bonaventure (Atlantic 10),43,977,187,0.191
