Team,Triples,Triples_Per_Game
Stetson (ASUN),7,0.13
Cal Poly (Big West),6,0.13
Canisius (MAAC),6,0.13
Drexel (CAA),6,0.13
Grambling (SWAC),6,0.13
Quinnipiac (MAAC),6,0.13
Jacksonville St. (CUSA),7,0.13
Marshall (Sun Belt),7,0.13
Mount St. Mary's (MAAC),6,0.13
Providence (Big East),6,0.13
Boston College (ACC),7,0.13
Louisiana Tech (CUSA),7,0.13
North Dakota St. (Summit League),7,0.13
Western Ky. (CUSA),7,0.13
Liberty (CUSA),8,0.13
Northwestern (Big Ten),6,0.13
Prairie View (SWAC),6,0.13
Texas Southern (SWAC),5,0.13
Western Mich. (MAC),6,0.12
Oklahoma (Big 12),8,0.12
Ole Miss (SEC),7,0.12
IU Indy (Horizon),6,0.12
Notre Dame (ACC),6,0.12
Utah St. (Mountain West),6,0.12
Baylor (Big 12),7,0.12
App State (Sun Belt),6,0.12
Missouri St. (MVC),6,0.12
Rider (MAAC),6,0.12
Evansville (MVC),6,0.12
Rhode Island (Atlantic 10),6,0.12
Bowling Green (MAC),5,0.11
LIU (NEC),6,0.11
LMU (CA) (WCC),6,0.11
Minnesota (Big Ten),6,0.11
Nebraska (Big Ten),6,0.11
Santa Clara (WCC),6,0.11
South Dakota (Summit League),6,0.11
Western Caro. (SoCon),6,0.11
Mississippi St. (SEC),6,0.11
UMBC (America East),5,0.11
Houston (Big 12),6,0.11
Siena (MAAC),6,0.11
Winthrop (Big South),6,0.11
Bucknell (Patriot),5,0.11
Cornell (Ivy League),4,0.11
Sacred Heart (NEC),6,0.11
Tennessee (SEC),6,0.11
UNCW (CAA),6,0.11
DePaul (Big East),5,0.11
UC Riverside (Big West),5,0.11
Wofford (SoCon),5,0.11
Missouri (SEC),7,0.11
UT Arlington (WAC),6,0.11
Cleveland St. (Horizon),5,0.10
Hofstra (CAA),5,0.10
Pittsburgh (ACC),5,0.10
Boise St. (Mountain West),6,0.10
Oregon St. (Pac-12),5,0.10
Wichita St. (AAC),5,0.10
