Team,Innings_Pitched,Runs,Earned_Runs,Earned_Run_Average
Bryant (America East),341.2,242,179,3.67
Purdue (Big Ten),356.1,219,187,3.67
Florida A&M (SWAC),280,198,147,3.68
Santa Clara (WCC),354,231,186,3.68
Toledo (MAC),326.2,213,172,3.69
Villanova (Big East),371.2,235,196,3.69
Merrimack (NEC),353,257,187,3.71
Florida St. (ACC),396.1,251,210,3.71
LMU (CA) (WCC),337.1,214,179,3.71
UC Santa Barbara (Big West),322.2,223,172,3.73
Furman (SoCon),362,254,193,3.73
Robert Morris (Horizon),276.2,175,148,3.74
Kansas (Big 12),352.2,224,189,3.75
George Washington (Atlantic 10),343.1,225,185,3.77
Kent St. (MAC),320.2,224,173,3.78
Jacksonville St. (CUSA),354.1,226,192,3.79
Providence (Big East),293.1,189,159,3.79
Colorado St. (Mountain West),290.2,179,158,3.81
FDU (NEC),314.1,209,171,3.81
Buffalo (MAC),314,220,171,3.81
George Mason (Atlantic 10),345.1,233,189,3.83
Tennessee Tech (OVC),316,217,173,3.83
Seattle U (WAC),352,234,193,3.84
Kentucky (SEC),362.2,234,200,3.86
Towson (CAA),349.1,258,193,3.87
Kansas City (Summit League),359.1,239,199,3.88
UNLV (Mountain West),325,213,180,3.88
Idaho St. (Big Sky),337,210,187,3.88
Troy (Sun Belt),369.1,237,205,3.89
Ohio St. (Big Ten),334.2,246,186,3.89
Northern Ky. (Horizon),280.2,170,156,3.89
Stetson (ASUN),333.2,237,186,3.90
Northern Colo. (Big Sky),347.2,238,194,3.91
Sam Houston (CUSA),331,214,185,3.91
James Madison (Sun Belt),346.2,220,194,3.92
Hampton (CAA),337.2,258,189,3.92
Arizona (Pac-12),363.1,231,204,3.93
Princeton (Ivy League),316.1,197,178,3.94
Prairie View (SWAC),290.2,209,164,3.95
Houston Christian (Southland),333,244,188,3.95
Samford (SoCon),366.1,248,207,3.96
Michigan St. (Big Ten),325,237,184,3.96
Niagara (MAAC),315.2,224,179,3.97
UAB (AAC),335,236,190,3.97
UC Riverside (Big West),317,201,181,4.00
UNC Greensboro (SoCon),400.2,279,229,4.00
Alabama St. (SWAC),356.2,284,205,4.02
Central Ark. (ASUN),349.2,233,201,4.02
Boise St. (Mountain West),382.2,248,220,4.02
Delaware St. (MEAC),260.1,177,150,4.03
NC State (ACC),331.1,229,192,4.06
Mercer (SoCon),353.2,245,205,4.06
Monmouth (CAA),327,242,191,4.09
Quinnipiac (MAAC),297.2,197,174,4.09
Cleveland St. (Horizon),311,234,182,4.10
North Dakota (Summit League),358.1,265,210,4.10
North Dakota St. (Summit League),342.2,275,201,4.11
Western Caro. (SoCon),347.2,258,204,4.11
Grambling (SWAC),273.1,200,161,4.12
Radford (Big South),304.1,213,181,4.16
Western Ill. (OVC),318,253,190,4.18
Tennessee St. (OVC),333.2,254,200,4.20
South Carolina St. (MEAC),261.2,222,157,4.20
UTEP (CUSA),310,209,186,4.20
New Mexico St. (CUSA),351.1,280,211,4.20
Bethune-Cookman (SWAC),329.1,255,198,4.21
Ball St. (MAC),375,286,226,4.22
Hawaii (Big West),296.2,216,179,4.22
Butler (Big East),351,263,212,4.23
Indiana St. (MVC),317.2,235,192,4.23
Wichita St. (AAC),320.1,229,195,4.26
App State (Sun Belt),323,238,197,4.27
Purdue Fort Wayne (Horizon),295,213,180,4.27
Drake (MVC),322,251,197,4.28
NIU (MAC),337.1,280,207,4.30
Army West Point (Patriot),343.2,268,211,4.30
Lipscomb (ASUN),335.1,260,206,4.30
Central Mich. (MAC),319,272,198,4.34
Nebraska (Big Ten),360.1,263,224,4.35
Wisconsin (Big Ten),340,264,213,4.39
Fordham (Atlantic 10),360.2,263,226,4.39
UMass Lowell (America East),301.1,228,189,4.39
Long Beach St. (Big West),358,256,225,4.40
FIU (CUSA),329,254,207,4.40
Presbyterian (Big South),330.1,253,209,4.43
Rhode Island (Atlantic 10),326.1,252,207,4.44
UT Arlington (WAC),366.2,289,233,4.45
Weber St. (Big Sky),319,264,203,4.45
Notre Dame (ACC),333,258,212,4.46
Minnesota (Big Ten),351.1,269,224,4.46
Southern Miss. (Sun Belt),333.1,254,213,4.47
Missouri St. (MVC),327,255,213,4.56
Akron (MAC),347.2,267,227,4.57
Georgetown (Big East),308.2,249,203,4.60
Colgate (Patriot),317.2,259,209,4.61
Saint Joseph's (Atlantic 10),326,267,215,4.62
Holy Cross (Patriot),306.2,260,203,4.63
Massachusetts (Atlantic 10),359,295,238,4.64
Yale (Ivy League),307,244,204,4.65
Drexel (CAA),286.2,233,192,4.69
Pacific (WCC),344.1,296,231,4.70
Southern U. (SWAC),268.1,228,183,4.77
Arizona St. (Pac-12),336.2,276,230,4.78
Iona (MAAC),305.2,245,209,4.79
Utah Valley (WAC),355,286,243,4.79
Marshall (Sun Belt),341,289,235,4.82
San Diego (WCC),364,306,251,4.83
Illinois (Big Ten),337.1,301,233,4.83
Elon (CAA),334.1,282,232,4.86
Fairfield (MAAC),302.1,250,210,4.86
Utah St. (Mountain West),315.2,269,222,4.92
Wagner (NEC),243.2,194,172,4.94
Southern Utah (WAC),324,281,229,4.95
Penn (Ivy League),264.1,229,191,5.06
DePaul (Big East),297.1,282,215,5.06
N.C. Central (MEAC),358,326,259,5.06
Georgia Tech (ACC),354.1,300,257,5.08
Manhattan (MAAC),300,262,218,5.09
BYU (Big 12),340,313,248,5.11
Longwood (Big South),334,287,249,5.22
Morehead St. (OVC),253,246,190,5.26
Col. of Charleston (CAA),317.1,304,240,5.29
Norfolk St. (MEAC),292.2,312,223,5.33
Mount St. Mary's (MAAC),295.1,289,227,5.38
San Jose St. (Mountain West),280.2,269,216,5.39
ETSU (SoCon),324,311,254,5.49
Abilene Christian (WAC),297,297,233,5.49
Evansville (MVC),325,313,257,5.54
Montana (Big Sky),312.1,301,247,5.54
N.C. A&T (CAA),304.1,295,242,5.57
Lafayette (Patriot),262.1,272,209,5.58
Georgia St. (Sun Belt),342.1,329,274,5.60
Iowa St. (Big 12),322.2,310,260,5.64
IU Indy (Horizon),311.2,309,253,5.68
Green Bay (Horizon),297.1,302,243,5.72
UTSA (AAC),353,349,290,5.75
Valparaiso (MVC),308.2,312,254,5.76
Pittsburgh (ACC),307,291,255,5.81
Alabama A&M (SWAC),223.1,266,190,5.96
New Mexico (Mountain West),338.1,341,289,5.98
Columbia (Ivy League),244,238,209,6.00
Houston (Big 12),340.1,326,295,6.07
Texas Tech (Big 12),312,308,273,6.13
Cornell (Ivy League),234.2,256,208,6.20
Saint Peter's (MAAC),319.1,329,292,6.40
Memphis (AAC),308.2,378,289,6.55
UMES (MEAC),282.2,324,267,6.61
Detroit Mercy (Horizon),252,329,243,6.75
Bowling Green (MAC),265.1,315,258,6.81
Alcorn (SWAC),238.2,287,238,6.98
CSU Bakersfield (Big West),303.2,365,303,6.98
Maine (America East),272.1,333,293,7.53
Mississippi Val. (SWAC),213.2,328,236,7.73
St. Bonaventure (Atlantic 10),249.2,383,309,8.66
